,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,FCH4,FC_SSITC_TEST,FCH4_SSITC_TEST,G_inst_af,H_inst_af,LE_inst_af,H_SSITC_TEST,LE_SSITC_TEST,WD,WS,USTAR,ZL,TAU,MO_LENGTH,V_SIGMA,W_SIGMA,TAU_SSITC_TEST,PA,RH,TA,VPD_PI,T_SONIC,T_SONIC_SIGMA,SWC_1_1_1,SWC_1_2_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,Rn_inst_af,PPFD_DIF,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,P,FC_PI_F,RECO_PI_F,GPP_PI_F,H_PI_F,LE_PI_F,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_044033_20130409,-121.64702608232064,38.11529292637027,2013-04-09 18:46:10.892000000,0.0267649999999999,0.03133,0.055255,0.045905,0.3641075,0.2344175,0.1329975,298.25467934,21824.0,0.1564639575,0.7760799975610498,0.5663729809104258,0.5245024106811719,298.25467934,1.396885613448473,0.9639688561344848,0.97460972252438,-121.64707120275632,38.11527916199379,-0.7760800123214722,0.7760800123214722,1,1,-0.736480968136159,-298.25467934,298.25467934,298.48080367395744,-298.48080367395744,298.48080367395744,0.77330078339812,0.6011373940335742,10.628315392899708,432.5089771978513,852.3833365258674,0.77330078339812,2.16402508771814,0.6011373940335742,274.8194029578558,551.4244347009709,44.63165166613445,0.0571945621758202,0.8387920997751827,386.1969432834774,7.370000346554387,2.3788354971561247,8.710935741761721,0.0571945621758202,0.8387920997751827,0.9686740697263222,0.1569563150405883,-44.46961212158203,0.1778412645578111,1.4225540182523888,120.595839751359,0.2379588735048529,0,-121.64702608232064,38.11529292637027,168.91001827764788,18.75496072878316,27.77867028646348,4.529374541008902,301.66176907009026,39.6357307967152,-121.0313401376077,0.8893513679504395,454847,283.32476798,751434,38.565589562797,-121.28848529219324,0.104855790734291,546.6890636781762,83.97938848082018,306.08878118,40.34363195763775,2013-04-09 18:46:10.892000+00:00,2013-04-09 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Tw3,,,2013-04-09
1,1,1,1,LC08_044033_20130416,-121.64702608232064,38.11529292637027,2013-04-16 18:47:29.671000064,0.0255549999999999,0.0284975,0.0530275,0.041945,0.39708,0.2163225,0.1179824999999999,296.67213608,21824.0,0.16162997,0.8089174876146005,0.6186940066114118,0.5672932030563618,296.67213608,1.7256316394543496,0.9672563163945436,0.9756945844101992,-121.64707120275632,38.11527916199379,-0.8089174628257751,0.8089174628257751,1,1,-0.7643785095782674,-296.67213608,296.67213608,296.8934099219991,-296.8934099219991,296.8934099219991,0.787421372188704,0.3955400682091051,7.711513250875738,424.84613117499737,890.5424881335368,0.787421372188704,1.9766639160544404,0.3955400682091051,268.17795425768713,581.1548214913054,40.01148976550342,0.0727437564342388,0.8441772439218924,395.32647064960986,7.294728635438728,2.395370265209557,8.65536726374379,0.0727437564342388,0.8441772439218924,0.9788611316574232,0.1614858955144882,-45.54872894287109,0.2147047827087563,1.7078878190096165,145.81686107619214,0.2694607002014721,1,-121.64702608232064,38.11529292637027,179.35714894438263,17.314307155518293,20.01048660809425,4.42410461446249,310.14137187926616,39.19578758540821,-120.64317102699135,0.8813322186470032,448437,282.06010058,664122,39.00913706592039,-122.18042287534595,0.1302697956562042,538.2231066425271,88.72798816799877,304.78309754,48.43569854711272,2013-04-16 18:47:29.671000064+00:00,2013-04-16 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Tw3,,,2013-04-16
2,2,2,2,LC08_044034_20130409,-121.64702608232064,38.11529292637027,2013-04-09 18:46:34.756999936,0.0326225,0.0352349999999999,0.05685,0.0465375,0.3648225,0.23351,0.132035,298.2478433,21824.0,0.1580789225,0.7737383313885647,0.5766931079842148,0.5238626887289326,298.2478433,1.3926460594871346,0.9639264605948712,0.9745957319963076,-121.64707120275632,38.11527916199379,-0.7737383246421814,0.7737383246421814,1,1,-0.7303594614303754,-298.2478433,298.2478433,298.2938631726599,-298.2938631726599,298.2938631726599,0.7746964300972615,0.6010550176399673,10.627146721856144,432.4503058042101,864.5451013658095,0.7746964300972615,2.165406592853337,0.6010550176399673,299.04934346436454,583.6900126738639,47.319116686416486,0.0569893033466344,0.8382540960661171,335.40275935987296,7.452057115022344,2.089787263058568,8.7165265474142,0.0569893033466344,0.8382540960661171,0.9603111088511136,0.2354752123355865,-68.1510238647461,0.296311771167662,2.233008566528385,200.96813662757444,0.3746812851536181,2,-121.64702608232064,38.11529292637027,168.42069206035256,18.76517118749028,27.757143606363663,4.528463811193039,301.66176907009026,37.068091653909285,-121.8825422935237,0.8843948841094971,370243,289.41909764,638274,37.06347303348558,-122.00138686048535,0.1356781423091888,533.6766992675703,91.86482752589396,305.68887284,63.328122946745,2013-04-09 18:46:34.756999936+00:00,2013-04-09 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Tw3,,,2013-04-09
3,3,3,3,LC08_044034_20130416,-121.64702608232064,38.11529292637027,2013-04-16 18:47:53.562000128,0.0258025,0.0286625,0.0526699999999999,0.041945,0.396585,0.2167625,0.11856,296.68239014,21824.0,0.1615626775,0.8087017991927576,0.6185784591179885,0.5668012743332658,296.68239014,1.7212349774373756,0.9672123497743738,0.9756800754255434,-121.64707120275632,38.11527916199379,-0.8087018132209778,0.8087018132209778,1,1,-0.7655229212807871,-296.68239014,296.68239014,296.7376420793764,-296.7376420793764,296.7376420793764,0.7886343007847292,0.3952989008898674,7.708091818468883,424.8855570401812,901.7572378494974,0.7886343007847292,1.9776001412769373,0.3952989008898674,283.0339559668834,604.9353046240132,41.403263416413125,0.0725429239200261,0.8437195884899599,239.68506139669944,7.56487138725407,1.510312641107376,8.660062159888978,0.0725429239200261,0.8437195884899599,0.9510287903603426,0.1397358179092407,-39.95456314086914,0.4767695420902208,3.642336119142407,323.8469798109006,0.574673587533594,3,-121.64702608232064,38.11529292637027,179.38201153623547,17.321798037971597,19.988818398577923,4.423249823553116,310.14137187926616,37.18752849952179,-122.29279370014868,0.8934346437454224,387948,285.92929922,238257,37.83692896378928,-121.2652373610106,0.0504058413207531,332.10752336455283,65.79171315858156,302.12045996,103.29665233887866,2013-04-16 18:47:53.562000128+00:00,2013-04-16 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Tw3,,,2013-04-16
4,4,0,0,LC08_044033_20130603,-121.64702608232064,38.11529292637027,2013-06-03 18:47:43.687000064,0.03056,0.0318799999999999,0.0524775,0.0375725,0.50136,0.1911875,0.0825075,305.62734848,21824.0,0.1869020575,0.8605669541176306,0.7793726200598912,0.6696115965185419,305.62734848,3.697973906015037,0.98,0.98,-121.64707120275632,38.11527916199379,-0.8605669736862183,0.8605669736862183,1,1,-0.8104949556503488,-305.62734848,305.62734848,305.8397458410034,-305.8397458410034,305.8397458410034,0.7650274357410933,1.1846569497099906,18.906687123098944,484.81716671593057,932.6676002823724,0.7650274357410933,3.468039849016292,1.1846569497099906,343.8256996959173,610.4821258120777,47.84094006319026,0.1292789472311655,0.5544544647706515,130.27200461252446,10.85489520075228,1.2220248752713232,13.17811388688408,0.1292789472311655,0.5544544647706515,0.6563172439418776,0.1888524442911148,-56.53656005859375,0.6421802636807495,5.634281802229397,432.36918113636295,0.7684634400890336,0,-121.64702608232064,38.11529292637027,205.68465308322965,26.529198471742248,34.159265789463696,2.6947518374569674,353.42424518701114,38.50685220883666,-122.52643563309567,0.8689694404602051,500818,299.36895386000003,790277,39.75005350402478,-121.77812066831044,0.2164103239774704,506.6678671496889,139.92325689995678,327.5744549,159.7882319112257,2013-06-03 18:47:43.687000064+00:00,2013-06-03 19:00:00+00:00,2013-06-03,166.79951614676358,132.05082147916667,1.0370374087775398,0.8209954375000003,5.342729062500001,186.791451125,48.57690514583332,13.612168506958875,201306031200.0,201306031230.0,380.808803,16.768614,-9999.0,-24.676389,-9999.0,1.0,-9999.0,82.850914,87.503401,350.015133,0.0,1.0,240.796194,7.556405,0.683301,-0.010568,-0.539275,-264.948417,1.339096,0.693617,0.0,100.89,48.04,24.13,15.621644,28.885617,0.350626,5.425,25.39,35.696667,31.33,27.603333,22.616667,21.256667,684.50655,-9999.0,2068.888889,64.779874,1015.753938,219.2,335.148948,447.196337,-9999.0,-24.676389,8.797542,33.47393,87.503401,350.015133,CA,CRO,15.6,421.0,38.1151,-121.6467,-4.0,US-Tw3,2013-06-03 12:00:00,2013-06-03 12:00:00-07:00,2013-06-03
5,5,1,1,LC08_044033_20130619,-121.64702608232064,38.11529292637027,2013-06-19 18:47:36.573999872,0.01879,0.0227775,0.0413399999999999,0.03606,0.5250925,0.1531825,0.0667225,301.9905752,21824.0,0.18436158,0.8714787869607639,0.7784061561627286,0.6912755235463329,301.9905752,7.011123666922817,0.98,0.98,-121.64707120275632,38.11527916199379,-0.871478796005249,0.871478796005249,1,1,-0.8540337992611654,-301.9905752,301.9905752,302.2718570679743,-302.2718570679743,302.2718570679743,0.7766450847042015,0.8542163915424649,14.218738366909792,462.1497174057484,945.571007982755,0.7766450847042015,2.728834367437042,0.8542163915424649,294.403862102545,597.6101104036075,39.07233696721844,0.1460170975432502,0.3752250676732577,155.544958563939,13.921052223886374,1.840496356185952,19.47275038724645,0.1460170975432502,0.3752250676732577,0.4920491506343527,0.1322273463010788,-38.12810516357422,0.5964757457641353,5.488373189529545,402.99281487245,0.7215139853354006,1,-121.64702608232064,38.11529292637027,214.1372164499252,22.51960887179738,31.30334335186333,1.7934307390870456,364.82877404596354,39.52525953893298,-121.16813588168397,0.8731379508972168,447510,288.3526754,712020,38.78477018642137,-122.07385127638788,0.2156256437301635,427.9473114155304,119.79805089902962,321.22035572,155.6502636550579,2013-06-19 18:47:36.573999872+00:00,2013-06-19 19:00:00+00:00,2013-06-19,198.13943486983695,157.061411375,-15.469690665809058,-12.262533458333332,6.291745312499999,183.96188410416667,32.87126087499998,-4.999605412361259,201306191200.0,201306191230.0,394.625748,10.365208,-9999.0,-24.022458,-9999.0,1.0,-9999.0,73.094218,88.267919,423.766255,1.0,1.0,247.149176,3.059585,0.348813,-0.082637,-0.079117,-33.88294,1.519116,0.409834,0.0,101.82,38.68,22.91,17.127225,26.831014,0.508349,4.5395,24.3065,30.543333,27.37,24.866667,21.296667,21.03,692.997824,-9999.0,2108.888889,66.457023,1044.261065,217.2,307.897112,441.960353,-9999.0,-24.022458,9.058648,33.081106,88.267919,423.766255,CA,CRO,15.6,421.0,38.1151,-121.6467,-4.0,US-Tw3,2013-06-19 12:00:00,2013-06-19 12:00:00-07:00,2013-06-19
6,6,2,2,LC08_044034_20130603,-121.64702608232064,38.11529292637027,2013-06-03 18:48:07.578000128,0.0305324999999999,0.0318525,0.0524224999999999,0.0375725,0.5015525000000001,0.191215,0.082645,305.62734848,21824.0,0.1869502925,0.8606167400881057,0.7794871794871795,0.66976542764345,305.62734848,3.706296585324208,0.98,0.98,-121.64707120275632,38.11527916199379,-0.8606167435646057,0.8606167435646057,1,1,-0.8107405568843359,-305.62734848,305.62734848,305.7759423652636,-305.7759423652636,305.7759423652636,0.765562620232453,1.1847185291361937,18.90756074828611,484.81716671593057,937.9526156658608,0.765562620232453,3.469167361729618,1.1847185291361937,310.9675366290728,582.5331189965486,45.552475800895294,0.1293907612049631,0.5553075210546351,293.1973514964498,10.02943061227869,2.5273935994259844,13.157869837531194,0.1293907612049631,0.5553075210546351,0.6960334124715591,0.1829610019922256,-53.41767883300781,0.3620588521231404,3.328699954371922,243.78329169920352,0.4539889748137142,2,-121.64702608232064,38.11529292637027,205.70406256955303,26.5347196466921,34.14993874915075,2.6985801415093795,353.42424518701114,37.054200182039175,-121.87194952681465,0.8376744985580444,245643,291.96210452,413538,37.72472182612672,-121.48026357033903,0.1851321458816528,522.6552437813135,126.69652798686502,324.15985292,94.4019307059877,2013-06-03 18:48:07.578000128+00:00,2013-06-03 19:00:00+00:00,2013-06-03,166.79951614676358,132.05082147916667,1.0370374087775398,0.8209954375000003,5.342729062500001,186.791451125,48.57690514583332,13.612168506958875,201306031200.0,201306031230.0,380.808803,16.768614,-9999.0,-24.676389,-9999.0,1.0,-9999.0,82.850914,87.503401,350.015133,0.0,1.0,240.796194,7.556405,0.683301,-0.010568,-0.539275,-264.948417,1.339096,0.693617,0.0,100.89,48.04,24.13,15.621644,28.885617,0.350626,5.425,25.39,35.696667,31.33,27.603333,22.616667,21.256667,684.50655,-9999.0,2068.888889,64.779874,1015.753938,219.2,335.148948,447.196337,-9999.0,-24.676389,8.797542,33.47393,87.503401,350.015133,CA,CRO,15.6,421.0,38.1151,-121.6467,-4.0,US-Tw3,2013-06-03 12:00:00,2013-06-03 12:00:00-07:00,2013-06-03
7,7,3,3,LC08_044034_20130619,-121.64702608232064,38.11529292637027,2013-06-19 18:48:00.460999936,0.0189274999999999,0.0228325,0.0411475,0.03584,0.52501,0.1531,0.066475,301.9905752,21824.0,0.184276165,0.8721939912632611,0.7795258337350452,0.6916670594334732,301.9905752,7.011123666922817,0.98,0.98,-121.64707120275632,38.11527916199379,-0.8721939921379089,0.8721939921379089,1,1,-0.8546429218017955,-301.9905752,301.9905752,302.21748050585194,-302.21748050585194,302.21748050585194,0.7771202620087081,0.8539547150157937,14.215025971087274,462.1497174057484,950.2821757377436,0.7771202620087081,2.7302962356196785,0.8539547150157937,306.8432098940892,613.7244490153953,39.87494023461423,0.1463387519508327,0.3755343265634152,-1.5207081624142806e-60,2.189800261129021e+64,-32.742695456062165,19.456714246880303,0.1463387519508327,0.3755343265634152,1.6938131798183766e-33,-3.017729043960572,879.2677612304688,0.8493184860888432,7.607659007857791,573.8495087807811,1.0,3,-121.64702608232064,38.11529292637027,214.17423970595013,22.52843120092239,31.276998586271603,1.7943620224547503,364.82877404596354,37.18746754243908,-122.28265445377612,0.8573687672615051,435975,291.36736904,320109,36.63680346172578,-121.88678973554518,0.0247682407498359,797.1767770288318,55.62189658492703,289.45327784,215.7532094628469,2013-06-19 18:48:00.460999936+00:00,2013-06-19 19:00:00+00:00,2013-06-19,198.13943486983695,157.061411375,-15.469690665809058,-12.262533458333332,6.291745312499999,183.96188410416667,32.87126087499998,-4.999605412361259,201306191200.0,201306191230.0,394.625748,10.365208,-9999.0,-24.022458,-9999.0,1.0,-9999.0,73.094218,88.267919,423.766255,1.0,1.0,247.149176,3.059585,0.348813,-0.082637,-0.079117,-33.88294,1.519116,0.409834,0.0,101.82,38.68,22.91,17.127225,26.831014,0.508349,4.5395,24.3065,30.543333,27.37,24.866667,21.296667,21.03,692.997824,-9999.0,2108.888889,66.457023,1044.261065,217.2,307.897112,441.960353,-9999.0,-24.022458,9.058648,33.081106,88.267919,423.766255,CA,CRO,15.6,421.0,38.1151,-121.6467,-4.0,US-Tw3,2013-06-19 12:00:00,2013-06-19 12:00:00-07:00,2013-06-19
8,8,0,0,LC08_044033_20130705,-121.64702608232064,38.11529292637027,2013-07-05 18:47:40.033999872,0.0299274999999999,0.0394424999999999,0.0761,0.0731299999999999,0.4758675,0.24429,0.1138575,307.90716782,21824.0,0.197356265,0.7335871292674376,0.6219581595644383,0.575889122710016,307.90716782,1.80544170700539,0.968054417070054,0.9759579576331178,-121.64707120275632,38.11527916199379,-0.7335871458053589,0.7335871458053589,1,1,-0.7242591275754461,-307.90716782,307.90716782,308.27062556169733,-308.27062556169733,308.27062556169733,0.7581092981232309,1.3961864675560405,21.90764906791245,493.3578308205637,914.9962046770332,0.7581092981232309,3.101636529996005,1.3961864675560405,350.548314993845,580.4079851384907,76.7968818658612,0.0763442065487786,0.6433415348778984,195.02262305392617,9.474523471647712,1.609909151739437,11.357364145975366,0.0763442065487786,0.6433415348778984,0.7520214224967897,0.2097710072994232,-63.05633163452149,0.4594217046178336,4.523974227387804,308.5884802187033,0.6127515422384348,0,-121.64702608232064,38.11529292637027,206.6296633473632,24.6462377315605,45.01450940667889,3.351011338245621,356.22765622317763,38.87590838159289,-120.62369527433135,0.8902809023857117,485134,300.59602304,784861,38.99352816515574,-122.36524259818704,0.2047264128923416,518.6789460238973,140.58676418762053,326.9250311,128.2999090887181,2013-07-05 18:47:40.033999872+00:00,2013-07-05 19:00:00+00:00,2013-07-05,171.20556869983326,149.18737741666666,-6.663010144149903,-5.806102083333333,7.856389395833333,171.83669254166668,20.59902781250001,-0.5622554098500157,201307051200.0,201307051230.0,387.590606,15.317376,-9999.0,-20.793939,-9999.0,0.0,-9999.0,74.083155,96.934364,375.718798,1.0,0.0,259.144228,4.521251,0.460756,-0.038013,-0.235648,-73.659487,1.077235,0.494388,0.0,100.75,49.0,24.78,15.942032,29.230897,0.471627,4.259,23.1295,36.943333,33.253333,30.16,26.62,25.52,643.628505,-9999.0,2088.888889,133.12369,1023.255814,223.2,331.208505,487.635815,-9999.0,-20.793939,8.811674,29.605613,96.934364,375.718798,CA,CRO,15.6,421.0,38.1151,-121.6467,-4.0,US-Tw3,2013-07-05 12:00:00,2013-07-05 12:00:00-07:00,2013-07-05
9,9,1,1,LC08_044033_20130721,-121.64702608232064,38.11529292637027,2013-07-21 18:47:37.970000128,0.0215674999999999,0.027095,0.0556125,0.0371874999999999,0.5056225000000001,0.192315,0.0790699999999999,305.0497031,21824.0,0.18673692,0.8629815220795491,0.7676569203590873,0.673806829623805,305.0497031,3.9511351266685097,0.98,0.98,-121.64707120275632,38.11527916199379,-0.8629814982414246,0.8629814982414246,1,1,-0.8018209840797527,-305.0497031,305.0497031,305.4799589341802,-305.4799589341802,305.4799589341802,0.7550405234159879,1.439374954512964,22.52036263683445,481.1622655958784,897.5610879846992,0.7550405234159879,3.137109354667313,1.439374954512964,355.9020651121004,597.5750531165676,45.69669440268292,0.1323632002936333,0.4976320035112924,64.33517287622493,12.466333699605263,0.6935583586652427,14.682866114484533,0.1323632002936333,0.4976320035112924,0.575192939242141,0.1805464625358581,-54.45976638793945,0.7238742661101314,6.196086931546878,487.5431858376597,0.8834250847847093,1,-121.64702608232064,38.11529292637027,196.82782208192643,24.836776430640384,45.88220529741808,2.4108195785505355,338.5090732959269,39.227087253404974,-121.52762292791128,0.9305447340011596,548343,301.63851914,791584,38.86287008332638,-122.03687810526984,0.1762391775846481,399.6378258071742,124.61074365224184,328.49390228,175.72102537866945,2013-07-21 18:47:37.970000128+00:00,2013-07-21 19:00:00+00:00,2013-07-21,196.3111439865108,158.2346086875,-25.236442186250365,-20.341578541666667,9.337696854166667,175.10077327083332,27.870046270833303,-5.3116253835938,201307211200.0,201307211230.0,384.785688,16.486366,-9999.0,-26.806357,-9999.0,0.0,-9999.0,85.028483,68.130594,428.601442,2.0,0.0,255.638212,2.579582,0.320783,-0.089097,-0.112243,-31.426582,0.735295,0.344006,0.0,100.92,45.38,27.66,20.244173,32.274411,0.487339,4.028,20.6985,35.64,32.233333,29.313333,25.406667,24.843333,655.545379,-9999.0,1962.222222,75.471698,975.993998,202.8,354.969404,472.618024,-9999.0,-26.806357,8.862486,35.668843,68.130594,428.601442,CA,CRO,15.6,421.0,38.1151,-121.6467,-4.0,US-Tw3,2013-07-21 12:00:00,2013-07-21 12:00:00-07:00,2013-07-21
