,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,TAU,H_inst_af,LE_inst_af,FC,FH2O,SH,SLE,SC,WS,WS_MAX,WD,WD_SIGMA,USTAR,MO_LENGTH,ZL,T_SONIC,PA,CO2_MIXING_RATIO,CO2,H2O_MIXING_RATIO,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,FETCH_MAX,FETCH_70,FETCH_80,FETCH_90,TAU_SSITC_TEST,H_SSITC_TEST,LE_SSITC_TEST,FC_SSITC_TEST,TA_1_1_1,RH_1_1_1,Rn_inst_af,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,SWC_1_1_1,SWC_2_1_1,TS_1_1_1,TS_2_1_1,G_inst_af,G_2_1_1,T_CANOPY_1_1_1,P_RAIN_1_1_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_016032_20190208,-77.99968305752132,40.7558008725112,2019-02-08 15:51:59.453000192,,,,,,,,,,,,,,,,,,-77.99963991343148,40.75590280489118,,,1,1,,,,,,,0.7355897778162992,0.3293497530721697,6.560053688155179,,524.9353190295221,0.7355897778162992,0.6085300455890688,0.3293497530721697,242.85341765562788,,,,,,,,,,,,0.2131000310182571,-58.30500411987305,,,,,0,-77.99968305752132,40.7558008725112,,-0.0511491165594298,54.122184345614826,4.289189123633452,134.95677678819425,41.33659976906642,-78.71905728315318,0.6999491453170776,262552,273.6039191,414732,39.55557279252343,-77.65537263758225,0.3095373809337616,290.4713257075708,19.774060689654103,284.4903128,,2019-02-08 15:51:59.453000192+00:00,2019-02-08 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC2,,,2019-02-08
1,1,0,0,LC08_016032_20190312,-77.99968305752132,40.7558008725112,2019-03-12 15:51:50.600000000,,,,,,,,,,,,,,,,,,-77.99963991343148,40.75590280489118,,,1,1,,,,,,,0.7710116832096228,0.3247338954132763,6.49754575309978,,710.9923600346832,0.7710116832096228,0.6522277032805837,0.3247338954132763,239.4742969634575,,,,,,,,,,,,0.3606954216957092,-98.71110534667967,,,,,0,-77.99968305752132,40.7558008725112,,0.9051542867938734,49.78842416228649,2.4949570826933805,220.5872325042827,41.26196893984458,-78.24863770492253,0.8399536609649658,301293,273.66886148000003,428738,39.52187658906772,-77.33687602695173,0.2030411511659622,440.4449745104855,32.15408635864493,286.21299488,,2019-03-12 15:51:50.600000+00:00,2019-03-12 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC2,,,2019-03-12
2,2,1,1,LC08_016032_20190328,-77.99968305752132,40.7558008725112,2019-03-28 15:51:47.390000128,,,,,,,,,,,,,,,,,,-77.99963991343148,40.75590280489118,,,1,1,,,,,,,0.7695012721708485,0.5824537902001586,9.987588045626788,,784.6226456516196,0.7695012721708485,1.0751255973498657,0.5824537902001586,278.78621749586176,,,,,,,,,,,,0.6789889335632324,-192.982421875,,,,,1,-77.99968305752132,40.7558008725112,,8.032225286118937,54.1754183544583,1.907201846050793,192.6866949295142,39.96117164445733,-78.01094711090737,0.7680507302284241,221281,284.22028922,334068,39.77142956101629,-78.3192292941939,0.2604641914367676,535.524191531119,58.38223572578334,292.16034968,,2019-03-28 15:51:47.390000128+00:00,2019-03-28 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC2,,,2019-03-28
3,3,0,0,LC08_016032_20190413,-77.99968305752132,40.7558008725112,2019-04-13 15:51:42.414000128,0.0538799999999999,0.07005,0.1020875,0.1433924999999999,0.306,0.3938625,0.2616425,296.64479192,21824.0,0.1949814475,0.3618384819506334,0.2477292532511061,0.2569129732960815,296.64479192,0.3397624655304954,0.9533976246553048,0.9711212161362506,-77.99963991343148,40.75590280489118,-0.3618384897708893,0.3618384897708893,1,1,-0.4996783777988789,-296.64479192,296.64479192,299.7178190675808,-299.7178190675808,299.7178190675808,0.7678798019217976,0.8408959786360788,13.487411637284197,418.6046385609079,843.8837202360794,0.7678798019217976,1.759768949485556,0.8408959786360788,305.08636952437104,551.6060324011016,75.54325274690746,0.0127127596876457,0.2422373374632003,242.83687871810025,17.067211165736357,3.4659054220255285,30.16324468538629,0.0127127596876457,0.2422373374632003,0.3403466906911778,0.3820588886737823,-111.04395294189452,0.3443474593697146,2.132239987445105,233.22590093609395,0.4899057664317009,0,-77.99968305752132,40.7558008725112,122.82653122746514,15.488892549357688,47.78445368534904,1.549131647488738,230.9979983766976,41.26125925023421,-78.2736662259575,0.7676450610160828,242152,290.64616682,327837,39.588352053756026,-77.74499507272846,0.2870455682277679,471.18967121813233,84.15526614134023,305.04286706,60.47032604394317,2019-04-13 15:51:42.414000128+00:00,2019-04-13 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC2,,,2019-04-13
4,4,0,0,LC08_016032_20190515,-77.99968305752132,40.7558008725112,2019-05-15 15:51:48.504000000,0.059545,0.0749449999999999,0.119935,0.1646225,0.2839175,0.37332,0.27399,296.73366044,21824.0,0.1947492374999999,0.2659629018593659,0.1744522729466267,0.1886504522740211,296.73366044,0.1789219549918425,0.9517892195499184,0.9705904424514732,-77.99963991343148,40.75590280489118,-0.2659628987312317,0.2659628987312317,1,1,-0.4060455240465268,-296.73366044,296.73366044,299.7554027679031,-299.7554027679031,299.7554027679031,0.7746893490098428,0.941953960361152,14.855938620851315,418.39944159698007,922.8750681050512,0.7746893490098428,1.8282263950447697,0.941953960361152,304.9849497688952,615.0277980018598,85.34063761612575,0.0086622180943191,0.3812453108460433,308.8470574349274,13.285476216654729,3.432255390394104,19.16525626406884,0.0086622180943191,0.3812453108460433,0.4874832813790775,0.3851710259914398,-112.02484130859376,0.3260722573075624,2.36088934452155,220.84010295080665,0.4169255354235588,0,-77.99968305752132,40.7558008725112,159.797502043774,16.08537955270512,51.52282906068017,2.534892888388591,278.0727061062381,39.541693750137895,-78.28276824761733,0.8938257694244385,361298,290.84441198,705621,39.52180639491031,-77.34036342922626,0.2176968604326248,574.2491612973474,99.38829540065392,305.64102056,66.95482181063116,2019-05-15 15:51:48.504000+00:00,2019-05-15 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC2,,,2019-05-15
5,5,0,0,LC08_016032_20190702,-77.99968305752132,40.7558008725112,2019-07-02 15:52:08.515000064,0.030395,0.039415,0.0786025,0.0640824999999999,0.44031,0.23197,0.126315,291.73993322,21824.0,0.1853441825,0.7459022487447772,0.6150754401424282,0.5618732218729232,291.73993322,1.678134405536706,0.966781344055367,0.9755378435382712,-77.99963991343148,40.75590280489118,-0.7459022402763367,0.7459022402763367,1,1,-0.6970491171440271,-291.73993322,291.73993322,294.8953236073215,-294.8953236073215,294.8953236073215,0.7416539645227515,2.27195639433015,32.866828884306145,397.0953824455966,890.5829322228026,0.7416539645227515,3.662576277939408,2.27195639433015,364.96029429330633,681.2599880996427,53.371527031287286,0.0705613670574601,0.3986920631081734,-7.067273902186146e-34,3.539942817227741e+36,-2.0981342017936697,18.326585246961773,0.0705613670574601,0.3986920631081734,1.4403329878506222e-19,0.2551482021808624,-77.34014129638672,0.922739937012782,5.8170143573572055,627.8884610683554,1.0,0,-77.99968305752132,40.7558008725112,164.92712113617944,27.4594403732118,62.03164717728061,2.0974741224743423,269.1315138843594,39.906160416370575,-78.91129594792703,0.9393153190612792,285147,303.1185218,535841,40.61472944407503,-78.26314157470618,0.4864777028560638,488.0829222765005,120.98661284410734,320.14367942,164.97052717465036,2019-07-02 15:52:08.515000064+00:00,2019-07-02 16:00:00+00:00,2019-07-02,94.57180796077672,75.53613270833334,22.8372564571275,18.240510270833333,9.807522916666668,123.31850458333334,19.734338687499992,-3.898082751237542,201907021200.0,201907021230.0,-0.138998,57.8276,210.969,-31.9069,4.8183,1.02039,-9.41559,0.318175,3.19209,7.82407,267.75,21.4229,0.354157,-65.847,-0.0402,30.9297,97.212,391.604,382.899,24.6016,24.0109,1.27321,1.02234,0.412143,0.342494,24.6583,45.0832,53.9531,67.5428,1.0,0.0,0.0,0.0,29.6798,56.206,423.878,633.285,116.39,434.701,527.719,1281.85,40.3904,31.8148,29.4272,30.3229,94.2106,100.805,33.05,0.0,PA,CVM,10.1,1006.35,40.7559,-77.9998,396.0,US-UC2,2019-07-02 12:00:00,2019-07-02 12:00:00-04:00,2019-07-02
6,6,1,1,LC08_016032_20190718,-77.99968305752132,40.7558008725112,2019-07-18 15:52:11.024000000,,,,,,,,,,,,,,,,,,-77.99963991343148,40.75590280489118,,,1,1,,,,,,,0.7364989665206136,2.444002706733762,35.196679697951915,,871.6597490890223,0.7364989665206136,3.343556151502825,2.444002706733762,347.8925452059476,,,,,,,,,,,,0.4209471940994262,-126.01276397705078,,,,,1,-77.99968305752132,40.7558008725112,,25.90979052685091,73.09590735107764,1.2351786547305712,218.85258351892443,41.041604382306616,-78.11786128713997,0.9361956119537354,71907,299.35528178,112394,39.33395732947008,-77.34069734036218,0.5599504113197327,562.6395110149177,101.07706060637705,314.261267,,2019-07-18 15:52:11.024000+00:00,2019-07-18 16:00:00+00:00,2019-07-18,138.9446787625426,111.64607253333332,39.24889576473452,31.5376242,13.00461,176.83716708333336,20.64886035000005,-14.361017443943744,201907181200.0,201907181230.0,0.0763,70.3505,300.961,-38.8264,6.86557,2.84071,3.30625,-0.177904,0.556437,4.02563,129.467,65.4672,0.261818,-21.9046,-0.120979,29.6565,97.3646,388.256,378.676,27.9171,27.1589,0.586774,1.14354,0.283506,0.611073,26.1213,47.758,57.1541,71.5502,1.0,0.0,0.0,0.0,28.4763,68.2598,680.218,880.043,118.345,418.447,499.927,1710.42,41.8378,34.5832,28.4035,27.1099,47.9802,36.7469,30.13,0.0,PA,CVM,10.1,1006.35,40.7559,-77.9998,396.0,US-UC2,2019-07-18 12:00:00,2019-07-18 12:00:00-04:00,2019-07-18
7,7,0,0,LC08_016032_20190803,-77.99968305752132,40.7558008725112,2019-08-03 15:52:18.111000064,,,,,,,,,,,,,,,,,,-77.99963991343148,40.75590280489118,,,1,1,,,,,,,0.7371381235617658,2.2648162674612657,32.77013730072847,,852.9743353373576,0.7371381235617658,3.092056562889093,2.2648162674612657,347.5654161449234,,,,,,,,,,,,0.3074265420436859,-92.01399230957033,,,,,0,-77.99968305752132,40.7558008725112,,24.59445403257954,73.24627546092212,0.2916254466399561,240.15999328386903,39.66877023598139,-79.07301136676338,0.9235658645629884,166434,299.30401148,212116,39.41836252584639,-77.40310531237428,0.5928688049316406,507.2063478644191,98.7040883623443,318.90293816,,2019-08-03 15:52:18.111000064+00:00,2019-08-03 16:00:00+00:00,2019-08-03,72.38776784865749,56.9846619375,38.19459388075581,30.067317791666667,7.717694291666667,123.99546729166669,29.225793270833343,5.6954112705867175,201908031200.0,201908031230.0,0.0968,128.001,192.65,-37.7622,4.37896,3.19479,1.26154,-0.409314,0.423721,2.82058,166.557,80.3557,0.292489,-16.8133,-0.157613,25.6619,97.6777,379.717,371.376,24.9282,24.3219,0.567027,0.836863,0.282086,0.762168,28.6567,52.3936,62.7018,78.4952,1.0,1.0,1.0,1.0,24.7737,76.2589,537.166,718.585,110.874,411.854,482.399,1357.09,34.8448,27.2007,24.8792,24.9303,36.2217,33.5202,27.78,0.0,PA,CVM,10.1,1006.35,40.7559,-77.9998,396.0,US-UC2,2019-08-03 12:00:00,2019-08-03 12:00:00-04:00,2019-08-03
8,8,1,1,LC08_016032_20190819,-77.99968305752132,40.7558008725112,2019-08-19 15:52:23.246000128,0.0081475,0.0112549999999999,0.027095,0.0159024999999999,0.28312,0.08842,0.033365,300.32941748,21824.0,0.099597945,0.8936367664640622,0.5162136891986655,0.501645760914117,300.32941748,1.2547231830616292,0.9625472318306164,0.9741405865041034,-77.99963991343148,40.75590280489118,-0.8936367630958557,0.8936367630958557,1,1,-0.8253147010944021,-300.32941748,300.32941748,303.5515973155055,-303.5515973155055,303.5515973155055,0.7291298959456289,2.444287322911399,35.200533969652255,444.0139379799756,816.2178743697801,0.7291298959456289,3.256009929781454,2.444287322911399,339.2407154383281,617.4455249997068,31.938450997248854,0.0502999687241628,0.2649200929119953,98.81812817992048,18.605422012575414,1.572281015210038,27.580633848963007,0.0502999687241628,0.2649200929119953,0.3535349719203225,0.2499031275510788,-74.28621673583984,0.7212516305566413,4.184951488677424,486.6889458225375,0.8312264145599279,1,-77.99968305752132,40.7558008725112,141.5547753589746,25.46202355127146,75.07002053508668,1.453056537568301,220.10034597740824,40.792978450638216,-76.69606333790051,0.897391140460968,269915,297.26003552,323110,40.47189107941369,-78.83961624936023,0.6997432708740234,490.71877065070606,82.12048060262715,315.51226232,118.68522421889172,2019-08-19 15:52:23.246000128+00:00,2019-08-19 16:00:00+00:00,2019-08-19,124.72961388488052,91.59393870833333,11.288989712338276,8.289956166666666,7.480192291666666,164.00895166666666,56.6448645,20.510155777781197,201908191200.0,201908191230.0,-0.0929,45.7703,283.855,-31.415,6.47096,1.27494,-4.75169,-0.679986,0.967545,5.00664,306.72,61.3838,0.287854,-44.8351,-0.0591,28.902,97.7346,381.74,374.008,24.0255,23.4619,0.926079,1.02989,0.323076,0.507271,25.3828,46.4078,55.5383,69.5273,0.0,0.0,0.0,0.0,27.7793,61.6419,627.592,832.327,119.582,402.729,487.883,1593.27,44.5262,35.3278,26.0185,26.8925,60.5584,51.8394,28.11,0.0,PA,CVM,10.1,1006.35,40.7559,-77.9998,396.0,US-UC2,2019-08-19 12:00:00,2019-08-19 12:00:00-04:00,2019-08-19
9,9,0,0,LC08_016032_20190904,-77.99968305752132,40.7558008725112,2019-09-04 15:52:26.424000000,0.0178824999999999,0.0236025,0.0585824999999999,0.0363074999999999,0.5156875000000001,0.1885474999999999,0.0741474999999999,299.93634518,21824.0,0.1883371725,0.8684498953794872,0.7699578625630517,0.6835298646856688,299.93634518,4.959258807131378,0.98,0.98,-77.99963991343148,40.75590280489118,-0.868449866771698,0.868449866771698,1,1,-0.7959757605307609,-299.93634518,299.93634518,303.06211810436,-303.06211810436,303.06211810436,0.7314018162053083,2.029186251336642,29.5792361002457,449.7027208411018,780.6880741279721,0.7314018162053083,2.8732438686122945,2.029186251336642,345.9133930387675,522.9478939791296,35.9538461318982,0.1397972443896392,0.6303884956807547,137.5642064718607,9.795888025679112,1.1520848334241975,11.590731956408176,0.1397972443896392,0.6303884956807547,0.7315084818758533,0.2688971161842346,-80.34044647216797,0.5175934333511242,2.7828112929875832,349.4298413753707,0.7175238443262982,0,-77.99968305752132,40.7558008725112,109.0956441101511,23.37182305048568,70.62353020235238,3.031173322703246,196.553648699186,39.78905072832765,-78.85841501389028,0.8978870511054993,270960,298.7776364,429783,40.961226308784994,-76.8939317038528,0.5621746778488159,466.1252998131116,85.87340644464093,313.8340145,78.92052826912786,2019-09-04 15:52:26.424000+00:00,2019-09-04 16:00:00+00:00,2019-09-04,147.71639817204965,105.34536958333332,6.92870166440929,4.941270208333333,3.596450625,143.86057708333334,29.977486666666696,-14.380973378125589,201909041200.0,201909041230.0,-0.48635,97.0596,419.079,-42.9667,9.54938,1.20866,-7.21023,0.104057,3.60422,10.3829,257.267,22.9503,0.65905,-252.916,-0.0105,28.3035,97.3474,383.282,376.441,21.4497,20.9993,1.67812,1.32036,0.735144,0.378798,25.5083,46.6373,55.8129,69.8711,0.0,0.0,0.0,0.0,27.3242,56.4346,625.773,864.474,155.723,383.265,466.243,1627.9,41.8429,33.8868,22.4181,24.8155,34.4814,35.8792,26.68,0.0,PA,CVM,10.1,1006.35,40.7559,-77.9998,396.0,US-UC2,2019-09-04 12:00:00,2019-09-04 12:00:00-04:00,2019-09-04
