,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,FCH4,FC_SSITC_TEST,FCH4_SSITC_TEST,G_inst_af,H_inst_af,LE_inst_af,H_SSITC_TEST,LE_SSITC_TEST,WD,WS,USTAR,ZL,TAU,MO_LENGTH,V_SIGMA,W_SIGMA,TAU_SSITC_TEST_PI_F,PA,RH,TA,VPD_PI,T_SONIC,T_SONIC_SIGMA,TS_PI_1,TS_PI_2,TS_PI_3,TS_PI_4,TS_PI_5,WTD,Rn_inst_af,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,P,FC_PI_F,RECO_PI_F,GPP_PI_F,FCH4_PI_F,H_PI_F,LE_PI_F,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_044033_20160220,-121.75482391641498,38.03687000206664,2016-02-20 18:45:34.293999872,,,,,,,,,,,,,,,,,,-121.75482734431591,38.03698257995611,,,1,1,,,,,,,0.7136574992022773,1.0550431104689295,17.06960663126545,,578.7930694719479,0.7136574992022773,1.386999947388174,1.0550431104689295,264.4059389452816,,,,,,,,,,,,0.5983954668045044,-166.88746643066406,,,,,0,-121.75482391641498,38.03687000206664,,11.830886948932925,76.06655735320363,1.3215168141664175,163.63643787889458,38.828979042211465,-121.5552144132346,0.8054001927375793,142539,278.89159604,214563,38.82108278705873,-121.78793894271784,0.223782017827034,420.9394879079807,25.30914284002447,286.3018634,,2016-02-20 18:45:34.293999872+00:00,2016-02-20 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-02-20
1,1,1,1,LC08_044034_20160204,-121.75482391641498,38.03687000206664,2016-02-04 18:46:06.627000064,0.039635,0.0435949999999999,0.0622125,0.0563825,0.1799675,0.136765,0.10085,288.99526316000004,21824.0,0.0987884,0.5228897821028136,0.2593490304709141,0.2517518842941535,288.99526316000004,0.3267442996648447,0.9532674429966485,0.971078256188894,-121.75482734431591,38.03698257995611,-0.5228897929191589,0.5228897929191589,1,1,-0.4862292509703526,-288.99526316000004,288.99526316000004,289.33454591472355,-289.33454591472355,289.33454591472355,0.704617688810441,0.928884971723424,15.279596638675253,377.0168124974765,520.6023388115915,0.704617688810441,1.2930999362974585,0.928884971723424,278.7117975187072,357.8429367803176,24.31914098532768,0.0123493183684812,0.2164991418189919,253.53708185383567,17.616485397868118,3.589427639766427,33.74915955993891,0.0123493183684812,0.2164991418189919,0.3135202607909052,0.5142081379890442,-145.18875122070312,0.1169212033762641,0.520551247535263,79.98671394115422,0.239823109923828,1,-121.75482391641498,38.03687000206664,61.870809489056725,10.773726940634072,71.83396624263293,1.3886890874704758,155.74817297111628,37.84405285649921,-121.04687453028336,0.8916128277778625,224366,282.3540503,378765,37.34117036224988,-121.87884709849168,0.2248269170522689,358.8779489900664,29.149824431664385,291.67157282,14.76283338010006,2016-02-04 18:46:06.627000064+00:00,2016-02-04 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-02-04
2,2,2,2,LC08_044034_20160220,-121.75482391641498,38.03687000206664,2016-02-20 18:45:58.180999936,,,,,,,,,,,,,,,,,,-121.75482734431591,38.03698257995611,,,1,1,,,,,,,0.7172446958907754,1.0549825941723496,17.06874798848053,,597.4717166446168,0.7172446958907754,1.387661419039669,1.0549825941723496,271.62486394415373,,,,,,,,,,,,0.4539299607276916,-127.49559783935548,,,,,2,-121.75482391641498,38.03687000206664,,11.838108141289922,76.0259368529861,1.3204198105124216,163.63643787889458,37.97715195375218,-122.67435120704938,0.8390983939170837,104548,280.87062962,170172,37.496354887866126,-121.9345635954495,0.1476853042840957,382.1695114084896,35.399425945292194,291.6681548,,2016-02-20 18:45:58.180999936+00:00,2016-02-20 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-02-20
3,3,0,0,LC08_044033_20160323,-121.75482391641498,38.03687000206664,2016-03-23 18:45:25.806999808,0.021375,0.02429,0.04563,0.0368024999999999,0.24341,0.1116849999999999,0.058665,295.3254362,21824.0,0.10164576,0.7373243520542447,0.4028850278850279,0.3972139000592787,295.3254362,0.769978273428057,0.9576997827342806,0.9725409283023124,-121.75482734431591,38.03698257995611,-0.7373243570327759,0.7373243570327759,1,1,-0.6842651536119568,-295.3254362,295.3254362,295.6946643915026,-295.6946643915026,295.6946643915026,0.7473113439163612,0.9655858896617536,15.80033204663309,413.0625903125765,757.1855160359082,0.7473113439163612,1.767399919758718,0.9655858896617536,280.0498334229844,535.3618931088332,39.02907600486592,0.0279690179933757,0.2919814202816124,277.2577028962665,15.167824048259703,3.463019629319163,25.024414480866,0.0279690179933757,0.2919814202816124,0.4061577307567646,0.2927357256412506,-83.09737396240234,0.322199288121854,2.318043107338056,219.0751142077008,0.4413875259870453,0,-121.75482391641498,38.03687000206664,148.78483959675015,15.556380464291877,54.63312965373299,1.7148915712307482,256.9182302011858,39.14456298946482,-120.88959138498058,0.845410943031311,480471,283.86481514,721666,38.99360272309208,-122.3790986418603,0.2739768624305725,515.8725102574616,81.04437066179969,302.94420278,65.73970252410727,2016-03-23 18:45:25.806999808+00:00,2016-03-23 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-03-23
4,4,1,1,LC08_044034_20160307,-121.75482391641498,38.03687000206664,2016-03-07 18:45:57.362999808,,,,,,,,,,,,,,,,,,-121.75482734431591,38.03698257995611,,,1,1,,,,,,,0.7342722914835529,1.0221326130818769,16.602652063215142,,686.2126797150489,0.7342722914835529,1.360639681797727,1.0221326130818769,268.2158278505355,,,,,,,,,,,,0.4192813038825989,-117.58609771728516,,,,,1,-121.75482391641498,38.03687000206664,,11.54062366122766,75.12147607891295,1.6929620717293177,103.56958208022132,36.58560752250132,-121.44455261142942,0.9037368297576904,24547,280.44679514,46145,37.39629242730633,-121.87463725915602,0.1256169080734253,434.1178401090261,45.7234831059129,292.72432298,,2016-03-07 18:45:57.362999808+00:00,2016-03-07 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-03-07
5,5,2,2,LC08_044034_20160323,-121.75482391641498,38.03687000206664,2016-03-23 18:45:49.694000128,0.0221999999999999,0.02484,0.0460424999999999,0.03716,0.2422825,0.11196,0.058885,295.32201818,21824.0,0.1016617099999999,0.7340418869713805,0.4009611456339906,0.3947484901067109,295.32201818,0.7607637009746027,0.957607637009746,0.9725105202132162,-121.75482734431591,38.03698257995611,-0.7340418696403503,0.7340418696403503,1,1,-0.6806208271915374,-295.32201818,295.32201818,295.48290379001264,-295.48290379001264,295.48290379001264,0.74925691682352,0.965671220065723,15.801542767378466,413.00372667415513,771.5997893322449,0.74925691682352,1.768191088727924,0.965671220065723,294.86216685300707,562.5161714826156,40.91754739842994,0.0275841627157532,0.2915790233861507,249.040865372204,15.473308973620618,3.174162971235063,25.058949704219533,0.0275841627157532,0.2915790233861507,0.4019863240532139,0.4028752148151397,-115.86856842041016,0.4007757004497231,2.7504150021268887,272.5577587119817,0.5225430937256289,2,-121.75482391641498,38.03687000206664,149.14958241813554,15.56336290052128,54.61351016990184,1.7152017751057358,256.9182302011858,37.10141009149853,-122.11331174750828,0.8728580474853516,246237,287.60412902,424673,37.30754559554999,-121.8136738561095,0.0610486902296543,351.14819422794,56.59189599287591,298.25126132,78.00176946031856,2016-03-23 18:45:49.694000128+00:00,2016-03-23 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-03-23
6,6,0,0,LC08_044033_20160408,-121.75482391641498,38.03687000206664,2016-04-08 18:45:18.345999872,,,,,,,,,,,,,,,,,,-121.75482734431591,38.03698257995611,,,1,1,,,,,,,0.7489453711942493,1.2211179467862463,19.42597950963727,,820.0888170195154,0.7489453711942493,2.271727701896343,1.2211179467862463,294.3820163126494,,,,,,,,,,,,0.2969328463077545,-85.36156463623047,,,,,0,-121.75482391641498,38.03687000206664,,19.534378938591825,53.752830753743424,2.2285724419311967,226.76698163100764,37.86553189213893,-121.00572570683602,0.8234765529632568,252206,287.47766228,351445,38.691733219513246,-121.12336865336547,0.2295374572277069,512.0528676873897,87.88140107114731,307.12102322,,2016-04-08 18:45:18.345999872+00:00,2016-04-08 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-04-08
7,7,1,1,LC08_044033_20160424,-121.75482391641498,38.03687000206664,2016-04-24 18:45:11.151000064,0.0294599999999999,0.0338324999999999,0.0598199999999999,0.0504974999999999,0.3093275,0.1194675,0.059105,297.9914918,21824.0,0.1276702749999999,0.7193218925866742,0.4762916856434392,0.4515395574680895,297.9914918,0.9955154942115924,0.959955154942116,0.9732852011308982,-121.75482734431591,38.03698257995611,-0.7193219065666199,0.7193219065666199,1,1,-0.675901909128465,-297.9914918,297.9914918,298.20017443016263,-298.20017443016263,298.20017443016263,0.7591805189568596,1.1234666445031356,18.040442210067354,429.18986850242777,876.9216350925103,0.7591805189568596,2.076508253714888,1.1234666445031356,307.3156430227452,630.7841759984076,55.30222254003425,0.0379552408056567,0.361301179177921,163.51827225050562,14.568894495961086,1.991862082643209,20.22319467227886,0.0379552408056567,0.361301179177921,0.4625659107830133,0.2728176712989807,-79.36241912841797,0.6073531467411863,3.923763628644955,411.96368120786775,0.7158585577395808,1,-121.75482391641498,38.03687000206664,154.9109148193088,18.09621114797784,54.10364454334557,2.049026264662448,270.4990180593299,38.59973146641149,-122.43728494163972,0.8441157341003418,371836,290.8991003,585643,38.01507702657855,-121.4373790380867,0.1944157928228378,573.1986716672269,100.22535287160372,312.55567502,111.27793650837091,2016-04-24 18:45:11.151000064+00:00,2016-04-24 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-04-24
8,8,2,2,LC08_044034_20160424,-121.75482391641498,38.03687000206664,2016-04-24 18:45:35.038000128,0.0324575,0.03584,0.060645,0.0510475,0.307815,0.11856,0.0589675,298.00174586,21824.0,0.12797899,0.7155038489672227,0.4771565821749795,0.4484434353578133,298.00174586,0.981339416606594,0.959813394166066,0.9732384200748018,-121.75482734431591,38.03698257995611,-0.7155038714408875,0.7155038714408875,1,1,-0.6708190848396026,-298.00174586,298.00174586,298.0695362237626,-298.0695362237626,298.0695362237626,0.7602406365695293,1.123348218163997,18.03876190364756,429.18555717132745,886.464087031723,0.7602406365695293,2.077068841955169,1.123348218163997,303.1813583633366,634.8272799493961,55.80810273516671,0.0373005244060005,0.3609282024653005,143.91962650627704,14.819210520495224,1.7837802963863112,20.244092957910272,0.0373005244060005,0.3609282024653005,0.4576905598689789,0.2196599096059799,-63.69014739990234,0.6413810690918686,4.117397208772937,435.0995507079524,0.7514423836552331,2,-121.75482391641498,38.03687000206664,154.87750178061393,18.10050747999286,54.08334069017069,2.051067157359864,270.4990180593299,37.14878442305266,-121.9235824613385,0.8469942808151245,308860,289.94889074,217906,37.37078870784487,-121.95362125241464,0.0044453665614128,489.4325665593451,97.9803935573038,310.48777292,116.7693848408005,2016-04-24 18:45:35.038000128+00:00,2016-04-24 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-04-24
9,9,0,0,LC08_044033_20160510,-121.75482391641498,38.03687000206664,2016-05-10 18:45:13.731000064,0.03683,0.0446399999999999,0.0701324999999999,0.07016,0.2700575,0.131925,0.0715075,304.01746106,21824.0,0.12571662,0.5875579592466584,0.368483484396861,0.3568674182577725,304.01746106,0.628112068997043,0.9562811206899704,0.9720727698276902,-121.75482734431591,38.03698257995611,-0.5875579714775085,0.5875579714775085,1,1,-0.5876862929539376,-304.01746106,304.01746106,304.1840581614907,-304.1840581614907,304.1840581614907,0.7515098304412657,1.5382266198033323,23.92531422622386,463.1938151569824,896.7686914868315,0.7515098304412657,2.582842801644956,1.5382266198033323,321.8377176945461,628.6034808715448,81.50142661635901,0.022294726475724,0.2298388954604186,188.4804066303699,18.1455218223865,2.9165569390893467,31.79037241369492,0.022294726475724,0.2298388954604186,0.3264834355198427,0.2874243557453155,-84.51335144042969,0.5317884122091732,5.023307268330349,358.62164762481586,0.6554931476414149,0,-121.75482391641498,38.03687000206664,215.3317045026752,21.61704493656169,59.55556485372124,1.3843994354754428,331.01011434424095,39.13707378772576,-120.83497731077549,0.8914174437522888,461183,294.03684266,745428,38.6269573000254,-121.63854262890482,0.1494590938091278,562.1696524169488,112.2699667043375,316.51716020000003,142.4609941298487,2016-05-10 18:45:13.731000064+00:00,2016-05-10 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Sne,,,2016-05-10
