,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,FC,FC_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,H_inst_af,H_SSITC_TEST,G_inst_af,FETCH_MAX,FETCH_90,WD,WS,USTAR,ZL,TAU,TAU_SSITC_TEST,MO_LENGTH,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_1_2,VPD_PI,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_1_2,TS_1_1_3,SWC_1_1_1,SWC_1_1_2,Rn_inst_af,SW_IN_2_1_1,P_1_1_1,P_2_1_1,P_PI_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_028040_20210116,-99.95756287336845,29.35833587371635,2021-01-16 17:09:44.644000000,0.0553374999999999,0.0713424999999999,0.0951024999999999,0.1157,0.179775,0.2498449999999999,0.1915175,293.33956658,21824.0,0.13536769,0.2168542177849225,0.1196405648267008,0.1208240359533611,293.33956658,0.0394867023974989,0.9503948670239748,0.9701303061179116,-99.95771415558715,29.35835258968116,-0.2168542146682739,0.2168542146682739,1,1,-0.3080372165782941,-293.33956658,293.33956658,296.0978608533455,-296.0978608533455,296.0978608533455,0.7453049939328997,0.4106146035491748,7.707833774461887,398.99708682470987,601.3108785246317,0.7453049939328997,1.5712256036986492,0.4106146035491748,293.90085230287315,400.23758854479377,44.00629172272416,0.005916744375415,0.2567300905376721,291.665254827299,16.26734342779759,3.9064558826711817,28.46048963928066,0.005916744375415,0.2567300905376721,0.3527856714476173,0.4416176378726959,-126.85558319091795,0.0949958483385343,0.4818380620538341,64.56604199477061,0.1812475281390564,0,-99.95756287336845,29.35833587371635,75.2865347564016,13.734073580614854,26.1333956487593,1.7717564304444782,185.04428585688635,29.52722295356984,-98.97327184596342,0.6843488812446594,467763,287.25207296,800780,28.59718434544498,-99.70252064443928,0.1727492809295654,340.959977157811,46.48680705994452,296.5730135,13.664927439846736,2021-01-16 17:09:44.644000+00:00,2021-01-16 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-01-16
1,1,0,0,LC08_028040_20210201,-99.95756287336845,29.35833587371635,2021-02-01 17:09:42.710000128,0.0545125,0.0673274999999999,0.0879249999999999,0.1069275,0.169435,0.2488825,0.19622,298.2478433,21824.0,0.1293812975,0.2261793839612827,0.11965047112702,0.1207699367241462,298.2478433,0.0393822586383269,0.9503938225863832,0.9701299614535064,-99.95771415558715,29.35835258968116,-0.2261793911457061,0.2261793911457061,1,1,-0.3167158843643147,-298.2478433,298.2478433,301.0783075102651,-301.0783075102651,301.0783075102651,0.7492930026857547,0.5059547961806953,9.00991106952505,426.3791025699958,647.4621553650255,0.7492930026857547,1.635723603684349,0.5059547961806953,303.5014773489918,425.75948827007903,56.42418870071637,0.0059149457356928,0.0421143279757973,454.4154090546115,13.250442857333004,5.031290639557653,173.49592010676443,0.0059149457356928,0.0421143279757973,0.1053036630834232,0.4417603313922882,-127.97315979003906,-0.1257826233891922,-0.7485135565855621,-85.08010948524884,-0.2303600808924857,0,-99.95756287336845,29.35833587371635,91.57746091507276,14.354213276435026,30.931558060363542,0.2906496339983281,201.2023696975837,29.77865631464778,-99.94089562663127,0.6975670456886292,409654,289.68912122,699729,28.19184809073476,-100.13936172632302,0.2129377722740173,395.012177267598,57.7643870248401,299.90216498,-21.22784446476654,2021-02-01 17:09:42.710000128+00:00,2021-02-01 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-02-01
2,2,0,0,LC08_028040_20210305,-99.95756287336845,29.35833587371635,2021-03-05 17:09:31.779000064,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.7669013801927933,0.6047231347256566,10.358807138862211,,787.452728473268,0.7669013801927933,2.676509875104752,0.6047231347256566,322.63621360470654,,,,,,,,,,,,0.2321949005126953,-68.42941284179688,,,,,0,-99.95756287336845,29.35833587371635,,22.20108187348436,22.59371954314158,3.405613066040937,247.3439392562275,29.821214301546004,-100.140304117861,0.5548889636993408,217972,294.70677458,373277,28.3194169285882,-99.99690094432972,0.1785721182823181,454.6662617162776,86.62619380014213,307.6473983,,2021-03-05 17:09:31.779000064+00:00,2021-03-05 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-03-05
3,3,1,1,LC08_028040_20210321,-99.95756287336845,29.35833587371635,2021-03-21 17:09:23.796000000,0.0450524999999999,0.0571249999999999,0.0894375,0.0955699999999999,0.209915,0.2482225,0.180105,306.7074428,21824.0,0.1357769175,0.3743064307576477,0.2109845947756196,0.212936926199743,306.7074428,0.2334877193009305,0.9523348771930092,0.970770509473693,-99.95771415558715,29.35835258968116,-0.3743064403533935,0.3743064403533935,1,1,-0.4024603101694491,-306.7074428,306.7074428,309.5011473722229,-309.5011473722229,309.5011473722229,0.7582923573078209,1.0595373097331646,16.570282010105256,477.8262545701595,838.4979015626695,0.7582923573078209,2.097860402806214,1.0595373097331646,323.8330714410469,555.2205149099566,95.1083100552815,0.0099290102881693,0.5738499773250401,235.7902530510564,10.455961978535765,2.1540215926296185,12.732707799168148,0.0099290102881693,0.5738499773250401,0.6703486315140824,0.1455637216567993,-42.89812088012695,0.3343687501744871,2.686161768967392,224.3219518036187,0.4875374950648615,1,-99.95756287336845,29.35833587371635,154.01357202576492,18.25914088988782,50.50561554600435,3.763683839033667,271.7923087092076,29.778634197442265,-99.94399883500536,0.6293106079101562,454431,294.70335656,721105,28.55950527600842,-100.53031661142882,0.190798133611679,447.3221222950784,103.01014378949674,313.9878254,76.17954776791522,2021-03-21 17:09:23.796000+00:00,2021-03-21 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-03-21
4,4,0,0,LC08_028040_20210406,-99.95756287336845,29.35833587371635,2021-04-06 17:09:19.762000128,0.04497,0.060315,0.0892175,0.0954324999999999,0.23329,0.24759,0.1658049999999999,314.86967456,21824.0,0.1419762975,0.4193734837134666,0.254627278083667,0.2495241169390236,314.86967456,0.3211723538819583,0.9532117235388196,0.9710598687678104,-99.95771415558715,29.35835258968116,-0.419373482465744,0.419373482465744,1,1,-0.4467260451307334,-314.86967456,314.86967456,317.63117332377647,-317.63117332377647,317.63117332377647,0.7482669749585492,1.653788411306509,24.68607080356226,531.2461248068865,874.7862991808754,0.7482669749585492,3.237420538723683,1.653788411306509,354.075924510232,556.8505767785603,116.50487942687556,0.0121956681154195,0.6829119092161127,229.2297003282948,9.154773459876042,1.897708172314296,10.699277583584728,0.0121956681154195,0.6829119092161127,0.776914478351189,0.114359550178051,-34.426448822021484,0.3172053210850849,2.744480260653268,211.11599702338995,0.479432405705513,0,-99.95756287336845,29.35833587371635,158.74577047226504,25.36559672633452,51.08352132585459,4.386055865147923,270.07517139593665,29.66243364922229,-99.51016249327807,0.6371272802352905,461561,301.03694762,800955,28.50725918707567,-99.84906820660316,0.206534743309021,417.7416705856415,118.28211140142432,322.25601578,77.83346019212668,2021-04-06 17:09:19.762000128+00:00,2021-04-06 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-04-06
5,5,0,0,LC08_028040_20210508,-99.95756287336845,29.35833587371635,2021-05-08 17:09:05.423000064,0.0448325,0.0569049999999999,0.0965874999999999,0.091115,0.2901875,0.2537225,0.1644574999999999,315.09526388,21824.0,0.158436945,0.522085483310495,0.3529428972618769,0.3388266230947943,315.09526388,0.5701565759239574,0.9557015657592396,0.971881516700549,-99.95771415558715,29.35835258968116,-0.5220854878425598,0.5220854878425598,1,1,-0.5005494150345808,-315.09526388,315.09526388,317.83528630856006,-317.83528630856006,317.83528630856006,0.7500372312420938,1.910176832888948,28.187611268765867,534.1618387661953,926.1808300892706,0.7500372312420938,3.5290904683460944,1.910176832888948,383.1435913838313,611.4486602823129,125.96855194272062,0.0201450963362708,0.8048101501362366,173.6348179593226,8.12366303949988,1.279949756571213,9.078742459451025,0.0201450963362708,0.8048101501362366,0.8868310703804998,0.119120217859745,-36.580657958984375,0.4686470316734937,3.855132330240129,311.8452903802696,0.642344114667896,0,-99.95756287336845,29.35833587371635,166.4001134166629,26.825924019211087,54.126604291449375,4.901651595391834,291.07021327885246,29.260929150413567,-98.80906681816415,0.8126481771469116,317754,307.09026104,498011,28.42079205935211,-100.58558660162558,0.1929196119308471,416.9312598757127,136.29367282772225,325.79024846,109.33155288561004,2021-05-08 17:09:05.423000064+00:00,2021-05-08 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-05-08
6,6,0,0,LC08_028040_20210609,-99.95756287336845,29.35833587371635,2021-06-09 17:09:23.264000000,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.7331735697949229,2.842178022655492,40.916110705064085,,908.311359060792,0.7331735697949229,4.003455984902461,2.842178022655492,365.8558470365392,,,,,,,,,,,,0.148725152015686,-45.07067108154297,,,,,0,-99.95756287336845,29.35833587371635,,28.9904004714231,70.99311278489648,3.1347243736457955,238.1867117816257,28.70999058878377,-99.10187304519584,0.8379266858100891,88973,303.04674338,147750,28.21893928410401,-99.79235811559433,0.2806221544742584,463.35838349635833,129.34814991157148,321.77407496,,2021-06-09 17:09:23.264000+00:00,2021-06-09 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-06-09
7,7,1,1,LC08_028040_20210625,-99.95756287336845,29.35833587371635,2021-06-25 17:09:27.824999936,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.7412812410338045,2.380354376896262,34.608906294533234,,912.5280773861756,0.7412812410338045,4.611499092905812,2.380354376896262,384.5943682867921,,,,,,,,,,,,0.1837219446897506,-56.42173004150391,,,,,1,-99.95756287336845,29.35833587371635,,31.4596418675291,51.617799959196034,3.781644585190268,300.83028283922295,28.57647790741737,-98.883633350849,0.8296018242835999,311926,307.10393312,540025,28.469485462133207,-99.41024153031788,0.2284454107284546,438.8471065335912,129.779056163467,321.26478998,,2021-06-25 17:09:27.824999936+00:00,2021-06-25 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-06-25
8,8,0,0,LC08_028040_20210727,-99.95756287336845,29.35833587371635,2021-07-27 17:09:36.292000000,,,,,,,,,,,,,,,,,,-99.95771415558715,29.35835258968116,,,1,1,,,,,,,0.7414256824311465,2.2712603487247542,33.118990518318,,898.3476861579771,0.7414256824311465,4.574043925281621,2.2712603487247542,376.8070750200727,,,,,,,,,,,,0.2027292102575302,-61.942264556884766,,,,,0,-99.95756287336845,29.35833587371635,,31.31597880057994,49.6554118374566,1.4626775083922403,312.7476798132286,28.70730232516379,-99.07115574554072,0.7839369177818298,316034,305.54189798,552239,28.74888138671458,-100.76408365755368,0.240746796131134,427.8794745870405,132.14671571656106,324.20086916,,2021-07-27 17:09:36.292000+00:00,2021-07-27 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-07-27
9,9,0,0,LC08_028040_20210812,-99.95756287336845,29.35833587371635,2021-08-12 17:09:42.923000064,0.0542374999999999,0.0671625,0.1002449999999999,0.107945,0.26948,0.255895,0.1639625,317.44686164,21824.0,0.1587866625,0.4279923163542425,0.2857142857142857,0.2761518078468244,317.44686164,0.3896959515828692,0.9538969595158286,0.9712859966402234,-99.95771415558715,29.35835258968116,-0.4279923141002655,0.4279923141002655,1,1,-0.4577320981810806,-317.44686164,317.44686164,320.4486554376461,-320.4486554376461,320.4486554376461,0.7389220428440813,2.305875790802596,33.59173952316142,549.2482412555672,885.2254906509693,0.7389220428440813,4.497114913073295,2.305875790802596,393.39299405686,570.6716291006767,129.87007440206824,0.0141643527564279,0.4599631374111423,295.60723043749744,11.823507334523942,3.181002158857595,15.885325339251857,0.0141643527564279,0.4599631374111423,0.5710447787655943,0.2724223732948303,-84.11637878417969,0.2187642696157045,2.1157822568734748,145.19432426111103,0.3293870511876609,0,-99.95756287336845,29.35833587371635,177.6341473769715,31.01767496220957,51.27455791933004,2.908597738687892,305.14689655377674,28.844544346702435,-99.1336814026359,0.9249876737594604,365357,308.77192688,738234,29.365872782589715,-99.45953088066828,0.2628653347492218,480.5708113839673,136.47890084066344,323.39763446,60.00358480493174,2021-08-12 17:09:42.923000064+00:00,2021-08-12 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA5,,,2021-08-12
