,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,Relative humidity,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,Air temp,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,SWC_1_7_1,SWC_1_8_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_4_7_1,SWC_4_8_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,G_inst_af,G_2_1_1,G_3_1_1,Rn_inst_af,P,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-112.4555988425023,40.1771510822456,2019-07-28 06:00:00,161.65199459075927,187.17599729537963,2019-07-28,US-xNQ,0,47.68479594940441,52.67546278088772,65.55543150574394,72.41643009293364,-6.583305555555556,107.67652173913044,US-xNQ,189,1,1,LC08_038032_20190728,-112.45240982324368,40.17746549259505,2019-07-28 18:08:13.787000064,0.0845699999999999,0.0983474999999999,0.12835,0.1595075,0.25012,0.3502475,0.28389,322.38931856,21824.0,0.1894032925,0.2212070722790827,0.1541491621209426,0.14942242841163,322.38931856,0.0961366944130818,0.9509613669441308,0.9703172510915632,-112.4523151283058,40.17741493659698,-0.2212070673704147,0.2212070673704147,1,1,-0.3217428065632678,-322.38931856,322.38931856,334.41015581908016,-334.41015581908016,334.41015581908016,0.7826769675281606,1.107835726462547,14.998897642676038,582.4632242881436,914.1956338099172,0.7826769675281606,3.8029551194754623,1.107835726462547,317.82254445364646,460.81770780835245,146.49494195631618,0.0069483854737586,0.050361342318671,228.7626770081376,18.13544760064693,3.9967040421314017,145.08477624771578,0.0069483854737586,0.050361342318671,0.1098846464807229,0.0992205142974853,-29.183643341064453,0.1307167393960284,1.866161729568397,85.56008884389868,0.2722045557596521,1,-112.45240982324368,40.17746549259505,186.97462386844225,28.10433909196168,29.130917711575552,0.3421991964844784,338.3649512573971,40.595714946697086,-111.04171920378816,0.8448057174682617,489100,294.1291292,690756,39.92965107554436,-112.97682269956827,0.160208910703659,355.7336709035759,133.63155862654898,330.82499192,2019-07-28 18:08:13.787000064+00:00,2019-07-28 18:00:00+00:00,45048.0,201907281200.0,201907281230.0,412.599973969807,13.4706243472538,,,411.106382877813,12.1847606238532,,,410.917820693038,12.3652324573167,,,,,,,412.137601914013,13.6616813065183,2.0678171426177,5.28853518588371,58.1126283137469,29.2165019158085,0.857325528799667,2.38933614033495,,,124.862539347975,,0.345551463943344,219.646636891962,,183.48,83.4,0.823805152690145,2.38,,0.55,5.65,,2.24,84.41,,,28.6781,29.066,29.1353,,34.9698,83.94534,24.51,29.7932,,45.3,36.61,205.6,944.54,919.9,820.63,143.47,374.3,564.1,436.1,593.0,1889.86,1750.49,,1899.63,191.22,1745.37,1142.93,1766.39,26.82,,32.76,,20.77,,,20.91,,18.07,17.5,15.1,10.95,,,,,,,,,,,,16.34,,17.1,27.11,,,34.76,,,27.02,34.99,,,33.697,30.984,,25.086,25.62,22.174,,17.098,17.027,26.197,,23.357,24.723,23.796,20.766,,15.536,,31.599,,25.417,23.855,,21.522,17.186,,,33.426,30.886,,25.8,,,,17.138,,32.369,29.735,25.202,24.559,,51.208,8.197,42.419,611.27,0.05,,,,,US-xNQ,-112.4524,40.1776,1685.0,UT,MST,OSH,Dfb,9.0,288.31,2019-07-28 12:00:00,12:00:00,209,0.1518940436614648,0.1622185330138497,1.015686187977227,0.0,1137.4654622413157,0.8303900481855807,102.63634154866767,3.9317627110121856,0.9636750404690868,15.444134799883876,890.8414498758597,0.1,0.031926885322598,0.8583981983326971,1.164960506606773,-0.1246608865261777,-0.0689917867560004,0.8146199501165321,0.7146199501165321,0.7649244010960937,2019-07-28 12:00:00-06:00,US-xNQ,0.8583994019994415,1137.4670572229363,83.16664732971721,1659.000000000009,0.0,-0.35,2.5341502969210907,0.1926447142493154,0.1132892112171992,2.64743950813829,0.0553312796520159,0.2212468603487939,0.2664619637305624,531.6840376741112,26.01349305027716,338.41381841235244,51.4235142302092,41.378669037176,31.706183507079565,80.6360163582272,71.31479729270613,-103.7264441595138,112.9160528523436,91.5231036459984,20
1,1,1,-112.4555988425023,40.1771510822456,2020-05-11 06:00:00,235.38800540924072,345.99199459075925,2020-05-11,US-xNQ,1,40.9245100377666,39.7976476322508,97.58300033650548,94.89603806389266,8.344,133.98229166666667,US-xNQ,218,0,0,LC08_038032_20200511,-112.45240982324368,40.17746549259505,2020-05-11 18:07:36.167000064,0.089025,0.10514,0.138415,0.1663825,0.258865,0.3494225,0.2854575,318.1236296,21824.0,0.195874455,0.2174792326821439,0.1574320275634784,0.1499315048135769,318.1236296,0.0971720466456153,0.950971720466456,0.9703206677539306,-112.4523151283058,40.17741493659698,-0.2174792289733886,0.2174792289733886,1,1,-0.3031866693515908,-318.1236296,318.1236296,329.84228463096053,-329.84228463096053,329.84228463096053,0.8058081651532252,0.5156476580866249,8.103856169707893,552.248285928674,955.4516061745924,0.8058081651532252,3.1830343109594907,0.5156476580866249,311.0948898775759,511.8972002627966,152.00893221591502,0.0069682933344763,0.5720148400910143,292.5486632629929,10.303358131582955,2.860127663963258,12.773556855057162,0.0069682933344763,0.5720148400910143,0.6740309272244855,0.0784713923931121,-23.02305603027344,0.1024111808674624,1.1302156905018954,67.33960478388872,0.1871125312012576,0,-112.45240982324368,40.17746549259505,165.4894855916429,25.080686192935364,16.199877466328303,3.885688243268459,302.58586760513214,39.68732586595835,-111.86264041366825,0.8713452219963074,257721,293.3942549,387408,39.72933168487432,-112.35955338626512,0.112809918820858,425.8253460210123,139.15427627836678,317.1324038,2020-05-11 18:07:36.167000064+00:00,2020-05-11 18:00:00+00:00,58872.0,202005111200.0,202005111230.0,415.739278903259,6.35139407201856,414.652942140976,5.8039026047597,417.336927320755,6.32300751263391,414.572792661137,6.12781563422914,417.180993955836,6.14661850323149,414.257003457457,6.14691550212843,417.0872543,6.10369765027711,414.226827012248,6.00523394772768,416.912459061224,6.87797038250679,7.99796388919372,15.0148826910036,211.046394634424,23.8383127268091,0.972381128153536,-0.826413547028977,0.0149695732170224,-0.811443973811955,86.6359402349642,-3.72864943869017,0.629187119291009,290.904123988784,7.49037825805022,341.94,133.44,1.8036560189633,6.72,4.9,0.82,14.17,11.65,3.7,207.33,204.87,,23.9053,24.669,24.6767,25.624,29.2549,82.74958,15.7,25.103,44.61,49.21,33.29,194.2,980.58,998.9,974.72,160.35,317.2,550.0,395.9,612.9,1934.04,1880.03,1934.76,1957.66,207.42,1829.98,1172.1,1889.36,16.13,,,,19.13,,10.41,,,26.05,22.98,21.72,14.04,,,,,,,,,,,,,,18.19,29.67,,,28.05,,16.18,,,,,27.494,23.695,,18.012,16.777,13.028,,10.579,,22.443,,17.722,16.955,15.692,12.964,,10.48,,28.144,,18.856,16.781,,,10.618,,11.459,26.997,23.804,,18.898,20.016,,,11.243,,25.495,22.283,17.956,16.811,,35.122,15.615,39.342,587.43,0.0,,,,,US-xNQ,-112.4524,40.1776,1685.0,UT,MST,OSH,Dfb,9.0,288.31,2020-05-11 12:00:00,12:00:00,132,0.1635256684819188,0.1558151646752593,1.0101754943321235,0.0,1145.48558616487,0.8560387069408876,102.63634154866767,2.966998608438157,0.4658187815247906,5.2179072298509634,897.1226777015047,0.1,0.0156806864189385,0.8550957971515057,1.169459612982778,-0.124324590208872,-0.0685888810231896,0.8150249795428229,0.715024979542823,0.8008290900358807,2020-05-11 12:00:00-06:00,US-xNQ,0.855097013690848,1145.487215839915,83.16664732971722,1659.000000000001,0.0,-0.35,2.6485118523159703,0.2394679449205486,0.135255492480666,2.783767344796636,0.0553312796520159,0.1894739665945511,3.025349853690066,561.9462912352177,28.20720681381149,314.6000370734777,52.930204801922,44.033082191084006,33.447518416144,82.351073376404,69.18528286346655,-96.45084370046314,111.159553963906,90.810775996542,20
2,2,2,-112.4555988425023,40.1771510822456,2021-02-07 06:00:00,68.06400270462038,104.93200135231018,2021-02-07,US-xNQ,2,26.6057628088934,25.94364519536955,23.967692339576875,23.37122640219545,-1.8808444444444443,50.96604166666666,US-xNQ,246,0,0,LC08_038032_20210207,-112.45240982324368,40.17746549259505,2021-02-07 18:08:18.660000000,0.0670525,0.0802249999999999,0.1036,0.1276625,0.188685,0.267555,0.2166525,282.9522038,21824.0,0.14675258,0.1928970515019084,0.112756356836521,0.1121259635143121,282.9522038,0.0228204636627785,0.9502282046366276,0.9700753075300872,-112.4523151283058,40.17741493659698,-0.1928970515727996,0.1928970515727996,1,1,-0.2911028619327025,-282.9522038,282.9522038,294.7997137262713,-294.7997137262713,294.7997137262713,0.7513987703390547,0.368984686922003,6.396210705823169,345.3530526582876,534.9951670575156,0.7513987703390547,0.7627676168047375,0.368984686922003,227.3739006043141,327.1872866984709,34.562856296936864,0.0056344705965641,0.2015309321962523,169.5277920816425,19.924738700867355,2.779283655853259,36.2557945929795,0.0056344705965641,0.2015309321962523,0.2805447524363532,0.110162004828453,-29.69644355773925,0.180885181658764,0.8606630909961496,123.09663831989158,0.4206642560601674,0,-112.45240982324368,40.17746549259505,58.013561526717424,3.092726146287104,48.37445622923714,1.3973332078258136,166.0897870971354,39.75051303144736,-111.79584406958712,0.900355875492096,217178,269.5706555,352113,41.06654117709171,-112.8316121043496,0.0553366094827652,238.8352148174569,33.1211809960507,288.92690276,2021-02-07 18:08:18.660000+00:00,2021-02-07 18:00:00+00:00,71926.0,202102071100.0,202102071130.0,417.009354002584,2.45343704025087,,,417.994596276923,,,,417.891996352201,,,,418.067445,,,,418.137472872727,,4.5676862448631,10.9177537859159,268.722276242884,8.10125192511026,0.517241353878655,0.046207191570224,,,71.8480890973815,,0.530590153843547,144.757199818788,0.439956181016056,275.22,108.42,1.46201981778002,3.98,3.11,1.06,9.35,7.54,5.15,259.45,259.99,281.9,8.1585,,8.4577,8.8657,10.0064,82.92866,,,12.29,12.23,12.35,94.5,620.91,570.6,584.11,93.28,229.2,378.8,295.5,392.5,1167.65,1117.76,1086.37,1047.09,135.34,1107.69,556.16,1130.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.156,1.239,,2.354,4.64,,7.796,,0.497,0.401,0.967,1.454,2.68,5.524,,8.993,,7.335,,1.908,1.936,,,7.381,,9.904,4.87,1.369,0.855,,,,,8.859,,0.899,0.408,0.658,1.086,,,,,378.03,,,,,,US-xNQ,-112.4524,40.1776,1685.0,UT,MST,OSH,Dfb,9.0,288.31,2021-02-07 11:00:00,11:00:00,38,0.1502311123995426,-0.1352411689561072,0.9859232070569578,-0.2616666666666666,906.4690852740242,0.6849764764038255,102.63634154866767,1.0844045808825562,,,709.9303196783397,0.1,,0.6445708503343032,1.5514198314760208,,,,,,2021-02-07 11:00:00-07:00,US-xNQ,0.6445725404363092,906.471462088332,83.16664732971722,1659.000000000001,0.7535882779311567,0.6673441752070616,1.4830066030834332,0.2549582463511526,-0.2021214987806681,1.2808851043027651,0.0553312796520159,0.0540905697255361,1.0967330707855516,149.9054864571092,55.89154954600018,218.0269687189536,36.122385717617504,29.31384831368,22.69984054985497,53.388836574003,54.58064582898708,-82.3681963163453,75.705276887709,61.3023023337795,20
3,3,3,-112.4555988425023,40.1771510822456,2021-04-12 06:00:00,102.09599729537965,141.8,2021-04-12,US-xNQ,3,8.861997894529598,7.074350427068158,102.62137730077475,81.92053225178452,3.3371395348837205,135.73893617021275,US-xNQ,252,0,0,LC08_038032_20210412,-112.45240982324368,40.17746549259505,2021-04-12 18:07:54.572999936,0.0866325,0.1002175,0.1309624999999999,0.1581325,0.2230599999999999,0.3221974999999999,0.282625,307.64398028,21824.0,0.1793261649999999,0.1703273280560346,0.114290969996805,0.1105221049884105,307.64398028,0.0197747470110345,0.9501977474701104,0.9700652566651364,-112.4523151283058,40.17741493659698,-0.1703273206949234,0.1703273206949234,1,1,-0.2601458946818352,-307.64398028,307.64398028,319.352411258728,-319.352411258728,319.352411258728,0.808508437630913,0.2998777889082484,5.591576243700676,482.6038051411812,887.7364924773196,0.808508437630913,1.0686195632748552,0.2998777889082484,281.1531905070244,513.0894349234387,121.44057611677115,0.0055839114583238,0.2613160835563152,342.34755567843433,15.592881719435978,4.803538239769502,27.96101939995734,0.0055839114583238,0.2613160835563152,0.3618084689706905,0.1447403877973556,-41.419654846191406,0.0742018880766262,0.7773677745065218,49.30130312823326,0.1258813909951164,0,-112.45240982324368,40.17746549259505,170.96105955560716,7.943113356326376,28.06216535932144,1.813417812540465,315.3948817885664,39.972370810691295,-111.1397051897999,0.4756874442100525,380252,286.1651426,612450,39.69598642688882,-112.36799594096374,0.0643592700362205,393.424440706862,114.70617061221864,310.1938232,2021-04-12 18:07:54.572999936+00:00,2021-04-12 18:00:00+00:00,75000.0,202104121200.0,202104121230.0,420.954687273448,3.57765973727177,422.57156056677,3.29530869282553,420.137397212355,,422.752449288801,3.28871151024177,420.070166432602,,422.735871160304,3.33070887256122,420.1315217875,,422.570965951831,3.4009165030558,420.0068265,,2.6535390260057,7.95942527211042,39.2626886603812,8.28639820215682,0.989336970558803,,-0.0164115265782868,,19.0863605101293,-0.382596896367017,0.382503118897856,253.668077439111,,158.46,66.72,1.74457904879796,2.77,2.39,1.17,7.84,7.11,4.07,,,,8.1696,8.657,8.644,,12.7103,83.20815,29.35,7.6964,33.16,38.7,16.82,128.7,992.49,861.0,963.41,158.39,247.5,488.6,321.5,555.4,1980.42,1902.95,1912.97,1772.73,225.89,2041.16,1315.61,2053.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.455,11.272,,10.922,8.903,,8.528,,11.966,10.463,9.898,10.27,10.842,,,9.18,,19.818,,11.165,10.341,,,8.377,,9.963,17.55,14.12,10.761,,,,,9.444,,18.336,14.503,10.215,9.943,,45.61,13.111,33.866,593.0,0.0,,,,,US-xNQ,-112.4524,40.1776,1685.0,UT,MST,OSH,Dfb,9.0,288.31,2021-04-12 12:00:00,12:00:00,102,0.1595885097079063,0.0722750532170526,1.0021285119587149,0.0,1101.0073339257394,0.9014381370750628,102.63634154866767,1.0852235972107418,0.3185131257813527,3.557752742767377,862.2883946506056,0.1,0.0113217068442621,0.8088510143838995,1.2363216243991464,-0.1242343593316762,-0.0684807783297377,0.8114774938392569,0.711477493839257,0.8048856377234245,2021-04-12 12:00:00-06:00,US-xNQ,0.8088523941009577,1101.0092119954616,83.16664732971724,1659.000000000001,0.0,-0.35,2.46080555714713,0.2633344623536646,0.1173834131428669,2.5781889702899967,0.0553312796520159,0.0728117439097201,1.4237772645971445,337.8751829981702,14.89741171924442,272.5187492707776,48.6485117116271,40.28982476741947,30.8313105937109,68.62306624125677,52.40017715361579,-80.03231849342146,99.12212133626528,86.947879926635,20
4,4,4,-112.4555988425023,40.1771510822456,2021-09-03 06:00:00,133.2919945907593,178.66800540924072,2021-09-03,US-xNQ,4,53.21321517948894,36.54272369723051,60.98045873355453,41.87666629265402,1.145021739130435,115.33869565217393,US-xNQ,267,0,0,LC08_038032_20210903,-112.45240982324368,40.17746549259505,2021-09-03 18:08:26.500000000,0.1042325,0.12153,0.16168,0.1959175,0.27751,0.369415,0.3312449999999999,312.20020094,21824.0,0.2177009849999999,0.1723442343336624,0.1323230341087483,0.1257297025202184,312.20020094,0.0489990652253188,0.9504899906522531,0.9701616969152436,-112.4523151283058,40.17741493659698,-0.1723442375659942,0.1723442375659942,1,1,-0.2637355131036681,-312.20020094,312.20020094,324.05841158286603,-324.05841158286603,324.05841158286603,0.7688788079049661,1.2097318905472465,16.185308370651693,511.9921704809153,821.557029871636,0.7688788079049661,2.973423647843738,1.2097318905472465,311.5304439328455,426.81765349561374,117.4715725741672,0.0060821375635662,0.2360282578583227,170.79173878635658,18.62021740454516,2.941965411090237,30.95673436790297,0.0060821375635662,0.2360282578583227,0.3183984362708639,0.0923489704728126,-26.984495162963867,0.2095071126579632,2.255195369019546,138.55434213508994,0.4478942863034802,0,-112.45240982324368,40.17746549259505,138.74545838159224,23.94131823436312,40.68481433597657,1.6245816946681315,283.6356452848641,40.67304037013877,-111.7460115610108,0.8045452833175659,408837,292.20136592,623345,39.5138914861381,-112.04754592072835,0.1034823730587959,290.22744677778866,102.98682214597616,320.05822892000003,2021-09-03 18:08:26.500000+00:00,2021-09-03 18:00:00+00:00,81912.0,202109031200.0,202109031230.0,411.680332803587,9.52762236806801,411.627956392602,9.10861830542974,412.030546603834,9.22637848201998,411.677406730192,9.10755064574377,411.705248918455,9.92100002141849,411.504564158188,8.53632692736219,411.759129809524,10.821832521478,411.1581859101,9.22273908024505,411.401800739683,10.7965166615351,2.33474432048236,7.01889962864301,22.1556127894435,24.043344473672,0.795675207075387,-0.944773183382009,-0.0575312219017243,-1.00230440528373,79.425201054185,-3.23879413189954,0.463696210723907,171.980077218068,,216.84,91.74,1.19036514093115,2.77,2.45,0.88,7.48,6.32,2.7,,,,23.8564,,24.2313,,26.9491,83.76924,,,38.49,42.84,28.1,150.6,899.07,845.4,872.14,160.66,329.8,533.0,394.2,575.5,1845.78,1744.87,1778.98,1662.16,221.68,1786.8,1177.0,1790.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.763,21.002,,21.05,,,17.199,,23.165,21.262,20.008,20.211,20.572,,,16.081,,30.656,,21.79,20.656,,,17.363,,18.685,29.455,25.469,21.152,,,,,17.082,,28.571,24.824,20.136,19.568,,56.095,17.379,7.963,535.21,,,,,,US-xNQ,-112.4524,40.1776,1685.0,UT,MST,OSH,Dfb,9.0,288.31,2021-09-03 12:00:00,12:00:00,246,0.1786957633999577,0.059152071934168,1.008717957018746,0.0,1076.2094974111296,0.8354042611245798,102.63634154866767,2.958295070049032,,,842.8672319749255,0.1,,0.8010650977338378,1.2483379975347026,,,,,,2021-09-03 12:00:00-06:00,US-xNQ,0.8010665022374246,1076.2113843240704,83.16664732971724,1659.000000000001,0.974717012009878,0.9658679662133351,2.277356086804175,0.1860170624558486,-0.2855357920365713,1.991820294767604,0.0553312796520159,0.1785438979548851,1.2714866288253803,385.5993107002117,47.89475528070875,331.588017248556,61.16548286766245,50.4765284879792,37.9416904202382,86.63867776285939,53.805904589819846,-82.33828018597919,115.3314372302501,103.41475556037028,20
