,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,ALB,CO2,FC,FC_SSITC_TEST,FETCH_70,FETCH_90,FETCH_MAX,G_inst_af,G_2_1_1,H_inst_af,H2O,H_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,LW_IN,LW_OUT,MO_LENGTH,Rn_inst_af,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_6_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_6_1,SW_IN,SW_OUT,TAU,TAU_SSITC_TEST,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD_PI,V_SIGMA,WD,WS,WS_MAX,W_SIGMA,ZL,PPFD_IN_PI_F,TA_1_1_2,SWC_1_5_1,TS_1_5_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_022032_20130329,-88.19601068991994,40.06454726138122,2013-03-29 16:32:20.114000128,,,,,,,,,,,,,,,,,,-88.19594001510453,40.06466847958317,,,1,1,,,,,,,0.7688668752344956,0.5790928224488158,10.100287392609664,,792.8228272307242,0.7688668752344956,1.0808715693811477,0.5790928224488158,134.63044457898954,,,,,,,,,,,,0.5536047220230103,-131.15721130371094,,,,,0,-88.19601068991994,40.06454726138122,,8.110532913694579,53.57646910635045,1.448971459792488,186.66184606556675,40.2180691360721,-87.28441275570252,0.4525368511676788,205493,236.91489242,309917,41.0260384078948,-87.21577654168067,0.1469818949699401,680.3420320897386,-71.31850894937499,246.5673809,,2013-03-29 16:32:20.114000128+00:00,2013-03-29 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-03-29
1,1,0,0,LC08_022032_20130422,-88.19601068991994,40.06454726138122,2013-04-22 16:31:05.523000064,0.0704075,0.0897399999999999,0.1279374999999999,0.17092,0.2983275,0.41369,0.29984,298.62040748,21824.0,0.209635565,0.2715144992780995,0.1929484082693364,0.197174870195693,298.62040748,0.1977671780873884,0.951977671780874,0.9706526316876884,-88.19594001510453,40.06466847958317,-0.2715145051479339,0.2715145051479339,1,1,-0.3997278688140008,-298.62040748,298.62040748,300.6257787508594,-300.6257787508594,300.6257787508594,0.771190193272,0.819413518390449,13.420367627406502,429.2277148185637,878.7628931213007,0.771190193272,1.7480587788205808,0.819413518390449,320.42461616796925,570.3523027830822,83.41296303562915,0.0090873019548381,0.3746056144575079,712.1232202986375,11.64814707573442,6.870431602150347,19.50495080651764,0.0090873019548381,0.3746056144575079,0.5111102942883071,1.0931940078735352,-321.7718505859375,-0.332766344304299,-2.66115579328331,-225.18388055118447,-0.4624475004791648,0,-88.19601068991994,40.06454726138122,162.25366876864777,15.384827797202504,46.875627314048856,2.4788691405774643,307.7523125420196,39.7754189163763,-87.61117028217984,0.7794791460037231,507319,294.34104644,722575,40.909510669187,-87.996591424424,0.2224482148885727,632.7649701826031,83.50165823308117,299.32451960000003,-75.47037829751467,2013-04-22 16:31:05.523000064+00:00,2013-04-22 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-04-22
2,2,1,1,LC08_023032_20130413,-88.19601068991994,40.06454726138122,2013-04-13 16:37:17.976000000,,,,,,,,,,,,,,,,,,-88.19594001510453,40.06466847958317,,,1,1,,,,,,,0.7822354971097145,0.4883970257218667,8.8473061588776,,864.4643074876243,0.7822354971097145,0.9825207775052032,0.4883970257218667,287.4953149172504,,,,,,,,,,,,0.807466447353363,-231.60693359375,,,,,1,-88.19601068991994,40.06454726138122,,6.716485485905721,49.70856972226019,4.93753486323217,253.98065601760368,40.42184705539504,-88.87624021943168,0.6127058267593384,163287,286.8316565,243598,39.826721684752464,-89.31072275407672,0.2326677292585373,641.0689045642741,62.0909740474286,292.044137,,2013-04-13 16:37:17.976000+00:00,2013-04-13 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-04-13
3,3,2,2,LC08_023032_20130429,-88.19601068991994,40.06454726138122,2013-04-29 16:37:16.072000000,0.0224199999999999,0.039415,0.0681249999999999,0.0877049999999999,0.1627799999999999,0.1837075,0.1081099999999999,296.66188202,21824.0,0.10309831,0.2997185460207198,0.1346977441828337,0.1500529657488157,296.66188202,0.0974192163429616,0.9509741921634296,0.9703214834139318,-88.19594001510453,40.06466847958317,-0.2997185587882995,0.2997185587882995,1,1,-0.4099304908945237,-296.66188202,296.66188202,298.68572235483566,-298.68572235483566,298.68572235483566,0.7578162167399858,1.285192933101319,19.855206801359216,417.6368199360562,880.0362460215172,0.7578162167399858,2.128062616448567,1.285192933101319,312.74617526078805,669.0827177527287,77.34341870949537,0.0069730515881992,0.4164744379180827,159.89267601563526,13.69808608536468,1.8358285879401703,17.544087743690447,0.0069730515881992,0.4164744379180827,0.5000361163242517,0.2801629602909088,-81.8448486328125,0.6369653671638537,4.860355240679712,431.84662302759807,0.7297920278843043,2,-88.19601068991994,40.06454726138122,188.1357652684512,18.487140778576563,60.392627696553525,2.828916482808284,293.4904261963155,40.89194409743059,-88.08642667860059,0.7285245656967163,450869,292.13300552,682037,40.49562578560365,-89.78660639393635,0.2349881529808044,511.81958011834695,93.94037740695948,305.65127462,137.83967462567662,2013-04-29 16:37:16.072000+00:00,2013-04-29 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-04-29
4,4,0,0,LC08_022032_20130524,-88.19601068991994,40.06454726138122,2013-05-24 16:31:21.687000064,0.0393324999999999,0.042825,0.0735974999999999,0.0581424999999999,0.3756575,0.2328225,0.12802,297.65310782,21824.0,0.16710962,0.7319386814200093,0.565647658240251,0.510036945812808,297.65310782,1.3048032544975232,0.9630480325449752,0.9743058507398418,-88.19594001510453,40.06466847958317,-0.7319386601448059,0.7319386601448059,1,1,-0.6723575697543712,-297.65310782,297.65310782,299.6720870597516,-299.6720870597516,299.6720870597516,0.778125475727359,0.8409691718955363,13.718163449235144,428.6202575243507,938.5789952158908,0.778125475727359,1.5533725700283851,0.8409691718955363,302.5062580655476,644.441215123599,61.87206793403176,0.0527288589830104,0.4490569669275633,274.7855412405062,11.844205252477911,2.72897909136124,16.271129544723507,0.0527288589830104,0.4490569669275633,0.5739492012169949,0.2932431697845459,-85.14781951904297,0.4544084051095797,3.995171234876025,307.7836059490611,0.5283211571259346,0,-88.19601068991994,40.06454726138122,213.4151673002132,13.558473809803392,54.13827874404716,2.4490118930526537,356.2695004925314,40.75572694203784,-86.25211715971712,0.9119532108306884,512147,290.36588918,739688,39.773793774601245,-87.24614451982872,0.1624730676412582,506.9092404317395,103.28363314570544,307.30217828,113.30305622108406,2013-05-24 16:31:21.687000064+00:00,2013-05-24 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-05-24
5,5,1,1,LC08_023032_20130515,-88.19601068991994,40.06454726138122,2013-05-15 16:37:28.171000064,0.048325,0.0614974999999999,0.1007124999999999,0.112455,0.308145,0.3258275,0.215855,307.3055963,21824.0,0.178842275,0.4652639087018544,0.3215108661275018,0.3188518357592874,307.3055963,0.5093639444910947,0.9550936394449108,0.9716809010168206,-88.19594001510453,40.06466847958317,-0.4652639031410217,0.4652639031410217,1,1,-0.5073466916957621,-307.3055963,307.3055963,309.3473949425111,-309.3473949425111,309.3473949425111,0.7525808307069157,1.6217153248915952,24.504333407670345,482.9596949747752,899.669473328541,0.7525808307069157,3.2588283658164445,1.6217153248915952,353.61506320688375,593.5463406764425,105.0211440713814,0.01800595607015,0.7351813992801033,250.9882688048366,8.551550986526468,1.8761865545477008,9.93858670661929,0.01800595607015,0.7351813992801033,0.8343467609900379,0.2267884463071823,-68.28022766113281,0.3540134568738123,3.1631553719301144,237.53692780022448,0.4862327049883093,1,-88.19601068991994,40.06454726138122,181.8764548305631,25.47660141138277,49.763753804975295,4.532198479467115,296.0230320286463,39.47981208714791,-88.10807613646084,0.8873533606529236,203736,301.07454584,268779,40.17312089468702,-88.55404541780695,0.2319231927394867,510.4207668522099,120.61516750094098,315.03715754,89.70708634793804,2013-05-15 16:37:28.171000064+00:00,2013-05-15 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-05-15
6,6,0,0,LC08_022032_20130609,-88.19601068991994,40.06454726138122,2013-06-09 16:31:20.016000000,0.0162599999999999,0.0383975,0.1113275,0.085945,0.5310600000000001,0.2808375,0.1739725,289.89078440000003,21824.0,0.2247846,0.7214123062211815,0.6327154461374884,0.5977345669894047,289.89078440000003,2.03895931039962,0.9703895931039962,0.9767285657243188,-88.19594001510453,40.06466847958317,-0.7214123010635376,0.7214123010635376,1,1,-0.6533945632503746,-289.89078440000003,289.89078440000003,291.9270750543254,-291.9270750543254,291.9270750543254,0.7535240860702713,1.6852763003994062,25.382441460998976,388.56781639901527,914.22396273243,0.7535240860702713,3.026785356058171,1.6852763003994062,306.41005216021455,617.4898043989155,46.53189014577568,0.0863167392815253,0.7148713636561511,33.436929005185625,9.621214187929509,0.2643416986155955,10.220949464907456,0.0863167392815253,0.7148713636561511,0.7560947612692798,0.1864674687385559,-54.17056274414063,0.7876831863121955,3.62030374346633,537.5209852479541,0.941437138937072,0,-88.19601068991994,40.06454726138122,109.34181778558288,24.237863608442066,55.67875161766236,3.665511303908077,208.9902531621035,40.28449662650092,-87.77172091283686,0.8023450970649719,79548,290.50944602,113613,40.57190760482103,-86.91481903248231,0.2530248761177063,517.4025997197394,110.92868765236574,312.33692174,102.67181416470513,2013-06-09 16:31:20.016000+00:00,2013-06-09 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-06-09
7,7,1,1,LC08_022032_20130625,-88.19601068991994,40.06454726138122,2013-06-25 16:31:15.316999936,0.0169749999999999,0.02781,0.0698575,0.0435125,0.4944575,0.182415,0.08039,297.2566175,21824.0,0.18524653,0.8382344740413034,0.7287611327395872,0.6516734587704848,297.2566175,3.004373514528344,0.98,0.98,-88.19594001510453,40.06466847958317,-0.8382344841957092,0.8382344841957092,1,1,-0.7524166467309923,-297.2566175,297.2566175,299.3628942624424,-299.3628942624424,299.3628942624424,0.7325012870957404,2.670247749720021,38.99002622566195,433.84566375346304,885.1967655401245,0.7325012870957404,3.966256985022597,2.670247749720021,348.524847149297,628.925822809441,44.00188676377914,0.1168814434570222,0.8019501373201591,-0.2735972096214353,9.118696002569642,-0.002111724188893,9.111120182927277,0.1168814434570222,0.8019501373201591,0.801299243285233,0.2228117138147354,-66.70367431640625,0.8633169469800779,5.453131355400515,584.9239360456619,1.0,1,-88.19601068991994,40.06454726138122,153.9443821555767,28.82897230099559,67.32412346964473,3.951129499888279,262.6223048078403,40.09015827395567,-87.30992146629679,0.8703570365905762,311704,299.37237188,493180,40.08406654684817,-86.93302440354084,0.4222790896892547,499.12237265945146,113.9019994458507,314.52445454,154.6508052391586,2013-06-25 16:31:15.316999936+00:00,2013-06-25 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-06-25
8,8,0,0,LC08_022032_20130711,-88.19601068991994,40.06454726138122,2013-07-11 16:31:18.348999936,0.03661,0.036555,0.065155,0.0326225,0.6245050000000001,0.2040025,0.0841575,301.21810268,21824.0,0.22520513,0.9007118101129538,0.9570712011525944,0.7672652754342111,301.21810268,7.011123666922817,0.98,0.98,-88.19594001510453,40.06466847958317,-0.9007118344306946,0.9007118344306946,1,1,-0.8110518226372414,-301.21810268,301.21810268,303.43242377144753,-303.43242377144753,303.43242377144753,0.7555228092714372,1.5508117738626166,23.52478615134335,457.43923233008286,902.4625997220876,0.7555228092714372,2.9745356977162185,1.5508117738626166,343.3363897540711,578.2538222604438,33.98055667339122,0.2238074596120943,0.7673494656035214,160.00790533897865,8.248090494346343,1.1300647677527564,9.521951091856566,0.2238074596120943,0.7673494656035214,0.8740357658729029,0.2524127960205078,-75.46015930175781,0.5693984261187427,3.9031381594396377,384.265360248074,0.7060154972587267,0,-88.19601068991994,40.06454726138122,155.45454455592926,23.947545398073203,52.13626365463675,3.4507640640462487,305.1859654974003,40.02006218576143,-86.6578183900154,0.9251447916030884,304096,298.95537344,452747,39.50767680194706,-87.3924639283142,0.1000419408082962,496.08908153123616,117.74064014990388,314.60990504,110.69299820170812,2013-07-11 16:31:18.348999936+00:00,2013-07-11 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-07-11
9,9,1,1,LC08_022032_20130727,-88.19601068991994,40.06454726138122,2013-07-27 16:31:18.098000128,0.0310274999999999,0.0309724999999999,0.06411,0.030835,0.6691100000000001,0.19105,0.07687,298.45976054,21824.0,0.2341952925,0.9118930773132176,0.9838831379132011,0.7978803195146446,298.45976054,7.011123666922817,0.98,0.98,-88.19594001510453,40.06466847958317,-0.91189306974411,0.91189306974411,1,1,-0.8251275197075912,-298.45976054,298.45976054,300.7153865586017,-300.7153865586017,300.7153865586017,0.7522444975146079,1.5847448553907668,23.99357870724841,440.9123660267606,881.5467314636156,0.7522444975146079,2.4182932111856426,1.5847448553907668,323.9733496171028,551.6741534340753,27.123540311310688,0.2658261901323677,0.7751840315370029,243.61199271418343,7.90601507256542,1.6284605691212306,9.425715423151392,0.2658261901323677,0.7751840315370029,0.9076678558756984,0.2639637291431427,-77.74949645996094,0.4151941825127337,2.736807542786987,280.9386204085812,0.5355796245019944,1,-88.19601068991994,40.06454726138122,144.0685401988474,20.54467738602197,65.53154299324179,3.3977306759557493,261.0799171967609,40.602251732698,-87.96258304977937,0.998535692691803,168537,294.54612764,225094,39.5076885291217,-87.38897440188106,0.2437574863433838,618.7047451007795,111.54042520651598,314.96537912,77.61586191343895,2013-07-27 16:31:18.098000128+00:00,2013-07-27 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiA,,,2013-07-27
