,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,Air temp,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,Relative humidity,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,SWC_1_7_1,SWC_1_8_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_4_7_1,SWC_4_8_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,SWC_5_7_1,SWC_5_8_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_inst_af,G_3_1_1,Rn_inst_af,P,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-99.24138101310416,47.1301113813307,2018-06-13 06:00:00,192.8480054092408,269.42,2018-06-13,US-xWD,0,151.7508485698964,158.07843545173628,15.659002229808175,16.311938921930842,16.684466666666665,183.968125,US-xWD,147,2,2,LC08_032027_20180613,-99.24151576039677,47.12826983499826,2018-06-13 17:28:00.058000128,0.0417799999999999,0.0517349999999999,0.0840199999999999,0.0786299999999999,0.3086125,0.2477825,0.1474625,305.6820368,21824.0,0.1572232325,0.59389788052706,0.4129305577500396,0.38881562819635,305.6820368,0.7389010206178461,0.9573890102061784,0.9724383733680388,-99.2415508289952,47.128389210014696,-0.5938978791236877,0.5938978791236877,1,1,-0.5720170897722425,-305.6820368,305.6820368,309.7195355680637,-309.7195355680637,309.7195355680637,0.7796351826656653,0.8362261082598762,13.171864733911953,473.9703457749991,909.6627072597752,0.7796351826656653,2.7003008169944045,0.8362261082598762,325.7056665526222,604.4992758840518,96.34593177584568,0.0266795968255103,0.6154978664209737,302.6806580439722,9.583077295450222,2.5326152292964323,11.871144451444064,0.0266795968255103,0.6154978664209737,0.7318232073451367,0.182356908917427,-53.94688415527344,0.3063379010471567,3.1550445861449106,205.472686064234,0.4043517344647852,2,-99.24151576039677,47.12826983499826,218.0661795057626,22.346577996279628,30.967887096025308,3.634222529185197,344.94013389115923,47.86692475899528,-98.97258887062664,0.820127010345459,375805,295.83130316,492294,48.36742987480469,-100.80846410957732,0.276095449924469,535.6049636470079,120.46705755474484,314.4834383,2018-06-13 17:28:00.058000128+00:00,2018-06-13 17:30:00+00:00,25369.0,201806131230.0,201806131300.0,403.939815175508,8.71682423509557,,7.09245902460409,402.497525892857,7.84772338962353,,8.00244361527312,402.4862215,7.92626592929407,,9.46396829285689,400.7964763125,8.5829825403317,,9.63014834320312,398.498683173203,10.18641914833,4.69208493045451,8.65328725750626,186.170672542136,22.8777668347479,0.56725111808681,-12.7627030260256,,,525.127355477994,3.9978771939859,0.455741903238993,149.29224694117,1.12801635942081,336.765,138.16,1.01582310633236,4.01,3.24,0.79,7.16,6.82,2.82,187.42,183.75,168.83,22.3918,23.025,22.7761,23.3499,26.4073,94.48653,25.54,20.2431,31.86,31.91,34.29,101.8,984.0,987.4,975.43,170.51,317.2,481.9,321.3,506.6,1997.4,1991.57,1953.4,1933.5,142.41,661.03,1205.51,641.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.816,24.457,18.86,16.252,15.055,13.765,,9.358,8.302,26.005,22.494,18.787,17.538,16.508,14.959,12.915,10.293,9.062,21.661,19.239,16.332,15.572,14.722,13.56,11.313,9.254,8.251,20.54,18.692,16.805,16.316,15.825,14.397,12.101,9.679,8.53,23.541,21.225,17.465,16.377,14.921,13.374,10.891,8.45,7.49,31.194,50.769,39.799,648.79,0.0,,,,,US-xWD,-99.2414,47.1282,579.0,ND,CST,GRA,Dfb,4.9,493.76,2018-06-13 12:30:00,12:30:00,164,0.1732825203252032,0.1998262508957196,1.0157966104278124,0.0,1076.4652430707192,0.914102899591116,102.47861099523472,2.7077328589999112,0.6915549721885773,8.961430716005712,819.9428590628481,0.1,0.0233987738253861,0.8125404979761479,1.2307078877800808,-0.1244843546181855,-0.0687802895908695,0.8112874898826218,0.7112874898826218,0.7787575473031235,2018-06-13 12:30:00-05:00,US-xWD,0.8125397878618987,1076.4643023012316,94.57340223918683,585.0000000000015,0.0,-0.35,2.521585024524097,0.2119764407544706,0.1153972956211674,2.636982320145264,0.062920263530561,0.1641416880681969,2.647280237582144,474.6476422398703,83.48297589044282,338.95031004830616,24.035778553583967,25.68340473193597,15.81446017384797,94.33729758194,181.5439137707148,-174.85534908598754,75.742659283396,45.07663735162,30
1,1,1,-99.24138101310416,47.1301113813307,2020-05-17 06:00:00,138.96400270462036,178.66800540924072,2020-05-17,US-xWD,1,72.27043257549863,64.73045642944189,63.57349457373278,56.94087019990384,13.08541304347826,155.38750000000002,US-xWD,200,2,2,LC08_032027_20200517,-99.24151576039677,47.12826983499826,2020-05-17 17:28:33.272999936,0.0607274999999999,0.0779975,0.1150399999999999,0.1407525,0.2768225,0.3449399999999999,0.227405,304.56776228,21824.0,0.1832421099999999,0.3258576303658025,0.2214167449769544,0.2224395825954282,304.56776228,0.2555977598144671,0.9525559775981446,0.9708434726073876,-99.2415508289952,47.128389210014696,-0.3258576393127441,0.3258576393127441,1,1,-0.4128552744904145,-304.56776228,304.56776228,308.481428072122,-308.481428072122,308.481428072122,0.7720108685458709,0.9582433314811232,14.78740648436558,464.7391886802233,881.6754043388836,0.7720108685458709,1.9479562658025773,0.9582433314811232,346.5316691492434,585.4669671076743,105.47521042520847,0.0104736830333931,0.4122903636728668,339.5883507556399,12.489466269931436,3.668083303422037,17.722131598584973,0.0104736830333931,0.4122903636728668,0.5244780028539463,0.442356139421463,-132.7905731201172,0.2090734283886722,2.0450665785014834,140.40340592682594,0.2925121191606391,2,-99.24151576039677,47.12826983499826,195.6280597827976,17.083090708786127,49.19224051913288,2.6894988053556257,334.9085834152385,47.739874788510136,-99.3243977867491,0.6643975973129272,572670,300.18927866,756522,47.05597301114921,-101.37436205152588,0.1994751542806625,555.099550852784,118.1506351884856,309.05904056,2020-05-17 17:28:33.272999936+00:00,2020-05-17 17:30:00+00:00,59161.0,202005171230.0,202005171300.0,417.685923547423,8.41281894885301,,,419.75574593643,8.29633985172672,,,,,,,419.500188761111,9.06723643510432,,,,,4.93199331767504,9.77594750862033,106.738999669306,17.638771762332,0.908602093020056,-3.03570023723229,,,130.640225379877,,0.368847247934544,204.309100793682,4.79870014448542,379.94,146.795,1.23652391179813,5.19,4.41,1.3,8.68,7.91,3.11,,,,17.6907,17.42,18.3025,19.3156,24.0091,94.93566,38.74,12.4502,33.1,28.62,23.78,85.5,957.87,951.7,945.9,190.09,291.0,472.2,315.7,452.8,1881.75,1875.23,1875.66,1873.16,218.43,450.61,738.45,548.06,12.46,,17.99,,,,24.04,,31.93,32.36,,,20.59,,,,31.75,36.26,,,,,,36.64,21.42,24.75,9.79,4.13,11.11,34.48,11.1,,,,,,,,24.94,,16.582,11.999,8.063,6.087,4.813,3.939,,3.052,3.123,16.377,13.379,9.582,7.892,6.693,5.708,4.882,4.229,3.954,15.29,12.381,8.058,6.805,5.709,5.024,4.257,4.152,3.944,12.561,10.412,7.711,6.842,5.974,5.024,4.1,3.782,3.704,13.482,11.041,7.48,6.179,4.641,3.899,3.093,2.724,2.946,31.126,37.521,31.49,586.58,0.0,,,,,US-xWD,-99.2414,47.1282,579.0,ND,CST,GRA,Dfb,4.9,493.76,2020-05-17 12:30:00,12:30:00,138,0.1984507292221282,0.1681898054849099,1.0115246873996049,0.0,1060.3999697811191,0.9033100974132594,102.47861099523472,2.0241893940700844,0.7841709712627507,10.92231964358906,807.7059028311244,0.1,0.026961288773338,0.793695952282273,1.259928310235802,-0.1245580986776081,-0.0688686399615787,0.8095087896082784,0.7095087896082785,0.7692144188686505,2020-05-17 12:30:00-05:00,US-xWD,0.7936952112128347,1060.3989796916428,94.57340223918683,585.0000000000015,0.0,-0.35,2.4440042208273853,0.2029541343307649,0.1028214729950038,2.546825693822389,0.062920263530561,0.1233600898406255,2.058645880781134,389.2487159458888,50.12481347187197,363.2831374380139,42.8686739603157,35.03747537269117,23.7555240384343,84.31120937375532,99.24572930237584,-125.74240709704073,105.05760392086316,69.2602319812834,30
2,2,2,-99.24138101310416,47.1301113813307,2021-05-04 06:00:00,90.75200135231016,113.44,2021-05-04,US-xWD,2,34.9779070796067,30.511821047187016,118.5202485146241,103.38722110834212,1.4120444444444444,128.5131914893617,US-xWD,225,1,1,LC08_032027_20210504,-99.24151576039677,47.12826983499826,2021-05-04 17:28:37.901999872,0.059655,0.0782175,0.109485,0.13671,0.2361225,0.3456825,0.2455275,303.5799545,21824.0,0.1710106049999999,0.2666411860554002,0.1690974918374793,0.1708446351390444,303.5799545,0.1405707079905419,0.9514057070799052,0.9704638833363688,-99.2415508289952,47.128389210014696,-0.2666411995887756,0.2666411995887756,1,1,-0.3664199995659816,-303.5799545,303.5799545,307.4063664905096,-307.4063664905096,307.4063664905096,0.7950070180714754,0.3642872696566058,6.923264107738904,458.1853271408925,881.7649670145736,0.7950070180714754,1.074153785088915,0.3642872696566058,334.9341927813793,591.4467819051195,102.12232800387856,0.0078373606701177,0.2449521049697744,296.7120251441396,16.405685114815324,4.183329774335675,29.82894996040389,0.0078373606701177,0.2449521049697744,0.3436820245485928,0.4672314524650574,-139.44659423828125,0.2865165932274149,2.630006133965332,192.61242875710127,0.3936292724008756,1,-99.24151576039677,47.12826983499826,187.1512194057053,8.01894476438329,33.913884093091134,1.644903530952947,325.6696405164394,48.04426881161199,-99.49697064399122,0.3644985854625702,330377,298.4529245,535191,46.73862178724826,-100.93665335953486,0.1767201870679855,505.8703994591527,110.48548484470663,308.32416626,2021-05-04 17:28:37.901999872+00:00,2021-05-04 17:30:00+00:00,76057.0,202105041230.0,202105041300.0,422.102911287095,2.78727372719958,428.084643132121,3.50589795059654,,,427.977759605605,3.52074340144233,,,427.87387933771,3.71395590529076,,,427.809452935039,3.80456698147633,,,3.36711079854865,7.59725293393178,6.66883699967533,7.49175911647342,0.63181268873763,-1.39692134276533,-0.0288586185763105,-1.42577996134164,40.1666266709692,-0.26984080590982,0.290340002677763,169.378970218961,-2.54599198220259,293.59,120.89,1.37619142259692,3.05,2.76,1.56,7.28,6.46,4.34,,,1.95,7.7301,7.109,7.9812,8.6201,11.45,94.92982,32.53,7.1361,22.96,15.09,13.63,429.0,550.59,561.2,550.44,107.01,294.1,415.8,291.6,406.9,1175.6,1102.71,1065.44,1039.86,146.29,361.49,431.66,247.41,9.35,,,29.81,6.26,,14.34,31.48,21.19,,11.48,19.5,14.32,,9.12,13.43,,,,,,35.19,,28.0,17.7,23.07,,,6.94,19.11,8.35,,,,13.92,24.13,,23.38,,,13.978,10.028,6.585,5.337,4.962,4.297,,3.105,3.182,14.158,11.18,8.038,6.862,6.417,5.519,4.646,3.681,3.46,11.146,9.158,6.332,5.827,5.511,4.998,3.977,3.825,3.662,9.63,7.778,6.239,6.054,5.95,5.155,3.923,3.415,3.426,12.999,10.459,7.055,6.37,5.458,4.97,3.547,3.064,3.34,,23.438,16.794,321.88,,,,,,US-xWD,-99.2414,47.1282,579.0,ND,CST,GRA,Dfb,4.9,493.76,2021-05-04 12:30:00,12:30:00,124,0.194355146297608,0.1367602429162134,1.0082106869658105,0.0,1041.147804165484,0.5288298143617726,102.47861099523472,1.053207774073074,0.3426084889059709,3.7840597837007857,793.0414925662461,0.1,0.012197243295722,0.7741880548288913,1.2916758321994737,-0.1242524829362214,-0.0685024916337339,0.8083699261616525,0.7083699261616525,0.7986324983464721,2021-05-04 12:30:00-05:00,US-xWD,0.7741872837410155,1041.1467671868795,94.57340223918686,585.0000000000015,0.0,-0.35,2.444252488564398,0.2555012989137142,0.1140146682770081,2.558267156841406,0.062920263530561,0.0731435847835751,1.2747164420252146,317.5681074384846,55.04319541414342,327.25098209297647,41.502415579695,33.2374513184325,23.745265091103747,71.68205780642624,80.94691913052442,-111.2377667961307,104.94227762144624,74.53722727849875,30
3,3,3,-99.24138101310416,47.1301113813307,2021-10-04 06:00:00,121.94800540924072,187.17599729537963,2021-10-04,US-xWD,3,67.89774280498315,62.94964338233225,9.88811501500548,9.16751114548681,-2.4828260869565217,50.993541666666665,US-xWD,240,0,0,LC08_031027_20211004,-99.24151576039677,47.12826983499826,2021-10-04 17:23:19.694000128,0.0456574999999999,0.052615,0.0712875,0.0745049999999999,0.21778,0.2845225,0.1846425,303.48424994,21824.0,0.1352708075,0.4901893699642473,0.2819935482474183,0.2712565554061986,303.48424994,0.3767737456971373,0.9537677374569712,0.9712433533608004,-99.2415508289952,47.128389210014696,-0.4901893734931946,0.4901893734931946,1,1,-0.5067760990080172,-303.48424994,303.48424994,307.02444228750244,-307.02444228750244,307.02444228750244,0.7318700859651451,0.8666713336145548,13.574967930034251,458.7439138157288,592.866895644951,0.7318700859651451,2.901069354574488,0.8666713336145548,340.28113411715714,378.4745655015246,58.06907074887549,0.0137799842188699,0.183474079055879,179.9350844598908,19.983205968098744,3.098749559994033,39.82395834571094,0.0137799842188699,0.183474079055879,0.2705139118975733,0.3276747465133667,-97.50540161132812,0.2088759973189153,1.1839509824715737,140.4704102927583,0.438414485997503,0,-99.24151576039677,47.12826983499826,75.67177120453997,23.531720006381235,29.874202498742854,1.163547066441787,178.80814441150451,47.16480134112763,-99.66089320269984,0.8492726683616638,572814,297.56765732,826075,47.66883758527934,-97.8361711287516,0.2395071536302566,348.38751430511905,64.78493221907026,310.97654978,2021-10-04 17:23:19.694000128+00:00,2021-10-04 17:30:00+00:00,83401.0,202110041230.0,202110041300.0,414.197444781437,7.99680089963913,407.496963351544,8.25710060785265,413.07498683105,8.20744236020394,407.127118910655,8.43902486365527,411.317160147727,9.38809805370039,406.464502506057,8.78788639228072,411.045397739414,9.46936790604476,404.658360415161,9.7746975796688,410.871356052288,9.47252377526882,3.37506789128905,6.79315178388648,168.834882071525,25.6867810079219,0.377405375909179,-6.6735030762476,0.200244473121194,-6.4732586031264,232.000650111298,-6.28539435959387,0.250278360321406,77.0085937345868,,345.4,138.16,0.85058146694758,2.9,2.43,0.99,5.43,4.94,3.12,170.82,170.97,159.62,25.886,26.867,26.1379,,30.9545,94.92202,23.93,25.5028,33.94,28.66,27.92,56.6,618.24,649.6,630.87,111.86,334.8,489.9,348.1,487.6,1304.55,1269.41,1322.85,1320.85,115.5,366.89,172.87,64.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.407,20.361,16.027,14.448,14.042,13.874,,13.056,12.655,19.592,17.244,14.697,13.986,14.262,14.605,,13.929,13.347,17.809,16.469,14.325,14.005,14.02,14.157,13.778,13.735,13.326,17.273,15.386,13.914,13.789,13.849,13.963,13.627,13.145,12.956,19.582,17.506,14.732,14.281,14.007,,13.678,12.892,12.848,17.076,20.916,43.759,351.28,,,,,,US-xWD,-99.2414,47.1282,579.0,ND,CST,GRA,Dfb,4.9,493.76,2021-10-04 12:30:00,12:30:00,277,0.1809329710144927,-0.0471252246386755,1.0000866604678496,0.0,882.1078629363243,0.700866669459252,102.47861099523472,3.338853613129847,0.7989876696219724,11.258859992901955,671.9005904453477,0.1,0.0267178851956545,0.6453992372503133,1.549428543269501,-0.12455306022355,-0.0688626035528522,0.7935404657892166,0.6935404657892166,0.7429827258270828,2021-10-04 12:30:00-05:00,US-xWD,0.6453983067083308,882.1065911058785,94.57340223918683,585.0000000000015,0.8823729344425613,0.8412034614974578,1.6434270347278042,0.2096667420078617,-0.2787558035692272,1.364671231158577,0.062920263530561,0.1747468094001487,0.8792565362509579,269.654062687674,63.52615711954031,347.9890564286154,22.61109404177967,21.63463346759775,15.9678238105931,66.0927999519332,148.76475327216073,-153.7985642949673,86.34809750355365,56.03609061954644,30
4,4,4,-99.24138101310416,47.1301113813307,2022-05-16 06:00:00,102.09599729537965,130.45599729537963,2022-05-16,US-xWD,4,50.303519557267805,42.18597115622007,48.17464972363478,40.40063998680263,20.7145,109.50166666666668,US-xWD,252,0,0,LC08_031027_20220516,-99.24151576039677,47.12826983499826,2022-05-16 17:22:53.049999872,0.0604799999999999,0.0784375,0.114435,0.127305,0.25254,0.32734,0.2472325,298.80156254,21824.0,0.1728620424999999,0.329700272479564,0.2192353241351421,0.2135063562332001,298.80156254,0.2348001684764584,0.9523480016847644,0.9707748405559724,-99.2415508289952,47.128389210014696,-0.3297002613544464,0.3297002613544464,1,1,-0.3763335377069282,-298.80156254,298.80156254,302.6339201474716,-302.6339201474716,302.6339201474716,0.7765661495199303,0.8269968566155258,13.049666891974056,430.4375895310894,885.1402612719389,0.7765661495199303,2.017085718572211,0.8269968566155258,321.4145334661747,607.7940069373508,89.96565663994531,0.0099608359720663,0.0275099542868175,284.1267981833583,14.805526118998378,3.556645820581906,265.6007351251858,0.0099608359720663,0.0275099542868175,0.0810817979299726,0.4510001838207245,-132.93130493164062,0.346026807268156,2.646902676207411,233.7015521140472,0.4513108484304207,0,-99.24151576039677,47.12826983499826,165.04516623044017,17.634935378346814,40.999589110219546,0.1803700290208289,283.0956527278489,47.95093923158259,-99.41330650873974,0.5520210862159729,253105,294.74779082,385943,46.669047387874805,-98.70455092681324,0.2009947597980499,535.628274030252,101.88724633662322,305.58633224,2022-05-16 17:22:53.049999872+00:00,2022-05-16 17:30:00+00:00,94153.0,202205161230.0,202205161300.0,415.643660833521,6.51279307128379,419.099860899511,7.15767861934104,423.775098394137,7.49722418900636,418.695065514423,7.17822367448609,423.682906717557,7.52448714131789,418.372078897806,7.32205901379872,423.809518681818,7.83002140956746,417.330057591192,7.72273913192066,423.387484588235,8.10305801580287,1.87338951494448,4.28483210862759,30.9239484206761,18.8870152221416,0.540373211766529,-3.51271731541843,-0.0632883708626761,-3.5760056862811,74.9315028262179,-0.547635644798987,0.225530760213137,160.509996503633,3.41481934087478,233.145,94.985,0.697163883799777,1.64,1.58,1.06,3.4,3.63,2.41,,,,18.1986,18.475,18.5557,19.0525,21.1953,94.57418,35.28,13.5802,32.96,29.52,21.83,472.7,606.73,629.4,609.08,101.71,342.3,470.3,350.4,471.7,1285.99,1245.92,1233.12,1202.18,122.51,436.73,487.4,562.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.362,16.982,11.122,8.642,6.858,5.35,,2.441,1.993,19.284,15.369,10.463,8.476,7.814,5.423,,2.394,1.958,15.661,13.277,9.363,8.179,6.877,5.542,3.936,3.244,2.814,14.131,11.364,8.588,7.705,6.477,4.779,3.08,2.174,2.124,15.059,12.274,8.356,6.984,4.767,,1.997,1.451,1.84,34.589,44.365,97.899,377.02,0.0,2002.32764534483,2001.66670333333,2002.6250390625,2002.23339166667,US-xWD,-99.2414,47.1282,579.0,ND,CST,GRA,Dfb,4.9,493.76,2022-05-16 12:30:00,12:30:00,136,0.1676363456562226,0.1642577773805854,1.0110879068648757,0.0,1058.1097165914653,0.5734093454452773,102.47861099523472,2.089904111674341,0.7373181705987077,9.899578612511831,805.9614124583388,0.1,0.0253062092760847,0.7912979124776774,1.2637465412600972,-0.1245238385320149,-0.0688275939900469,0.8093656612536806,0.7093656612536806,0.7723425259018581,2022-05-16 12:30:00-05:00,US-xWD,0.7912971676120765,1058.1087205702229,94.57340223918683,585.0000000000015,0.0,-0.35,2.453608804245815,0.2126848854626274,0.108573153734646,2.562181957980461,0.062920263530561,0.1271854998425062,0.1383694749742231,426.50424354954544,55.94315506450536,333.7076987894906,38.0389329191547,34.1933568092649,23.43724756173125,75.4593466038516,98.51495658675748,-112.44904910303616,97.8097034818436,73.87345731067056,30
5,5,5,-99.24138101310416,47.1301113813307,2022-05-23 06:00:00,124.78400270462036,167.32400270462037,2022-05-23,US-xWD,5,60.99700019998687,58.61024983491894,60.16252900769758,57.80843064873331,16.680652173913042,142.45041666666663,US-xWD,254,2,2,LC08_032027_20220523,-99.24151576039677,47.12826983499826,2022-05-23 17:29:04.022000128,0.0694175,0.0776675,0.101015,0.1118224999999999,0.268875,0.3481574999999999,0.24253,297.70779614,21824.0,0.1758703775,0.4125388267587784,0.2892729427734949,0.2674911079002723,297.70779614,0.3669363120155174,0.9536693631201552,0.9712108898296512,-99.2415508289952,47.128389210014696,-0.4125388264656067,0.4125388264656067,1,1,-0.4538105923382627,-297.70779614,297.70779614,301.6248680088987,-301.6248680088987,301.6248680088987,0.7797195129053378,0.7837672937707104,12.477295534997486,424.7581503658368,898.4512166030541,0.7797195129053378,1.5447788952016124,0.7837672937707104,316.7551110910459,617.7617566671556,87.19064750945171,0.0134914385850359,0.5253752942930562,265.45472985008564,10.975410486534068,2.4640949536737367,13.907513659679855,0.0134914385850359,0.5253752942930562,0.6304045358774573,0.3141224682331085,-92.28305053710938,0.3921564640114616,2.785471204952151,265.1163793076182,0.499681144961884,2,-99.24151576039677,47.12826983499826,157.02603025042342,13.473315427747632,50.73653557834368,3.3391573164968253,272.8325352657629,46.497693500311286,-99.3599395508516,0.7060540318489075,179084,293.78049116,215223,46.897839415629726,-101.6419019511768,0.2110397666692733,542.5726241860731,111.55191466659193,307.59270998,2022-05-23 17:29:04.022000128+00:00,2022-05-23 17:30:00+00:00,94489.0,202205231230.0,202205231300.0,416.451577777059,7.19830073908151,416.856086297883,7.71045530111756,423.683629483871,8.11407319540306,417.437517526866,7.82282695423562,423.015604107438,8.51155327800038,415.493944079441,8.14406995958528,423.052144465574,8.5538957815316,415.731916251834,8.48787334116187,422.205416505119,8.70527824599351,9.54310711653441,14.2844098284222,158.39417530077,15.6081378324992,0.610252475567222,-5.73130344180297,,,132.529030065827,,0.535779399414565,161.459142554267,-9.37429056041903,492.195,189.97,1.25903574704271,7.96,6.96,3.52,11.56,10.8,6.09,158.98,157.53,147.06,14.9396,15.204,15.4418,16.0418,17.9962,94.9783,46.28,9.1626,26.12,21.01,19.12,243.9,650.13,679.8,655.27,109.49,297.6,431.5,308.2,429.8,1349.12,1336.77,1337.71,1317.22,117.54,466.09,498.08,555.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.254,13.638,9.434,7.778,6.868,5.958,,3.657,3.066,15.059,12.087,8.787,7.473,8.368,6.172,,3.916,3.258,12.741,10.98,8.191,7.481,6.822,6.129,5.015,4.42,3.87,11.707,9.5,7.48,6.996,6.417,5.566,4.414,3.422,3.135,12.175,10.259,7.705,6.973,5.71,,3.705,2.636,2.647,23.529,33.938,92.039,406.74,0.0,2015.562560625,2012.91305956522,2013.69998016667,2014.75004673077,US-xWD,-99.2414,47.1282,579.0,ND,CST,GRA,Dfb,4.9,493.76,2022-05-23 12:30:00,12:30:00,143,0.1684124713518834,0.1771390521707047,1.0125558496402025,0.0,1065.4572988164862,0.6101886961797218,102.47861099523472,1.6987261292899258,0.7861704526353778,10.967367353286054,811.5580807105225,0.1,0.0272881480097639,0.7991080546905222,1.2513952201211125,-0.1245648646638021,-0.0688767460706421,0.8099709505525783,0.7099709505525783,0.7698462481384808,2022-05-23 12:30:00-05:00,US-xWD,0.7991073223037239,1065.456322319184,94.57340223918683,585.0000000000015,0.0,-0.35,2.4905067724236662,0.2160571141295075,0.1041148897966723,2.594621662220338,0.062920263530561,0.1006643371377613,2.5259105623701603,348.8215247843317,94.8401421415006,327.8846495947857,33.29043003386512,30.0729530270821,23.122220256703454,80.0461836871425,122.8160249365372,-135.10295131001217,103.64920203461205,72.20307179783421,30
