,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,ALB,CO2,FC,FC_SSITC_TEST,FETCH_70,FETCH_90,FETCH_MAX,G_inst_af,H_inst_af,H2O,H_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,LW_IN,LW_OUT,MO_LENGTH,Rn_inst_af,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_6_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_6_1,SW_IN,SW_OUT,TAU,TAU_SSITC_TEST,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD_PI,V_SIGMA,WD,WS,WS_MAX,W_SIGMA,ZL,G_2_1_1,PPFD_IN_PI_F,TA_1_1_3,TA_1_1_2,SWC_1_5_1,TS_1_5_1,G_3_1_1,G_4_1_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_3_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_4_7_1,SWC_4_8_1,SWC_4_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_022032_20130329,-88.19843614118707,40.062930293869805,2013-03-29 16:32:20.114000128,,,,,,,,,,,,,,,,,,-88.19837356518077,40.06302164466595,,,1,1,,,,,,,0.7688063492245059,0.5792926968031493,10.10680355125494,,792.7604153829691,0.7688063492245059,1.081237923616525,0.5792926968031493,134.63407324815017,,,,,,,,,,,,0.5536047220230103,-131.15721130371094,,,,,0,-88.19843614118707,40.062930293869805,,8.115513249970677,53.576801566997474,1.452114950077794,186.5937933308314,40.2180691360721,-87.28441275570252,0.4525368511676788,205493,236.91489242,309917,41.0260384078948,-87.21577654168067,0.1469818949699401,680.3420320897386,-71.31850894937499,246.5673809,,2013-03-29 16:32:20.114000128+00:00,2013-03-29 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiB,,,2013-03-29
1,1,0,0,LC08_022032_20130422,-88.19843614118707,40.062930293869805,2013-04-22 16:31:05.523000064,0.1042325,0.1367375,0.1969075,0.269095,0.39301,0.5076575000000001,0.35957,300.04913984,21824.0,0.28623467,0.1871530950528994,0.1562966097579587,0.1599446693715284,300.04913984,0.1177375147147447,0.9511773751471474,0.9703885337985586,-88.19837356518077,40.06302164466595,-0.1871531009674072,0.1871531009674072,1,1,-0.3324236016053092,-300.04913984,300.04913984,301.9892419853634,-301.9892419853634,301.9892419853634,0.7711392634896345,0.8194649389226657,13.42638961151019,437.1335247910488,878.7048591845521,0.7711392634896345,1.7482081206507123,0.8194649389226657,320.4319455915757,494.8431559185049,84.35560086700718,0.0073716703392167,0.3670422930098229,897.2158480555069,11.256368440430986,8.3609614181172,19.906872371363097,0.0073716703392167,0.3670422930098229,0.5089762064808513,1.0931940078735352,-321.7718505859375,-0.7202163084254218,-5.844517049107134,-486.7282930040091,-1.185732154396122,0,-88.19843614118707,40.062930293869805,138.7951951540454,15.386158795286168,46.87456426055538,2.479643758279271,307.74557342047984,39.7754189163763,-87.61117028217984,0.7794791460037231,507319,294.34104644,722575,40.909510669187,-87.996591424424,0.2224482148885727,632.7649701826031,83.50165823308117,299.32451960000003,-165.7505035126783,2013-04-22 16:31:05.523000064+00:00,2013-04-22 17:00:00+00:00,2013-04-22,78.16215071920652,73.28453208065957,51.37830198836189,48.17209846031916,26.389394042553192,123.98854166666666,-23.85748291686526,-31.941305083454942,201304221200.0,201304221230.0,28.6,382.9605541,-0.532542378,0.0,20.0,65.0,3.28600412,130.89756,195.4790629,7.620741689,0.0,126.5744238,0.0,283.3,484.8,-7.800110676,504.9,99.11783996,-9999.0,349.0,35.3,-0.006609887,0.203443918,-0.936554403,-9999.0,-9999.0,42.2,-9999.0,44.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,989.0,282.8,-0.07985329,1.0,17.73,-9999.0,-9999.0,7.583,-9999.0,7.718,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,26.82,17.34141971,0.260102286,1.23989688401899,13.75769118,0.981537540800147,164.124436,2.920629692,7.567408984,0.329508835996852,-0.315123734,-9999.0,1864.0,-9999.0,17.14015,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,IL,CRO,10.9,1051.0,40.0628,-88.1984,224.0,US-UiB,2013-04-22 12:00:00,2013-04-22 12:00:00-05:00,2013-04-22
2,2,1,1,LC08_023032_20130413,-88.19843614118707,40.062930293869805,2013-04-13 16:37:17.976000000,,,,,,,,,,,,,,,,,,-88.19837356518077,40.06302164466595,,,1,1,,,,,,,0.7821864441231052,0.4884175720269044,8.850755829965564,,864.4100980375852,0.7821864441231052,0.9828648118964348,0.4884175720269044,287.50192089363424,,,,,,,,,,,,0.807466447353363,-231.60693359375,,,,,1,-88.19843614118707,40.062930293869805,,6.721572247743949,49.69326057003752,4.938283685699509,254.13274381632908,40.42184705539504,-88.87624021943168,0.6127058267593384,163287,286.8316565,243598,39.826721684752464,-89.31072275407672,0.2326677292585373,641.0689045642741,62.0909740474286,292.044137,,2013-04-13 16:37:17.976000+00:00,2013-04-13 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiB,,,2013-04-13
3,3,2,2,LC08_023032_20130429,-88.19843614118707,40.062930293869805,2013-04-29 16:37:16.072000000,0.107285,0.1399825,0.20381,0.27476,0.40731,0.51885,0.3676,300.40803194,21824.0,0.2945757775,0.1943348923131057,0.165191821291238,0.1682006987741842,300.40803194,0.1349884652296537,0.9513498846522964,0.9704454619352578,-88.19837356518077,40.06302164466595,-0.1943348944187164,0.1943348944187164,1,1,-0.3329951564340883,-300.40803194,300.40803194,302.3801329206696,-302.3801329206696,302.3801329206696,0.757761211979975,1.2853615456181688,19.86586766050551,439.3083815404775,879.9723701351955,0.757761211979975,2.12805583378584,1.2853615456181688,312.75354178379814,478.9834893842386,83.60551868735696,0.0077217668628337,0.4206451470802008,264.3986006342085,12.820823805050624,2.8708656120169564,17.370137591165182,0.0077217668628337,0.4206451470802008,0.5208954509840372,0.2801629602909088,-81.8448486328125,0.1938849200276654,1.5717219599252747,130.97937006267318,0.3312763476220305,2,-88.19843614118707,40.062930293869805,133.54662457466816,18.487089894281294,60.40074349607141,2.828854628286855,293.5575381590029,40.89194409743059,-88.08642667860059,0.7285245656967163,450869,292.13300552,682037,40.49562578560365,-89.78660639393635,0.2349881529808044,511.81958011834695,93.94037740695948,305.65127462,44.57403478348079,2013-04-29 16:37:16.072000+00:00,2013-04-29 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiB,,,2013-04-29
4,4,0,0,LC08_022032_20130524,-88.19843614118707,40.062930293869805,2013-05-24 16:31:21.687000064,0.0692249999999999,0.0941675,0.1482049999999999,0.186375,0.3789025,0.4382474999999999,0.298355,302.21616452,21824.0,0.2409025699999999,0.3405893565549663,0.2687585894492771,0.2710948555658032,302.21616452,0.3763494815442756,0.9537634948154428,0.971241953289096,-88.19837356518077,40.06302164466595,-0.3405893445014953,0.3405893445014953,1,1,-0.4376668895813473,-302.21616452,302.21616452,304.1772943069136,-304.1772943069136,304.1772943069136,0.7780783460865228,0.8409702475595959,13.72362930142038,451.12252563067386,938.5221471980316,0.7780783460865228,1.5535433842427877,0.8409702475595959,302.5128307447372,549.8329189830465,93.98360624047928,0.0137674673037056,0.3859798559276229,375.1310390536661,12.717275383313728,4.050100406276016,18.930169462546026,0.0137674673037056,0.3859798559276229,0.5045465905010212,0.2932431697845459,-85.14781951904297,0.1196937232566632,1.178578921827128,80.71827368890115,0.1770722724210519,0,-88.19843614118707,40.062930293869805,187.02400625459967,13.560162285825497,54.13239540584141,2.4480205628456893,356.27512202223835,40.75572694203784,-86.25211715971712,0.9119532108306884,512147,290.36588918,739688,39.773793774601245,-87.24614451982872,0.1624730676412582,506.9092404317395,103.28363314570544,307.30217828,33.42449822301735,2013-05-24 16:31:21.687000064+00:00,2013-05-24 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiB,,,2013-05-24
5,5,1,1,LC08_023032_20130515,-88.19843614118707,40.062930293869805,2013-05-15 16:37:28.171000064,0.09898,0.1216674999999999,0.1742475,0.2284775,0.3618524999999999,0.48266,0.3362225,310.82273888,21824.0,0.2608316825,0.2259329527552385,0.1831861549037233,0.1834880265607659,310.82273888,0.1676643669519811,0.9516766436695198,0.9705532924109416,-88.19837356518077,40.06302164466595,-0.2259329557418823,0.2259329557418823,1,1,-0.3499440402909904,-310.82273888,310.82273888,312.8122680079973,-312.8122680079973,312.8122680079973,0.752534573464747,1.6215730197278668,24.512878126423665,503.643927249821,899.6141753100404,0.752534573464747,3.258487387820885,1.6215730197278668,353.6219445747834,497.8561144540704,112.8592882808592,0.0084145132956159,0.6797775092033671,336.18613486336614,8.9603391633112,2.661979716991169,10.748611101302394,0.0084145132956159,0.6797775092033671,0.7857039740399587,0.2267884463071823,-68.28022766113281,0.0729922735167243,0.7080877618686242,48.81069130984503,0.1267820615432423,1,-88.19843614118707,40.062930293869805,155.6166654343734,25.4748383477778,49.764594019567305,4.532879674685163,296.0718917314195,39.47981208714791,-88.10807613646084,0.8873533606529236,203736,301.07454584,268779,40.17312089468702,-88.55404541780695,0.2319231927394867,510.4207668522099,120.61516750094098,315.03715754,20.081368926594184,2013-05-15 16:37:28.171000064+00:00,2013-05-15 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiB,,,2013-05-15
6,6,0,0,LC08_022032_20130609,-88.19843614118707,40.062930293869805,2013-06-09 16:31:20.016000000,0.05542,0.0836075,0.1551075,0.1502675,0.45835,0.3669675,0.2442625,291.70575302,21824.0,0.24473585,0.5062005282463944,0.444461195439145,0.4168468836185608,291.70575302,0.8462527835991231,0.9584625278359912,0.972792634185877,-88.19837356518077,40.06302164466595,-0.5062005519866943,0.5062005519866943,1,1,-0.4943170472282105,-291.70575302,291.70575302,293.68249459803576,-293.68249459803576,293.68249459803576,0.7534760287646828,1.6852193473937802,25.39257787957443,393.4940543939183,914.1656565134708,0.7534760287646828,3.0267190117062617,1.6852193473937802,306.416266563513,590.6310025524518,63.66743601138255,0.0312317362371221,0.6321872834296755,68.68438264955759,10.426831179107872,0.5916703387123405,11.557752383438752,0.0312317362371221,0.6321872834296755,0.6926770599828568,0.1864674687385559,-54.17056274414063,0.672697140794163,3.26546755695485,458.2791838915117,0.8696600922519286,0,-88.19843614118707,40.062930293869805,106.58476687131348,24.23749775634229,55.678090396761554,3.6668574896649218,208.93267614616127,40.28449662650092,-87.77172091283686,0.8023450970649719,79548,290.50944602,113613,40.57190760482103,-86.91481903248231,0.2530248761177063,517.4025997197394,110.92868765236574,312.33692174,92.60865991523954,2013-06-09 16:31:20.016000+00:00,2013-06-09 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiB,,,2013-06-09
7,7,1,1,LC08_022032_20130625,-88.19843614118707,40.062930293869805,2013-06-25 16:31:15.316999936,0.0216224999999999,0.0325949999999999,0.082975,0.0547325,0.41688,0.206725,0.102665,293.83176146,21824.0,0.172058135,0.7678920724111425,0.60325240494732,0.5590924880031906,293.83176146,1.6545400860838562,0.9665454008608384,0.9754599822840768,-88.19837356518077,40.06302164466595,-0.767892062664032,0.767892062664032,1,1,-0.6680037210791129,-293.83176146,293.83176146,295.8683195974597,-295.8683195974597,295.8683195974597,0.7324509123786651,2.6702056174708697,39.00675186918811,408.5077235893929,885.1358898291795,0.7324509123786651,3.966428372845157,2.6702056174708697,348.5317764010755,661.2051213485302,50.24025095141002,0.0694672252051535,0.7494475678694077,-5.371414974308822,173.54564710317717,-0.7807438862349585,9.749399951501609,0.0694672252051535,0.7494475678694077,0.055420081785524,0.2228117138147354,-66.70367431640625,0.8987119563037129,5.536332510873851,610.9648703971202,1.0,1,-88.19843614118707,40.062930293869805,156.82187579939466,28.8297190681104,67.3201521991813,3.95051028561822,262.63486803957505,40.09015827395567,-87.30992146629679,0.8703570365905762,311704,299.37237188,493180,40.08406654684817,-86.93302440354084,0.4222790896892547,499.12237265945146,113.9019994458507,314.52445454,157.0103900083824,2013-06-25 16:31:15.316999936+00:00,2013-06-25 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiB,,,2013-06-25
8,8,0,0,LC08_022032_20130711,-88.19843614118707,40.062930293869805,2013-07-11 16:31:18.348999936,0.0350975,0.0383699999999999,0.0816824999999999,0.0441999999999999,0.5085925,0.229495,0.10349,301.73080568,21824.0,0.200658355,0.8400846610617908,0.7812702407609601,0.6616581615085594,301.73080568,3.336025749530036,0.98,0.98,-88.19837356518077,40.06302164466595,-0.8400846719741821,0.8400846719741821,1,1,-0.7232391681843209,-301.73080568,301.73080568,303.8817340788132,-303.8817340788132,303.8817340788132,0.7554847881913679,1.5503760834072902,23.52881620795661,460.5616202008108,902.4171840147884,0.7554847881913679,2.9747525255055454,1.5503760834072902,343.34193628428784,597.2531137044399,49.65420468950095,0.1236276402523776,0.7056325284069045,163.3325722970106,8.879305678270828,1.2434764362737951,10.35477219047022,0.1236276402523776,0.7056325284069045,0.8088712670305946,0.2524127960205078,-75.46015930175781,0.5696486051912523,4.059817343254889,384.2663367179284,0.7017295513045758,0,-88.19843614118707,40.062930293869805,162.6113250422096,23.94875933551809,52.11781720040093,3.450378303936497,305.2494971577576,40.02006218576143,-86.6578183900154,0.9251447916030884,304096,298.95537344,452747,39.50767680194706,-87.3924639283142,0.1000419408082962,496.08908153123616,117.74064014990388,314.60990504,115.13641985470863,2013-07-11 16:31:18.348999936+00:00,2013-07-11 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiB,,,2013-07-11
9,9,1,1,LC08_022032_20130727,-88.19843614118707,40.062930293869805,2013-07-27 16:31:18.098000128,0.0284425,0.0333374999999999,0.089025,0.0446125,0.5718700000000001,0.2227299999999999,0.0964775,298.74687422,21824.0,0.2170945275,0.8552675866711547,0.8292748332626882,0.7083731719932916,298.74687422,7.011123666922817,0.98,0.98,-88.19837356518077,40.06302164466595,-0.8552675843238831,0.8552675843238831,1,1,-0.73059260548196,-298.74687422,298.74687422,300.93840013265054,-300.93840013265054,300.93840013265054,0.7522052617013226,1.5843272776123782,23.99807905872412,442.6114193021374,881.5007514623366,0.7522052617013226,2.4184275020078587,1.5843272776123782,323.9786912302462,565.0194604362296,40.37536349661666,0.1607439145167145,0.7207914507275492,235.8610697471689,8.45558886760536,1.68732806301459,10.137001589660692,0.1607439145167145,0.7207914507275492,0.8457920928969083,0.2639637291431427,-77.74949645996094,0.4268795635657931,2.8941950974264468,288.783027192444,0.5504360553697095,1,-88.19843614118707,40.062930293869805,148.20948174983366,20.54557823730449,65.51063764768708,3.399269498066439,261.1726281628588,40.602251732698,-87.96258304977937,0.998535692691803,168537,294.54612764,225094,39.5076885291217,-87.38897440188106,0.2437574863433838,618.7047451007795,111.54042520651598,314.96537912,82.07937296301402,2013-07-27 16:31:18.098000128+00:00,2013-07-27 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UiB,,,2013-07-27
