,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,TAU,H_inst_af,LE_inst_af,FC,FH2O,SH,SLE,SC,WS,WS_MAX,WD,WD_SIGMA,USTAR,MO_LENGTH,ZL,T_SONIC,PA,CO2_MIXING_RATIO,CO2,H2O_MIXING_RATIO,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,FETCH_MAX,FETCH_70,FETCH_80,FETCH_90,TAU_SSITC_TEST,H_SSITC_TEST,LE_SSITC_TEST,FC_SSITC_TEST,TA_1_1_1,RH_1_1_1,Rn_inst_af,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,SWC_1_1_1,SWC_2_1_1,TS_1_1_1,TS_2_1_1,G_inst_af,G_2_1_1,T_CANOPY_1_1_1,P_RAIN_1_1_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_016032_20190208,-78.00561193839651,40.753644915829305,2019-02-08 15:51:59.453000192,,,,,,,,,,,,,,,,,,-78.0055761347669,40.75358660061096,,,1,1,,,,,,,0.7355371570908185,0.3287711328312344,6.555363560138211,,524.8977675597345,0.7355371570908185,0.6079125529292512,0.3287711328312344,242.8585088778525,,,,,,,,,,,,0.2131000310182571,-58.30500411987305,,,,,0,-78.00561193839651,40.753644915829305,,-0.0650923290891864,54.08197795012414,4.293010283013955,135.0428358168815,41.33659976906642,-78.71905728315318,0.6999491453170776,262552,273.6039191,414732,39.55557279252343,-77.65537263758225,0.3095373809337616,290.4713257075708,19.774060689654103,284.4903128,,2019-02-08 15:51:59.453000192+00:00,2019-02-08 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC1,,,2019-02-08
1,1,0,0,LC08_016032_20190312,-78.00561193839651,40.753644915829305,2019-03-12 15:51:50.600000000,,,,,,,,,,,,,,,,,,-78.0055761347669,40.75358660061096,,,1,1,,,,,,,0.7709340467386019,0.3247281467834811,6.50057476966203,,710.9207671665622,0.7709340467386019,0.652283117650761,0.3247281467834811,239.4826413001591,,,,,,,,,,,,0.3606954216957092,-98.71110534667967,,,,,0,-78.00561193839651,40.753644915829305,,0.9063305894818108,49.78331310382679,2.4932344922202825,220.6550807462424,41.26196893984458,-78.24863770492253,0.8399536609649658,301293,273.66886148000003,428738,39.52187658906772,-77.33687602695173,0.2030411511659622,440.4449745104855,32.15408635864493,286.21299488,,2019-03-12 15:51:50.600000+00:00,2019-03-12 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC1,,,2019-03-12
2,2,1,1,LC08_016032_20190328,-78.00561193839651,40.753644915829305,2019-03-28 15:51:47.390000128,,,,,,,,,,,,,,,,,,-78.0055761347669,40.75358660061096,,,1,1,,,,,,,0.7694258887675173,0.5824385232786355,9.992953831711263,,784.5457808984359,0.7694258887675173,1.0760002209033703,0.5824385232786355,278.79559754923446,,,,,,,,,,,,0.6789889335632324,-192.982421875,,,,,1,-78.00561193839651,40.753644915829305,,8.04416862177384,54.12996316949094,1.9039374808775364,192.43596391395567,39.96117164445733,-78.01094711090737,0.7680507302284241,221281,284.22028922,334068,39.77142956101629,-78.3192292941939,0.2604641914367676,535.524191531119,58.38223572578334,292.16034968,,2019-03-28 15:51:47.390000128+00:00,2019-03-28 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC1,,,2019-03-28
3,3,0,0,LC08_016032_20190413,-78.00561193839651,40.753644915829305,2019-04-13 15:51:42.414000128,0.05663,0.0688949999999999,0.09744,0.13495,0.286695,0.37057,0.2549875,295.57495166,21824.0,0.184802075,0.35988805748912,0.2401511063140852,0.2469687352505574,295.57495166,0.3148155981206116,0.953148155981206,0.971038891473798,-78.0055761347669,40.75358660061096,-0.3598880469799042,0.3598880469799042,1,1,-0.4926783552657268,-295.57495166,295.57495166,298.0658883921105,-298.0658883921105,298.0658883921105,0.7678422890446831,0.8399407995601055,13.482512810072118,412.4905275186448,843.842494374666,0.7678422890446831,1.7596648092370462,0.8399407995601055,305.09144786490805,566.2054738604805,71.70259203787117,0.0120217747876515,0.2405476643280617,189.0474522094991,18.00182033029531,2.834770615634582,30.37511963481004,0.0120217747876515,0.2405476643280617,0.3312874341719256,0.3820588886737823,-111.04395294189452,0.4502708375165379,2.712619117461777,305.45542961311025,0.6177020212446098,0,-78.00561193839651,40.753644915829305,124.12880751490336,15.487969765213922,47.73299978217364,1.547222604986025,230.9262861543764,41.26125925023421,-78.2736662259575,0.7676450610160828,242152,290.64616682,327837,39.588352053756026,-77.74499507272846,0.2870455682277679,471.18967121813233,84.15526614134023,305.04286706,76.92987817121599,2019-04-13 15:51:42.414000128+00:00,2019-04-13 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC1,,,2019-04-13
4,4,0,0,LC08_016032_20190515,-78.00561193839651,40.753644915829305,2019-05-15 15:51:48.504000000,0.05795,0.0714799999999999,0.1158925,0.15453,0.2646125,0.3513475,0.26409,297.21218324,21824.0,0.18353515,0.2626374085185826,0.1662182138289568,0.1796497822698874,297.21218324,0.1593685114520265,0.9515936851145202,0.9705259160877916,-78.0055761347669,40.75358660061096,-0.2626374065876007,0.2626374065876007,1,1,-0.3908490032982484,-297.21218324,297.21218324,299.7767152399865,-299.7767152399865,299.7767152399865,0.7746438834905567,0.9412308391656462,14.855151422158343,421.01836656446665,922.8209057569292,0.7746438834905567,1.8281629709821896,0.9412308391656462,304.99125939483685,622.6602222864801,85.12041730935226,0.0082349480513899,0.3792328576740366,308.34177493341747,13.338399024985709,3.440464336955941,19.26695942607201,0.0082349480513899,0.3792328576740366,0.4848452074004213,0.3851710259914398,-112.02484130859376,0.3384197907347076,2.452574088466748,229.19803004371045,0.4263833634673114,0,-78.00561193839651,40.753644915829305,162.3176590756592,16.084836047493656,51.48506200516496,2.534207087363217,278.0247988904971,39.541693750137895,-78.28276824761733,0.8938257694244385,361298,290.84441198,705621,39.52180639491031,-77.34036342922626,0.2176968604326248,574.2491612973474,99.38829540065392,305.64102056,69.55500114891697,2019-05-15 15:51:48.504000+00:00,2019-05-15 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UC1,,,2019-05-15
5,5,0,0,LC08_016032_20190702,-78.00561193839651,40.753644915829305,2019-07-02 15:52:08.515000064,,,,,,,,,,,,,,,,,,-78.0055761347669,40.75358660061096,,,1,1,,,,,,,0.7416257050009136,2.2696273737525767,32.85700414762431,,890.5489980041165,0.7416257050009136,3.664452803751084,2.2696273737525767,364.9644817346884,,,,,,,,,,,,0.2551482021808624,-77.34014129638672,,,,,0,-78.00561193839651,40.753644915829305,,27.46820198158637,61.93632433822843,2.097298945177459,269.2052159286237,39.906160416370575,-78.91129594792703,0.9393153190612792,285147,303.1185218,535841,40.61472944407503,-78.26314157470618,0.4864777028560638,488.0829222765005,120.98661284410734,320.14367942,,2019-07-02 15:52:08.515000064+00:00,2019-07-02 16:00:00+00:00,2019-07-02,83.50312685804998,68.68235252083333,24.826935560290963,20.4204609375,8.90637,131.3574843125,33.348300854166666,14.121051894159052,201907021200.0,201907021230.0,-0.141253,54.2857,150.693,-35.9158,3.44515,1.66806,-9.26919,0.0988,2.76775,7.53572,271.87,28.3048,0.357516,-72.2727,-0.0367,31.3096,97.3648,393.988,385.138,27.2142,26.4932,1.2251,1.2851,0.478601,0.328961,22.0446,40.3046,48.2343,60.3836,0.0,0.0,2.0,0.0,30.7153,58.5361,472.591,714.553,149.583,431.007,523.386,1338.14,27.6907,26.725,32.7334,33.2097,117.539,111.496,36.08,0.0,PA,CVM,10.1,1006.35,40.7536,-78.0056,390.0,US-UC1,2019-07-02 12:00:00,2019-07-02 12:00:00-04:00,2019-07-02
6,6,1,1,LC08_016032_20190718,-78.00561193839651,40.753644915829305,2019-07-18 15:52:11.024000000,,,,,,,,,,,,,,,,,,-78.0055761347669,40.75358660061096,,,1,1,,,,,,,0.7364657911807584,2.4417644910916385,35.189731578208594,,871.6204854787137,0.7364657911807584,3.345028728213085,2.4417644910916385,347.8971563287881,,,,,,,,,,,,0.4209471940994262,-126.01276397705078,,,,,1,-78.00561193839651,40.753644915829305,,25.91723441729936,72.99681675367941,1.2416097439123388,218.8640706801932,41.041604382306616,-78.11786128713997,0.9361956119537354,71907,299.35528178,112394,39.33395732947008,-77.34069734036218,0.5599504113197327,562.6395110149177,101.07706060637705,314.261267,,2019-07-18 15:52:11.024000+00:00,2019-07-18 16:00:00+00:00,2019-07-18,139.19910260879112,97.41038442553192,17.589864653537855,12.309242270833332,15.525479375000002,181.85444625,56.609340178634746,9.539999612671014,201907181200.0,201907181230.0,0.0471,56.3674,284.537,-29.9237,6.49183,1.39601,0.112732,0.0672,0.170517,4.99388,87.2881,88.8198,0.205642,-13.2658,-0.199762,29.7999,97.5093,397.463,387.444,30.0938,29.2146,0.693452,1.1908,0.288163,0.539903,21.2531,38.8575,46.5025,58.2156,0.0,0.0,0.0,0.0,28.625,72.9041,541.614,732.765,124.153,413.98,480.978,1314.25,26.8956,29.5979,28.466,28.6694,64.9965,42.2216,29.32,0.0,PA,CVM,10.1,1006.35,40.7536,-78.0056,390.0,US-UC1,2019-07-18 12:00:00,2019-07-18 12:00:00-04:00,2019-07-18
7,7,0,0,LC08_016032_20190803,-78.00561193839651,40.753644915829305,2019-08-03 15:52:18.111000064,,,,,,,,,,,,,,,,,,-78.0055761347669,40.75358660061096,,,1,1,,,,,,,0.7370675244022891,2.264498959726303,32.787506108738725,,852.8926420030893,0.7370675244022891,3.092195639953576,2.264498959726303,347.5752385338029,,,,,,,,,,,,0.3074265420436859,-92.01399230957033,,,,,0,-78.00561193839651,40.753644915829305,,24.595206802218684,73.23271951060319,0.2911659090438266,240.1111623185413,39.66877023598139,-79.07301136676338,0.9235658645629884,166434,299.30401148,212116,39.41836252584639,-77.40310531237428,0.5928688049316406,507.2063478644191,98.7040883623443,318.90293816,,2019-08-03 15:52:18.111000064+00:00,2019-08-03 16:00:00+00:00,2019-08-03,80.88768791945645,58.23820529166667,45.29488311492024,32.6117950625,9.776187083333332,135.30249958333334,34.67631214583334,-0.6562585343766756,201908031200.0,201908031230.0,0.0655,130.014,211.868,-34.5602,4.81771,2.34873,-0.510402,-0.107325,0.825069,3.7294,115.535,55.7739,0.240629,-9.23065,-0.287087,25.7116,97.8245,389.838,380.828,27.1862,26.4666,0.77011,0.575966,0.30072,0.754257,23.2912,42.5838,50.9619,63.7983,1.0,0.0,0.0,0.0,25.1854,81.0939,607.971,830.215,147.014,404.693,479.922,1428.08,22.7203,21.3059,25.6137,26.068,52.9659,36.8597,29.31,0.0,PA,CVM,10.1,1006.35,40.7536,-78.0056,390.0,US-UC1,2019-08-03 12:00:00,2019-08-03 12:00:00-04:00,2019-08-03
8,8,1,1,LC08_016032_20190819,-78.00561193839651,40.753644915829305,2019-08-19 15:52:23.246000128,0.0069099999999999,0.0115849999999999,0.0295425,0.0192574999999999,0.2118125,0.0784099999999999,0.0345199999999999,300.5720969,21824.0,0.0793589349999999,0.8333189076903105,0.3880686352753392,0.3950818663055522,300.5720969,0.7620051999713767,0.9576200519997136,0.9725146171599056,-78.0055761347669,40.75358660061096,-0.8333188891410828,0.8333188891410828,1,1,-0.755194630316339,-300.5720969,300.5720969,303.29291367491373,-303.29291367491373,303.29291367491373,0.7290839719419122,2.4426014545751533,35.2010737437251,443.17059312733096,816.1664651587402,0.7290839719419122,3.256333755589534,2.4426014545751533,339.24680246671824,633.0953111926123,44.15783569274424,0.0276358921367032,0.2474807476289264,88.75001158256876,19.879548437046928,1.5076351625159816,29.52417168544618,0.0276358921367032,0.2474807476289264,0.327059156297771,0.2499031275510788,-74.28621673583984,0.7410695223698894,4.393194806336074,500.1874639172993,0.849304866348943,1,-78.00561193839651,40.753644915829305,145.4720160368488,25.46369904200698,75.01078322768359,1.4554886067713926,220.0656980172841,40.792978450638216,-76.69606333790051,0.897391140460968,269915,297.26003552,323110,40.47189107941369,-78.83961624936023,0.6997432708740234,490.71877065070606,82.12048060262715,315.51226232,124.59100470769104,2019-08-19 15:52:23.246000128+00:00,2019-08-19 16:00:00+00:00,2019-08-19,150.01003142239873,99.4360161875,16.009638039115668,10.612187812499998,13.455518125,176.902034375,53.39831225,-2.573153211514392,201908191200.0,201908191230.0,-0.0775,52.0627,330.633,-32.095,7.53949,2.39336,-10.0349,-0.120857,1.70667,6.24281,279.245,61.3004,0.262875,-30.053,-0.0882,29.0628,97.8783,391.86,383.735,24.3412,23.7628,1.63245,1.1751,0.391668,0.405383,20.2353,36.9966,44.2755,55.4277,2.0,0.0,0.0,0.0,28.0739,61.4602,706.181,952.046,150.652,396.187,491.401,1683.67,33.5436,33.7375,25.9652,26.8564,80.1583,44.776,29.46,0.0,PA,CVM,10.1,1006.35,40.7536,-78.0056,390.0,US-UC1,2019-08-19 12:00:00,2019-08-19 12:00:00-04:00,2019-08-19
9,9,0,0,LC08_016032_20190904,-78.00561193839651,40.753644915829305,2019-09-04 15:52:26.424000000,,,,,,,,,,,,,,,,,,-78.0055761347669,40.75358660061096,,,1,1,,,,,,,0.7313354268638187,2.028579033665646,29.590421764290795,,780.6172110729431,0.7313354268638187,2.870308068275292,2.028579033665646,345.92242659070246,,,,,,,,,,,,0.2688971161842346,-80.34044647216797,,,,,0,-78.00561193839651,40.753644915829305,103.94697505463624,23.35487398098386,70.67461002137574,3.0259029110576154,196.38555722426725,39.78905072832765,-78.85841501389028,0.8978870511054993,270960,298.7776364,429783,40.961226308784994,-76.8939317038528,0.5621746778488159,466.1252998131116,85.87340644464093,313.8340145,,2019-09-04 15:52:26.424000+00:00,2019-09-04 16:00:00+00:00,2019-09-04,139.62018220093316,97.838561625,15.325478647657134,10.7392983125,5.2260856250000005,151.78696041666666,37.98301485416667,-8.384786056923629,201909041200.0,201909041230.0,-0.390273,93.7646,390.386,-37.8503,8.89783,1.17841,-9.15212,0.0305,4.42136,10.8138,255.772,17.545,0.590365,-188.419,-0.0141,28.4392,97.4853,390.782,383.354,22.8424,22.3322,1.71943,1.23292,0.702491,0.401081,24.223,44.2874,53.0007,66.3506,0.0,0.0,0.0,0.0,27.5869,59.1857,679.497,920.404,149.163,377.808,469.552,1526.46,31.7082,29.5757,23.4306,23.6478,50.9604,39.9144,27.46,0.0,PA,CVM,10.1,1006.35,40.7536,-78.0056,390.0,US-UC1,2019-09-04 12:00:00,2019-09-04 12:00:00-04:00,2019-09-04
