,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,FC,SC,NEE_PI,G_inst_af,G_2_1_1,G_3_1_1,G_4_1_1,H_inst_af,LE_inst_af,WD,WS,USTAR,ZL,MO_LENGTH,W_SIGMA,V_SIGMA,U_SIGMA,PA,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,SWC,TS_1_1_1,TS_1_2_1,WTD,Rn_inst_af,PPFD_IN,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,P,THROUGHFALL,SWP,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_020031_20130526,-83.84367313836087,41.55458282315027,2013-05-26 16:18:36.503000064,,,,,,,,,,,,,,,,,,-83.84351012138609,41.55450125048547,,,1,1,,,,,,,0.7861677216867564,0.632555283102816,10.848109762621222,,943.0587009320406,0.7861677216867564,1.891647769642253,0.632555283102816,305.1183679856611,,,,,,,,,,,,0.3688863813877105,-107.4436264038086,,,,,0,-83.84367313836087,41.55458282315027,,16.620768230762486,33.43937984937039,1.564461799732327,346.68836034107824,41.747230800966776,-82.63255269786032,0.8111679553985596,99416,291.26482844,149017,42.4651787992248,-83.27760205597954,0.1630692332983017,647.8989626428327,108.51102888666632,308.35834646,,2013-05-26 16:18:36.503000064+00:00,2013-05-26 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Oho,,,2013-05-26
1,1,0,0,LC08_020031_20130611,-83.84367313836087,41.55458282315027,2013-06-11 16:18:33.615000064,,,,,,,,,,,,,,,,,,-83.84351012138609,41.55450125048547,,,1,1,,,,,,,0.7475454377426418,1.9055505278024003,28.45337277346976,,901.6080644728488,0.7475454377426418,2.9263156717957126,1.9055505278024003,343.74684353262114,,,,,,,,,,,,0.4522312581539154,-135.1243133544922,,,,,0,-83.84367313836087,41.55458282315027,,23.675642056967085,65.11773648237592,2.9470866880946094,258.0628805224628,42.41023810186223,-83.84942860900999,0.8916109204292297,310431,298.7947265,454061,41.40167026776587,-84.61010476815856,0.2390086501836776,654.2318663865447,114.54726644094242,311.71826012,,2013-06-11 16:18:33.615000064+00:00,2013-06-11 16:00:00+00:00,2013-06-11,186.1997764238288,156.29730614094413,30.31039893853164,25.44274645833333,8.246209145833333,213.73073197916665,23.74447023405584,-11.025652529027116,201306111200.0,201306111230.0,382.982450022333,19.8243082386806,-31.9212835313762,-0.522519747766325,-32.4438032791425,10.79893,11.90086,9.167299,8.973692,143.202,423.744312664022,102.243,2.836555,0.70016,-0.08117,-213.625723789577,0.84122,1.35873,1.39143,98.5695,64.04683,-9999.0,64.01393,72.87787,24.97324,-9999.0,25.25634,23.64984,19.5522640224,18.06044,16.18598,-1.918331,740.3523,2171.9236904,45.342975,951.1884,132.2135,369.7649,448.3874,0.0,0.0,-9.43499,OH,DBF,10.1,849.0,41.5545,-83.8438,230.0,US-Oho,2013-06-11 12:00:00,2013-06-11 12:00:00-04:00,2013-06-11
2,2,1,1,LC08_020031_20130627,-83.84367313836087,41.55458282315027,2013-06-27 16:18:30.560000000,,,,,,,,,,,,,,,,,,-83.84351012138609,41.55450125048547,,,1,1,,,,,,,0.7334134404927787,2.574668945393776,37.70714318317692,,880.3427634195458,0.7334134404927787,3.4257398594801782,2.574668945393776,349.9930541404771,,,,,,,,,,,,0.1191604137420654,-35.71406555175781,,,,,1,-83.84367313836087,41.55458282315027,,26.32092643269534,75.15658079724875,2.199595257027535,263.5511343657113,42.09451843643728,-84.53493099345651,0.9069314002990724,109021,299.71417388,192099,42.35525830430368,-83.40803360963622,0.1175459548830986,196.96595397692644,74.83363492240147,321.54506762,,2013-06-27 16:18:30.560000+00:00,2013-06-27 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Oho,,,2013-06-27
3,3,0,0,LC08_020031_20130713,-83.84367313836087,41.55458282315027,2013-07-13 16:18:32.604000000,,,,,,,,,,,,,,,,,,-83.84351012138609,41.55450125048547,,,1,1,,,,,,,0.7448452689924687,1.9453799577267643,29.004205616176936,,882.3669822805598,0.7448452689924687,3.1679285139893767,1.9453799577267643,355.9629315618359,,,,,,,,,,,,0.291812002658844,-87.93197631835938,,,,,0,-83.84367313836087,41.55458282315027,,25.00079916048832,61.40858132170871,3.020344629253327,299.07771297743915,41.42517692148962,-84.5841287747437,0.9286118745803832,401566,301.33089734,569764,42.21149948384705,-84.1057530877951,0.3117069005966186,493.4717202690314,121.72380406019106,316.2266285,,2013-07-13 16:18:32.604000+00:00,2013-07-13 16:00:00+00:00,2013-07-13,146.6197162093267,123.13046383111748,22.319767793018524,18.74402319148936,4.24772076875,196.19799229166665,50.075784500309794,23.010787520571416,201307131200.0,201307131230.0,374.252381676483,21.0706833080365,-22.4536039250037,0.315087424946835,-22.1385165000569,9.140071,8.874585,6.902099,7.467712,76.5883,283.372222906291,234.309,2.708974,0.6752,-0.04796,-361.551292743953,0.68798,1.01441,1.27488,99.4642,66.38218,-9999.0,67.10308,71.88416,25.62024,-9999.0,25.7043,24.92999,18.8028668544,22.62271,19.20564,-1.696868,517.2692,1497.2838448,6.62486338,664.3009,87.83276,389.7874,448.9863,0.0,0.0,-17.78084,OH,DBF,10.1,849.0,41.5545,-83.8438,230.0,US-Oho,2013-07-13 12:00:00,2013-07-13 12:00:00-04:00,2013-07-13
4,4,0,0,LC08_020031_20130814,-83.84367313836087,41.55458282315027,2013-08-14 16:18:33.430000128,0.024125,0.0232449999999999,0.0369674999999999,0.0195875,0.4224075,0.162285,0.0588575,292.15693166,21824.0,0.15331683,0.9113677756535706,0.737444117765516,0.6414365256715799,292.15693166,2.7442316984420634,0.9774423169844206,0.9790559646048588,-83.84351012138609,41.55450125048547,-0.9113677740097046,0.9113677740097046,1,1,-0.8390530612244899,-292.15693166,292.15693166,294.4433465907157,-294.4433465907157,294.4433465907157,0.7626328610596431,1.0468906475772528,16.578282830148808,403.77458104769727,855.9920618132376,0.7626328610596431,2.157517231641395,1.0468906475772528,314.36646446290337,628.2545767499914,21.3825189849901,0.1103468463031632,0.5032466145442741,52.912202062282205,12.574593563876007,0.5513772589744264,14.519052628810453,0.1103468463031632,0.5032466145442741,0.5719894674017009,0.30966717004776,-90.62805938720705,0.8137405601256832,4.716559360367365,553.9598557027191,0.9128116027336172,0,-83.84367313836087,41.55458282315027,146.563302075604,18.706785466440504,48.52293331538307,2.498606861349149,258.771018669458,41.09777921720514,-84.84231770561219,0.9916831254959106,162955,292.66279862,285266,41.71759920045584,-84.17667047356991,0.4138640165328979,480.263837100266,89.35411911430424,305.12148152,133.76162346001846,2013-08-14 16:18:33.430000128+00:00,2013-08-14 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Oho,,,2013-08-14
5,5,1,1,LC08_020031_20130830,-83.84367313836087,41.55458282315027,2013-08-30 16:18:36.098000128,,,,,,,,,,,,,,,,,,-83.84351012138609,41.55450125048547,,,1,1,,,,,,,0.7276517152025738,2.124798986006227,31.4855339598317,,779.6622212707205,0.7276517152025738,4.005073393369704,2.124798986006227,351.82649376180296,,,,,,,,,,,,0.3106849193572998,-93.18569946289062,,,,,1,-83.84367313836087,41.55458282315027,,28.99738970066507,53.052685364612216,3.2290208563299685,238.98036662773464,42.007211767220646,-84.71589927694707,0.9069309830665588,230929,299.93634518,342648,42.32342614940018,-83.48181496573699,0.1432138383388519,489.58825808413695,99.2359625632794,314.01175154,,2013-08-30 16:18:36.098000128+00:00,2013-08-30 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Oho,,,2013-08-30
6,6,0,0,LC08_020031_20131001,-83.84367313836087,41.55458282315027,2013-10-01 16:18:26.275000064,,,,,,,,,,,,,,,,,,-83.84351012138609,41.55450125048547,,,1,1,,,,,,,0.7189372925953621,1.6312379959361454,24.659686747708623,,662.4093461928253,0.7189372925953621,2.7994527174050874,1.6312379959361454,325.2993773063397,,,,,,,,,,,,0.3547082245349884,-104.23788452148438,,,,,0,-83.84367313836087,41.55458282315027,,22.94114850476757,58.26988917491695,4.475589407300149,171.06979213914292,42.69396470294167,-84.39153873340658,0.94272118806839,44681,293.86935968,63261,41.08085168177055,-84.075082578475,0.2049591243267059,472.98138144532265,64.9093593271487,303.09459566,,2013-10-01 16:18:26.275000064+00:00,2013-10-01 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Oho,,,2013-10-01
