,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,USTAR,TA,TA_PI_F,WD,WS,NEE_PI,FC,SC,H_inst_af,LE_inst_af,SLE,G_inst_af,TS_PI_1,TS_PI_2,TS_PI_3,P_PI_F,RH,RH_PI_F,PA,CO2,Rn_inst_af,PPFD_IN,SW_IN,SW_IN_PI_F,SW_OUT,LW_IN,LW_OUT,H2O,ZL,TAU,MO_LENGTH,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,FETCH_MAX,FETCH_90,FETCH_70,FETCH_FILTER,D_SNOW,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_041030_20140108,-116.7486925010737,43.06456098422677,2014-01-08 18:27:13.921999872,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.7081284432387389,0.518848520985429,7.815472507750213,,373.9796029477245,0.7081284432387389,0.6068066700895959,0.518848520985429,242.5505291475705,,,,,,,,,,,,0.2159014791250229,-58.8980712890625,,,,,0,-116.7486925010737,43.06456098422677,,-0.0900948999933861,85.50474913349589,1.32415192188936,77.74463828268071,42.6038002562555,-115.49276310532964,0.4587143957614898,15583,272.8006844,28305,42.60915730331716,-116.04051760302993,0.149547666311264,209.99773582321768,19.34782207407178,282.31645208,,2014-01-08 18:27:13.921999872+00:00,2014-01-08 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-01-08
1,1,1,1,LC08_041030_20140124,-116.7486925010737,43.06456098422677,2014-01-24 18:27:04.335000064,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.7357146971164524,0.3004176050488218,5.409306074997798,,430.59026741262255,0.7357146971164524,0.6971406254946402,0.3004176050488218,215.4226493852541,,,,,,,,,,,,0.1811597347259521,-48.10344314575195,,,,,1,-116.7486925010737,43.06456098422677,,1.8307637384445623,43.09282719475247,1.1468448273277994,124.3868227183698,44.07079519455762,-116.09963718751416,0.8013911843299866,104637,265.53055586,164921,42.2558302181137,-115.53526562843778,0.1487932056188583,212.84908362862743,19.46392809882597,280.25880404,,2014-01-24 18:27:04.335000064+00:00,2014-01-24 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-01-24
2,2,2,2,LC08_042030_20140115,-116.7486925010737,43.06456098422677,2014-01-15 18:33:16.301000192,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.7255014908262917,0.3133800297158857,5.552096077902071,,397.98561400056246,0.7255014908262917,0.781355531980229,0.3133800297158857,230.31472984245065,,,,,,,,,,,,0.157415509223938,-42.46043014526367,,,,,2,-116.7486925010737,43.06456098422677,,3.432716100981385,40.10722608204627,1.3260027466141702,111.19599316558362,43.67820788150612,-115.98866541190806,0.7856655716896057,79105,269.73472046,129302,43.01967736306577,-116.4822195704752,0.1487109065055847,168.135297087766,18.83904184069376,284.89705718,,2014-01-15 18:33:16.301000192+00:00,2014-01-15 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-01-15
3,3,0,0,LC08_041030_20140225,-116.7486925010737,43.06456098422677,2014-02-25 18:26:39.499000064,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.7538049683758123,0.6953170284476109,9.75939421531954,,588.9511072545971,0.7538049683758123,1.000406413368894,0.6953170284476109,252.8563618931194,,,,,,,,,,,,0.161901593208313,-44.82981872558594,,,,,0,-116.7486925010737,43.06456098422677,,6.978879789183699,69.50345571117573,1.8916775983398104,169.91614439064443,43.89845714527258,-115.97037630703484,0.9816162586212158,315167,276.89547236,422088,42.78517907626616,-116.02569982689506,0.1121048554778099,295.4216004473368,46.523768843374725,295.18187936,,2014-02-25 18:26:39.499000064+00:00,2014-02-25 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-02-25
4,4,1,1,LC08_042030_20140216,-116.7486925010737,43.06456098422677,2014-02-16 18:32:57.744000000,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.7623459744182093,0.3236651133989583,5.665393332597652,,548.5927908354286,0.7623459744182093,0.58711694303351,0.3236651133989583,249.0093411545873,,,,,,,,,,,,0.2223120629787445,-61.37787628173828,,,,,1,-116.7486925010737,43.06456098422677,,-0.542137829247187,55.12787822586903,5.322415491428289,138.56941471608997,43.91143327050938,-118.05799402589872,0.423451691865921,99378,276.08881964,142401,42.66586265671557,-118.02527195303512,0.132806047797203,361.1797633586358,34.31079620500461,285.82675862,,2014-02-16 18:32:57.744000+00:00,2014-02-16 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-02-16
5,5,0,0,LC08_041030_20140313,-116.7486925010737,43.06456098422677,2014-03-13 18:26:28.282000128,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.7810104311715169,0.4628964308168451,7.199121838575456,,696.8033197111213,0.7810104311715169,1.060609607962132,0.4628964308168451,255.07055827715536,,,,,,,,,,,,0.2208986431360244,-61.48445892333984,,,,,0,-116.7486925010737,43.06456098422677,,7.832744179837451,43.64437464471586,1.0235293396885157,230.7882896292278,42.96647396504654,-116.62502772052864,0.9414054155349731,447028,278.3378768,638516,42.792887230862085,-116.1451645422205,0.1108109876513481,407.34367693889374,63.406778052826034,299.29375742,,2014-03-13 18:26:28.282000128+00:00,2014-03-13 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-03-13
6,6,1,1,LC08_042030_20140304,-116.7486925010737,43.06456098422677,2014-03-04 18:32:41.808999936,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.7702032461436019,0.5048410155236426,7.661170222726932,,639.446637379284,0.7702032461436019,0.8631843054494799,0.5048410155236426,273.50690476345164,,,,,,,,,,,,0.1977190524339676,-55.93220520019531,,,,,1,-116.7486925010737,43.06456098422677,,4.849419420024647,58.48588908955664,3.2961005729988018,172.85732776608305,43.75382920912107,-115.92814203864626,0.6771923303604126,218118,282.88726142,318762,42.997759479107344,-116.32046356652975,0.1188914477825164,322.68655502055384,51.64938809811723,296.64479192,,2014-03-04 18:32:41.808999936+00:00,2014-03-04 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-03-04
7,7,2,2,LC08_042030_20140320,-116.7486925010737,43.06456098422677,2014-03-20 18:32:32.706000128,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.7939541666026373,0.3357872971082475,5.798927504754009,,745.0371246137684,0.7939541666026373,0.7056982769940968,0.3357872971082475,273.1169454869389,,,,,,,,,,,,0.1689821183681488,-47.91897964477539,,,,,2,-116.7486925010737,43.06456098422677,,2.001125567756528,47.58227532289361,3.5370838154031623,236.805379497722,43.64398593705023,-116.06177311917938,0.6081873774528503,479931,283.57428344,685250,43.13723211049677,-117.711450068161,0.0900976881384849,394.1311593559817,82.72020966925069,300.45588422000003,,2014-03-20 18:32:32.706000128+00:00,2014-03-20 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-03-20
8,8,0,0,LC08_041030_20140414,-116.7486925010737,43.06456098422677,2014-04-14 18:25:55.717999872,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.8136086267373217,0.2654497344507804,5.024110984380425,,875.7940559783809,0.8136086267373217,1.1593377096003388,0.2654497344507804,290.137388231817,,,,,,,,,,,,0.1728815287351608,-49.89694213867188,,,,,0,-116.7486925010737,43.06456098422677,,9.14477959787306,22.8966704224854,1.546099182114939,303.0316560965455,42.96643728235651,-116.61399215247768,0.6776178479194641,476265,288.61928096,665231,42.8254492905341,-115.23635266413616,0.1359503716230392,466.1780413585235,112.07422536132349,311.54735912,,2014-04-14 18:25:55.717999872+00:00,2014-04-14 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-04-14
9,9,1,1,LC08_042030_20140405,-116.7486925010737,43.06456098422677,2014-04-05 18:32:17.549999872,,,,,,,,,,,,,,,,,,-116.7485965822414,43.06460700548224,,,1,1,,,,,,,0.7987510433354035,0.4446745714628966,6.998395553416577,,824.7177500228155,0.7987510433354035,0.8109714154230527,0.4446745714628966,295.62116457821134,,,,,,,,,,,,0.36306032538414,-105.07535552978516,,,,,1,-116.7486925010737,43.06456098422677,,3.959949362831152,54.83233601161231,3.2935043682978726,247.4305017712853,43.45074613251772,-116.41070394051734,0.879824161529541,172563,289.41567962,269237,43.93982777672715,-117.0256681526657,0.1545586585998535,483.0301439027226,85.80217926313038,302.81431802,,2014-04-05 18:32:17.549999872+00:00,2014-04-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rms,,,2014-04-05
