,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,FC_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,H_inst_af,H_SSITC_TEST,G_inst_af,SG,FETCH_MAX,FETCH_90,WD,WS,WS_MAX,USTAR,ZL,TAU,TAU_SSITC_TEST,MO_LENGTH,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_1_2,RH_1_1_2,VPD_PI,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_1_2,TS_2_1_1,SWC_1_1_1,SWC_1_1_2,SWC_2_1_1,ALB,Rn_inst_af,NETRAD_1_1_2,PPFD_IN,SW_IN_1_1_1,SW_IN_PI_F_1_1_1,SW_OUT,LW_IN,LW_OUT,P,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_027039_20210109,-98.38155853890916,29.66340374420334,2021-01-09 17:03:13.480999936,0.0341624999999999,0.0415875,0.0597099999999999,0.0653199999999999,0.209585,0.2032875,0.1273875,284.4732227,21824.0,0.1157185275,0.5247812880813373,0.279670323811961,0.2792568121253573,284.4732227,0.3979718293649701,0.9539797182936496,0.9713133070369044,-98.3814361187346,29.66332584650221,-0.5247812867164612,0.5247812867164612,1,1,-0.5565457955030729,-284.4732227,284.4732227,284.8700119297948,-284.8700119297948,284.8700119297948,0.7239630745990553,0.6811410279868905,11.43420909577362,354.2319840484416,555.191288604825,0.7239630745990553,1.108786033298199,0.6811410279868905,270.17919629585293,394.4588597293281,19.926475484620685,0.0144136916391824,0.3904780728145222,122.02125799989555,14.584618996503233,1.418123974700336,18.71209829830748,0.0144136916391824,0.3904780728145222,0.4723040039679758,0.3381147384643554,-94.90061950683594,0.3675370463979913,1.3555632834217717,252.5111262448118,0.6742037187359189,0,-98.38155853890916,29.66340374420334,57.55682244713201,8.485822538268433,61.43124169419468,2.464696481077012,121.84239368269694,30.66995171779933,-96.84299666412927,0.7078081369400024,277754,280.67580248,458126,30.82397035133437,-97.5686763625944,0.2431205064058303,356.38515485800656,35.13632841041687,292.5055697,38.44377471784144,2021-01-09 17:03:13.480999936+00:00,2021-01-09 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-01-09
1,1,1,1,LC08_027039_20210125,-98.38155853890916,29.66340374420334,2021-01-25 17:03:08.717999872,0.02495,0.0331724999999999,0.0506625,0.0552274999999999,0.17257,0.1790875,0.1107774999999999,293.60959016000004,21824.0,0.0967303,0.5151175934766625,0.2337236944447488,0.2418444003998365,293.60959016000004,0.3021780706049626,0.9530217807060496,0.9709971876329964,-98.3814361187346,29.66332584650221,-0.5151175856590271,0.5151175856590271,1,1,-0.5461010381552865,-293.60959016000004,293.60959016000004,294.073815764379,-294.073815764379,294.073815764379,0.7225600241135323,0.912986086627959,14.611363556096748,401.5751520356969,587.6831000287182,0.7225600241135323,2.08429426413272,0.912986086627959,311.3870798951545,426.0198547928503,37.476180918474135,0.0116805002864783,0.5326602345268201,102.74834895736949,11.802478382411907,1.0018122461173815,13.717307221797318,0.0116805002864783,0.5326602345268201,0.6034984795632206,0.3037852942943573,-88.33348846435547,0.4196702739097855,2.0824267602669213,285.79532491700667,0.7355552133102287,1,-98.38155853890916,29.66340374420334,80.33228647084213,18.15579224677496,43.80312810618682,3.4362666688557377,172.8131304083543,30.997857255761083,-98.48108708434482,0.7067609429359436,294160,290.77605158,510238,29.571152752445283,-98.356292220112,0.2050402909517288,345.3880995657956,51.76615297694457,299.33477366,59.05762292116989,2021-01-25 17:03:08.717999872+00:00,2021-01-25 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-01-25
2,2,2,2,LC08_027040_20210109,-98.38155853890916,29.66340374420334,2021-01-09 17:03:37.376000000,0.0341074999999999,0.0408725,0.0581975,0.0632025,0.2086775,0.20293,0.1267275,284.4732227,21824.0,0.1147103774999999,0.5350706193909078,0.2838317827211367,0.2827026221692491,284.4732227,0.4072296265901165,0.9540722962659012,0.9713438577677472,-98.3814361187346,29.66332584650221,-0.5350705981254578,0.5350705981254578,1,1,-0.5638594847775175,-284.4732227,284.4732227,284.5664546377922,-284.5664546377922,284.5664546377922,0.7281565959097667,0.6811187212314498,11.433903408829249,354.2663601239084,575.975690479732,0.7281565959097667,1.1092294369838256,0.6811187212314498,280.6234739603476,423.3740236575335,20.664946568252315,0.0146955395471521,0.3913680112453707,25.484681195569195,16.53077589587545,0.3366674728495127,18.66954853716453,0.0146955395471521,0.3913680112453707,0.4344593868552582,0.3056312799453735,-86.6357421875,0.5489016623431185,1.885981637138472,377.224395893712,0.9367168940422984,2,-98.38155853890916,29.66340374420334,57.65315664324776,8.491716383453275,61.4046741387897,2.465298119347796,121.84239368269694,29.75248420884648,-98.72840002929688,0.6183223724365234,260294,283.4649068,434735,27.99800333482048,-97.60072997373165,0.21653912961483,366.8137044535807,36.16452677052972,294.49143932,53.48643922924706,2021-01-09 17:03:37.376000+00:00,2021-01-09 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-01-09
3,3,3,3,LC08_027040_20210125,-98.38155853890916,29.66340374420334,2021-01-25 17:03:32.608999936,0.02429,0.0323199999999999,0.0495625,0.0542925,0.1723775,0.1795824999999999,0.1114925,293.59250006,21824.0,0.09625026,0.5209555741827325,0.2350918686901867,0.2437523222370539,293.59250006,0.3068663821011146,0.9530686638210112,0.9710126590609336,-98.3814361187346,29.66332584650221,-0.5209555625915527,0.5209555625915527,1,1,-0.5533702802559249,-293.59250006,293.59250006,293.76728384362974,-293.76728384362974,293.76728384362974,0.7261644586590317,0.9127556037880312,14.608205069186582,401.5014129989378,606.9167706982449,0.7261644586590317,2.0854104947886425,0.9127556037880312,314.5230415933153,446.76151571350186,38.56233688131157,0.0118064185671419,0.5328696795463421,57.93701916428522,12.239853573151278,0.5860728877009223,13.711915618954942,0.0118064185671419,0.5328696795463421,0.5875439173613413,0.2712479829788208,-79.09770965576172,0.5141834840503217,2.4307580155522746,350.26215966790505,0.8580667914863616,3,-98.38155853890916,29.66340374420334,80.40526523011059,18.164318035644897,43.76863001643902,3.4338366061336414,172.8131304083543,29.58705604414405,-98.72853437577962,0.7141838073730469,155480,291.60663044,245226,29.21099788794671,-98.19652810130384,0.2122659683227539,329.2933459503851,50.63248304906848,299.73810002,68.93629732106251,2021-01-25 17:03:32.608999936+00:00,2021-01-25 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-01-25
4,4,0,0,LC08_027039_20210602,-98.38155853890916,29.66340374420334,2021-06-02 17:02:45.639000064,,,,,,,,,,,,,,,,,,-98.3814361187346,29.66332584650221,,,1,1,,,,,,,0.738771020420037,2.5076153724718098,36.46381785370682,,915.9828242472272,0.738771020420037,3.344801234859269,2.5076153724718098,357.91218618233245,,,,,,,,,,,,0.6584370732307434,-198.5559844970703,,,,,0,-98.38155853890916,29.66340374420334,,25.916084622604668,74.97053476115799,1.392479471445612,240.6765019402512,30.54595960823796,-97.00989890088756,0.8676581382751465,138931,301.55648666,245090,30.699233278377413,-97.5971450473552,0.4698696732521057,606.3204330774512,114.65763802585158,310.97654978,,2021-06-02 17:02:45.639000064+00:00,2021-06-02 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-06-02
5,5,1,1,LC08_027039_20210618,-98.38155853890916,29.66340374420334,2021-06-18 17:02:51.448000000,,,,,,,,,,,,,,,,,,-98.3814361187346,29.66332584650221,,,1,1,,,,,,,0.7345755239694293,2.729258717124144,39.50117023546838,,906.6651365355414,0.7345755239694293,3.9081408075883473,2.729258717124144,379.4194988760804,,,,,,,,,,,,0.3093107938766479,-94.60572814941406,,,,,1,-98.38155853890916,29.66340374420334,175.45404263578996,28.5741158027203,69.83521964778762,1.0855360507772804,285.3838731044565,29.41980110606908,-97.32812688062135,0.8894547820091248,222147,305.85977384,391836,30.47780812587244,-97.62126927858226,0.4395724833011627,535.2276379945005,134.4551836239709,323.69842022,,2021-06-18 17:02:51.448000+00:00,2021-06-18 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-06-18
6,6,2,2,LC08_027040_20210602,-98.38155853890916,29.66340374420334,2021-06-02 17:03:09.535000064,,,,,,,,,,,,,,,,,,-98.3814361187346,29.66332584650221,,,1,1,,,,,,,0.7388828543506671,2.507551729979385,36.46294571077715,,917.0432229159225,0.7388828543506671,3.345286089003911,2.507551729979385,373.6625037737169,,,,,,,,,,,,0.5960206389427185,-181.68145751953125,,,,,2,-98.38155853890916,29.66340374420334,,25.918535085545606,74.9577663393815,1.3923704774564354,240.6765019402512,28.231700706648127,-97.62979376581514,0.877765417098999,122824,304.82411378,212238,28.212673834966708,-98.78742253579998,0.4555443525314331,577.7127739389556,121.41554387134292,314.63383118,,2021-06-02 17:03:09.535000064+00:00,2021-06-02 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-06-02
7,7,3,3,LC08_027040_20210618,-98.38155853890916,29.66340374420334,2021-06-18 17:03:15.344000000,,,,,,,,,,,,,,,,,,-98.3814361187346,29.66332584650221,,,1,1,,,,,,,0.7346325423429863,2.728439594905234,39.489945162022295,,907.0829515289116,0.7346325423429863,3.909042610119396,2.728439594905234,378.8007190577694,,,,,,,,,,,,0.2347844839096069,-71.78224182128906,,,,,3,-98.38155853890916,29.66340374420334,,28.578095588423867,69.79815435733758,1.0857055884975306,285.3838731044565,29.22567527500726,-97.32573530418271,0.8917178511619568,233255,305.73672512,404985,28.752064177981072,-99.2371158463856,0.3675669729709625,451.6258062962335,134.73475525348204,326.8395806,,2021-06-18 17:03:15.344000+00:00,2021-06-18 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-06-18
8,8,0,0,LC08_027039_20210720,-98.38155853890916,29.66340374420334,2021-07-20 17:02:57.759000064,,,,,,,,,,,,,,,,,,-98.3814361187346,29.66332584650221,,,1,1,,,,,,,0.7321175602521748,2.7635366840279825,39.97090806847497,,889.1223656226289,0.7321175602521748,3.910446648989574,2.7635366840279825,339.498181259024,,,,,,,,,,,,0.1955632269382476,-58.16120529174805,,,,,0,-98.38155853890916,29.66340374420334,,28.58429022604143,70.6706146915994,2.0362268495341795,275.534416980896,30.63159882277243,-96.98248522634516,0.8291848301887512,157970,297.40359236,282237,30.67501836217832,-97.31348118157588,0.387311190366745,511.4763908950004,119.70005092182387,319.37804294,,2021-07-20 17:02:57.759000064+00:00,2021-07-20 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-07-20
9,9,1,1,LC08_027040_20210704,-98.38155853890916,29.66340374420334,2021-07-04 17:03:18.287000064,,,,,,,,,,,,,,,,,,-98.3814361187346,29.66332584650221,,,1,1,,,,,,,0.7291051876724769,3.008520719046471,43.32811621485153,,893.819071845224,0.7291051876724769,3.337997958570152,3.008520719046471,341.0419064607968,,,,,,,,,,,,0.1635567545890808,-48.68317794799805,,,,,1,-98.38155853890916,29.66340374420334,,25.88166803351373,90.12949547564092,1.3162016049888343,186.9745776155345,28.27934923309481,-98.042116049626,0.8630557060241699,69231,297.65310782,124019,28.1450971756015,-99.1031667640425,0.4321445822715759,453.0637564926402,118.84494658344916,322.4303348,,2021-07-04 17:03:18.287000064+00:00,2021-07-04 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-EA4,,,2021-07-04
