,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WS_MAX_1_5_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,WD_1_5_1,Air temp,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,Relative humidity,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,SWC_5_7_1,SWC_5_8_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_inst_af,G_3_1_1,Rn_inst_af,P,THROUGHFALL_1_1_1,THROUGHFALL_2_1_1,THROUGHFALL_3_1_1,THROUGHFALL_5_1_1,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,CH4_MIXING_RATIO_1_5_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-105.5475543076232,40.275965763498746,2018-05-26 06:00:00,167.32400270462037,226.88,2018-05-26,US-xRM,0,80.79629885904937,78.69034002665227,74.09575449156208,72.16444562199551,9.979684210526315,172.29875,US-xRM,81,1,1,LC08_034032_20180526,-105.54580259281916,40.27583101620613,2018-05-26 17:42:20.592999936,0.0260225,0.0304774999999999,0.0520924999999999,0.0557225,0.1717175,0.180435,0.1201275,303.34411112,21824.0,0.0971520675,0.510002638058389,0.2270011947431302,0.2391846750247443,303.34411112,0.2956755607110612,0.9529567556071106,0.9709757293503464,-105.5457826704214,40.27578268970189,-0.510002613067627,0.510002613067627,1,1,-0.5344935436307584,-303.34411112,303.34411112,321.87871100937303,-321.87871100937303,321.87871100937303,0.8205563239335544,0.4759690815176072,6.947531417986875,457.5078238212555,987.4172372597926,0.8205563239335544,2.330739546415211,0.4759690815176072,298.92700535232296,718.8442965375093,147.79580825369382,0.0115072026029996,0.2071332663338392,343.0564131178554,16.549522219708756,5.155384520841153,35.27518399706382,0.0115072026029996,0.2071332663338392,0.3110632819950777,0.1672610640525818,-48.68239212036133,0.3440017393563405,3.1662396935358856,227.99207516596005,0.3992516920080633,1,-105.54580259281916,40.27583101620613,219.0003934671182,19.94782329538178,20.421375792489144,1.3382950367447854,325.42895701586417,39.61540715769801,-106.34753609564166,0.7937347292900085,446305,291.05632922,664049,40.14894522433469,-104.95198062269048,0.2396333664655685,484.35439298459295,145.19782460055615,321.33656840000003,2018-05-26 17:42:20.592999936+00:00,2018-05-26 17:30:00+00:00,24503.0,201805261130.0,201805261200.0,408.725292222714,4.69775231467511,418.004117882349,4.62651149128209,,,417.554958953628,5.10982972104288,,,417.703276522107,4.88904225229031,,,417.469596617942,4.93701305408614,,,419.293647201031,5.29862621042611,,,4.25277055223466,11.5337225345874,109.823498462529,19.240336899365,0.845012887311919,-3.19347583403524,0.101109569000816,-3.09236626503442,182.872615283944,-6.52126664898773,0.885235552144736,351.82801469838,-5.56538397141227,380.0,160.0,1.44433397798555,4.14,2.9,1.06,1.28,10.34,9.1,3.63,4.32,,,,,19.7859,19.796,20.1775,20.5719,21.75,22.8273,,17.55,,37.12,35.96,52.89,38.64,109.3,1046.5,1071.5,86.55,289.6,463.8,401.1,582.0,2110.5,2123.45,2050.77,2025.64,2060.25,75.3,191.79,1679.37,776.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.44,12.169,9.081,7.364,6.959,6.4,6.036,17.008,12.94,8.705,7.718,6.745,5.89,5.03,4.429,3.9,,,,,,,5.34,4.438,4.273,16.149,12.949,8.526,6.741,7.024,6.347,6.117,5.874,11.751,9.638,7.946,7.208,6.739,6.182,5.755,5.342,,,,,785.75,0.0,,,,,,,,,,US-xRM,-105.5459,40.2759,2743.0,CO,MST,ENF,Dfc,2.9,730.59,2018-05-26 11:30:00,11:30:00,146,0.0827042522694696,0.1818835678841718,1.0131304319640648,-0.2616666666666666,1121.2631427418298,0.9333223933866128,102.55385802501836,2.3074700932448424,0.4049610013644698,4.454542001769547,902.6174438341249,0.1,0.0138237470251152,0.8419179199488018,1.1877642419831276,-0.1242861515634198,-0.0685428289262228,0.8140781804551916,0.7140781804551917,0.8035308511488679,2018-05-26 11:30:00-06:00,US-xRM,0.8419184925905753,1121.263905384006,72.74679335008675,2750.0,0.0,-0.35,2.7371205816841453,0.2434132824983419,0.1282604789508186,2.865381060634964,0.0483988870043434,0.1443318843890568,1.0200172338203066,530.9123043144853,71.85470423586916,302.60467501325945,16.903092231884198,15.80195310851857,9.245170146659769,52.08949240124859,154.70629691067708,-162.13546889205134,54.7338946899372,36.439969708567794,10
1,1,1,-105.5475543076232,40.275965763498746,2018-06-11 06:00:00,167.32400270462037,224.0440027046204,2018-06-11,US-xRM,1,102.08465749040133,97.93782507718292,120.0581886905601,115.18124439184297,2.613864864864865,209.4608510638297,US-xRM,82,0,0,LC08_034032_20180611,-105.54580259281916,40.27583101620613,2018-06-11 17:42:19.687000064,0.03133,0.0374349999999999,0.0584999999999999,0.06334,0.19666,0.1804625,0.1116025,304.0242971,21824.0,0.10758334,0.5127692307692308,0.2571883289124668,0.2631315789473684,304.0242971,0.3556557346989409,0.9535565573469894,0.9711736639245064,-105.5457826704214,40.27578268970189,-0.5127692222595215,0.5127692222595215,1,1,-0.5414641793384544,-304.0242971,304.0242971,322.6230461534913,-322.6230461534913,322.6230461534913,0.8280740170473387,0.3420971102317101,5.584105489716328,461.9156622332967,1001.2031109560306,0.8280740170473387,1.9633708033598096,0.3420971102317101,313.83501101328665,730.8341067044778,154.92109740700255,0.0131649073150147,0.2330104517053126,357.6211256753973,15.834934514993192,5.15824613605956,31.3576666984866,0.0131649073150147,0.2330104517053126,0.3422620691083922,0.1862809360027313,-54.940277099609375,0.3296085534747098,3.492013368763344,218.291883622078,0.3790362087641677,0,-105.54580259281916,40.27583101620613,254.22781894243468,17.207610260253187,17.423968495726733,1.4847356690557965,380.061858120444,39.75707762463424,-106.58037136965956,0.758402943611145,491822,294.9323639,811532,40.14890814178473,-104.89562542779026,0.2158841788768768,511.9837657831642,153.6478001856159,320.33508854,2018-06-11 17:42:19.687000064+00:00,2018-06-11 17:30:00+00:00,25271.0,201806111130.0,201806111200.0,404.077345577563,2.21219663965439,410.807656893709,2.33245979579709,,,410.756108220713,2.25983895882889,,,410.61294101532,2.40286677704525,,,410.044790385037,2.96465392458997,,,412.189092965636,3.0468259958409,,,3.23326406079674,9.78972827204107,286.614498046157,16.9734541520329,1.06563190523282,-8.58557873594872,,,185.452741510985,,0.495223819279116,500.560249808633,23.1054375841991,300.0,140.0,2.45329671071852,2.52,1.69,0.86,1.1,8.07,6.37,2.59,2.74,,,,,17.6783,17.968,18.3112,18.8701,20.2946,21.6764,,10.82,,42.82,43.67,64.29,40.18,91.4,1060.88,1102.3,91.87,263.7,468.2,389.3,603.8,2114.78,2121.24,2046.13,2040.65,2140.18,77.65,264.61,1612.82,694.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.812,15.766,12.731,10.894,10.364,9.642,9.114,19.291,15.383,11.54,10.672,9.668,8.671,7.52,6.364,5.522,,,,,,,7.972,6.936,6.61,20.421,16.664,11.342,9.394,9.628,8.896,8.594,8.276,13.695,11.768,10.11,9.731,9.257,8.638,8.138,7.611,,63.904,9.917,3.276,764.51,0.0,,,,,,,,,,US-xRM,-105.5459,40.2759,2743.0,CO,MST,ENF,Dfc,2.9,730.59,2018-06-11 11:30:00,11:30:00,162,0.0865979187089963,0.1987556508205646,1.0155711220821315,-0.2616666666666666,1126.9510545207106,0.9413718508397771,102.55385802501836,2.022607907047808,0.2188461755425727,2.7876349807119647,907.1961910770532,0.1,0.0075246683652934,0.8502707240653985,1.1760960029515082,-0.1241557606351615,-0.0683866117754592,0.8149854803677417,0.7149854803677417,0.8160324844328815,2018-06-11 11:30:00-06:00,US-xRM,0.8502712790945666,1126.95179015783,72.74679335008673,2750.0,0.0,-0.35,2.7753350235701166,0.2581153044791549,0.1309920145301547,2.9063270381002715,0.0483988870043434,0.1242146260730498,1.124466241868995,512.1671057729129,71.31553610897474,310.5477708168693,19.256898978314,17.78542138034997,11.38114956193847,59.789418267686,155.89430495912308,-164.61826652820193,54.86498471540875,33.92987161710275,10
2,2,2,-105.5475543076232,40.275965763498746,2019-04-27 06:00:00,102.09599729537965,136.12800540924073,2019-04-27,US-xRM,2,145.27627543789492,110.959677238645,34.3102967990468,26.205651592519327,-0.3195555555555555,184.5185106382979,US-xRM,101,1,1,LC08_034032_20190427,-105.54580259281916,40.27583101620613,2019-04-27 17:42:52.605999872,0.0348775,0.0370224999999999,0.0561074999999999,0.0615525,0.1594249999999999,0.167015,0.1158925,289.4635319,21824.0,0.095598015,0.4429070833003359,0.1955773901766185,0.2036245930004749,289.4635319,0.2122437019708745,0.9521224370197088,0.9707004042165038,-105.5457826704214,40.27578268970189,-0.4429070949554443,0.4429070949554443,1,1,-0.4793592613642955,-289.4635319,289.4635319,308.0122003192953,-308.0122003192953,308.0122003192953,0.8164704173176569,0.4541070677441579,6.724876622239734,379.0105385610077,939.3884302498232,0.8164704173176569,1.017538984441612,0.4541070677441579,262.0052701875535,720.0353188059472,108.87854786151732,0.0094227359940438,0.3265184181568705,357.8805764777565,14.019936882061645,4.32002431016236,22.377494424613538,0.0094227359940438,0.3265184181568705,0.4371981316708697,0.1627112329006195,-45.797019958496094,0.3769785172986371,2.6400524102570126,253.27619446667345,0.4144209906654258,1,-105.54580259281916,40.27583101620613,178.33530649379972,7.226379744184948,44.627977373599606,2.1528303584658057,287.6123518939893,40.314548676993205,-105.57751846984456,0.7399908900260925,212676,281.46194708,337090,39.70404493916425,-104.9890349686864,0.0542285442352294,531.6862187788671,120.93908701292436,309.29488394,2019-04-27 17:42:52.605999872+00:00,2019-04-27 17:30:00+00:00,40631.0,201904271130.0,201904271200.0,411.295275773096,4.60346431098508,,,413.42761461442,,,,413.480528349057,,,,413.025567968504,,,,,,,,414.069985069149,,3.3124812894359,13.9107497798573,111.400117981377,8.99877207815774,0.975973028911346,-5.66959304488186,,,104.246213372394,,0.649518423589999,479.394427034289,-3.6424603443968,260.0,120.0,2.969748803403,2.86,1.98,1.18,1.49,13.12,11.54,5.59,7.02,,,,,9.1487,9.721,9.5049,11.645,11.1472,11.8779,72.62657,32.35,7.8718,23.22,21.0,30.64,24.17,119.0,1065.56,1033.9,82.98,252.8,399.2,352.4,444.9,2036.39,2087.24,2108.43,2069.7,1962.59,72.44,77.79,656.18,1070.76,,,,,,,,,31.4,,,,,,,,32.27,1.38,,9.89,,,,,36.81,20.98,,,,,28.23,10.53,9.49,,5.913,4.492,2.869,1.94,1.854,1.627,1.489,9.548,5.597,2.403,1.91,1.506,1.36,1.05,1.26,1.488,2.12,0.928,0.373,0.648,0.631,0.663,0.945,0.704,1.055,9.748,6.974,3.999,2.753,3.343,2.923,2.867,2.826,5.84,4.695,3.796,4.024,3.921,3.606,3.4,3.048,,23.689,-0.354,5.297,836.18,0.0,0.0,0.0,0.0,0.0,,,,,,US-xRM,-105.5459,40.2759,2743.0,CO,MST,ENF,Dfc,2.9,730.59,2019-04-27 11:30:00,11:30:00,117,0.0778745448402717,0.1179515179220178,1.0063627288883192,-0.2616666666666666,1090.766596612909,0.9768909346039916,102.55385802501836,1.1596444294924753,0.3751449729408158,4.120590472733113,878.0678033480233,0.1,0.0132884665949301,0.8081135770482987,1.237449819433281,-0.124275071258515,-0.0685295539715542,0.8113327967633353,0.7113327967633353,0.8011349108074454,2019-04-27 11:30:00-06:00,US-xRM,0.8081142149073106,1090.7674575751842,72.74679335008675,2750.0,0.0,-0.35,2.60398472865251,0.2456575465244543,0.1083911981443091,2.712375926796819,0.0483988870043434,0.0697383350933705,1.655523061724419,353.09738059094104,73.23329791338858,263.57997662450265,17.817204047274753,16.241075116079223,10.716663609767725,46.14772357315747,128.20544863564274,-138.7570248434842,48.3447517802785,33.54665237072075,10
3,3,3,-105.5475543076232,40.275965763498746,2019-05-13 06:00:00,141.8,190.0119945907593,2019-05-13,US-xRM,3,79.56793413441464,77.84098205257527,107.63675532985036,105.30059415234253,9.86321875,189.7620833333333,US-xRM,102,0,0,LC08_034032_20190513,-105.54580259281916,40.27583101620613,2019-05-13 17:43:02.091000064,0.0357849999999999,0.0402124999999999,0.05817,0.0647975,0.17213,0.1775475,0.1183124999999999,296.54566934,21824.0,0.1017711325,0.4530183283915965,0.2130760915850502,0.2184729841130911,296.54566934,0.2463144381564906,0.9524631443815648,0.9708128376459164,-105.5457826704214,40.27578268970189,-0.4530183374881744,0.4530183374881744,1,1,-0.4948328267477204,-296.54566934,296.54566934,315.07076501416856,-315.07076501416856,315.07076501416856,0.8174114800815695,0.51012318464228,7.295375625476412,417.6356686329737,971.2335728662014,0.8174114800815695,1.2682052025108204,0.51012318464228,316.64030502725814,756.3425841648134,138.40427747726014,0.0102427839184434,0.2825094953740744,263.3483726178743,15.786672802139613,3.692359709343627,25.863428314733834,0.0102427839184434,0.2825094953740744,0.3830448879759442,0.1853308975696563,-54.699989318847656,0.5314364852280925,4.5504509322481725,354.5899340696789,0.5738274035323229,0,-105.54580259281916,40.27583101620613,220.46362562431204,10.482151759985026,40.224025546680224,1.847065421702768,323.5737379270518,39.54919764978123,-105.23103313530792,0.7195727825164795,222279,295.14769916,382849,40.32289803515199,-104.69972812044426,0.2077933847904205,510.5571830411233,149.5466614863636,320.96742224,2019-05-13 17:43:02.091000064+00:00,2019-05-13 17:30:00+00:00,41399.0,201905131130.0,201905131200.0,411.755999955446,5.47126961924631,,,,,,,,,,,,,,,,,,,,,3.63354074705711,10.4554992679625,296.012269079997,12.7527319628117,0.815707370811205,-3.55407528479837,,,217.376113545551,,0.517697017080197,323.495224600073,9.33723684941107,340.0,140.0,2.28093118146391,2.86,1.8,0.78,0.93,6.71,5.48,2.45,2.92,,,,,12.89,13.384,13.2978,15.0648,15.0413,15.8924,73.04988,23.99,11.3406,27.06,24.94,37.9,26.34,182.3,899.36,888.2,69.35,279.3,419.5,372.8,478.4,1741.3,1776.52,1785.83,1700.56,1572.34,61.74,148.16,1080.39,698.29,,,,,,,,,,,,,,,,,33.12,,,,,,,,,22.0,,,,,34.47,,10.7,,8.455,6.539,4.132,2.846,2.625,2.357,2.216,9.74,6.545,3.525,2.843,2.253,2.176,1.941,2.1,2.044,6.376,4.531,2.334,1.947,1.569,1.482,1.647,1.271,1.55,10.512,7.814,4.461,2.943,3.365,2.886,2.827,2.831,7.342,5.722,3.774,3.467,3.169,2.828,2.734,2.548,,,,,689.81,0.0,0.0,0.0,0.0,0.0,,,,,,US-xRM,-105.5459,40.2759,2743.0,CO,MST,ENF,Dfc,2.9,730.59,2019-05-13 11:30:00,11:30:00,133,0.0771103896103896,0.1579966017705669,1.010408286842385,-0.2616666666666666,1110.9305690092865,0.8095555429733451,102.55385802501836,1.4870276666367284,0.3567379372261511,3.927168637403236,894.2997518674634,0.1,0.0124711741732617,0.8296830189256625,1.205279579296292,-0.1242581533053865,-0.0685092851194968,0.8131570654549228,0.7131570654549229,0.8052303772315412,2019-05-13 11:30:00-06:00,US-xRM,0.8296836162228732,1110.9313687794577,72.74679335008673,2750.0,0.0,-0.35,2.6922594639851103,0.2400079282193399,0.1109035986998724,2.8031630626849826,0.0483988870043434,0.0846489244563286,1.4152179826481988,408.8476843909656,122.98186970529298,321.88922073185347,19.21541800905865,17.2500615855078,11.924842728334722,51.04440606349421,134.3406234161739,-146.740531819307,52.65094222714365,35.08505950378872,10
4,4,4,-105.5475543076232,40.275965763498746,2019-07-16 06:00:00,158.81599729537965,207.0280054092407,2019-07-16,US-xRM,4,149.20407492524046,176.43400068608068,21.59849050066932,25.540241375597645,5.821675675675675,163.476875,US-xRM,104,0,0,LC08_034032_20190716,-105.54580259281916,40.27583101620613,2019-07-16 17:43:25.640999936,0.0285249999999999,0.0324849999999999,0.0464275,0.0462624999999999,0.1842025,0.164925,0.095295,301.27620902,21824.0,0.0959855999999999,0.598529060811837,0.283095539100596,0.2832579247465656,301.27620902,0.408728872615053,0.9540872887261505,0.9713488052796296,-105.5457826704214,40.27578268970189,-0.598529040813446,0.598529040813446,1,1,-0.5973854225382647,-301.27620902,301.27620902,320.09088266017073,-320.09088266017073,320.09088266017073,0.8070605776001569,0.7860939023818158,10.106013493846648,445.687568441056,957.1975872802188,0.8070605776001569,2.723077933046382,0.7860939023818158,329.1747631659516,733.6942914115939,135.79955177393396,0.0147414730314308,0.2008425639638196,241.39867205035355,18.10536063638404,3.9589169743713057,36.38005778075631,0.0147414730314308,0.2008425639638196,0.2976600813936237,0.1761446595191955,-52.42338180541992,0.5369427530797598,4.869339404670388,356.49606758730647,0.5962522229303313,0,-105.54580259281916,40.27583101620613,225.92045418747017,22.48482879881688,28.867844465339665,1.264728957288743,334.2358433834264,39.757029895817055,-106.58387219070566,0.8613254427909851,391984,297.6155096,571065,40.59643986220599,-104.85309483770288,0.1831185519695282,485.8430138669457,149.85757633727735,324.24530342,2019-07-16 17:43:25.640999936+00:00,2019-07-16 17:30:00+00:00,44471.0,201907161130.0,201907161200.0,412.238460205642,11.0453755133273,404.219037200115,8.34971946486184,410.560178571429,,404.621806826321,8.38611111323238,,,403.463848669236,8.8756154182877,411.312183727969,,403.589026535413,9.08457601941682,410.939576471338,,405.502206838183,9.77899884062751,411.540304022013,,2.40844561896105,10.3441718468725,36.6500563405792,21.9957100777864,0.620949421620762,-8.16210666609596,,,276.452781568259,,0.404820410234227,181.416008175752,-3.58722271477137,260.0,120.0,1.47273197673717,2.11,1.43,0.78,0.99,7.47,6.4,2.61,3.27,,,,,21.9891,22.664,22.2482,24.1626,23.34,24.0163,73.52603,26.35,19.5239,31.89,31.22,39.56,36.76,367.1,772.73,769.0,57.86,336.8,461.0,422.3,518.9,1525.58,1506.78,1517.45,1271.03,1134.57,49.28,274.96,541.04,363.88,32.77,,,,37.56,,,,23.23,,,,,,,,29.33,,,,,,,25.45,28.74,17.99,,,,37.97,28.75,23.71,23.92,,17.158,15.265,12.698,11.209,10.864,10.395,9.958,18.533,14.859,11.407,10.752,10.134,9.585,8.64,7.596,6.89,14.244,12.681,10.883,10.587,10.12,9.873,9.773,8.745,8.479,19.063,15.571,11.58,10.069,10.548,9.977,9.749,9.578,14.098,12.707,10.791,10.563,10.211,9.662,9.328,8.776,,,16.964,7.512,590.67,0.0,0.0,0.0,0.0,0.0,,,,,,US-xRM,-105.5459,40.2759,2743.0,CO,MST,ENF,Dfc,2.9,730.59,2019-07-16 11:30:00,11:30:00,197,0.0748773827857078,0.1833579987999555,1.0166964423946063,-0.2616666666666666,1114.389401618649,0.6934111172249223,102.55385802501836,2.6421751470501467,0.6962131512477137,9.059282784786529,897.0840762991704,0.1,0.0235885236054493,0.842657452944633,1.186721836382672,-0.1244882824386328,-0.0687849953854151,0.8137379134458524,0.7137379134458525,0.7823922943710541,2019-07-16 11:30:00-06:00,US-xRM,0.8426580240536902,1114.3901568933793,72.74679335008672,2750.0,0.0,-0.35,2.6533517119407666,0.2158732885850769,0.1177387735454189,2.771090485486185,0.0483988870043434,0.1653500972668891,0.952519750656369,532.3305135435494,106.35737960778636,345.42930930814106,13.93779061978772,13.98750119427605,9.78695765001467,55.49583089200655,180.3225664296913,-179.97801542613925,49.687978772623495,28.7101163385609,10
5,5,5,-105.5475543076232,40.275965763498746,2020-04-29 06:00:00,116.27599729537964,153.14400270462036,2020-04-29,US-xRM,5,69.71178095353973,45.00334685160766,152.72977689724374,98.5966938480046,-1.936340909090909,203.434375,US-xRM,115,0,0,LC08_034032_20200429,-105.54580259281916,40.27583101620613,2020-04-29 17:42:57.529999872,0.0268474999999999,0.0424124999999999,0.0789325,0.0858625,0.1914075,0.1392675,0.10019,289.24819664,21824.0,0.1081445875,0.3806578425361561,0.1900357492993731,0.2036840480142035,289.24819664,0.2123780409457186,0.9521237804094572,0.9707008475351208,-105.5457826704214,40.27578268970189,-0.3806578516960144,0.3806578516960144,1,1,-0.4160501590589627,-289.24819664,289.24819664,307.8000680252555,-307.8000680252555,307.8000680252555,0.816648985044673,0.4657457102518305,6.8434109712331015,377.8845283417123,945.8711409402982,0.816648985044673,1.1154092697870597,0.4657457102518305,268.6860891917667,721.5181832181404,112.64329391686694,0.0094258850065217,0.075381804077883,234.3625107340192,19.606600084267388,3.95867817590792,96.92875052830912,0.0094258850065217,0.075381804077883,0.1458303037745885,0.1612239181995391,-45.666053771972656,0.5573121168570204,4.851787597566572,374.5123785672544,0.6150892164349782,0,-105.54580259281916,40.27583101620613,220.86155039429536,8.573645353546421,41.7555889902856,0.4969973654915252,338.5392718815979,39.52927820480108,-106.31550195050252,0.6841203570365906,353323,283.24615352,490320,40.69384057068721,-104.7559460671126,0.1654558926820755,498.3734172786215,131.52462763338087,315.60454886,2020-04-29 17:42:57.529999872+00:00,2020-04-29 17:30:00+00:00,58295.0,202004291130.0,202004291200.0,412.285111479192,4.80117840123483,415.25405879155,5.06988829089731,,,415.200322922689,4.99755012947943,,,414.830685639189,5.24196066453213,,,414.816114921524,5.34802384892231,,,415.521112945758,5.53849578284966,,,3.50099328659063,8.75535482781995,149.070439929712,11.5090163385219,0.850319162556607,-3.0121342155806,0.122007448620393,-2.89012676696021,100.713646171668,-1.61632257516333,0.785622776077106,302.544944065139,8.44699955830903,380.0,160.0,1.39073309765628,3.62,2.57,1.18,,8.36,6.47,3.8,,,,,,11.0392,10.961,11.4705,11.8297,12.9319,13.2706,73.67269,29.02,9.3737,19.21,8.96,12.68,23.65,79.7,1041.67,997.6,100.23,255.5,402.1,357.7,411.9,2019.38,2093.71,2037.34,2022.25,2059.03,134.86,15.9,781.03,791.0,,,,,,,,,28.52,,36.81,,38.7,,,,11.99,,,,,,,,37.82,,,,,,38.59,,11.96,,1.953,1.189,1.063,0.431,0.595,0.879,0.638,1.732,1.137,0.592,0.555,0.581,0.918,0.914,1.349,1.718,0.697,0.436,0.55,0.84,0.777,1.836,1.178,0.935,1.482,,7.245,3.614,2.115,,2.114,1.999,1.994,6.449,5.031,3.619,3.558,3.284,2.844,2.699,2.293,,-1.03,-1.844,6.61,794.84,0.0,0.0,0.0,0.0,0.0,,,,,,US-xRM,-105.5459,40.2759,2743.0,CO,MST,ENF,Dfc,2.9,730.59,2020-04-29 11:30:00,11:30:00,120,0.0962204920944252,0.1262381510504719,1.0071675946839864,-0.2616666666666666,1095.18376956915,0.9511371780188064,102.55385802501836,1.316138583829518,0.3819434170273261,4.194489063232,881.6236174536842,0.1,0.0134392854387811,0.8126844921159836,1.2304898268654096,-0.1242781932085827,-0.0685332942788817,0.8117135965715824,0.7117135965715824,0.8012892006087324,2020-04-29 11:30:00-06:00,US-xRM,0.8126851216632353,1095.1846179548877,72.74679335008676,2749.999999999992,0.0,-0.35,2.6219548026865067,0.2444562094067025,0.1099493033993813,2.731904106085888,0.0483988870043434,0.0756105231833385,0.3821846635247361,404.46142410438085,107.66614001273452,270.90741523482063,24.835573284002,22.8310832812868,12.26773913999397,55.3642741983708,110.10459449045624,-120.34175821959012,40.2828732255612,28.9797768213616,10
