,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,FC_SSITC_TEST,LE_inst_af,LE_SSITC_TEST,H_inst_af,H_SSITC_TEST,G_inst_af,SG,FETCH_MAX,FETCH_90,WD,WS,WS_MAX,USTAR,ZL,TAU,TAU_SSITC_TEST,MO_LENGTH,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_2_1,RH_1_2_1,TA_1_3_1,RH_1_3_1,VPD_PI,T_SONIC,T_SONIC_SIGMA,PBLH_PI_F,TS_1_1_1,SWC_1_1_1,ALB,Rn_inst_af,SW_IN,SW_OUT,LW_IN,LW_OUT,P,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
167,167,4,4,LC08_040032_20240504,-113.82979664838416,40.784906287716666,2024-05-04 18:19:52.780999936,0.5395025,0.5507500000000001,0.5582849999999999,0.5842450000000001,0.581825,0.1798024999999999,0.1042049999999999,291.0358211,21824.0,0.505758535,-0.0020753471060914,-0.0063240197769348,-0.0021787800032412,291.0358211,-0.1755183933587438,0.9482448160664124,0.969420789301916,-113.82996617973544,40.784848442439696,,,1,1,-0.0206471305400357,-291.0358211,291.0358211,299.844313106788,-299.844313106788,299.844313106788,0.8001439870429112,0.5175959320691168,8.406928787481446,385.7352422242719,937.0116281444784,0.8001439870429112,1.7007337682453088,0.5175959320691168,282.5533307502378,345.3044887381018,69.5252899182066,0.0029639135352459,0.342329855368415,174.8637291440708,15.537427490039546,2.2835956206424086,21.34392886643083,0.0029639135352459,0.342329855368415,0.4220521195999711,0.1675256639719009,-47.948020935058594,0.1490153637960561,0.9427378325741552,100.91546967582444,0.3659285040628822,4,-113.82979664838416,40.784906287716666,72.69593929263297,14.957938920763734,30.43368349198676,2.5191078433912923,299.5170954190908,40.80200660306245,-115.18682476045032,0.3709567487239837,91200,286.21299488,151709,40.73017155432099,-113.8659525619878,0.0173611361533403,325.0660170440524,89.46306191604798,302.61949088,26.736044931803043,2024-05-04 18:19:52.780999936+00:00,2024-05-04 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UTB,,,2024-05-04
168,168,5,5,LC08_040032_20240520,-113.82979664838416,40.784906287716666,2024-05-20 18:19:40.016999936,0.6757375000000001,0.697875,0.7061250000000001,0.7296374999999999,0.7142649999999999,0.214645,0.1112175,294.99730628,21824.0,0.6289733850000001,-0.0106464944828338,-0.0447902310823371,-0.0118620918487424,294.99730628,-0.1907850521639891,0.94809214947836,0.9693704093278588,-113.82996617973544,40.784848442439696,,,1,1,-0.0057308204084792,-294.99730628,294.99730628,303.84648554022425,-303.84648554022425,303.84648554022425,0.8079490469460315,0.4217689000302094,7.239272263271383,407.1044134332505,968.1791075199748,0.8079490469460315,1.5043984439216398,0.4217689000302094,300.5378785959475,237.0534068613049,61.52020864260712,0.0028069270902796,0.4734245295651851,190.6802881884741,12.44146276371103,2.0274790708853416,15.433640687249092,0.0028069270902796,0.4734245295651851,0.5545289843723049,0.1572579443454742,-45.75479507446289,-0.0224537571043911,-0.1231199633103175,-15.147089969776232,-0.0862918816696109,5,-113.82979664838416,40.784906287716666,40.10398056464955,13.067514444763937,28.035717647430523,3.5008462250329,293.0800947338461,39.316052627090286,-114.53823462726491,0.4654431939125061,119113,290.95378861999995,184195,39.46108365621552,-114.47037079513136,0.093203105032444,369.3213107511559,129.30939939801746,314.72953574,-3.491682159480604,2024-05-20 18:19:40.016999936+00:00,2024-05-20 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UTB,,,2024-05-20
169,169,0,0,LC08_039032_20240614,-113.82979664838416,40.784906287716666,2024-06-14 18:13:29.596999936,0.5408775000000001,0.5560025,0.5792124999999999,0.6058874999999999,0.6056675,0.1727075,0.0792625,309.8349311,21824.0,0.5183155024999999,-0.0001815848228102,-0.0005135513358751,-0.0001928071256838,309.8349311,-0.1723609365659443,0.9482763906343404,0.9694312089093324,-113.82994962079226,40.7847811227813,,,1,1,-0.0223271554925394,-309.8349311,309.8349311,318.7327790370935,-318.7327790370935,318.7327790370935,0.79665651391688,0.6975188281103024,10.599297046700404,495.4952697089552,962.9792168015308,0.79665651391688,4.301390236898053,0.6975188281103024,382.4845315142376,331.05794145682165,115.2243496798811,0.0029971795694393,0.3476552517488658,151.34204377912798,15.650504681008975,2.149527254317178,21.016981751557385,0.0029971795694393,0.3476552517488658,0.4242070189157832,0.2118715792894363,-65.38088989257812,0.097004931980507,0.9923131981399334,64.49154799781257,0.2988021811936634,0,-113.82979664838416,40.784906287716666,91.99468751635344,30.23823368674535,16.216125245435023,2.555728049489639,356.9525039837943,39.89863881874293,-113.8769871696583,0.5640897154808044,486113,308.5873538,701015,40.8005515866214,-113.67878673404262,0.042483065277338,461.3424302622124,163.64564257930806,324.45380264,28.14200229924851,2024-06-14 18:13:29.596999936+00:00,2024-06-14 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UTB,,,2024-06-14
170,170,1,1,LC08_040031_20240605,-113.82979664838416,40.784906287716666,2024-06-05 18:19:14.951000064,0.5385675000000001,0.5503374999999999,0.5690649999999999,0.5927975000000001,0.5918075,0.172625,0.0837175,305.82559364,21824.0,0.5098399750000001,-0.0008357216118453,-0.0024239486122895,-0.0008815122832949,305.82559364,-0.1734569223599249,0.9482654307764008,0.9694275921562122,-113.82996617973544,40.784848442439696,,,1,1,-0.0195908680755208,-305.82559364,305.82559364,314.84583925272585,-314.84583925272585,314.84583925272585,0.7773985757832009,1.2311825583430087,17.10201264878118,470.3360712084572,934.021581847378,0.7773985757832009,3.4142016162342803,1.2311825583430087,336.02455479602463,306.1244399054936,96.66029525052546,0.0029856013383824,0.0883024454283519,150.90309973006725,23.08220973216948,3.0982500023476263,82.74588598758103,0.0029856013383824,0.0883024454283519,0.1468059393832222,0.1846864223480224,-55.04949951171875,0.0877481111327345,0.954949794667411,58.561044924900926,0.2795755093138417,1,-113.82979664838416,40.784906287716666,94.98197897857,26.263726810772777,36.06062842009169,0.6493664876284916,361.3393702310913,42.42939960808909,-113.83111331943611,0.916818380355835,551867,298.07010626,725733,40.908177631424536,-113.87393740690996,0.1171246394515037,511.7736139799708,158.85428111679028,325.63985558,27.082376176767777,2024-06-05 18:19:14.951000064+00:00,2024-06-05 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UTB,,,2024-06-05
171,171,2,2,LC08_040031_20240621,-113.82979664838416,40.784906287716666,2024-06-21 18:19:23.563000064,0.5912025000000001,0.60652,0.614055,0.6447175,0.6413625000000001,0.203755,0.0960099999999999,306.84074558,21824.0,0.5567259625000001,-0.0026087024135357,-0.0087299997137704,-0.0028176229508196,306.84074558,-0.1765321508896796,0.9482346784911032,0.969417443902064,-113.82996617973544,40.784848442439696,,,1,1,-0.0217517280108012,-306.84074558,306.84074558,315.947806027624,-315.947806027624,315.947806027624,0.7894611694560432,0.8671791065518873,12.6666148672208,476.5966775025101,947.1626106911816,0.7894611694560432,3.511478786242211,0.8671791065518873,335.2572705979176,261.1584873048317,88.51937444136982,0.0029532912842193,0.2764709934243791,213.32481856989168,16.851895809732536,3.2107023509062884,26.42832071219629,0.0029532912842193,0.2764709934243791,0.3598814304444698,0.1821699291467666,-54.34548568725586,-0.0610297186336736,-0.6517555323128895,-40.685705706429815,-0.2356691078377333,2,-113.82979664838416,40.784906287716666,76.8194710581185,26.74078749074184,24.69555305159323,2.035128140267969,341.284629108252,42.42670194943511,-113.83124933018412,0.9114673137664796,371542,298.32303974,508196,40.82409433504874,-113.99384863159634,0.0842936038970947,504.3217530853348,160.960491324848,326.03292788,-18.483786896393543,2024-06-21 18:19:23.563000064+00:00,2024-06-21 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UTB,,,2024-06-21
172,172,3,3,LC08_040032_20240605,-113.82979664838416,40.784906287716666,2024-06-05 18:19:38.842000128,0.5420324999999999,0.5527850000000001,0.5694224999999999,0.5929900000000001,0.59189,0.1721025,0.0833599999999999,305.82217562,21824.0,0.5106093975000001,-0.0009283640537439,-0.0027392007012356,-0.000979298228954,305.82217562,-0.1736124475510349,0.9482638755244897,0.9694270789230816,-113.82996617973544,40.784848442439696,,,1,1,-0.0193466444217211,-305.82217562,305.82217562,314.72789399436056,-314.72789399436056,314.72789399436056,0.7780395347236362,1.230238383325363,17.090507835411792,470.314273596483,940.4639032706576,0.7780395347236362,3.4153506030474765,1.230238383325363,361.1518886049805,332.4072121961933,104.74100276720074,0.0029839610309866,0.0884715529107884,101.44374796559994,26.420794317428488,2.389828925671424,82.58772273621987,0.0029839610309866,0.0884715529107884,0.1418812712794639,0.2131324410438537,-64.68889617919922,0.1891103377353876,1.8863674489128937,126.22246146339263,0.5544189529924971,3,-113.82979664838416,40.784906287716666,94.623358473128,26.26943033664739,36.02085192154609,0.6506422613855518,361.3393702310913,40.79799319245406,-115.2776127850226,0.7097544074058533,533192,303.51501212,793758,40.92689365530734,-113.87661712399326,0.0982131510972976,506.1236628405795,165.26347312561245,326.4465083,53.49738085116967,2024-06-05 18:19:38.842000128+00:00,2024-06-05 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UTB,,,2024-06-05
173,173,4,4,LC08_040032_20240621,-113.82979664838416,40.784906287716666,2024-06-21 18:19:47.453999872,0.593925,0.6158975,0.6194999999999999,0.6502175000000001,0.6451850000000001,0.2031224999999999,0.0956524999999999,306.83732756,21824.0,0.5609177325000001,-0.0038848929193821,-0.0135682192268339,-0.0042044889655662,306.83732756,-0.1787297064764804,0.9482127029352352,0.9694101919686277,-113.82996617973544,40.784848442439696,,,1,1,-0.0203094051087821,-306.83732756,306.83732756,315.837328639798,-315.837328639798,315.837328639798,0.7900196553196135,0.8670005957552677,12.664439705454022,476.5643971193905,953.118289546288,0.7900196553196135,3.512603824887685,0.8670005957552677,293.6539581281155,220.379356014606,74.79632098097822,0.0029303622523341,0.2758690000201698,240.03956915935407,16.514825767189606,3.534191115047953,26.48599183418501,0.0029303622523341,0.2758690000201698,0.3620479972953009,0.1298636496067047,-37.48159790039063,-0.1416720969155814,-1.7578155699970544,-94.45653412572632,-0.6488155306276455,4,-113.82979664838416,40.784906287716666,75.26421083175205,26.74623714256167,24.68256139825247,2.0321197567348044,341.284629108252,41.01174706795688,-115.12186457506678,0.7272963523864746,186165,288.62269898,293474,40.81182548637553,-114.0104063085862,0.1042271256446838,458.97200199218526,149.03289849874918,325.32881576,-49.85164956511646,2024-06-21 18:19:47.453999872+00:00,2024-06-21 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-UTB,,,2024-06-21
