,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,FCH4,FC_SSITC_TEST,FCH4_SSITC_TEST,H_inst_af,LE_inst_af,H_SSITC_TEST,LE_SSITC_TEST,WD,WS,USTAR,ZL,TAU,MO_LENGTH,V_SIGMA,W_SIGMA,TAU_SSITC_TEST,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD_PI,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_1_2_1,TS_2_2_1,TS_3_2_1,TS_1_3_1,TS_2_3_1,TS_3_3_1,TS_1_4_1,TS_2_4_1,TS_3_4_1,TS_1_5_1,TS_2_5_1,TS_3_5_1,G_inst_af,G_2_1_1,G_3_1_1,Rn_inst_af,PPFD_IN_1_1_1,PPFD_IN_2_1_1,PPFD_OUT,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,SPEC_RED_IN,SPEC_NIR_IN,SPEC_NIR_OUT,SPEC_RED_OUT,NDVI,PRI,P,WTD,FC_PI_F,FCH4_PI_F,H_PI_F,LE_PI_F,RECO_PI_F,GPP_PI_F,PA_PI_F,RH_PI_F,TA_PI_F,VPD_PI_F,TS_PI_F_1_1_1,TS_PI_F_2_1_1,TS_PI_F_3_1_1,G_PI_F_1_1_1,G_PI_F_2_1_1,G_PI_F_3_1_1,NETRAD_PI_F,PPFD_IN_PI_F_1_1_1,PPFD_OUT_PI_F,SW_IN_PI_F,SW_OUT_PI_F,LW_IN_PI_F,LW_OUT_PI_F,P_PI_F,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_044033_20210116,-121.66912463830998,38.001566211400736,2021-01-16 18:45:50.467000064,0.0310824999999999,0.03925,0.0659799999999999,0.0672725,0.213215,0.1532925,0.0975225,291.06658328000003,21824.0,0.1106636149999999,0.5203173046927224,0.2758889582033686,0.2804833517513092,291.06658328000003,0.4012582190868987,0.9540125821908688,0.9713241521229868,-121.66898332223784,38.00143477040514,-0.5203173160552979,0.5203173160552979,1,1,-0.5273554325829618,-291.06658328000003,291.06658328000003,291.7364020419877,-291.7364020419877,291.7364020419877,0.6762147021928849,1.0761088874449851,17.361376241744782,388.245609345023,427.9137890138976,0.6762147021928849,1.9742525927615784,1.0761088874449851,285.6798459497076,264.85586038261954,21.104376751819043,0.0145133906420455,0.1926085404165042,121.6681221638504,21.424747322151177,2.1253653959954875,37.93530684588952,0.0145133906420455,0.1926085404165042,0.2717374071421463,0.2547399699687958,-72.19155883789062,0.1788681658187828,0.6851102345735302,122.0833614669501,0.5008517677449886,0,-121.66912463830998,38.001566211400736,38.901238463233454,17.294999469132783,54.50715330907721,1.214865923893332,125.0834121858696,39.58518757594689,-120.95312933745888,0.9127910137176514,396356,283.39312838,629674,38.86284151901952,-122.0334207289239,0.2152682393789291,229.0711174701589,24.906150729476416,293.93772008,19.429726252505315,2021-01-16 18:45:50.467000064+00:00,2021-01-16 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-01-16
1,1,1,1,LC08_044034_20210116,-121.66912463830998,38.001566211400736,2021-01-16 18:46:14.352999936,0.0301474999999999,0.0386175,0.0655399999999999,0.0669699999999999,0.213215,0.1536775,0.0985125,290.99822288,21824.0,0.1104351175,0.5219587058550602,0.2758499061135145,0.2811736959823632,290.99822288,0.4031122589169708,0.9540311225891696,0.971330270454426,-121.66898332223784,38.00143477040514,-0.5219587087631226,0.5219587087631226,1,1,-0.5297662822191531,-290.99822288,290.99822288,291.39503563434454,-291.39503563434454,291.39503563434454,0.6822523646822429,1.075997278104112,17.35979339807252,387.8885398110181,449.6192975560184,0.6822523646822429,1.9756117664560464,1.075997278104112,306.4903485805122,304.47832910814594,23.78391762991258,0.0145698081172178,0.1927656786165005,34.54575203605726,26.578258217259744,0.7515432884123641,37.904382845949,0.0145698081172178,0.1927656786165005,0.2470046563854339,0.265842467546463,-76.71363067626953,0.3605218732376353,1.1973173668418802,246.1486594421761,0.8769275389056468,1,-121.66912463830998,38.001566211400736,38.84187509209562,17.305885035322508,54.4640043339229,1.2153621303768156,125.0834121858696,37.11342273323665,-121.84405927524936,0.8925560712814331,284165,288.56801066,456370,37.26494086094633,-121.2554433717128,0.1896533071994781,261.1547101108174,39.92637512058988,300.02863172,33.95592052363572,2021-01-16 18:46:14.352999936+00:00,2021-01-16 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-01-16
2,2,0,0,LC08_044033_20210201,-121.66912463830998,38.001566211400736,2021-02-01 18:45:48.562000128,,,,,,,,,,,,,,,,,,-121.66898332223784,38.00143477040514,,,1,1,,,,,,,0.6926935120626228,1.060924231502026,17.146027451161736,,487.0297813891946,0.6926935120626228,1.5981414371718223,1.060924231502026,273.8588706274383,,,,,,,,,,,,0.2927469909191131,-82.20801544189453,,,,,0,-121.66912463830998,38.001566211400736,,13.99553228055892,66.38487725964407,0.7267589377672434,128.14700076825966,38.84395576452226,-122.79696172754856,0.8783337473869324,121290,280.8159413,173475,38.17456996593352,-122.2641801066661,0.254227727651596,330.1198884714732,26.991544106008043,292.55342198,,2021-02-01 18:45:48.562000128+00:00,2021-02-01 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-02-01
3,3,1,1,LC08_044033_20210217,-121.66912463830998,38.001566211400736,2021-02-17 18:45:44.690000128,,,,,,,,,,,,,,,,,,-121.66898332223784,38.00143477040514,,,1,1,,,,,,,0.7322648145145493,0.5544405640336697,9.963076079125504,,583.8704065615904,0.7322648145145493,1.5045619057373143,0.5544405640336697,253.20440105356465,,,,,,,,,,,,0.1629773378372192,-45.04412841796875,,,,,1,-121.66912463830998,38.001566211400736,,13.069176320750216,36.850631530642445,3.661902240795986,193.0575358934118,39.47938712697182,-120.9771617720144,0.8833335638046265,465137,276.38276936,734273,38.57301284038035,-121.79797338405616,0.1811354011297226,342.4926087515488,32.32574240398367,291.70917104,,2021-02-17 18:45:44.690000128+00:00,2021-02-17 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-02-17
4,4,2,2,LC08_044034_20210201,-121.66912463830998,38.001566211400736,2021-02-01 18:46:12.448999936,,,,,,,,,,,,,,,,,,-121.66898332223784,38.00143477040514,,,1,1,,,,,,,0.6975814518597124,1.0608743947585106,17.1453206664652,,507.56141038044456,0.6975814518597124,1.599282521967566,1.0608743947585106,282.87418007464777,,,,,,,,,,,,0.3326887786388397,-94.22486114501952,,,,,2,-121.66912463830998,38.001566211400736,,14.006531102592106,66.33439559217702,0.7290236191364635,128.14700076825966,37.278798036249626,-122.1880515947424,0.8922794461250305,177735,283.22222738,301512,37.34476440960876,-121.858811121128,0.1361834555864334,336.0340030037095,31.35909418459412,294.37864466,,2021-02-01 18:46:12.448999936+00:00,2021-02-01 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-02-01
5,5,3,3,LC08_044034_20210217,-121.66912463830998,38.001566211400736,2021-02-17 18:46:08.572000000,,,,,,,,,,,,,,,,,,-121.66898332223784,38.00143477040514,,,1,1,,,,,,,0.7359891282924104,0.554118289355217,9.958505579635688,,603.275330373248,0.7359891282924104,1.5053904207414313,0.554118289355217,271.4330576784961,,,,,,,,,,,,0.2809524238109588,-79.04092407226562,,,,,3,-121.66912463830998,38.001566211400736,,13.077597191847907,36.8089421667971,3.662871025530242,193.0575358934118,37.15130238231427,-121.9032773697266,0.855074942111969,272857,281.33206232,402308,37.347533195007735,-121.86554319848057,0.2094156742095947,366.38430155359487,40.65462000656969,294.63499616,,2021-02-17 18:46:08.572000+00:00,2021-02-17 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-02-17
6,6,0,0,LC08_044033_20210305,-121.66912463830998,38.001566211400736,2021-03-05 18:45:37.619000064,0.0331174999999999,0.0409275,0.0689775,0.0688125,0.223225,0.1530175,0.0981274999999999,293.82834344,21824.0,0.11463544,0.5287420279929804,0.2904360420007241,0.2924340703565172,293.82834344,0.4338041272751965,0.954338041272752,0.971431553620008,-121.66898332223784,38.00143477040514,-0.5287420153617859,0.5287420153617859,1,1,-0.5278787826935086,-293.82834344,293.82834344,294.3113433365115,-294.3113433365115,294.3113433365115,0.7354155482389535,0.8652115018340514,14.370429519010518,403.3295494442461,662.8672190805314,0.7354155482389535,1.8057216796137965,0.8652115018340514,284.056985360672,454.6359813343587,41.294626099733485,0.0155216334050162,0.1239954139880911,127.95048908213118,23.849918206217136,2.5088154293072904,58.92688968755535,0.0155216334050162,0.1239954139880911,0.198184817356696,0.2565247118473053,-72.98931884765625,0.4191722402855175,2.9360192680161887,285.390866152494,0.690448372847903,0,-121.66912463830998,38.001566211400736,120.63241020069296,15.891482626437856,47.91499773204811,0.7765818103148883,203.83882734768133,39.45140372064153,-120.96890753592416,0.8393323421478271,422484,284.53132904,666503,38.96305514077783,-122.09057894006033,0.1604213416576385,370.6160956428884,54.57381528245506,301.17366842,83.2655064409391,2021-03-05 18:45:37.619000064+00:00,2021-03-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-03-05
7,7,1,1,LC08_044033_20210321,-121.66912463830998,38.001566211400736,2021-03-21 18:45:29.657000192,0.0220074999999999,0.02715,0.0469775,0.045135,0.1474625,0.11251,0.0699949999999999,291.71600708,21824.0,0.07735314,0.5313023273926193,0.2106115148633657,0.2216168120733903,291.71600708,0.2536657125018655,0.9525366571250186,0.970837096851256,-121.66898332223784,38.00143477040514,-0.5313023328781128,0.5313023328781128,1,1,-0.5167918123842831,-291.71600708,291.71600708,292.08952683899514,-292.08952683899514,292.08952683899514,0.7603495396023894,0.6125285733302023,10.786880226968927,391.11619442907386,761.1368693260613,0.7603495396023894,1.7516018034366632,0.6125285733302023,273.6735762978163,571.8284615950176,43.65608921386639,0.0104253648308195,0.4386987812527365,222.6030461231817,12.689978921458485,2.304715774345283,16.65530973433363,0.0104253648308195,0.4386987812527365,0.535921352588434,0.2434871047735214,-68.81531524658203,0.4478511745139726,3.2792012485577504,305.5693262579696,0.5785409124683598,1,-121.66912463830998,38.001566211400736,161.13830530547742,15.41637790637073,34.96962449618481,2.8631116036121336,264.10396981458643,38.945579966588895,-120.71517033994328,0.8071284890174866,495216,282.62407388,763938,39.204872624685365,-122.22227905377196,0.177384465932846,480.36573344367673,62.80402598660093,300.02179568,92.9981474090978,2021-03-21 18:45:29.657000192+00:00,2021-03-21 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-03-21
8,8,2,2,LC08_044034_20210305,-121.66912463830998,38.001566211400736,2021-03-05 18:46:01.506000128,0.0320725,0.040185,0.0685925,0.0685374999999999,0.223445,0.1530725,0.0986225,293.81125334,21824.0,0.1143981974999999,0.5305369328641273,0.2904626363880124,0.2933918994422225,293.81125334,0.4364548307864329,0.9543645483078644,0.9714403009415952,-121.66898332223784,38.00143477040514,-0.530536949634552,0.530536949634552,1,1,-0.5302486838162908,-293.81125334,293.81125334,294.0716321165096,-294.0716321165096,294.0716321165096,0.7381815560437732,0.8650734667767407,14.368471905827738,403.2469213117835,679.978646432937,0.7381815560437732,1.806747375295639,0.8650734667767407,286.71315208788445,472.5722615170135,42.37349586052751,0.0156054116360647,0.1242033991456271,230.94219347983795,20.0760850660979,3.789847340681007,58.828213495767706,0.0156054116360647,0.1242033991456271,0.210286125441373,0.4307333528995514,-122.8766098022461,0.2925936048647605,1.968556285977688,199.2565721766481,0.4631732772933025,2,-121.66912463830998,38.001566211400736,120.5982276942834,15.900365791741812,47.880156274486815,0.7774419608292428,203.83882734768133,37.27882119835175,-122.19143534480108,0.8179232478141785,295607,285.27303938,509443,37.344797031216295,-121.86219749713888,0.088737741112709,435.8282262857802,52.84299018276495,297.87869714,55.82825627032723,2021-03-05 18:46:01.506000128+00:00,2021-03-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-03-05
9,9,3,3,LC08_044034_20210321,-121.66912463830998,38.001566211400736,2021-03-21 18:45:53.544000000,0.0200275,0.0258849999999999,0.0464825,0.044915,0.1472425,0.11251,0.0702149999999999,291.72626114,21824.0,0.0767873,0.532518897258759,0.2092424310585271,0.2217576924327194,291.72626114,0.2539962898427398,0.9525399628984274,0.970838187756481,-121.66898332223784,38.00143477040514,-0.5325189232826233,0.5325189232826233,1,1,-0.5201187249967737,-291.72626114,291.72626114,291.88504113902627,-291.88504113902627,291.88504113902627,0.7623687904773924,0.6122951481624395,10.783569791239715,391.1725471228708,776.1322398610881,0.7623687904773924,1.7527082397026117,0.6122951481624395,280.3371173685053,592.3949009735801,44.66029378615888,0.010433622357113,0.4388363200595031,223.3620771276308,12.682406138374166,2.3093744083025314,16.650089675458652,0.010433622357113,0.4388363200595031,0.5361775819971237,0.3081692457199096,-87.64061737060547,0.4753162646735741,3.3580887167037914,324.3725300597905,0.5922074774961192,3,-121.66912463830998,38.001566211400736,161.23838140760867,15.426219093769014,34.93423116823652,2.8637792988498774,264.10396981458643,37.250015932689394,-122.13322249308466,0.8628321290016174,420343,284.39119022,401740,38.00095276885399,-121.82684842828075,0.0480571314692497,481.4396913584769,64.07566810736587,299.5296008,95.23539600571952,2021-03-21 18:45:53.544000+00:00,2021-03-21 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Dmg,,,2021-03-21
