,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,USTAR,TA,TA_PI_F,WD,WS,NEE_PI,FC,SC,H_inst_af,LE_inst_af,SLE,G_inst_af,TS_PI_1,TS_PI_2,TS_PI_3,P_PI_F,RH,RH_PI_F,PA,CO2,Rn_inst_af,PPFD_IN,SW_IN,SW_IN_PI_F,SW_OUT,LW_IN,LW_OUT,H2O,ZL,TAU,MO_LENGTH,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,FETCH_MAX,FETCH_90,FETCH_70,FETCH_FILTER,D_SNOW,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_041030_20140108,-116.71311921582256,43.16750791578687,2014-01-08 18:27:13.921999872,,,,,,,,,,,,,,,,,,-116.71311414873034,43.167449562089416,,,1,1,,,,,,,0.6947167727501302,0.5536511366097923,8.729600654843857,,366.8965783183853,0.6947167727501302,0.6617369889084599,0.5536511366097923,243.7304995157004,,,,,,,,,,,,0.2159014791250229,-58.8980712890625,,,,,0,-116.71311921582256,43.16750791578687,,1.1057305537049242,83.66634265420828,1.0416480145937024,76.21472716501438,42.6038002562555,-115.49276310532964,0.4587143957614898,15583,272.8006844,28305,42.60915730331716,-116.04051760302993,0.149547666311264,209.99773582321768,19.34782207407178,282.31645208,,2014-01-08 18:27:13.921999872+00:00,2014-01-08 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-01-08
1,1,1,1,LC08_041030_20140124,-116.71311921582256,43.16750791578687,2014-01-24 18:27:04.335000064,0.0322099999999999,0.03738,0.058335,0.0725525,0.1451799999999999,0.1527425,0.1207874999999999,274.01066348,21824.0,0.0922521999999999,0.3335629729140112,0.1396526925842885,0.1517853099866593,274.01066348,0.1009505541414017,0.951009505541414,0.9703331368286666,-116.71311414873034,43.167449562089416,-0.333562970161438,0.333562970161438,1,1,-0.4267253028032329,-274.01066348,274.01066348,281.44136700282627,-281.44136700282627,281.44136700282627,0.7228162019018638,0.3319739821163924,6.0751655576950405,303.9749347043057,423.0411909493709,0.7228162019018638,0.6804466888672152,0.3319739821163924,216.51171804471693,285.9444776109939,10.498883498342288,0.007041271193352,0.1417016293606241,169.11162340769428,21.77447584834007,2.882398242121667,51.56372664737592,0.007041271193352,0.1417016293606241,0.2166813029493968,0.1811597347259521,-48.10344314575195,0.1542671795750455,0.3825866029860171,106.3339707049573,0.386043461858638,1,-116.71311921582256,43.16750791578687,28.46300880106087,1.4930428474589292,48.78765486669523,0.9616000576607182,123.29981454019072,44.07079519455762,-116.09963718751416,0.8013911843299866,104637,265.53055586,164921,42.2558302181137,-115.53526562843778,0.1487932056188583,212.84908362862743,19.46392809882597,280.25880404,10.850156060683444,2014-01-24 18:27:04.335000064+00:00,2014-01-24 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-01-24
2,2,2,2,LC08_042030_20140115,-116.71311921582256,43.16750791578687,2014-01-15 18:33:16.301000192,0.0371324999999999,0.0432374999999999,0.0606725,0.0735974999999999,0.134235,0.162725,0.1208699999999999,278.0986154,21824.0,0.09209413,0.2917613943921187,0.1211258940244559,0.1284996803622326,278.0986154,0.0544068060049419,0.9505440680600494,0.9701795424598164,-116.71311414873034,43.167449562089416,-0.2917613983154297,0.2917613983154297,1,1,-0.3774226235521977,-278.0986154,278.0986154,285.50532436780685,-285.50532436780685,285.50532436780685,0.7121829083425535,0.345804280229968,6.24077409232552,322.36703236149,390.6794894860963,0.7121829083425535,0.8440105821646594,0.345804280229968,231.48125201528907,252.3663004017866,13.874378107469376,0.0061775606864349,0.1548659844759903,138.23694432062828,22.57217542368529,2.4825377514107387,47.18056135155872,0.0061775606864349,0.1548659844759903,0.2265323921828412,0.157415509223938,-42.46043014526367,0.146012490809769,0.27536190751528,100.25497797368894,0.4203705392166978,2,-116.71311921582256,43.16750791578687,18.740289011617488,4.528443577200971,40.971557411409854,1.0643465944293853,110.15414057008778,43.67820788150612,-115.98866541190806,0.7856655716896057,79105,269.73472046,129302,43.01967736306577,-116.4822195704752,0.1487109065055847,168.135297087766,18.83904184069376,284.89705718,7.809263697133341,2014-01-15 18:33:16.301000192+00:00,2014-01-15 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-01-15
3,3,0,0,LC08_041030_20140225,-116.71311921582256,43.16750791578687,2014-02-25 18:26:39.499000064,,,,,,,,,,,,,,,,,,-116.71311414873034,43.167449562089416,,,1,1,,,,,,,0.7414432795028033,0.7594791520808206,11.194252952873306,,579.2928658596348,0.7414432795028033,1.069690890682539,0.7594791520808206,254.1536068070891,,,,,,,,,,,,0.161901593208313,-44.82981872558594,,,,,0,-116.71311921582256,43.16750791578687,,7.957819916254176,70.99987096236922,1.9949800329368588,168.44450183451414,43.89845714527258,-115.97037630703484,0.9816162586212158,315167,276.89547236,422088,42.78517907626616,-116.02569982689506,0.1121048554778099,295.4216004473368,46.523768843374725,295.18187936,,2014-02-25 18:26:39.499000064+00:00,2014-02-25 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-02-25
4,4,1,1,LC08_042030_20140216,-116.71311921582256,43.16750791578687,2014-02-16 18:32:57.744000000,,,,,,,,,,,,,,,,,,-116.71311414873034,43.167449562089416,,,1,1,,,,,,,0.7504704077915821,0.359139436343529,6.400453633930466,,540.0469986923988,0.7504704077915821,0.6865140399300013,0.359139436343529,250.2730769878937,,,,,,,,,,,,0.2223120629787445,-61.37787628173828,,,,,1,-116.71311921582256,43.16750791578687,,1.616624471485647,52.31348748237513,5.15852912447931,138.19866461680454,43.91143327050938,-118.05799402589872,0.423451691865921,99378,276.08881964,142401,42.66586265671557,-118.02527195303512,0.132806047797203,361.1797633586358,34.31079620500461,285.82675862,,2014-02-16 18:32:57.744000+00:00,2014-02-16 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-02-16
5,5,0,0,LC08_041030_20140313,-116.71311921582256,43.16750791578687,2014-03-13 18:26:28.282000128,0.0499199999999999,0.0582249999999999,0.0753849999999999,0.08688,0.1653649999999999,0.20282,0.1585725,290.19498818,21824.0,0.1146361,0.3111459097306189,0.1569753371614634,0.1565015387274092,290.19498818,0.1106223630491125,0.9511062236304912,0.970365053798062,-116.71311414873034,43.167449562089416,-0.3111459016799927,0.3111459016799927,1,1,-0.3737487019730011,-290.19498818,290.19498818,297.72670768971363,-297.72670768971363,297.72670768971363,0.7695118607534456,0.5179621561811901,8.302249074805603,382.44740027111146,686.5445040545546,0.7695118607534456,1.122647898930563,0.5179621561811901,256.4119011695715,469.2692743775007,53.11695645008229,0.0072303968689142,0.1040550542107482,270.4967131571432,19.139386165171704,4.282966354826527,70.21921363896871,0.0072303968689142,0.1040550542107482,0.1816167497330338,0.2208986431360244,-61.48445892333984,0.214640062803948,1.4153435747884742,145.6556047702752,0.3500055111928493,0,-116.71311921582256,43.16750791578687,114.33841489824223,8.66910484714188,46.13754291747235,0.7043018054250252,229.72645120002383,42.96647396504654,-116.62502772052864,0.9414054155349731,447028,278.3378768,638516,42.792887230862085,-116.1451645422205,0.1108109876513481,407.34367693889374,63.406778052826034,299.29375742,40.13914378100112,2014-03-13 18:26:28.282000128+00:00,2014-03-13 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-03-13
6,6,1,1,LC08_042030_20140304,-116.71311921582256,43.16750791578687,2014-03-04 18:32:41.808999936,,,,,,,,,,,,,,,,,,-116.71311414873034,43.167449562089416,,,1,1,,,,,,,0.7577776659882054,0.5715764131935214,8.94424380739915,,629.1305351197335,0.7577776659882054,0.9744364561850598,0.5715764131935214,274.998442978792,,,,,,,,,,,,0.1977190524339676,-55.93220520019531,,,,,1,-116.71311921582256,43.16750791578687,,6.596499822318839,58.65712531233238,3.0499611703887783,173.40819471294242,43.75382920912107,-115.92814203864626,0.6771923303604126,218118,282.88726142,318762,42.997759479107344,-116.32046356652975,0.1188914477825164,322.68655502055384,51.64938809811723,296.64479192,,2014-03-04 18:32:41.808999936+00:00,2014-03-04 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-03-04
7,7,2,2,LC08_042030_20140320,-116.71311921582256,43.16750791578687,2014-03-20 18:32:32.706000128,0.0513775,0.0577024999999999,0.0760175,0.0878149999999999,0.17565,0.2083749999999999,0.16124,290.92302644,21824.0,0.118626295,0.3333839409409221,0.1729346919769999,0.1725717616393679,290.92302644,0.1442326277036471,0.9514423262770364,0.970475967671422,-116.71311414873034,43.167449562089416,-0.3333839476108551,0.3333839476108551,1,1,-0.3958894175847099,-290.92302644,290.92302644,298.5275319823791,-298.5275319823791,298.5275319823791,0.7828646888450054,0.3850437938236427,6.710640923285762,386.43629888741486,734.6308908920308,0.7828646888450054,0.7914677312839477,0.3850437938236427,274.5754172080624,522.2907249124718,61.25151780274972,0.0079138040235505,0.5205926231665818,272.482244636794,11.099917100383626,2.526831527311799,14.035281632296543,0.0079138040235505,0.5205926231665818,0.6211701218502489,0.1689821183681488,-47.91897964477539,0.2780752989516185,1.7739343448712002,188.55696247292803,0.4089824890490358,2,-116.71311921582256,43.16750791578687,122.54673567848047,3.614690376667347,48.64933573463705,3.4925419891205385,236.194451533104,43.64398593705023,-116.06177311917938,0.6081873774528503,479931,283.57428344,685250,43.13723211049677,-117.711450068161,0.0900976881384849,394.1311593559817,82.72020966925069,300.45588422000003,50.30877802054724,2014-03-20 18:32:32.706000128+00:00,2014-03-20 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-03-20
8,8,0,0,LC08_041030_20140414,-116.71311921582256,43.16750791578687,2014-04-14 18:25:55.717999872,0.0543474999999999,0.06202,0.0842399999999999,0.0966974999999999,0.1983375,0.2197875,0.17136,301.42318388,21824.0,0.1303163525,0.344501499822055,0.1934713875918675,0.1917651424151138,301.42318388,0.1857702961188006,0.951857702961188,0.970613041977192,-116.71311414873034,43.167449562089416,-0.3445014953613281,0.3445014953613281,1,1,-0.403774185842822,-301.42318388,301.42318388,309.2841916413061,-309.2841916413061,309.2841916413061,0.8057628180248395,0.2746103240972308,5.388274265288821,445.514352155774,867.348579358633,0.8057628180248395,1.2640867021502336,0.2746103240972308,291.338583059242,586.1173984495224,99.51057456177888,0.0088151812691624,0.2816952237665653,258.71487697276865,15.909523756695142,3.5725812211538823,25.93818945220696,0.0088151812691624,0.2816952237665653,0.3799864972841514,0.1728815287351608,-49.89694213867188,0.3396180672240776,2.9333564721796552,227.89194691497488,0.4683287116572533,0,-116.71311921582256,43.16750791578687,175.12212173183588,10.433430301459424,21.72401019883477,1.869723025702736,302.4487534211263,42.96643728235651,-116.61399215247768,0.6776178479194641,476265,288.61928096,665231,42.8254492905341,-115.23635266413616,0.1359503716230392,466.1780413585235,112.07422536132349,311.54735912,83.18998955101502,2014-04-14 18:25:55.717999872+00:00,2014-04-14 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-04-14
9,9,1,1,LC08_042030_20140405,-116.71311921582256,43.16750791578687,2014-04-05 18:32:17.549999872,,,,,,,,,,,,,,,,,,-116.71311414873034,43.167449562089416,,,1,1,,,,,,,0.7880627876119732,0.5001438621349169,8.088886966311225,,813.6820283352577,0.7880627876119732,0.9294921341199656,0.5001438621349169,297.1743196057312,,,,,,,,,,,,0.36306032538414,-105.07535552978516,,,,,1,-116.71311921582256,43.16750791578687,,5.913001986524994,53.8082942044957,3.124323892232716,246.7181913098228,43.45074613251772,-116.41070394051734,0.879824161529541,172563,289.41567962,269237,43.93982777672715,-117.0256681526657,0.1545586585998535,483.0301439027226,85.80217926313038,302.81431802,,2014-04-05 18:32:17.549999872+00:00,2014-04-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rws,,,2014-04-05
