,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,USTAR,TA,TA_PI_F,WD,WS,NEE_PI,FC,SC,H_inst_af,LE_inst_af,SLE,G_inst_af,TS_PI_1,TS_PI_2,TS_PI_3,P_PI_F,RH,RH_PI_F,PA,CO2,Rn_inst_af,PPFD_IN,SW_IN,SW_IN_PI_F,SW_OUT,LW_IN,LW_OUT,H2O,ZL,TAU,MO_LENGTH,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,FETCH_MAX,FETCH_90,FETCH_70,FETCH_FILTER,D_SNOW,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_041030_20140108,-116.73548726639716,43.14379239228612,2014-01-08 18:27:13.921999872,,,,,,,,,,,,,,,,,,-116.735360358375,43.1437304061168,,,1,1,,,,,,,0.6987143041843115,0.5402538910793815,8.419367169624456,,369.0077704796386,0.6987143041843115,0.640993056468708,0.5402538910793815,243.3824651817376,,,,,,,,,,,,0.2159014791250229,-58.8980712890625,,,,,0,-116.73548726639716,43.14379239228612,,0.664827860880603,84.28389131946169,1.156156396398926,76.61191034966234,42.6038002562555,-115.49276310532964,0.4587143957614898,15583,272.8006844,28305,42.60915730331716,-116.04051760302993,0.149547666311264,209.99773582321768,19.34782207407178,282.31645208,,2014-01-08 18:27:13.921999872+00:00,2014-01-08 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-01-08
1,1,1,1,LC08_041030_20140124,-116.73548726639716,43.14379239228612,2014-01-24 18:27:04.335000064,0.03947,0.0486274999999999,0.0660899999999999,0.0810225,0.1415775,0.199245,0.1477649999999999,275.54877248,21824.0,0.10226605,0.2720350404312669,0.1198628272821294,0.1257023249377249,275.54877248,0.0489457494194033,0.950489457494194,0.970161520973084,-116.735360358375,43.1437304061168,-0.2720350325107574,0.2720350325107574,1,1,-0.3635017515981077,-275.54877248,275.54877248,284.5598365699344,-284.5598365699344,284.5598365699344,0.7266206081296653,0.3211467870436123,5.8564643146190445,310.68786144151983,425.2677881634755,0.7266206081296653,0.6859074053442689,0.3211467870436123,216.1942422425833,276.5798178567616,14.302758262671214,0.0060812018256227,0.1449073828468262,214.78874910235123,20.314771830685142,3.447339345227846,50.42299390337124,0.0060812018256227,0.1449073828468262,0.2236641718206393,0.1811597347259521,-48.10344314575195,0.0691001118397664,0.1815113019975759,47.48831049173913,0.1810616245478494,1,-116.73548726639716,43.14379239228612,28.70608629971748,1.604311865616861,46.82072019362776,0.9974117773198728,123.52635278583791,44.07079519455762,-116.09963718751416,0.8013911843299866,104637,265.53055586,164921,42.2558302181137,-115.53526562843778,0.1487932056188583,212.84908362862743,19.46392809882597,280.25880404,5.147660524651252,2014-01-24 18:27:04.335000064+00:00,2014-01-24 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-01-24
2,2,2,2,LC08_042030_20140115,-116.73548726639716,43.14379239228612,2014-01-15 18:33:16.301000192,0.0386999999999999,0.0501949999999999,0.0696649999999999,0.08589,0.1502675,0.2081275,0.15189,279.30175844,21824.0,0.1073080375,0.2726040883732253,0.1248453432313664,0.1311760730550187,279.30175844,0.059657243947662,0.9505965724394766,0.9701968689050272,-116.735360358375,43.1437304061168,-0.2726040780544281,0.2726040780544281,1,1,-0.3664874450115378,-279.30175844,279.30175844,288.3301703336854,-288.3301703336854,288.3301703336854,0.7168146816484393,0.3236560082300324,5.885814755677616,328.0001050153673,393.2203238832179,0.7168146816484393,0.835252154338993,0.3236560082300324,231.07985750580616,242.6882381116501,16.83321633924351,0.0062711817236111,0.1717194595720099,176.13538068927903,20.70591173376052,2.927212336684057,42.55000627214866,0.0062711817236111,0.1717194595720099,0.2498924656123377,0.157415509223938,-42.46043014526367,0.0726081615988563,0.1413087743531303,49.71964108312756,0.2201396306929579,2,-116.73548726639716,43.14379239228612,18.31480075458729,4.379679223754209,38.749496969112194,1.178466072876631,110.39524522766725,43.67820788150612,-115.98866541190806,0.7856655716896057,79105,269.73472046,129302,43.01967736306577,-116.4822195704752,0.1487109065055847,168.135297087766,18.83904184069376,284.89705718,4.007516840654775,2014-01-15 18:33:16.301000192+00:00,2014-01-15 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-01-15
3,3,0,0,LC08_041030_20140225,-116.73548726639716,43.14379239228612,2014-02-25 18:26:39.499000064,,,,,,,,,,,,,,,,,,-116.735360358375,43.1437304061168,,,1,1,,,,,,,0.7453494600099952,0.7321795679018588,10.66432799479639,,582.3447817150104,0.7453494600099952,1.0364996852350397,0.7321795679018588,253.74859371837843,,,,,,,,,,,,0.161901593208313,-44.82981872558594,,,,,0,-116.73548726639716,43.14379239228612,,7.496046955348258,70.63963244097152,1.974564970470988,168.74890300371942,43.89845714527258,-115.97037630703484,0.9816162586212158,315167,276.89547236,422088,42.78517907626616,-116.02569982689506,0.1121048554778099,295.4216004473368,46.523768843374725,295.18187936,,2014-02-25 18:26:39.499000064+00:00,2014-02-25 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-02-25
4,4,1,1,LC08_042030_20140216,-116.73548726639716,43.14379239228612,2014-02-16 18:32:57.744000000,,,,,,,,,,,,,,,,,,-116.735360358375,43.1437304061168,,,1,1,,,,,,,0.7545046388317971,0.3388279887889401,6.063281901079543,,542.9500770052546,0.7545046388317971,0.6484086772807415,0.3388279887889401,249.84877699312784,,,,,,,,,,,,0.2223120629787445,-61.37787628173828,,,,,1,-116.73548726639716,43.14379239228612,,0.8238727367519852,52.25531376444516,5.233850277633675,138.3023452828822,43.91143327050938,-118.05799402589872,0.423451691865921,99378,276.08881964,142401,42.66586265671557,-118.02527195303512,0.132806047797203,361.1797633586358,34.31079620500461,285.82675862,,2014-02-16 18:32:57.744000+00:00,2014-02-16 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-02-16
5,5,0,0,LC08_041030_20140313,-116.73548726639716,43.14379239228612,2014-03-13 18:26:28.282000128,0.0468399999999999,0.055365,0.0712324999999999,0.0814625,0.15244,0.2114825,0.156785,288.33216728,21824.0,0.1095663925,0.3034490866921047,0.1447365469594671,0.1450686569401249,288.33216728,0.0873216771528516,0.9508732167715284,0.9702881615346044,-116.735360358375,43.1437304061168,-0.3034490942955017,0.3034490942955017,1,1,-0.3630643016016723,-288.33216728,288.33216728,297.4094796981592,-297.4094796981592,297.4094796981592,0.7730108405948799,0.4981127379877709,7.92644074422623,372.6302083379733,689.6662303104467,0.7730108405948799,1.09836619193653,0.4981127379877709,256.0091211015881,484.9039975930026,53.78843530045635,0.0067804341307443,0.120593766439303,263.6696222011163,19.33193763870996,4.212891123247829,60.58906938209425,0.0067804341307443,0.120593766439303,0.2004278204337499,0.2208986431360244,-61.48445892333984,0.2466749682537819,1.6062636302412614,167.44594009142995,0.3884015209309576,0,-116.73548726639716,43.14379239228612,116.9699228509159,8.346718492491807,45.3503341275962,0.8213727023142319,229.9895056317494,42.96647396504654,-116.62502772052864,0.9414054155349731,447028,278.3378768,638516,42.792887230862085,-116.1451645422205,0.1108109876513481,407.34367693889374,63.406778052826034,299.29375742,45.55363655364217,2014-03-13 18:26:28.282000128+00:00,2014-03-13 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-03-13
6,6,1,1,LC08_042030_20140304,-116.73548726639716,43.14379239228612,2014-03-04 18:32:41.808999936,,,,,,,,,,,,,,,,,,-116.735360358375,43.1437304061168,,,1,1,,,,,,,0.7618811933654366,0.5412072854868871,8.430519054725103,,632.5374108968776,0.7618811933654366,0.9290202527681128,0.5412072854868871,274.512213206875,,,,,,,,,,,,0.1977190524339676,-55.93220520019531,,,,,1,-116.73548726639716,43.14379239228612,,5.905672597513231,58.255703670001125,3.140164191727643,173.172784980615,43.75382920912107,-115.92814203864626,0.6771923303604126,218118,282.88726142,318762,42.997759479107344,-116.32046356652975,0.1188914477825164,322.68655502055384,51.64938809811723,296.64479192,,2014-03-04 18:32:41.808999936+00:00,2014-03-04 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-03-04
7,7,2,2,LC08_042030_20140320,-116.73548726639716,43.14379239228612,2014-03-20 18:32:32.706000128,,,,,,,,,,,,,,,,,,-116.735360358375,43.1437304061168,,,1,1,,,,,,,0.7865140904208899,0.3629009037526753,6.344863562981239,,738.0554458235735,0.7865140904208899,0.7547068793881956,0.3629009037526753,274.10181985707624,,,,,,,,,,,,0.1689821183681488,-47.91897964477539,,,,,2,-116.73548726639716,43.14379239228612,,2.9430097170735285,48.08501335602792,3.505168216329581,236.3608321402872,43.64398593705023,-116.06177311917938,0.6081873774528503,479931,283.57428344,685250,43.13723211049677,-117.711450068161,0.0900976881384849,394.1311593559817,82.72020966925069,300.45588422000003,,2014-03-20 18:32:32.706000128+00:00,2014-03-20 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-03-20
8,8,0,0,LC08_041030_20140414,-116.73548726639716,43.14379239228612,2014-04-14 18:25:55.717999872,0.0528899999999999,0.0611674999999999,0.07951,0.0863849999999999,0.1849724999999999,0.2222625,0.1657225,299.87823884,21824.0,0.12377116,0.3633122357038225,0.198042226911646,0.1917155793519866,299.87823884,0.1856609858309416,0.9518566098583092,0.970612681253242,-116.735360358375,43.1437304061168,-0.3633122444152832,0.3633122444152832,1,1,-0.3987503899123759,-299.87823884,299.87823884,309.21027120062183,-309.21027120062183,309.21027120062183,0.8080602366766559,0.2713390952679243,5.273862139235899,436.44989704784376,869.8215934507074,0.8080602366766559,1.221354208856587,0.2713390952679243,290.99081538273595,602.6943998185375,100.74232559060964,0.0088127261915946,0.2632636789328876,248.5382301822702,16.505759381215537,3.5598017428236446,27.754166892508,0.0088127261915946,0.2632636789328876,0.3595459922484094,0.1728815287351608,-49.89694213867188,0.3776250265813717,3.224437482983588,253.4138440456576,0.5048566527699748,0,-116.73548726639716,43.14379239228612,178.5846815484135,9.919499262786635,22.21624925024394,1.747434074621505,302.5371565268682,42.96643728235651,-116.61399215247768,0.6776178479194641,476265,288.61928096,665231,42.8254492905341,-115.23635266413616,0.1359503716230392,466.1780413585235,112.07422536132349,311.54735912,91.44504701741457,2014-04-14 18:25:55.717999872+00:00,2014-04-14 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-04-14
9,9,1,1,LC08_042030_20140405,-116.73548726639716,43.14379239228612,2014-04-05 18:32:17.549999872,,,,,,,,,,,,,,,,,,-116.735360358375,43.1437304061168,,,1,1,,,,,,,0.7915836743747715,0.4752368743718757,7.658861030506308,,817.3173760863853,0.7915836743747715,0.8804784136272265,0.4752368743718757,296.66942238565446,,,,,,,,,,,,0.36306032538414,-105.07535552978516,,,,,1,-116.73548726639716,43.14379239228612,,5.1335814587099655,53.974846744292776,3.17092200587944,246.9065510263636,43.45074613251772,-116.41070394051734,0.879824161529541,172563,289.41567962,269237,43.93982777672715,-117.0256681526657,0.1545586585998535,483.0301439027226,85.80217926313038,302.81431802,,2014-04-05 18:32:17.549999872+00:00,2014-04-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rls,,,2014-04-05
