,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw.1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Date,Rn_daily_volk_measured,LE_closed,gridMET_ETo,Lat,Long,Elev_volk,Energy_balance,Land_cover_deets,Land_cover_volk,State,Name,Veg,LE_Daily_model,Landcover_wc,Elev_SRTM,Slope_SRTM,Canopy_height,clay_percent,silt_percent,sand_percent,Ksat,doy,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST
0,0,0,0,LC08_014032_20130320,-74.59596644599246,39.91389978823437,2013-03-20 15:40:48.583000064,0.0262699999999999,0.0287725,0.0465375,0.0542925,0.2022975,0.19116,0.1116575,285.35848988,21824.0,0.1053319425,0.5768151525780427,0.2819661137713884,0.293431713345405,285.35848988,0.436565150616173,0.9543656515061616,0.9714406649970332,-74.59586707842486,39.91390727602454,-0.576815128326416,0.576815128326416,1,1,-0.6259569594309482,-285.35848988,285.35848988,286.5043228538096,-286.5043228538096,286.5043228538096,0.7739215659580316,0.3258283222082728,6.700444050417769,358.80711914856715,756.9384164822999,0.7739215659580316,0.8487693243652865,0.3258283222082728,264.61040953041567,570.9365894595855,31.128053250325795,0.0156089038021392,0.6182357634612349,495.83590905003297,9.18517975180189,3.621600158502361,11.818572320909016,0.0156089038021392,0.6182357634612349,0.7496067155758154,0.6213583946228027,-174.4002685546875,0.0641034024822469,0.3655375069382432,43.97262715922676,0.0814596735872671,0,-74.59596644599246,39.91389978823437,128.2564958262563,4.608702184438518,38.38832446635941,3.869709341118558,170.991457310837,39.959393441209855,-74.61843032813049,0.7710357308387756,304757,280.67580248,455611,40.3068558038032,-74.66484837247916,0.1016760617494583,590.6995271437455,39.79445606847864,288.44154392,2013-03-20,99.4258125,29.99460400895135,3.3,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,10.366643696768577,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,79,15.4928258118099,13.2798707227905,8.210477150072299,57.72730910649929,164.59910087957203,-178.62213267309178,54.54912892546079,31.862415583776095
1,1,1,0,LC08_014032_20130414,-74.59596644599246,39.91389978823437,2013-04-14 15:41:41.405999872,0.0305324999999999,0.034135,0.05201,0.061415,0.2136275,0.2176975,0.125435,296.22437546000003,21824.0,0.1151958075,0.553414472308825,0.2869540873460247,0.2945886838463697,296.22437546000003,0.4397758319388532,0.9543977583193884,0.9714512602453982,-74.59586707842486,39.91390727602454,-0.5534144639968872,0.5534144639968872,1,1,-0.6084137217072139,-296.22437546000003,296.22437546000003,297.26581237921266,-297.26581237921266,297.26581237921266,0.7746692406601012,0.6043709232053807,10.633250268306766,416.6732686588484,859.2166508241462,0.7746692406601012,1.4592298283557028,0.6043709232053807,300.8512365450579,630.6969720023841,64.25790153645879,0.0157107262890072,0.5671992310576701,363.9059644060866,10.058602968935496,3.0372858878739777,12.882006324680816,0.0157107262890072,0.5671992310576701,0.6858477127037181,0.409744918346405,-118.765869140625,0.2983226336625816,2.288929308487785,202.5331060598387,0.3575549721406837,0,-74.59596644599246,39.91389978823437,181.08735917107887,12.602105748284602,41.41711685584177,3.547816843817338,287.93574319871936,39.700044173133975,-74.66360329283955,0.7416852712631226,355012,289.85318618,541059,40.927816634701045,-74.02676917666727,0.0985150188207626,591.2167800485374,82.70947939928168,301.72396964,2013-04-14,149.30874999999995,33.2871337479085,4.0,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,64.91403518871358,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,104,18.1926200188759,15.406629767674602,10.1116190563271,63.28167276858116,163.93485643020716,-180.22697473401368,64.48730597670335,37.1569045358251
2,2,2,0,LC08_014032_20130516,-74.59596644599246,39.91389978823437,2013-05-16 15:41:51.443000064,,,,,,,,,,,,,,,,,,-74.59586707842486,39.91390727602454,,,1,1,,,,,,,0.75447701771037,1.469157696398193,22.8433710418834,,902.9941057518092,0.75447701771037,2.817532958056101,1.469157696398193,333.16095915144973,,,,,,,,,,,,0.6783491969108582,-201.25425720214844,,,,,0,-74.59596644599246,39.91389978823437,,23.047580406670487,52.143407664406105,0.3794066156729606,271.1895866780169,40.7959766331597,-74.95293996633728,0.872287929058075,97460,296.68239014,148358,40.920551940189625,-74.13233392268017,0.2506122887134552,625.4944849500584,102.49120762844484,306.49894358,2013-05-16,106.63187499999998,99.56872418862044,5.4,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,136,,,,,,,,
3,3,3,0,LC08_014032_20130601,-74.59596644599246,39.91389978823437,2013-06-01 15:41:55.500000000,0.0179374999999999,0.0192299999999999,0.0404599999999999,0.0259399999999999,0.3187049999999999,0.1684725,0.0697749999999999,307.54827572,21824.0,0.12567999,0.8494682934613876,0.5502605028117763,0.5199196111976037,307.54827572,1.3668696003424,0.963668696003424,0.97451066968113,-74.59586707842486,39.91390727602454,-0.8494682908058167,0.8494682908058167,1,1,-0.7746996505784249,-307.54827572,307.54827572,308.5195291087494,-308.5195291087494,308.5195291087494,0.7409923877924506,2.109271061814437,31.881276965972184,488.8369168827765,897.675829818163,0.7409923877924506,4.1838235897182585,2.109271061814437,361.6944261349743,644.5726196057957,52.80883180437812,0.0557403050022477,0.5084357927847318,158.58150705275168,11.537261880397317,1.5957843272644965,14.370868820662658,0.0557403050022477,0.5084357927847318,0.6100308033575829,0.2615310549736023,-79.0916519165039,0.6450717773675874,5.415616831894826,433.1822807486659,0.7320189063242105,0,-74.59596644599246,39.91389978823437,207.0031869684088,29.75509059774256,50.414913931791205,2.754156947998998,314.89793193255935,40.96328930238283,-74.57206497337413,0.9002014398574829,410130,302.4178277,649208,40.93041779638376,-74.15073410103638,0.3123576641082763,532.3368735405661,128.52932162910005,322.7550467,2013-06-01,196.20981250000008,156.1674356321343,7.7000003,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,153.58689335253726,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,152,7.97780227217677,12.443403235631168,5.914153342095569,98.01717321334256,261.25250893286074,-238.2575417362811,51.813426881237696,21.45918093836297
4,4,4,1,LC08_014032_20130617,-74.59596644599246,39.91389978823437,2013-06-17 15:41:49.413000192,0.0411199999999999,0.04211,0.0622125,0.0471975,0.3760425,0.193305,0.089685,302.31870512,21824.0,0.15789184,0.7769705131840091,0.6119629076170395,0.5342787357566829,302.31870512,1.463796588455628,0.9646379658845562,0.9748305287419036,-74.59586707842486,39.91390727602454,-0.7769705057144165,0.7769705057144165,1,1,-0.7160899476332272,-302.31870512,302.31870512,303.3273913886097,-303.3273913886097,303.3273913886097,0.7377660313582233,2.2860195206557914,34.37682858157871,456.8856151183067,894.2622795207985,0.7377660313582233,3.499183413589508,2.2860195206557914,346.2415605688058,630.1777023381457,60.739955303549685,0.0604249303508707,0.356201659012165,63.85387378651191,16.19726747154336,0.8860866215671521,20.512717717548483,0.0604249303508707,0.356201659012165,0.4326000219068867,0.2065476924180984,-61.76548767089844,0.74908984898343,5.699798128754118,505.5838732480841,0.8878650491312925,1,-74.59596644599246,39.91389978823437,180.5346520066083,26.681129733579304,65.33008563591592,1.9104937414319167,299.36694834417654,41.27655699565477,-75.54221426081044,0.9043229222297668,202958,299.03740592,384882,39.767754274799664,-75.38062636877079,0.0671167522668838,494.4804824741384,126.03744373204697,325.20576704,2013-06-17,180.65225000000007,154.76274454556577,6.8,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,161.6462749314668,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,168,14.2686870849012,18.808002442278,12.7306406726032,113.6846816700876,234.89271946221152,-216.48738571792583,58.439717293221605,27.1134530686872
5,5,5,1,LC08_014032_20130719,-74.59596644599246,39.91389978823437,2013-07-19 15:41:50.088000000,0.02693,0.0255549999999999,0.040295,0.0231349999999999,0.3055874999999999,0.1541175,0.058445,306.73478696,21824.0,0.1213356774999999,0.8592429785001029,0.5636716863502657,0.5112432086735911,306.73478696,1.3121938050691484,0.9631219380506916,0.9743302395567282,-74.59586707842486,39.91390727602454,-0.8592429757118225,0.8592429757118225,1,1,-0.7670017997441326,-306.73478696,306.73478696,307.89602111121405,-307.89602111121405,307.89602111121405,0.7237950752227081,2.8900219041352657,42.90487535382994,483.41092777617575,857.2515270245742,0.7237950752227081,4.974156999056421,2.8900219041352657,367.7601085151621,624.0232328798178,47.44860898026636,0.0530875327065992,0.4941587022801792,107.64403995738388,12.203586841651338,1.1449707135477638,14.78606781206952,0.0530875327065992,0.4941587022801792,0.5811025778024055,0.2419089376926422,-73.33782958984375,0.6978812634859817,5.530271634533367,468.9305839421675,0.813304235921182,1,-74.59596644599246,39.91389978823437,190.3746892305629,32.8005905364498,58.10073756585271,2.6927652480655926,296.242816352666,41.24834836975247,-75.08295034348927,0.8974231481552124,409967,303.16295606,603505,40.8422357821517,-73.85934664986817,0.1370447427034378,535.855064947041,122.5232559614392,322.45426094,2013-07-19,203.1813541666667,145.82090772009917,7.5,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,156.8385035553663,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,200,7.0963092963195695,12.3598782405532,7.83860748076277,93.73431671013896,263.5597119571049,-235.2661336424531,47.2731985293078,17.9271146238772
6,6,6,0,LC08_013032_20130728,-74.59596644599246,39.91389978823437,2013-07-28 15:35:40.934000128,,,,,,,,,,,,,,,,,,-74.59586707842486,39.91390727602454,,,1,1,,,,,,,0.7309097417790794,2.4188375434274003,36.25211639728101,,855.3433449485849,0.7309097417790794,3.2071647565099366,2.4188375434274003,311.1102270249305,,,,,,,,,,,,0.6958314776420593,-202.4500427246093,,,,,0,-74.59596644599246,39.91389978823437,,25.207616903263887,75.41980930407827,1.9533747019506311,176.2965641965078,40.809821588994026,-72.8988825638591,0.829222559928894,51796,290.94695258,1713,40.91571103692976,-72.45453674525913,0.0300270151346921,640.6446647897222,79.83789353997756,300.86946464,2013-07-28,93.01110416666664,92.8349972868128,4.3,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,209,,,,,,,,
7,7,7,0,LC08_014032_20130804,-74.59596644599246,39.91389978823437,2013-08-04 15:41:52.904000000,0.0163149999999999,0.0168925,0.0342724999999999,0.0214574999999999,0.291315,0.1468574999999999,0.0590499999999999,300.5037365,21824.0,0.11302713,0.8627916456849626,0.5216184897356028,0.4980314294590429,300.5037365,1.2338361245831544,0.9623383612458316,0.9740716592111244,-74.59586707842486,39.91390727602454,-0.8627916574478149,0.8627916574478149,1,1,-0.7894728759550045,-300.5037365,300.5037365,301.72745075664346,-301.72745075664346,301.72745075664346,0.7495112209740125,1.535901016944363,23.78573513666423,444.9491309645642,867.1524876511396,0.7495112209740125,2.9983146412569788,1.535901016944363,334.5646662527057,646.1560123873943,39.11998334161704,0.0492885554212071,0.34671633142217,131.45855893163264,15.277960934091675,1.704377201703693,21.073896495928928,0.0492885554212071,0.34671633142217,0.4438314344633308,0.3486980199813843,-103.50738525390624,0.7035375976839949,4.705202312392288,475.5774701141446,0.7834419167206973,0,-74.59596644599246,39.91389978823437,169.1586524642368,24.08021702967892,51.22547833407069,1.9063603086132008,274.939982725896,40.54356034003439,-74.98889925810734,0.9094478487968444,280164,296.83961906,471303,40.26004154283096,-75.0115246634671,0.1175344362854957,587.6539390924381,111.95811866937576,314.2270868,2013-08-04,155.15062499999996,124.83531343468816,5.7000003,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,133.43953757944527,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,216,6.44805892594872,10.29901430919622,5.076259368826251,87.5412459984975,259.27211334931536,-237.23954908987983,44.13122748304872,17.74474564032497
8,8,8,1,LC08_014032_20130820,-74.59596644599246,39.91389978823437,2013-08-20 15:41:54.128000000,0.0225299999999999,0.0216224999999999,0.03694,0.0238224999999999,0.2833675,0.1449875,0.0570975,302.10336986,21824.0,0.11266897,0.8449005501481169,0.5132862721211264,0.4823120950457761,302.10336986,1.147347297760574,0.9614734729776055,0.97378624608261,-74.59586707842486,39.91390727602454,-0.8449005484580994,0.8449005484580994,1,1,-0.7693466434598004,-302.10336986,302.10336986,303.30452678120884,-303.30452678120884,303.30452678120884,0.731682502524944,2.0835164449094363,31.5176416831079,454.0907385419552,817.8884517592722,0.731682502524944,3.4318550898332063,2.0835164449094363,343.8222237587368,602.2230113469012,42.12437146535946,0.0451210669178598,0.1911027817019185,93.57538598512528,22.12103666408297,1.7671109234073017,38.23421101863347,0.0451210669178598,0.1911027817019185,0.2750120449559428,0.3554673194885254,-106.04773712158205,0.6912009819167448,4.561529070443379,466.5232538964165,0.8329305245145462,1,-74.59596644599246,39.91389978823437,154.0137079624879,26.35117401157588,60.71108454088889,1.06191841960578,256.22404886057336,41.088481590302045,-74.45981107026836,0.8892185688018799,393874,298.3332938,659222,39.99020894934764,-75.140795733908,0.3602410852909088,519.8523374195496,103.21916507991432,315.14311616,2013-08-20,178.06177083333333,115.60758771610104,6.0,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,129.36496443777423,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,232,7.19685752848982,11.1596984826284,6.53223011479782,85.60627665880355,255.24730339631404,-232.42221357968563,43.80121233757674,17.24934716058135
9,9,9,2,LC08_014032_20130905,-74.59596644599246,39.91389978823437,2013-09-05 15:41:54.178999808,,,,,,,,,,,,,,,,,,-74.59586707842486,39.91390727602454,,,1,1,,,,,,,0.734617641997793,1.6767028839144058,25.773748661087065,,781.6953141769163,0.734617641997793,3.114161271230385,1.6767028839144058,295.52369294930924,,,,,,,,,,,,0.2153293490409851,-61.8722038269043,,,,,2,-74.59596644599246,39.91389978823437,,24.713729157612747,53.84123485846163,2.4548324410577944,224.1687785392361,40.9178705540817,-74.9934683864467,0.8757704496383667,93673,287.33752346,140781,40.884443303015736,-74.1463369399905,0.0685135424137115,462.9463040339633,82.316065463592,308.53266548,2013-09-05,84.62027083333331,78.54524354817471,5.0,39.9138,-74.596,30.0,1.08061139335935,Oak forest,Mixed Forests,NJ,US-Slt,MF,,10,38,0.927409936849242,9,5.173828125,17.2556209564209,74.53431701660156,0.8382282853126526,248,,,,,,,,
