,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,FCH4,FC_SSITC_TEST,FCH4_SSITC_TEST,H_inst_af,LE_inst_af,H_SSITC_TEST,LE_SSITC_TEST,WD,WS,USTAR,ZL,TAU,MO_LENGTH,V_SIGMA,W_SIGMA,TAU_SSITC_TEST,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD_PI,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_1_2_1,TS_2_2_1,TS_3_2_1,TS_1_3_1,TS_2_3_1,TS_3_3_1,TS_1_4_1,TS_2_4_1,TS_3_4_1,TS_1_5_1,TS_2_5_1,TS_3_5_1,TS_1_6_1,TS_2_6_1,TS_3_6_1,G_inst_af,G_2_1_1,SWC_1_1_1,SWC_2_1_1,Rn_inst_af,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NDVI,P,WTD,DO,PCO2,H_PI_F,LE_PI_F,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_044033_20210116,-122.021084566628,38.23683498431164,2021-01-16 18:45:50.467000064,0.0272874999999999,0.032815,0.0445849999999999,0.0504425,0.0934249999999999,0.1431175,0.1091274999999999,293.09688716,21824.0,0.0690688749999999,0.2987644881575059,0.0934428581677308,0.1001351209682115,293.09688716,0.0002516976032429,0.9500025169760324,0.9700008306020906,-122.0211983612518,38.23687324081939,-0.2987644970417022,0.2987644970417022,1,1,-0.353887399463807,-293.09688716,293.09688716,293.8715244173819,-293.8715244173819,293.8715244173819,0.677695675674225,1.0332556788672482,16.75534204231592,397.5141925065996,428.8509602581402,0.677695675674225,1.997409540610972,1.0332556788672482,285.5357111978989,272.9761587083865,24.19531025829093,0.0052672829420027,0.0996393247255607,134.86104034520693,24.12982985926765,2.669266434931032,73.33112806579075,0.0052672829420027,0.0996393247255607,0.1623173329768766,0.2547399699687958,-72.19155883789062,0.167250618967375,0.6892818756263458,113.91980810488865,0.4579122903334759,0,-122.021084566628,38.23683498431164,42.720352570873885,17.47957253943973,51.72978589814855,0.6953019598097737,123.6787556479791,39.58518757594689,-120.95312933745888,0.9127910137176514,396356,283.39312838,629674,38.86284151901952,-122.0334207289239,0.2152682393789291,229.0711174701589,24.906150729476416,293.93772008,19.54803399276317,2021-01-16 18:45:50.467000064+00:00,2021-01-16 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2021-01-16
1,1,1,1,LC08_044034_20210116,-122.021084566628,38.23683498431164,2021-01-16 18:46:14.352999936,0.0327875,0.036665,0.0461524999999999,0.0515149999999999,0.09392,0.14287,0.10976,293.10714122,21824.0,0.0707827575,0.2915735551964797,0.0939808381481753,0.0985498152408841,293.10714122,-0.0026977192035757,0.9499730228079644,0.9699910975266282,-122.0211983612518,38.23687324081939,-0.29157355427742,0.29157355427742,1,1,-0.3410198290171163,-293.10714122,293.10714122,293.60621008990296,-293.60621008990296,293.60621008990296,0.6837335966262866,1.033234048969485,16.75503525130906,397.5574808009062,450.5954619501258,0.6837335966262866,1.9990368682880968,1.033234048969485,306.3334849637674,312.1521385337316,27.41380132659105,0.0052205629485831,0.0996284823851724,50.29910328197035,32.33205266458876,1.339367356704912,73.33910852511836,0.0052205629485831,0.0996284823851724,0.148797769751849,0.265842467546463,-76.71363067626953,0.3441025190077049,1.230654000974763,234.43923392517016,0.8233497330379543,1,-122.021084566628,38.23683498431164,42.43095620230727,17.49247261217993,51.68659294684792,0.6958137177926264,123.6787556479791,37.11342273323665,-121.84405927524936,0.8925560712814331,284165,288.56801066,456370,37.26494086094633,-121.2554433717128,0.1896533071994781,261.1547101108174,39.92637512058988,300.02863172,34.90134746764428,2021-01-16 18:46:14.352999936+00:00,2021-01-16 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2021-01-16
2,2,0,0,LC08_044033_20210201,-122.021084566628,38.23683498431164,2021-02-01 18:45:48.562000128,0.0351799999999999,0.0403775,0.0472799999999999,0.0600674999999999,0.118725,0.2003725,0.1485075,293.52413966,21824.0,0.0880292725,0.3280758421074711,0.1246653964394675,0.1296217179771433,293.52413966,0.0566049204485692,0.9505660492044856,0.9701867962374804,-122.0211983612518,38.23687324081939,-0.3280758559703827,0.3280758559703827,1,1,-0.430378603054125,-293.52413966,293.52413966,294.2809686437318,-294.2809686437318,294.2809686437318,0.6931865274858285,1.0464254568070388,16.942137628613175,400.0742988660576,487.3764183788648,0.6931865274858285,1.49267065416302,1.0464254568070388,273.8110678624723,304.67423297575164,28.33312545235787,0.0062166385462103,0.2572013415241558,298.0765957230891,16.174779481007874,3.941846107555108,28.40834359004607,0.0062166385462103,0.2572013415241558,0.3543356264917763,0.2927469909191131,-82.20801544189453,-0.0319233997842833,-0.1431665937924695,-21.73548819969534,-0.0786545599186878,0,-122.021084566628,38.23683498431164,51.637690216139184,12.94786521373462,70.10424261296924,1.7665929114206331,109.7415128745268,38.84395576452226,-122.79696172754856,0.8783337473869324,121290,280.8159413,173475,38.17456996593352,-122.2641801066661,0.254227727651596,330.1198884714732,26.991544106008043,292.55342198,-4.060204599954434,2021-02-01 18:45:48.562000128+00:00,2021-02-01 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2021-02-01
3,3,1,1,LC08_044033_20210217,-122.021084566628,38.23683498431164,2021-02-17 18:45:44.690000128,,,,,,,,,,,,,,,,,,-122.0211983612518,38.23687324081939,,,1,1,,,,,,,0.7342147453307555,0.5168286041915863,9.43051859921454,,585.4251813860233,0.7342147453307555,1.5307761989678064,0.5168286041915863,253.00916328423384,,,,,,,,,,,,0.1629773378372192,-45.04412841796875,,,,,1,-122.021084566628,38.23683498431164,,13.333661936152732,33.762518945622546,3.605508021774437,191.3332921427894,39.47938712697182,-120.9771617720144,0.8833335638046265,465137,276.38276936,734273,38.57301284038035,-121.79797338405616,0.1811354011297226,342.4926087515488,32.32574240398367,291.70917104,,2021-02-17 18:45:44.690000128+00:00,2021-02-17 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2021-02-17
4,4,2,2,LC08_044034_20210201,-122.021084566628,38.23683498431164,2021-02-01 18:46:12.448999936,0.0363624999999999,0.0410375,0.0475275,0.0603974999999999,0.1186424999999999,0.2006474999999999,0.1520274999999999,293.55148382,21824.0,0.0885080474999999,0.32531836461126,0.1241107738464964,0.1286632598963242,293.55148382,0.0547269908963884,0.950547269908964,0.970180599069958,-122.0211983612518,38.23687324081939,-0.3253183662891388,0.3253183662891388,1,1,-0.427965336703376,-293.55148382,293.55148382,294.0451161018093,-294.0451161018093,294.0451161018093,0.6980724705182393,1.0464456663003765,16.94242427309375,400.2154936171359,507.9186763630486,0.6980724705182393,1.4935491915502477,1.0464456663003765,282.824394222364,331.5862482039595,30.527533344865294,0.0061832424341422,0.2575744704402686,266.103105326362,16.543416882781965,3.600653694222842,28.367190542408256,0.0061832424341422,0.2575744704402686,0.3516725677705126,0.3326887786388397,-94.22486114501952,0.0513284280711855,0.2108350527304245,34.95560953273224,0.11610894422735,2,-122.021084566628,38.23683498431164,51.52580841283634,12.956856768008327,70.06435892574822,1.770073932658862,109.7415128745268,37.278798036249626,-122.1880515947424,0.8922794461250305,177735,283.22222738,301512,37.34476440960876,-121.858811121128,0.1361834555864334,336.0340030037095,31.35909418459412,294.37864466,5.979282095434838,2021-02-01 18:46:12.448999936+00:00,2021-02-01 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2021-02-01
5,5,3,3,LC08_044034_20210217,-122.021084566628,38.23683498431164,2021-02-17 18:46:08.572000000,,,,,,,,,,,,,,,,,,-122.0211983612518,38.23687324081939,,,1,1,,,,,,,0.7379317997646548,0.5166062955754085,9.42736545050636,,604.867698696601,0.7379317997646548,1.5315011314925933,0.5166062955754085,271.222156550329,,,,,,,,,,,,0.2809524238109588,-79.04092407226562,,,,,3,-122.021084566628,38.23683498431164,,13.34091939143082,33.73202180215999,3.605252515515679,191.3332921427894,37.15130238231427,-121.9032773697266,0.855074942111969,272857,281.33206232,402308,37.347533195007735,-121.86554319848057,0.2094156742095947,366.38430155359487,40.65462000656969,294.63499616,,2021-02-17 18:46:08.572000+00:00,2021-02-17 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2021-02-17
6,6,0,0,LC08_044033_20210305,-122.021084566628,38.23683498431164,2021-03-05 18:45:37.619000064,0.036885,0.0433475,0.0557225,0.0701324999999999,0.1318424999999999,0.22834,0.175265,297.342068,21824.0,0.0994417725,0.3055328629780913,0.1256790814897787,0.1318636703586309,297.342068,0.0610102044017747,0.9506101020440176,0.970201333674526,-122.0211983612518,38.23687324081939,-0.3055328726768493,0.3055328726768493,1,1,-0.4058326446831763,-297.342068,297.342068,297.94272635940376,-297.94272635940376,297.94272635940376,0.7365414518879372,0.8365526660627601,13.965374377619256,421.3188736560413,663.8820529694009,0.7365414518879372,1.7347648757478915,0.8365526660627601,283.929435609705,446.4517609933856,49.77766721711375,0.0062954623148596,0.2201822710421943,229.1821493047439,18.07205868069829,3.440354942578381,33.18461585146789,0.0062954623148596,0.2201822710421943,0.3083344243563408,0.2565247118473053,-72.98931884765625,0.246869926434478,1.7176462904025094,167.49194447152794,0.4222406935553373,0,-122.021084566628,38.23683498431164,114.99743264165656,15.265945548854136,48.22282706768003,1.51049069096722,184.82096309063337,39.45140372064153,-120.96890753592416,0.8393323421478271,422484,284.53132904,666503,38.96305514077783,-122.09057894006033,0.1604213416576385,370.6160956428884,54.57381528245506,301.17366842,48.71244879581516,2021-03-05 18:45:37.619000064+00:00,2021-03-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2021-03-05
7,7,1,1,LC08_044033_20210321,-122.021084566628,38.23683498431164,2021-03-21 18:45:29.657000192,0.0422474999999999,0.0472249999999999,0.0572349999999999,0.0687849999999999,0.132255,0.2363974999999999,0.1866499999999999,301.42660190000004,21824.0,0.10202284,0.3157083167528851,0.1332532735964527,0.1358053748716193,301.42660190000004,0.0687984647813283,0.9506879846478132,0.9702270349337784,-122.0211983612518,38.23687324081939,-0.3157083094120025,0.3157083094120025,1,1,-0.3959047970869176,-301.42660190000004,301.42660190000004,301.92799876222347,-301.92799876222347,301.92799876222347,0.7612915548585186,0.5926441216279966,10.505859739718945,444.9870520888131,762.0798600238429,0.7612915548585186,1.7903237673181034,0.5926441216279966,273.56203603880454,499.4153970264784,64.82746472615207,0.0064364779334185,0.3593480206160086,428.4172709609464,13.06998988789859,4.700256857814424,20.33311347955564,0.0064364779334185,0.3593480206160086,0.4726533660061494,0.2434871047735214,-68.81531524658203,0.009130241403746,0.07571173461093,6.170661339379933,0.014198878709581,1,-122.021084566628,38.23683498431164,150.15761331136682,15.757592759988832,33.10262269018384,2.459925161343652,262.72539936122735,38.945579966588895,-120.71517033994328,0.8071284890174866,495216,282.62407388,763938,39.204872624685365,-122.22227905377196,0.177384465932846,480.36573344367673,62.80402598660093,300.02179568,2.147184793565975,2021-03-21 18:45:29.657000192+00:00,2021-03-21 19:00:00+00:00,2021-03-21,32.723169452855764,31.204898666666665,80.80260917197745,77.05357620833333,-0.1849593125000002,115.0641025625,6.990587000000019,1.7232832501667872,202103211200.0,202103211230.0,410.256997,4.8539,1953.40666,1.124464,16.767895,1.0,1.0,372.531418,94.819742,1.0,1.0,286.502531,3.329367,0.355257,-0.502251,-0.149742,-10.970615,1.330068,0.462364,0.0,23.968522,1.243734,102.14,21.4,19.12,17.389518,22.96,22.61,24.78,20.82,19.75,22.02,16.73,16.39,17.25,12.92,12.42,13.18,11.6,11.03,10.89,12.24,11.75,11.54,67.98374,47.61525,-9999.0,-9999.0,537.076923,-9999.0,1755.319149,-9999.0,112.357414,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.245289,0.0,-0.500811,-9999.0,-9999.0,372.531418,94.819742,CA,WET,15.6,450.0,38.2368,-122.0212,1.113,US-Hsm,2021-03-21 12:00:00,2021-03-21 12:00:00-07:00,2021-03-21
8,8,2,2,LC08_044034_20210305,-122.021084566628,38.23683498431164,2021-03-05 18:46:01.506000128,0.0376275,0.0437875,0.05586,0.070545,0.1323925,0.22812,0.175705,297.3762482,21824.0,0.09983208,0.3047613181398213,0.1259873396448378,0.1319765270738863,297.3762482,0.0612324277223957,0.950612324277224,0.970202067011484,-122.0211983612518,38.23687324081939,-0.3047613203525543,0.3047613203525543,1,1,-0.4065417457935484,-297.3762482,297.3762482,297.75050460725106,-297.75050460725106,297.75050460725106,0.7393055930193108,0.8364232393279543,13.963538633469192,421.5136189806776,681.0140572135354,0.7393055930193108,1.7357333091485472,0.8364232393279543,286.58351860282045,463.9432131105636,51.36397787126756,0.0062994565082057,0.2203895131767686,414.8252915832825,15.724723774464527,5.374460419530251,33.153410870228285,0.0062994565082057,0.2203895131767686,0.3234829720295893,0.4307333528995514,-122.8766098022461,-0.003309895030383,-0.0221214952111744,-2.2460563439864245,-0.0054439393749026,2,-122.021084566628,38.23683498431164,114.89374402103869,15.27463280029855,48.18846506657502,1.51181990415671,184.82096309063337,37.27882119835175,-122.19143534480108,0.8179232478141785,295607,285.27303938,509443,37.344797031216295,-121.86219749713888,0.088737741112709,435.8282262857802,52.84299018276495,297.87869714,-0.627365604188906,2021-03-05 18:46:01.506000128+00:00,2021-03-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Hsm,,,2021-03-05
9,9,3,3,LC08_044034_20210321,-122.021084566628,38.23683498431164,2021-03-21 18:45:53.544000000,0.0428524999999999,0.0476099999999999,0.0574824999999999,0.0689225,0.1324475,0.2367274999999999,0.187145,301.42660190000004,21824.0,0.1023164299999999,0.3154640711128768,0.1335785164110748,0.1358591043243937,301.42660190000004,0.0689050089705835,0.9506890500897058,0.9702273865296028,-122.0211983612518,38.23687324081939,-0.3154640793800354,0.3154640793800354,1,1,-0.3946980466487654,-301.42660190000004,301.42660190000004,301.70617580015136,-301.70617580015136,301.70617580015136,0.7633055156906725,0.5924899073685759,10.503672417872243,444.9875507885491,777.0858762730171,0.7633055156906725,1.791369486263654,0.5924899073685759,280.22269526828006,518.9943207989695,66.88357287891671,0.0064384217827024,0.3593894346150987,501.5771152895008,12.715566633152786,5.33594609914185,20.330770406938488,0.0064384217827024,0.3593894346150987,0.4779981613171646,0.3081692457199096,-87.64061737060547,-0.0731757350473227,-0.5830592375184961,-49.46636736944794,-0.1094120579902584,3,-122.021084566628,38.23683498431164,150.09947615929204,15.766717508928922,33.0746901692716,2.46013684465121,262.72539936122735,37.250015932689394,-122.13322249308466,0.8628321290016174,420343,284.39119022,401740,38.00095276885399,-121.82684842828075,0.0480571314692497,481.4396913584769,64.07566810736587,299.5296008,-16.535559976024548,2021-03-21 18:45:53.544000+00:00,2021-03-21 19:00:00+00:00,2021-03-21,32.723169452855764,31.204898666666665,80.80260917197745,77.05357620833333,-0.1849593125000002,115.0641025625,6.990587000000019,1.7232832501667872,202103211200.0,202103211230.0,410.256997,4.8539,1953.40666,1.124464,16.767895,1.0,1.0,372.531418,94.819742,1.0,1.0,286.502531,3.329367,0.355257,-0.502251,-0.149742,-10.970615,1.330068,0.462364,0.0,23.968522,1.243734,102.14,21.4,19.12,17.389518,22.96,22.61,24.78,20.82,19.75,22.02,16.73,16.39,17.25,12.92,12.42,13.18,11.6,11.03,10.89,12.24,11.75,11.54,67.98374,47.61525,-9999.0,-9999.0,537.076923,-9999.0,1755.319149,-9999.0,112.357414,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.245289,0.0,-0.500811,-9999.0,-9999.0,372.531418,94.819742,CA,WET,15.6,450.0,38.2368,-122.0212,1.113,US-Hsm,2021-03-21 12:00:00,2021-03-21 12:00:00-07:00,2021-03-21
