,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,H_inst_af,SH,H_SSITC_TEST,LE_inst_af,SLE,LE_SSITC_TEST,FC,SC,FC_SSITC_TEST,TAU,TAU_SSITC_TEST,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,WS_MAX,WD,USTAR,MO_LENGTH,ZL,FETCH_70,FETCH_80,FETCH_90,FETCH_MAX,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD_PI,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_inst_af,G_1_2_1,SW_IN,SW_OUT,Rn_inst_af,PPFD_IN,PPFD_OUT,P_RAIN,P,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_035038_20130326,-110.850803503187,31.817204469408303,2013-03-26 17:56:07.020999936,0.06389,0.0890524999999999,0.13671,0.1870075,0.26343,0.3063025,0.2542725,304.82069576000004,21824.0,0.1895415625,0.1696628278062994,0.11123564023536,0.120611560465575,304.82069576000004,0.0390765551120333,0.9503907655511205,0.9701289526318696,-110.85091254506648,31.81707673298844,-0.1696628332138061,0.1696628332138061,1,1,-0.3166891587944219,-304.82069576000004,304.82069576000004,312.6141423463233,-312.6141423463233,312.6141423463233,0.8098476535363863,0.1992950970006652,4.562444038469062,465.2250239068035,895.3908888552285,0.8098476535363863,2.6116622569171484,0.1992950970006652,311.235927255751,556.247827998147,114.1140872746368,0.0059096833352036,0.1491056896707396,294.1924072346888,18.412942737110807,4.742796527182364,49.00325465764474,0.0059096833352036,0.1491056896707396,0.2347833147914698,0.2492025196552276,-73.16143798828125,0.2211908112868873,1.873392296655507,147.94133348882144,0.3346076534370106,0,-110.850803503187,31.817204469408303,156.02854746842016,21.79868507358467,7.630967460391169,1.029132246590541,292.63389714422505,31.659819463203007,-110.85021486683424,0.5787091255187988,391573,293.582246,606059,32.11528575666026,-110.81099682883472,0.1274552196264267,492.2591467982805,119.49938984372156,314.66459336,53.12940553315018,2013-03-26 17:56:07.020999936+00:00,2013-03-26 18:00:00+00:00,2013-03-26,13.671456374019057,13.096547075000002,82.04073202932737,78.590771875,9.0232698125,105.49833361875,4.7877448562499865,0.7628754029035605,201303261200.0,201303261230.0,368.645,3.0667,0.0,35.642,-1.78469,0.0,-2.73315,-0.0515099,0.0,-0.272861,0.0,386.903,1.497235092,4.78209,0.069220021,1.61761,1.61041,0.707026,3.67885,9.6235,238.229,0.514411,-29.4235,-0.192363,96.1237,115.036,144.011,52.5749,24.6856,1.02437,25.7,7.876,88.4,30.41518347,9.6,9.2,8.8,9.4,8.7,9.2,39.27,17.28,21.0,46.13,126.7674,-9999.0,953.9983,204.19946,534.69884,2008.625561,217.1619717,0.0,0.0,AZ,WSA,19.4,388.0,31.8173,-110.8508,1169.0,US-SRS,2013-03-26 12:00:00,2013-03-26 12:00:00-06:00,2013-03-26
1,1,0,0,LC08_035038_20130519,-110.850803503187,31.817204469408303,2013-05-19 17:54:03.916000000,0.0718925,0.0936175,0.145345,0.1991899999999999,0.3130124999999999,0.3455175,0.2682975,321.96206606,21824.0,0.2132914699999999,0.2222216799019919,0.1575597463208143,0.1686754873654234,321.96206606,0.1359888176974165,0.951359888176974,0.9704487630984014,-110.85091254506648,31.81707673298844,-0.2222216725349426,0.2222216725349426,1,1,-0.3658007123260773,-321.96206606,321.96206606,329.1962192617971,-329.1962192617971,329.1962192617971,0.8033232501481111,0.5533320356149998,8.93684241559419,579.624478171443,995.2544632264402,0.8033232501481111,3.046212995669871,0.5533320356149998,358.64868237896474,544.55466793224,163.75639887786514,0.0077423984586346,0.2112855219006336,274.84751388865925,17.41908592448642,4.497807473306281,34.581943978514936,0.0077423984586346,0.2112855219006336,0.3057672028526202,0.1779345124959945,-54.07756423950195,0.1610278904923804,2.039309510204752,105.95075516571563,0.2782332898435175,0,-110.850803503187,31.817204469408303,200.93970708468663,24.344696451123667,18.164587847322228,1.420530082498442,363.38348192461285,31.26352530853057,-109.99878971410205,0.5291193723678589,435708,303.91833848,732359,32.446871819459226,-109.53849068297848,0.1193488389253616,475.0648818844975,164.29446670243829,326.70969584,57.83481770940677,2013-05-19 17:54:03.916000+00:00,2013-05-19 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-SRS,,,2013-05-19
2,2,1,1,LC08_036038_20130526,-110.850803503187,31.817204469408303,2013-05-26 18:00:16.914000128,0.0517075,0.0697749999999999,0.1151774999999999,0.157445,0.2502025,0.2699475,0.2115099999999999,320.2940723,21824.0,0.167901235,0.2275434045345549,0.1387289418267965,0.1532932663837007,320.2940723,0.1040337488613684,0.9510403374886136,0.9703433113712424,-110.85091254506648,31.81707673298844,-0.2275433987379074,0.2275433987379074,1,1,-0.3695467732223986,-320.2940723,320.2940723,327.7191419051811,-327.7191419051811,327.7191419051811,0.8253406978859288,0.1814021532970388,4.341362972167113,567.5153351281372,1024.4923535355342,0.8253406978859288,3.9841186472310426,0.1814021532970388,308.5380826932323,578.3956492933856,158.73508819836056,0.00710119753026,0.6178925404133727,346.680953458717,9.59503699927222,3.123678843699817,11.825137226856327,0.00710119753026,0.6178925404133727,0.7256035718657302,0.0914586931467056,-26.849084854125977,0.1107540543781978,1.4231321610707657,72.97960763630806,0.1739015156579916,1,-110.850803503187,31.817204469408303,224.68419048718349,28.906648135585023,4.553131303534675,4.189609205597962,369.11115641844594,32.22693747429073,-110.54809038058792,0.5722236037254333,237222,293.56515590000004,424161,31.96196356488273,-111.02814984041788,0.1109172031283378,441.3010247074293,144.94983842253836,322.65934214000004,40.36002808796692,2013-05-26 18:00:16.914000128+00:00,2013-05-26 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-SRS,,,2013-05-26
3,3,0,0,LC08_035038_20130604,-110.850803503187,31.817204469408303,2013-06-04 17:54:05.575000064,0.0733774999999999,0.0957075,0.1508725,0.2055975,0.3177975,0.353355,0.27399,327.11985824,21824.0,0.2180987725,0.2143696443412719,0.1529797301857504,0.1644526307046644,327.11985824,0.127123306884585,0.9512712330688458,0.970419506912719,-110.85091254506648,31.81707673298844,-0.2143696397542953,0.2143696397542953,1,1,-0.3561674525785733,-327.11985824,327.11985824,334.36515372999725,-334.36515372999725,334.36515372999725,0.8010326857797674,0.6200004546417348,9.760581952879413,617.611053313368,994.3431891270257,0.8010326857797674,4.312698264353635,0.6200004546417348,372.19810754512434,513.9284595316593,169.97090622257477,0.007560815566521,0.3692879036982316,374.54413031902567,13.085328565682458,4.705672974989341,19.78582024665973,0.007560815566521,0.3692879036982316,0.4812629477043413,0.169845774769783,-52.0848388671875,-0.0467273631654089,-0.6381552993727018,-30.58657700994109,-0.0889254406995261,0,-110.850803503187,31.817204469408303,195.7260875767664,30.28409683342131,14.376161202055652,2.4886230291313067,358.23502522221463,32.676750724967484,-110.42200819346672,0.5160930156707764,438544,306.65959052,792393,32.28743018672267,-108.79026337165432,0.0933065637946128,520.5544272577897,182.01675702539444,333.92855408,-18.098084290209822,2013-06-04 17:54:05.575000064+00:00,2013-06-04 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-SRS,,,2013-06-04
4,4,1,1,LC08_036038_20130611,-110.850803503187,31.817204469408303,2013-06-11 18:00:13.971000064,0.0642475,0.083745,0.133685,0.184945,0.2850725,0.3270375,0.255785,330.28494476000003,21824.0,0.1965582975,0.2130293021004536,0.1416907941844898,0.1548335468174543,330.28494476000003,0.1071919900547851,0.9510719199005478,0.9703537335671808,-110.85091254506648,31.81707673298844,-0.2130292952060699,0.2130292952060699,1,1,-0.3615159131478242,-330.28494476000003,330.28494476000003,337.7525529380818,-337.7525529380818,337.7525529380818,0.8146237437340484,0.3491295677361466,6.413764039675723,641.7287993135606,1009.7745476384082,0.8146237437340484,5.47295335675653,0.3491295677361466,402.9688126017653,552.8185046434144,187.2788899487705,0.00716293499223,0.290369609694703,278.5364961618863,15.454779792936632,4.205626908176711,25.16332232399007,0.00716293499223,0.290369609694703,0.3898249459149035,0.1724549978971481,-54.0414924621582,0.1333680127625837,1.8413335549472407,87.00311853275753,0.2380128309907975,1,-110.850803503187,31.817204469408303,210.28291825052125,34.51254564267322,6.379180398187303,1.9671824731813743,363.1036037964577,32.22685582525208,-110.52580332207204,0.5612194538116455,455898,313.36574576,784038,31.96982707984966,-112.22828503802896,0.1245110183954238,427.9120219322094,165.91132957644723,336.43738076,52.220219618303744,2013-06-11 18:00:13.971000064+00:00,2013-06-11 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-SRS,,,2013-06-11
5,5,2,2,LC08_036038_20130627,-110.850803503187,31.817204469408303,2013-06-27 18:00:10.950000128,0.0632575,0.0851199999999999,0.1356375,0.1865675,0.286365,0.326185,0.251935,327.78295412,21824.0,0.1972684025,0.211018485724707,0.1411666770398954,0.1538608793518563,327.78295412,0.1051965451198931,0.9510519654511989,0.9703471485988956,-110.85091254506648,31.81707673298844,-0.2110184878110885,0.2110184878110885,1,1,-0.3571720546679224,-327.78295412,327.78295412,335.3555254446098,-335.3555254446098,335.3555254446098,0.7990904540086226,0.6565922729426791,10.212701980857831,622.4905548098683,984.3808294795022,0.7990904540086226,4.971129099021362,0.6565922729426791,388.303675638188,537.0000148942111,175.35842106936192,0.0071238864123741,0.4437600794410844,379.27857527114105,11.807667934471064,4.326161378391646,16.46534787681159,0.0071238864123741,0.4437600794410844,0.5568583508801751,0.1696073412895202,-52.5526008605957,-0.0269709229809989,-0.36711929503209,-17.63698144629194,-0.0487692282841611,2,-110.850803503187,31.817204469408303,205.10608015527453,32.78975132162051,13.208111474552908,3.0079703911531226,353.30930259600154,31.78618050604064,-110.4447293420492,0.4360220432281494,460505,309.84860318,806943,31.08494595892517,-112.18530749162812,0.1277556717395782,425.7995212734632,153.32442907318068,335.3162702,-10.411503207110073,2013-06-27 18:00:10.950000128+00:00,2013-06-27 18:00:00+00:00,2013-06-27,6.470135941036406,6.220946770833333,124.0528981677884,119.27515639583332,11.753851166666664,189.15697225,51.90701791666666,46.88008697450852,201306271200.0,201306271230.0,358.625,1.39981,0.0,33.2176,-0.325693,1.0,-0.866378,0.038675,0.0,-0.231251,0.0,393.867,1.570103924,7.36854,0.3064374,1.63155,1.21786,0.550053,2.61245,8.27469,351.061,0.479198,-24.5625,-0.230433,111.025,132.868,166.335,60.7249,33.4427,1.16296,34.75,11.17,88.9,49.24834329,6.1,6.3,7.5,9.6,9.0,9.5,52.72,32.06,35.13,61.46,110.3595,-9999.0,979.7104,213.7,537.7104,2062.133576,238.6769405,0.0,0.0,AZ,WSA,19.4,388.0,31.8173,-110.8508,1169.0,US-SRS,2013-06-27 12:00:00,2013-06-27 12:00:00-06:00,2013-06-27
6,6,0,0,LC08_036038_20130713,-110.850803503187,31.817204469408303,2013-07-13 18:00:12.947000064,,,,,,,,,,,,,,,,,,-110.85091254506648,31.81707673298844,,,1,1,,,,,,,0.7594828575292907,1.960714244439298,26.326130873379203,,927.364948359134,0.7594828575292907,3.720930372212984,1.960714244439298,375.5329771906759,,,,,,,,,,,,0.1305344700813293,-39.92524337768555,,,,,0,-110.850803503187,31.817204469408303,,27.73008802288718,52.69419334157506,1.2095289679048018,267.9511181327802,30.92042803253072,-110.75090371400886,0.5917077660560608,201788,305.85977384,374271,32.02151059636813,-111.0059301123908,0.1397871822118759,350.2395991784727,137.0154081511062,334.41733094,,2013-07-13 18:00:12.947000064+00:00,2013-07-13 18:00:00+00:00,2013-07-13,73.58681257011256,70.50614145833333,49.31050899642979,47.246151875,0.7938927979166666,114.54160683541666,-4.004579295833345,-9.149607529042356,201307131200.0,201307131230.0,255.298,1.68499,0.0,187.492,0.486652,0.0,-6.68181,-0.00829871,0.0,-0.251408,0.0,394.912,2.009189555,20.4505,0.394538629,1.3287,1.60734,0.561306,1.58637,7.56073,291.963,0.499595,-39.0798,-0.144832,112.945,135.166,169.212,61.7751,32.0321,0.984473,31.58,35.3,88.5,30.03367162,16.0,14.6,11.6,10.1,9.0,9.9,47.01,27.63,28.8,50.68,169.5006,-9999.0,1064.4651,208.64908,719.21602,2253.789557,230.7914331,0.0,0.0,AZ,WSA,19.4,388.0,31.8173,-110.8508,1169.0,US-SRS,2013-07-13 12:00:00,2013-07-13 12:00:00-06:00,2013-07-13
7,7,1,1,LC08_036038_20130729,-110.850803503187,31.817204469408303,2013-07-29 18:00:13.421999872,0.0514049999999999,0.0649075,0.1045349999999999,0.1380575,0.2884825,0.279875,0.2078525,324.73408028,21824.0,0.173965755,0.352663290664416,0.2307101824592778,0.2435269928983099,324.73408028,0.3063116404727039,0.953063116404727,0.97101082841356,-110.85091254506648,31.81707673298844,-0.3526632785797119,0.3526632785797119,1,1,-0.4680389550083648,-324.73408028,324.73408028,332.5349763410734,-332.5349763410734,332.5349763410734,0.7824376112771116,1.042093803260547,14.975869562189574,600.9193647040449,944.5541361731172,0.7824376112771116,4.179086198155266,1.042093803260547,367.4792365044472,529.5456043883014,157.55690997333792,0.0117914769612103,0.2906632635447719,248.7432108071857,15.6536605685946,3.7245113597638735,25.13790010038036,0.0117914769612103,0.2906632635447719,0.3919600208083616,0.1352234631776809,-41.24202346801758,0.1879385086322372,2.305194701931337,123.24548360777774,0.3313151325784489,1,-110.850803503187,31.817204469408303,190.11235239130767,29.73537583765852,24.93592507664829,1.873290964327996,326.2130409392357,32.44075139379701,-110.74489590343887,0.5895876288414001,458181,304.99159676,844224,32.69668209453292,-111.79329672994744,0.1326898783445358,479.2890414644,151.54738410162324,335.8118831,65.37532174677271,2013-07-29 18:00:13.421999872+00:00,2013-07-29 18:00:00+00:00,2013-07-29,72.29077221582034,67.97247051875,84.53614178525335,79.48636083333334,11.165630583333334,153.6485638791667,-4.975898056249974,-14.343980705240329,201307291200.0,201307291230.0,289.796,0.419115,0.0,173.236,2.66062,0.0,-8.2839,-0.0593993,0.0,-0.247609,0.0,388.536,2.003555216,13.9339,0.351254633,1.34082,1.66816,0.653466,2.74119,9.42089,266.387,0.494686,-33.4534,-0.169191,99.2239,118.746,148.656,54.2706,31.6272,0.950535,31.56,24.15,88.8,35.16959345,11.7,10.5,10.2,10.2,9.0,9.7,49.42,26.8,27.76,53.21,142.2614,-9999.0,929.2385,176.90044,581.03806,1907.446769,168.874962,0.0,0.0,AZ,WSA,19.4,388.0,31.8173,-110.8508,1169.0,US-SRS,2013-07-29 12:00:00,2013-07-29 12:00:00-06:00,2013-07-29
8,8,0,0,LC08_036038_20130814,-110.850803503187,31.817204469408303,2013-08-14 18:00:13.803000064,0.049205,0.0658699999999999,0.1101449999999999,0.13968,0.3092175,0.2774,0.194185,318.70127498,21824.0,0.1798699225,0.3776753044960151,0.256366539696269,0.2680018126299204,318.70127498,0.3682654046203774,0.9536826540462038,0.9712152758352472,-110.85091254506648,31.81707673298844,-0.3776752948760986,0.3776752948760986,1,1,-0.4747026737011535,-318.70127498,318.70127498,326.5495712531042,-326.5495712531042,326.5495712531042,0.7748904279086701,1.212390373699297,17.080014525912528,557.8560482674469,920.2307075493352,0.7748904279086701,4.539599372909464,1.212390373699297,354.3172923098416,534.7590889373837,143.59995197329627,0.0135302168034748,0.3237370302293751,327.2176285022685,14.170967123077045,4.310329810401299,22.56975075314079,0.0135302168034748,0.3237370302293751,0.436230890192869,0.1752896308898925,-52.93042755126953,0.0969249828807718,0.9027671579461802,63.94150846181896,0.1634667387756545,0,-110.850803503187,31.817204469408303,151.80366466857004,31.182958148027893,26.706990509655185,2.0569787451920014,271.0584806577139,30.92043997479517,-110.75718340403591,0.6690027713775635,219395,301.95981302,380383,31.992285813977468,-110.54765686287162,0.14404296875,424.9172905738309,143.93703720693372,326.74729406,25.602476599353672,2013-08-14 18:00:13.803000064+00:00,2013-08-14 18:00:00+00:00,2013-08-14,68.71081951535052,66.25913791666666,26.173308105217483,25.239414166666663,2.6173505291666666,94.78423419166666,0.668331579166658,-2.717243958068021,201308141200.0,201308141230.0,145.771,3.72637,0.0,179.221,-0.00600759,0.0,-7.60148,0.0555809,0.0,-0.142419,0.0,390.724,2.000160091,15.4842,0.462920901,1.09665,0.991772,0.500336,3.16823,7.92316,355.374,0.377056,-29.4133,-0.19243,98.8657,118.317,148.119,54.0747,33.9858,0.848138,33.85,24.47,88.6,39.83247398,10.8,10.1,10.2,10.3,9.3,10.0,49.78,27.77,29.0,51.76,100.7475,-9999.0,841.6269,157.1778,544.0491,1754.705708,150.4753103,0.0,0.0,AZ,WSA,19.4,388.0,31.8173,-110.8508,1169.0,US-SRS,2013-08-14 12:00:00,2013-08-14 12:00:00-06:00,2013-08-14
9,9,1,1,LC08_036038_20130830,-110.850803503187,31.817204469408303,2013-08-30 18:00:16.496999936,,,,,,,,,,,,,,,,,,-110.85091254506648,31.81707673298844,,,1,1,,,,,,,0.750704383013913,2.0323387951826954,27.211107225735308,,869.3649027880549,0.750704383013913,3.3097291659077253,2.0323387951826954,275.5827915014577,,,,,,,,,,,,0.07230756431818,-20.45044136047364,,,,,1,-110.850803503187,31.817204469408303,,25.738003109352448,61.40498794031405,1.0641786730881329,227.5872947600249,31.82544212044,-111.1691782441418,0.5782705545425415,84799,282.82573706,141408,31.93092594934356,-111.97008198050604,0.1624045372009277,272.8797570499996,94.61971198125104,332.02129892,,2013-08-30 18:00:16.496999936+00:00,2013-08-30 18:00:00+00:00,2013-08-30,75.38211885002362,67.86458814583334,24.438610794453837,22.001454479166668,1.1992140937500002,104.34245999583334,13.27720327708333,3.322516257605887,201308301200.0,201308301230.0,119.914,1.94336,0.0,190.983,-2.86014,0.0,-9.64334,-0.159925,0.0,-0.0754,1.0,380.735,2.103198173,24.8209,0.747448806,0.602245,0.72735,0.363485,1.11718,3.3743,237.896,0.271294,-13.3772,-0.423109,98.1055,117.407,146.98,53.6588,28.1222,0.584596,26.8,61.02,88.9,13.73235763,19.3,17.4,8.5,9.8,9.2,9.9,31.18,25.28,25.85,31.46,69.39687,-9999.0,596.8858,100.6556,438.0502,1196.276606,102.7723973,0.0,0.0,AZ,WSA,19.4,388.0,31.8173,-110.8508,1169.0,US-SRS,2013-08-30 12:00:00,2013-08-30 12:00:00-06:00,2013-08-30
