,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,Relative humidity,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,Air temp,PA,RH,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,SWC_1_7_1,SWC_1_8_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_4_7_1,SWC_4_8_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,SWC_5_7_1,SWC_5_8_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_inst_af,Rn_inst_af,P,THROUGHFALL_1_1_1,THROUGHFALL_2_1_1,THROUGHFALL_4_1_1,THROUGHFALL_5_1_1,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-96.60931723063396,39.10815589414337,2017-09-02 06:00:00,144.63599729537964,190.0119945907593,2017-09-02,US-xKA,0,44.05118628786932,46.64298414117423,99.57938295501472,105.43824063230062,5.253027777777778,138.43229166666666,US-xKA,61,0,0,LC08_028033_20170902,-96.6128655760062,39.110266935061055,2017-09-02 17:06:54.173000192,0.049095,0.0583075,0.082865,0.0973299999999999,0.2015275,0.29951,0.2106299999999999,309.4076786,21824.0,0.140279575,0.3486527860267855,0.1932157754637893,0.1956497247631775,309.4076786,0.1943716613095469,0.9519437166130954,0.9706414264823214,-96.61271720466776,39.11029755841125,-0.3486527800559997,0.3486527800559997,1,1,-0.4172490484102076,-309.4076786,309.4076786,312.2708506643058,-312.2708506643058,312.2708506643058,0.7324295147562203,2.0412628253569154,29.96477172062929,494.673539492228,795.8977959051068,0.7324295147562203,3.3953239079774944,2.0412628253569154,347.0567682321194,519.9545616864872,96.98637509956492,0.0090097446650018,0.4089534778237216,281.2222800636776,12.899598841089832,3.191772194416302,17.86673662911976,0.0090097446650018,0.4089534778237216,0.5130283603410154,0.2415017038583755,-72.22216796875,0.21185655826006,1.787804139834622,141.74590652324463,0.3351219099172488,0,-96.6128655760062,39.110266935061055,148.7217501487894,26.169778300857825,60.11982599247335,2.7084781901562662,253.07019894121007,38.56086885627939,-96.36489813100428,0.8812214136123657,510940,299.05449602,828032,38.53472176010318,-97.02764780435218,0.3107998371124267,462.5740666026876,107.8679414384138,316.89656042,2017-09-02 17:06:54.173000192+00:00,2017-09-02 17:00:00+00:00,11736.0,201709021200.0,201709021230.0,388.607014804296,18.3888613059564,,,,,,,,,,,,,,,,,3.1891209946902,7.01443483351082,243.34746149337,28.9265911336306,0.948344314168195,,,,99.9615003149947,,0.362650720616259,343.707990824111,3.67754843849937,206.145,83.985,1.18528436234651,2.78,2.31,0.83,6.76,5.14,3.0,242.44,242.23,227.99,27.4932,28.722,27.9888,29.0345,31.4342,97.85742,52.34,17.5644,,35.79,39.56,202.9,813.45,779.9,106.45,390.7,532.3,425.0,549.4,1619.6,1617.31,1624.19,,124.52,514.48,433.17,615.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.833,25.327,22.605,,22.446,22.259,21.84,21.34,20.091,30.375,27.321,23.323,22.49,22.575,22.342,22.06,21.443,20.135,26.297,24.367,22.088,21.705,21.687,21.627,21.256,20.767,19.631,27.467,25.267,22.883,22.301,22.34,22.092,21.755,21.517,19.809,26.34,24.911,22.829,22.619,22.553,22.328,21.874,21.56,20.193,27.605,,20.497,565.4,,,,,,,,,,US-xKA,-96.6129,39.1104,1329.0,KS,CST,GRA,Cfa,12.7,850.63,2017-09-02 12:00:00,12:00:00,245,0.1308623762984817,0.0624615249145968,1.008967758350017,0.0,1093.0403820321212,0.7442085520094675,102.4472518816876,3.669811380825216,1.920779276723918,55.01554478334519,826.9082795410482,0.1,0.0638868728729286,0.813995997892757,1.228507268572282,-0.1253224582684696,-0.0697843944472486,0.809731073813674,0.7097310738136741,0.6981429147100671,2017-09-02 12:00:00-05:00,US-xKA,0.8139973462326445,1093.042192593782,97.50536836626095,326.0000000000044,0.9624982789467862,0.9493726765781616,2.206228690248956,0.1399781227540459,-0.2176049248835931,1.988623765365363,0.0648709185457164,0.2004433043627691,2.086814389303881,369.544212366053,55.47796411493862,372.93463808717325,30.11464935813797,25.639067287189,18.0407882199695,62.3541559490615,107.87584916197022,-129.10005946666135,92.670693817486,65.17053934351797,40
1,1,1,-96.60931723063396,39.10815589414337,2018-06-17 06:00:00,280.7639891815185,402.7119945907593,2018-06-17,US-xKA,1,127.33464121950774,86.11535905015684,64.2071121053655,43.4227360251135,8.33328947368421,204.5775,US-xKA,72,1,1,LC08_028033_20180617,-96.6128655760062,39.110266935061055,2018-06-17 17:05:42.879000064,0.027645,0.034355,0.0563,0.0498375,0.3035525,0.1859075,0.107615,313.22560694000003,21824.0,0.1344624175,0.7179461784430797,0.4716190242506032,0.44595378431901,313.22560694000003,0.9700713417730183,0.95970071341773,0.973201235427851,-96.61271720466776,39.11029755841125,-0.7179461717605591,0.7179461717605591,1,1,-0.6870940176878026,-313.22560694000003,313.22560694000003,315.9958517614312,-315.9958517614312,315.9958517614312,0.7438295883300872,2.1769149897516566,31.81652571688788,523.7787975811042,903.013074738005,0.7438295883300872,5.1019599880719095,2.1769149897516566,283.46175910751214,529.8514085356446,80.51319129565803,0.0367822557011939,0.9705351415729586,316.94591436901567,6.682743567095781,1.902332891530076,7.528489973064756,0.0367822557011939,0.9705351415729586,1.0778683255746175,0.060637466609478,-17.258853912353516,0.198601616298297,2.1458320214563456,132.39230287097092,0.2946384211077725,1,-96.6128655760062,39.110266935061055,202.2903004243112,33.25295537099294,42.66820976332937,5.524301771520607,309.9581124231047,39.42615722447587,-95.84857060781046,0.8422924280166626,381694,284.62361558,583391,38.56841754075592,-97.05427271307012,0.2613222599029541,424.2342213560429,117.58467960376068,324.67597394,2018-06-17 17:05:42.879000064+00:00,2018-06-17 17:00:00+00:00,25560.0,201806171200.0,201806171230.0,384.312589537684,15.3656308315886,394.072218183654,16.873581850066,405.799531194175,,392.660205565394,17.4131889406781,405.772052869388,,391.749135302846,17.4900694397697,406.947918016393,,390.077842212438,17.6101353793848,406.337741702614,,8.6841981555594,15.9711822182561,181.063435944126,36.1833074715939,0.660779460699734,-11.4514607396262,-0.0778258532602103,-11.5292865928864,199.057101595632,-6.23927320981252,0.661665821459626,197.806482184393,,305.4,122.16,2.1327521727091,,3.63,0.65,,9.42,2.72,,,,,33.695,34.2887,34.8237,35.4267,97.36543,44.09,,55.29,56.37,48.45,161.6,982.22,902.1,158.85,434.3,532.1,466.1,578.8,,2009.26,1908.11,933.69,,1887.0,564.74,938.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.838,35.734,30.2,27.491,25.198,22.394,20.505,18.823,16.337,34.483,31.234,27.997,26.567,24.934,22.546,20.58,18.826,16.258,33.073,30.652,27.53,26.13,24.208,,20.069,18.618,16.137,,30.496,27.845,26.158,24.424,21.972,20.019,18.948,16.07,30.639,29.31,27.343,26.628,24.842,22.459,20.525,19.134,16.559,,,,725.57,,,,,,,,,,US-xKA,-96.6129,39.1104,1329.0,KS,CST,GRA,Cfa,12.7,850.63,2018-06-17 12:00:00,12:00:00,168,0.1617254790169208,0.2012566823881189,1.016191232855981,0.0,1173.5776116402362,0.8369450731317313,102.4472518816876,,,,887.8360103003359,0.1,,0.8865315353672057,1.1279914589680051,,,,,,2018-06-17 12:00:00-05:00,US-xKA,0.8865326093305042,1173.5790333373022,97.505368366261,326.0000000000044,0.0,-0.35,2.5031522431737496,0.1334387892194363,0.083975404427847,2.5871276476015965,0.0648709185457164,0.2856304064265768,3.9381277337618106,562.7800300434553,66.04888074673052,306.53802977198586,15.610381185872251,17.634601670722002,10.7608657264237,95.08041605065436,224.8791274930872,-215.2154407151051,58.23098952219806,33.70777369084811,40
2,2,2,-96.60931723063396,39.10815589414337,2019-04-01 06:00:00,107.76799864768982,153.14400270462036,2019-04-01,US-xKA,2,83.00581388211488,66.20408405875081,42.10569285967146,33.58281425193357,-1.743083333333333,132.96124999999998,US-xKA,80,0,0,LC08_028033_20190401,-96.6128655760062,39.110266935061055,2019-04-01 17:06:20.172000000,0.0522575,0.0583075,0.0752475,0.096395,0.1717449999999999,0.29841,0.2327125,291.37420508,21824.0,0.13187288,0.2810099201909449,0.1434900551965394,0.1471411461452338,291.37420508,0.091508998250375,0.9509150899825036,0.9703019796942262,-96.61271720466776,39.11029755841125,-0.2810099124908447,0.2810099124908447,1,1,-0.3906900007085234,-291.37420508,291.37420508,294.18477586286366,-294.18477586286366,294.18477586286366,0.7742166292086916,0.5589607159639833,9.730233871727204,388.623630775503,818.7618487443459,0.7742166292086916,1.2180366875217032,0.5589607159639833,282.3395845499759,590.6467063887646,58.97325262911333,0.0068598702002906,0.5790429295076337,474.1874781328193,9.759852039472058,3.784659112438163,12.618518782453547,0.0068598702002906,0.5790429295076337,0.698744934781093,0.4246825575828552,-121.1504898071289,0.0844231214188802,0.5826039210911391,57.4859756268321,0.1081227118268335,0,-96.6128655760062,39.110266935061055,152.87826056735543,9.878942180386217,45.89030213049503,3.9394392151442448,264.7837161471482,38.30670521353793,-97.11858269550494,0.7248020768165588,404741,285.27303938,716003,38.202255934029935,-97.2521474361416,0.2179147601127624,545.664157889297,68.34160016825136,294.68284844,2019-04-01 17:06:20.172000+00:00,2019-04-01 17:00:00+00:00,39384.0,201904011200.0,201904011230.0,416.645710603727,4.54008456477995,,,,,,,,,,,,,,,,,6.70986002992128,12.6537066700981,193.018316649714,12.2819461981948,0.637377867054693,3.49347343784997,,,209.51340473648,,0.420542001967227,179.997426880981,2.29125083360861,358.845,137.43,1.16772538981838,5.72,4.73,3.41,10.62,9.38,6.57,194.91,189.32,187.63,12.0438,,12.3655,12.9012,13.7465,,,,18.35,17.66,18.71,111.7,934.62,890.8,124.49,262.6,410.5,265.7,417.4,1761.01,1730.23,1701.04,1811.44,148.01,1695.04,1792.59,1722.92,29.01,,,,,,,13.64,29.99,,,,,,,,29.84,,,,,,,24.69,28.98,,,,,,,,,37.83,,,,,,,16.007,11.199,6.622,6.267,7.093,7.333,7.441,7.24,7.678,14.159,9.997,6.414,6.264,7.054,7.369,7.31,6.997,7.348,11.506,9.877,6.732,6.204,6.888,,7.247,7.125,7.266,10.144,8.159,6.235,6.218,6.975,7.212,7.04,7.48,7.407,9.999,8.143,6.354,6.723,7.186,7.405,7.218,7.366,7.732,,,,662.23,,,,,,,,,,US-xKA,-96.6129,39.1104,1329.0,KS,CST,GRA,Cfa,12.7,850.63,2019-04-01 12:00:00,12:00:00,91,0.1331985191842674,0.0355510912353445,0.9989174212727258,0.0,1093.3299495150584,0.8548380115394685,102.4472518816876,1.4066198285008422,,,827.1274230198004,0.1,,0.7980716893795259,1.2530202653566958,,,,,,2019-04-01 12:00:00-05:00,US-xKA,0.798073088071948,1093.33186567414,97.505368366261,326.0000000000044,0.9898859909094632,0.9863460877277755,2.269607844719326,0.2353308544369733,-0.3038517613467115,1.965756083372615,0.0648709185457164,0.0816976162465731,3.069077397490616,241.855997724192,25.6150296122836,283.15909231942044,28.0870164986866,21.9251804967573,16.9893014627021,50.04206285146457,81.87904211523082,-113.83698838915063,86.9489765379228,67.80641969967951,40
3,3,3,-96.60931723063396,39.10815589414337,2019-06-20 06:00:00,175.83199459075928,224.0440027046204,2019-06-20,US-xKA,3,199.7801335812493,165.63725682454847,22.833122964755805,18.930890598697253,5.035783783783784,213.71354166666663,US-xKA,83,1,1,LC08_028033_20190620,-96.6128655760062,39.110266935061055,2019-06-20 17:06:39.094000128,0.0384249999999999,0.044805,0.0619374999999999,0.078245,0.143805,0.2437125,0.1784825,306.17423168,21824.0,0.1073154075,0.2952488178338212,0.1283238238777048,0.1361955543244927,306.17423168,0.0695724160571968,0.950695724160572,0.9702295889729888,-96.61271720466776,39.11029755841125,-0.295248806476593,0.295248806476593,1,1,-0.3979124390925552,-306.17423168,306.17423168,308.93567148467963,-308.93567148467963,308.93567148467963,0.7405020792456114,2.3426950891387035,34.07954866908198,473.69537700393096,899.0667682016314,0.7405020792456114,3.476218524365604,2.3426950891387035,357.41912816352783,668.6845114766996,109.1158450541423,0.0064506073830299,0.4754979181721792,181.1900944804076,12.339281220198844,1.9505211114310868,15.36634294830548,0.0064506073830299,0.4754979181721792,0.5614767927654374,0.2625035941600799,-79.14620208740234,0.5636901325848451,5.311973784783135,378.3785719421497,0.6761968541970107,1,-96.6128655760062,39.110266935061055,219.7139523855396,26.56921217962781,67.39205469156275,3.2543419402693337,332.08679043400065,39.38285246941363,-95.81639404870236,0.9021911025047302,542462,301.50521636,780188,38.31955062105423,-97.28639469511964,0.2733534872531891,548.0244103943749,128.44361000524918,316.4487998,2019-06-20 17:06:39.094000128+00:00,2019-06-20 17:00:00+00:00,43224.0,201906201200.0,201906201230.0,405.579887460262,23.4326251305848,,,,,,,,,,,,,,,,,6.23089183058827,11.8704603483606,180.750348308345,30.8680340461968,0.503276649386176,0.262834473730722,,,406.516505505168,,0.385324056684436,90.3088685608411,,335.94,129.795,1.36165773594899,5.32,,4.19,8.55,,7.29,181.16,,,28.6885,,28.8111,,29.4131,96.78696,,,31.12,,31.32,103.5,998.65,945.9,95.64,394.9,490.1,402.7,501.3,2045.23,1797.63,1867.37,,128.33,1671.11,1986.82,1644.65,29.9,,,,,,,15.59,27.63,,,,,,,,31.07,30.73,,,,,,,31.54,39.76,,,,,,,33.37,,,,,,,,27.6,25.278,21.914,21.551,21.551,20.056,,17.008,14.991,26.801,24.482,21.827,21.622,21.498,20.202,18.479,16.839,14.677,26.228,24.514,22.001,21.526,21.317,,18.636,17.185,14.882,,23.35,21.81,21.444,21.329,19.915,18.154,17.326,14.767,24.691,23.203,21.689,21.895,21.412,20.009,18.345,17.126,15.002,,,37.294,807.81,,,,,,,,,,US-xKA,-96.6129,39.1104,1329.0,KS,CST,GRA,Cfa,12.7,850.63,2019-06-20 12:00:00,12:00:00,171,0.0957692885395283,0.2017043877663978,1.0164369809413258,0.0,1173.2841565197182,0.8511578328665659,102.4472518816876,3.93413208054642,,,887.6140041902182,0.1,,0.8867385855407312,1.1277280771426026,,,,,,2019-06-20 12:00:00-05:00,US-xKA,0.8867396585826082,1173.285576310234,97.50536836626095,326.0000000000044,0.0,-0.35,2.492213081454922,0.1257178874774691,0.0724358592076761,2.564648940662598,0.0648709185457164,0.2045980936172705,2.5413630553241537,451.1347911116059,147.47490179389027,386.65568702764193,23.9566027578016,18.963666474679968,13.7181364504224,44.0293853867424,90.39757995469849,-121.83053531507788,74.618487438312,54.6467423058256,40
4,4,4,-96.60931723063396,39.10815589414337,2020-05-05 06:00:00,155.98,215.53599729537964,2020-05-05,US-xKA,4,182.8648572003028,160.3973507891825,6.10994460049177,5.359252414005805,4.793749999999999,185.7975,US-xKA,96,0,0,LC08_028033_20200505,-96.6128655760062,39.110266935061055,2020-05-05 17:06:12.900000000,0.0314675,0.0329524999999999,0.0533575,0.046015,0.25848,0.187475,0.114105,296.8635452,21824.0,0.121465725,0.6977618680109691,0.4125770311114908,0.396146029496765,296.8635452,0.7659775735444692,0.9576597757354448,0.9725277259926968,-96.61271720466776,39.11029755841125,-0.6977618932723999,0.6977618932723999,1,1,-0.6577865073956788,-296.8635452,296.8635452,299.5766255453124,-299.5766255453124,299.5766255453124,0.7838520352275965,0.6608084875657518,11.120532499951056,421.7176555213522,927.4369454944314,0.7838520352275965,2.194120357188001,0.6608084875657518,319.4224689808988,698.9655390059221,66.63133398748221,0.0278016664947424,0.8220408553325532,177.1388908907735,7.955767246932573,1.1883209821262142,8.888443967767419,0.0278016664947424,0.8220408553325532,0.906262977821898,0.2359027564525604,-69.48263549804688,0.6719833525994187,5.355757299074577,455.1953141276664,0.7198650816531302,0,-96.6128655760062,39.110266935061055,209.9896101642999,18.97610956402203,30.11723971298677,4.831349223782425,335.30269565115105,39.24500377265604,-95.9672234164526,0.9015869498252868,532677,294.5392916,825704,38.35338068443488,-98.23696665434396,0.2259987741708755,546.9103898694684,119.25564743204464,310.3647242,2020-05-05 17:06:12.900000+00:00,2020-05-05 17:00:00+00:00,58584.0,202005051200.0,202005051230.0,412.345991364346,6.66929595179004,420.751839331687,6.492090582784,416.239873974194,,419.497812096377,7.39252296750626,,,417.220208050799,8.42657350505831,413.982225487097,,416.641984076925,8.72257449401062,411.498016354839,,8.53623261606233,15.9292974719735,317.431797438722,20.7517199310346,0.354288111871772,-8.03445283763795,,,391.158761058381,,0.60245433759065,60.6403862053677,,320.67,129.795,2.23447038513142,7.15,4.99,1.68,14.29,11.28,4.45,317.05,318.53,336.39,19.8042,20.401,19.9433,20.0236,20.0175,97.92733,27.86,16.7339,24.52,25.35,21.11,96.5,992.76,991.2,133.99,303.1,435.9,327.6,437.7,1971.26,1990.37,1963.74,1945.95,91.87,,1641.17,1484.66,,,,,,,,,28.59,38.71,,,,,,,34.73,33.78,32.89,,,,,,30.53,,,,,,,,30.48,,,,,,,18.81,,,,,,,,,,21.737,18.15,16.335,14.823,14.865,13.874,12.649,11.703,10.938,17.604,16.347,14.745,14.481,14.245,,12.55,11.736,10.917,,16.965,15.083,14.464,14.442,13.468,12.233,12.104,10.957,18.033,16.642,15.221,15.273,14.75,13.74,12.542,12.004,11.358,,10.067,22.692,725.97,0.0,0.0,0.0,0.0,0.0,,,,,US-xKA,-96.6129,39.1104,1329.0,KS,CST,GRA,Cfa,12.7,850.63,2020-05-05 12:00:00,12:00:00,126,0.1349671622547242,0.1417814716402384,1.008717957018746,0.0,1151.9785226743727,0.8617869000675991,102.4472518816876,2.3100897007243044,0.6435909906217913,8.040845535027344,871.4960059026729,0.1,0.0219682469947451,0.8574629661541632,1.1662311253920792,-0.1244547427127912,-0.0687448125254696,0.8149511690688275,0.7149511690688275,0.7882984583719863,2020-05-05 12:00:00-05:00,US-xKA,0.8574641605379032,1151.980127296929,97.50536836626094,326.0000000000131,0.0,-0.35,2.570855212910564,0.2261938210979354,0.1176143868374809,2.688469599748045,0.0648709185457164,0.1369040058582417,3.510120049438828,437.3459065106573,162.34601499786356,326.4965611009315,13.660176032378,15.839896613009,9.78239597320297,76.73328916329599,207.14006184311077,-195.2728345702072,55.65449313636999,33.873614825046,40
5,5,5,-96.60931723063396,39.10815589414337,2021-03-21 06:00:00,136.12800540924073,207.0280054092407,2021-03-21,US-xKA,5,85.71632193816318,55.09537125120468,17.171051541879468,11.036934834370388,13.306152173913045,126.98979166666668,US-xKA,110,1,1,LC08_028033_20210321,-96.6128655760062,39.110266935061055,2021-03-21 17:06:36.580000000,0.0352349999999999,0.04233,0.06279,0.0682349999999999,0.181205,0.204525,0.14122,292.44404534,21824.0,0.109648315,0.4528944836433612,0.2218334197338863,0.2261088279248506,292.44404534,0.2642555550818631,0.9526425555508186,0.97087204333177,-96.61271720466776,39.11029755841125,-0.4528944790363312,0.4528944790363312,1,1,-0.485317322076272,-292.44404534,292.44404534,295.2474825761384,-295.2474825761384,295.2474825761384,0.7541334182427297,0.856183021495702,13.787541725982749,395.0792022333767,754.5810824099914,0.7541334182427297,1.5874361901836704,0.856183021495702,306.85051235629794,569.0821922226646,55.59871547209085,0.0106919047736563,0.932844299965399,280.9178360279691,7.039260418068809,1.6369591630118947,7.832672700160168,0.0106919047736563,0.932844299965399,1.0229535159413443,0.3547049760818481,-103.08879089355467,0.3418926768480634,2.009382219114545,232.5656407226047,0.452917476905638,1,-96.6128655760062,39.110266935061055,125.7442074005779,13.89200837699044,53.93495667984232,6.072504468799812,224.90701663435885,38.29749707144156,-97.62345293984112,0.7233015298843384,533559,290.63249474,880650,39.08926497395592,-97.7136401104385,0.1942734122276306,495.5494728353475,69.90221346107151,298.2478433,2021-03-21 17:06:36.580000+00:00,2021-03-21 17:00:00+00:00,73944.0,202103211200.0,202103211230.0,423.52793669361,9.7541837739521,,,424.70198094822,,,,424.69802312013,,,,424.409510006757,,,,423.047384384615,,11.7398323473522,18.9437291545963,174.524759571191,18.2048689145317,0.523574145525868,-2.4082861041146,,,162.018374646493,,0.615512888410153,148.969184134749,,397.02,160.335,1.9826654320552,10.66,9.17,6.54,17.36,15.0,11.55,,,,20.0166,17.409,,17.7764,18.0033,97.52972,43.11,13.3711,18.21,18.99,21.46,125.2,850.67,789.8,104.48,304.7,416.0,301.3,425.9,1654.75,1695.27,1681.21,1691.34,105.11,1617.41,1806.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.21,12.873,8.398,,7.526,7.552,7.925,7.792,8.419,14.694,11.965,8.816,7.77,,7.738,7.791,7.695,8.142,12.652,10.667,8.337,7.648,7.559,,7.812,7.788,8.173,,9.702,7.997,7.432,7.488,7.606,,,,10.643,9.465,8.01,7.988,7.76,7.946,7.793,8.121,8.668,67.746,32.998,33.921,634.89,0.0,0.0,0.0,0.0,0.0,,,,,US-xKA,-96.6129,39.1104,1329.0,KS,CST,GRA,Cfa,12.7,850.63,2021-03-21 12:00:00,12:00:00,80,0.1228208353415543,-0.0024424947610149,0.9957449923521606,0.0,1067.9577853499636,0.7965389752940846,102.4472518816876,2.3406851381002345,1.0090693630350112,16.703951760921267,807.9329549785732,0.1,0.0344184823425543,0.774607742306807,1.29097599389075,-0.1247124625844908,-0.0690535783620953,0.8074622497269979,0.7074622497269979,0.7500801554565457,2021-03-21 12:00:00-05:00,US-xKA,0.7746092103568076,1067.9598093620434,97.50536836626098,326.0000000000044,0.933964975385864,0.9108527167709164,2.0916987604404964,0.2104577782291976,-0.2654759276012343,1.826222832839262,0.0648709185457164,0.1030995084173636,4.643834940355044,245.54768039032828,128.93095446051404,316.35252292198663,19.954919433774872,18.3625616068986,12.3791564392422,52.992323235834704,132.44629490883503,-141.92816094156066,59.81211837316351,41.298948082914805,40
