,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,FCH4,FC_SSITC_TEST,FCH4_SSITC_TEST,G_inst_af,H_inst_af,LE_inst_af,H_SSITC_TEST,LE_SSITC_TEST,WD,WS,USTAR,ZL,TAU,MO_LENGTH,V_SIGMA,W_SIGMA,TAU_SSITC_TEST_PI_F,PA,RH,TA,VPD_PI,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,SWC_PI_1,SWC_PI_2,Rn_inst_af,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,P,FC_PI_F,RECO_PI_F,GPP_PI_F,FCH4_PI_F,H_PI_F,LE_PI_F,SPEC_RED_IN,SPEC_RED_OUT,SPEC_NIR_IN,SPEC_NIR_OUT,NDVI,SPEC_PRI_TGT_IN,SPEC_PRI_TGT_OUT,SPEC_PRI_REF_IN,SPEC_PRI_REF_OUT,PRI,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SWC_1_2_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_044033_20160220,-121.49934304961138,38.09912325125612,2016-02-20 18:45:34.293999872,,,,,,,,,,,,,,,,,,-121.49922560406294,38.099154260342885,,,1,1,,,,,,,0.7129325015414103,1.0754124264566245,17.360399577497557,,578.2050792638126,0.7129325015414103,1.4051813365133337,1.0754124264566245,264.4775373095875,,,,,,,,,,,,0.5983954668045044,-166.88746643066406,,,,,0,-121.49934304961138,38.09912325125612,,12.028278527823016,76.53193210813897,1.5153207268229236,161.4091140897673,38.828979042211465,-121.5552144132346,0.8054001927375793,142539,278.89159604,214563,38.82108278705873,-121.78793894271784,0.223782017827034,420.9394879079807,25.30914284002447,286.3018634,,2016-02-20 18:45:34.293999872+00:00,2016-02-20 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-02-20
1,1,1,1,LC08_044034_20160204,-121.49934304961138,38.09912325125612,2016-02-04 18:46:06.627000064,0.0415325,0.0438149999999999,0.06378,0.060645,0.173395,0.1809025,0.13682,287.8399724,21824.0,0.104482495,0.4817552555118783,0.2332142613364883,0.2304029753146967,287.8399724,0.2744752358800608,0.9527447523588004,0.970905768278404,-121.49922560406294,38.099154260342885,-0.481755256652832,0.481755256652832,1,1,-0.4621692842837567,-287.8399724,287.8399724,288.3997895295162,-288.3997895295162,288.3997895295162,0.7041805311423835,0.940010750932894,15.439012376530396,370.820761756936,520.2793476235555,0.7041805311423835,1.2982979630271454,0.940010750932894,278.7562273994849,360.6820343721338,23.826109030294965,0.0109530723876208,0.2599786563411028,230.55157499619105,16.80688239091709,3.1087683011323293,28.104861316970403,0.0109530723876208,0.2599786563411028,0.3559856337753749,0.5142081379890442,-145.18875122070312,0.1552520889126996,0.6835676561114193,106.30435034564778,0.315578092437504,1,-121.49934304961138,38.09912325125612,61.79836745563437,10.833984554384289,72.40331400822201,1.6882220456258954,156.15682045628003,37.84405285649921,-121.04687453028336,0.8916128277778625,224366,282.3540503,378765,37.34117036224988,-121.87884709849168,0.2248269170522689,358.8779489900664,29.149824431664385,291.67157282,19.38597872731985,2016-02-04 18:46:06.627000064+00:00,2016-02-04 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-02-04
2,2,2,2,LC08_044034_20160220,-121.49934304961138,38.09912325125612,2016-02-20 18:45:58.180999936,,,,,,,,,,,,,,,,,,-121.49922560406294,38.099154260342885,,,1,1,,,,,,,0.7165204446914021,1.0753529648825522,17.359555801326177,,596.8684084433144,0.7165204446914021,1.4059607997510035,1.0753529648825522,271.6990757549319,,,,,,,,,,,,0.4539299607276916,-127.49559783935548,,,,,2,-121.49934304961138,38.09912325125612,,12.036690745321136,76.48527363444258,1.5143842100859422,161.4091140897673,37.97715195375218,-122.67435120704938,0.8390983939170837,104548,280.87062962,170172,37.496354887866126,-121.9345635954495,0.1476853042840957,382.1695114084896,35.399425945292194,291.6681548,,2016-02-20 18:45:58.180999936+00:00,2016-02-20 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-02-20
3,3,0,0,LC08_044033_20160323,-121.49934304961138,38.09912325125612,2016-03-23 18:45:25.806999808,0.0352075,0.03727,0.0662825,0.04486,0.330695,0.194515,0.10569,291.74335124000004,21824.0,0.1447881175,0.761100238313962,0.5412188619511789,0.4896922523427996,291.74335124000004,1.187107268912584,0.9618710726891258,0.9739174539874116,-121.49922560406294,38.099154260342885,-0.7611002326011658,0.7611002326011658,1,1,-0.6660641975930625,-291.74335124000004,291.74335124000004,292.3064487120789,-292.3064487120789,292.3064487120789,0.7475290636600918,0.9592610116085822,15.712178896327757,395.0970548079037,757.4061124952685,0.7475290636600918,1.7409311031637538,0.9592610116085822,280.0246155934843,521.9932298564465,32.69326109180911,0.0470318831749483,0.3272470190180566,203.08380080105687,14.911419461661769,2.471167818128848,22.32767193346333,0.0470318831749483,0.3272470190180566,0.4385614654448653,0.2927357256412506,-83.09737396240234,0.4195741144458361,2.8420883240998056,286.21616796358046,0.5849503090838247,0,-121.49934304961138,38.09912325125612,138.09973021146024,15.321186696859067,55.100458017283934,1.809461245757927,258.5270411128923,39.14456298946482,-120.88959138498058,0.845410943031311,480471,283.86481514,721666,38.99360272309208,-122.3790986418603,0.2739768624305725,515.8725102574616,81.04437066179969,302.94420278,80.60162487147049,2016-03-23 18:45:25.806999808+00:00,2016-03-23 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-03-23
4,4,1,1,LC08_044034_20160307,-121.49934304961138,38.09912325125612,2016-03-07 18:45:57.362999808,,,,,,,,,,,,,,,,,,-121.49922560406294,38.099154260342885,,,1,1,,,,,,,0.7345965528918762,1.0126260785819785,16.469443946888145,,686.5157175560712,0.7345965528918762,1.369795573566166,1.0126260785819785,268.1813000802412,,,,,,,,,,,,0.4192813038825989,-117.58609771728516,,,,,1,-121.49934304961138,38.09912325125612,,11.641998404576732,73.92534317698794,1.4036395291855908,107.41922593237538,36.58560752250132,-121.44455261142942,0.9037368297576904,24547,280.44679514,46145,37.39629242730633,-121.87463725915602,0.1256169080734253,434.1178401090261,45.7234831059129,292.72432298,,2016-03-07 18:45:57.362999808+00:00,2016-03-07 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-03-07
5,5,2,2,LC08_044034_20160323,-121.49934304961138,38.09912325125612,2016-03-23 18:45:49.694000128,0.0355925,0.0374625,0.0663375,0.0449974999999999,0.3297049999999999,0.19446,0.1062124999999999,291.74335124000004,21824.0,0.144630735,0.7598227927489143,0.5397416246989272,0.4882360002400817,291.74335124000004,1.179147077510223,0.9617914707751022,0.9738911853557836,-121.49922560406294,38.099154260342885,-0.7598227858543396,0.7598227858543396,1,1,-0.6649980747015788,-291.74335124000004,291.74335124000004,292.1011329673348,-292.1011329673348,292.1011329673348,0.7494745232167639,0.959341974433027,15.71332778118491,395.06435761731257,771.8238847572109,0.7494745232167639,1.7418115867596171,0.959341974433027,294.83545945527965,548.700301583054,34.10103829075186,0.0466485386201151,0.3269675485089751,141.02771101374856,15.715834848007711,1.8117313703974816,22.34675616940755,0.0466485386201151,0.3269675485089751,0.4257228937520975,0.4028752148151397,-115.86856842041016,0.5475232967762516,3.526696610990642,373.57155227855367,0.7259465353458112,2,-121.49934304961138,38.09912325125612,138.10945644967427,15.329060651108875,55.077253000580896,1.8096868482562656,258.5270411128923,37.10141009149853,-122.11331174750828,0.8728580474853516,246237,287.60412902,424673,37.30754559554999,-121.8136738561095,0.0610486902296543,351.14819422794,56.59189599287591,298.25126132,100.0171158876946,2016-03-23 18:45:49.694000128+00:00,2016-03-23 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-03-23
6,6,0,0,LC08_044033_20160408,-121.49934304961138,38.09912325125612,2016-04-08 18:45:18.345999872,,,,,,,,,,,,,,,,,,-121.49922560406294,38.099154260342885,,,1,1,,,,,,,0.7486517802333124,1.230117387576212,19.555705736535465,,819.7673374121864,0.7486517802333124,2.36429616614837,1.230117387576212,294.4179276590206,,,,,,,,,,,,0.2969328463077545,-85.36156463623047,,,,,0,-121.49934304961138,38.09912325125612,,20.17885942834751,52.02890421212215,1.9692007868158257,231.8971393552476,37.86553189213893,-121.00572570683602,0.8234765529632568,252206,287.47766228,351445,38.691733219513246,-121.12336865336547,0.2295374572277069,512.0528676873897,87.88140107114731,307.12102322,,2016-04-08 18:45:18.345999872+00:00,2016-04-08 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-04-08
7,7,1,1,LC08_044033_20160424,-121.49934304961138,38.09912325125612,2016-04-24 18:45:11.151000064,0.0289099999999999,0.0286625,0.0550074999999999,0.030175,0.4698724999999999,0.1945425,0.085945,296.88405332,21824.0,0.1770065125,0.879311465410786,0.7655147319333927,0.6595149230411556,296.88405332,3.2559178605064,0.98,0.98,-121.49922560406294,38.099154260342885,-0.8793114423751831,0.8793114423751831,1,1,-0.7903997104099985,-296.88405332,296.88405332,297.2552794357479,-297.2552794357479,297.2552794357479,0.7585156914344838,1.1435356994413564,18.327087650555534,431.6747215877334,876.1536996365567,0.7585156914344838,2.117990758475006,1.1435356994413564,307.403465860211,590.6494638051906,30.129551963658184,0.1221474774782633,0.3969037331861925,154.28347568151935,13.478253727144129,1.7340780254072286,18.409159377725867,0.1221474774782633,0.3969037331861925,0.5110476472093152,0.2728176712989807,-79.36241912841797,0.598362869135711,3.538009794785687,406.2364361600131,0.7247493399928714,1,-121.49934304961138,38.09912325125612,138.0938056542667,18.41142372321705,53.99153395101327,1.9439303613203995,259.8800693205418,38.59973146641149,-122.43728494163972,0.8441157341003418,371836,290.8991003,585643,38.01507702657855,-121.4373790380867,0.1944157928228378,573.1986716672269,100.22535287160372,312.55567502,100.33795778012208,2016-04-24 18:45:11.151000064+00:00,2016-04-24 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-04-24
8,8,2,2,LC08_044034_20160424,-121.49934304961138,38.09912325125612,2016-04-24 18:45:35.038000128,0.0289925,0.0287999999999999,0.0552274999999999,0.0303674999999999,0.4688275,0.19446,0.08622,296.87721728,21824.0,0.176808155,0.8783341179298672,0.7638502960734339,0.6582198669929292,296.87721728,3.210199110500481,0.98,0.98,-121.49922560406294,38.099154260342885,-0.878334105014801,0.878334105014801,1,1,-0.7892301380580284,-296.87721728,296.87721728,297.10844350553754,-297.10844350553754,297.10844350553754,0.7595782718313524,1.1433656175000768,18.3246741407978,431.6349640634094,885.6917492683017,0.7595782718313524,2.1185950773494584,1.1433656175000768,303.2679970223624,594.6618981999563,30.33004651046285,0.121261689265281,0.3967854890703695,138.0369254649097,13.661596535461234,1.572666751631985,18.414645401871468,0.121261689265281,0.3967854890703695,0.5063377880184478,0.2196599096059799,-63.69014739990234,0.627818817068706,3.6878533740664174,426.29492622458383,0.7553975997426771,2,-121.49934304961138,38.09912325125612,138.1219301628608,18.41597567929525,53.96810507699866,1.9452623834748688,259.8800693205418,37.14878442305266,-121.9235824613385,0.8469942808151245,308860,289.94889074,217906,37.37078870784487,-121.95362125241464,0.0044453665614128,489.4325665593451,97.9803935573038,310.48777292,104.5875216885236,2016-04-24 18:45:35.038000128+00:00,2016-04-24 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-04-24
9,9,0,0,LC08_043034_20160503,-121.49934304961138,38.09912325125612,2016-05-03 18:39:31.477999872,,,,,,,,,,,,,,,,,,-121.49922560406294,38.099154260342885,,,1,1,,,,,,,0.7609034287995826,1.1850896901236214,18.9167502639404,,904.4707339581502,0.7609034287995826,2.6504505621338565,1.1850896901236214,234.90962187557864,,,,,,,,,,,,0.1655736714601516,-45.04467010498047,,,,,0,-121.49934304961138,38.09912325125612,,22.040411337343745,44.71276344688789,0.9554903735681868,231.9841974057556,37.61075893287705,-121.06488906223652,0.7010382413864136,30068,272.05213802000003,47774,37.67443337734697,-121.4186995489704,0.1209810450673103,472.2517761580999,82.3109201640194,305.887118,,2016-05-03 18:39:31.477999872+00:00,2016-05-03 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi1,,,2016-05-03
