,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,FCH4,FC_SSITC_TEST,FCH4_SSITC_TEST,G_inst_af,H_inst_af,LE_inst_af,H_SSITC_TEST,LE_SSITC_TEST,WD,WS,USTAR,ZL,TAU,MO_LENGTH,V_SIGMA,W_SIGMA,TAU_SSITC_TEST_PI_F,PA,RH,TA,VPD_PI,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,Rn_inst_af,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,P,PPFD_DIF,FC_PI_F,RECO_PI_F,GPP_PI_F,FCH4_PI_F,H_PI_F,LE_PI_F,SPEC_RED_IN,SPEC_RED_OUT,SPEC_NIR_IN,SPEC_NIR_OUT,SPEC_PRI_TGT_IN,SPEC_PRI_TGT_OUT,SPEC_PRI_REF_IN,SPEC_PRI_REF_OUT,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_044033_20170105,-121.53518582944776,38.109094550909845,2017-01-05 18:45:52.748000000,7.499999999993623e-06,0.0012449999999999,0.0100999999999999,0.0108975,0.0205499999999999,0.0214024999999999,0.014775,282.28910792,21952.0,0.0122565699999999,0.3069401383257805,0.0224143656287516,0.027243989293392,282.28910792,-0.1277850302972984,0.948722149697027,0.9695783094000188,-121.5352933128464,38.109072105323385,-0.3069401383399963,0.3069401383399963,1,1,-0.3409461663947795,-282.28910792,282.28910792,282.323912630288,-282.323912630288,282.323912630288,0.6831362123958533,0.7108500981482042,12.191867999774097,341.584837085853,412.7408040591891,0.6831362123958533,1.066637754523397,0.7108500981482042,246.03714973385576,299.5180740173613,10.597685311305638,0.0034968637620858,0.2862332748181451,184.35046308882656,16.997199695313824,2.464343406075187,25.5269555451972,0.0034968637620858,0.2862332748181451,0.3673652774784076,0.2691065669059753,-73.51087188720703,0.1518354371163439,0.488621750939719,104.56992561722912,0.361933355017106,0,-121.53518582944776,38.109094550909845,38.740622987648194,7.915873991956989,66.64400309604937,2.074986748556482,106.0166881260881,39.1532440218702,-122.59643447585552,0.9447019100189208,374023,273.16641254,522043,37.969341392746045,-121.53909897167826,0.2614867389202118,256.5331214576702,12.856231359199462,284.22028922,13.85731285665043,2017-01-05 18:45:52.748000+00:00,2017-01-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi2,,,2017-01-05
1,1,1,1,LC08_044033_20170121,-121.53518582944776,38.109094550909845,2017-01-21 18:45:48.127000064,,,,,,,,,,,,,,,,,,-121.5352933128464,38.109072105323385,,,1,1,,,,,,,0.6821783179301812,1.0266366954444706,16.675058850156887,,444.2013834477922,0.6821783179301812,1.2985870450726795,1.0266366954444706,280.979302135329,,,,,,,,,,,,0.6926596760749817,-195.5823669433593,,,,,1,-121.53518582944776,38.109094550909845,,10.837329481622518,79.05798069832213,2.266583031573425,76.98882969972661,38.30044211115969,-121.62099574053538,0.7825003862380981,123928,282.36430436,182531,39.12978180914985,-121.9239236694443,0.1723240613937378,303.4437984038784,18.67477939898464,286.5240347,,2017-01-21 18:45:48.127000064+00:00,2017-01-21 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi2,,,2017-01-21
2,2,2,2,LC08_044034_20170105,-121.53518582944776,38.109094550909845,2017-01-05 18:46:16.639000064,0.0001724999999999,0.0010799999999999,0.0096324999999999,0.0101549999999999,0.0201099999999999,0.021705,0.01516,282.28910792,21952.0,0.0119837424999999,0.3289278043945149,0.0231956120565921,0.0281604480778478,282.28910792,-0.1262644186412616,0.9487373558135872,0.969583327418484,-121.5352933128464,38.109072105323385,-0.3289278149604797,0.3289278149604797,1,1,-0.3522736824409518,-282.28910792,282.28910792,282.0402361977237,-282.0402361977237,282.0402361977237,0.6898104381512201,0.7107051513344402,12.18981020430455,341.5903120068819,435.4489909534329,0.6898104381512201,1.0669693021368367,0.7107051513344402,252.61890726644907,328.30936447556894,11.21987043783421,0.0035149208146802,0.2861248613656051,141.2399003377826,17.722511306005007,1.9701283589454448,25.53662777490237,0.0035149208146802,0.2861248613656051,0.3610029838115743,0.2853172719478607,-78.50082397460938,0.255264494269602,0.7481452979629473,175.8495936999521,0.5545740146124974,2,-121.53518582944776,38.109094550909845,38.72274629572187,7.92043411570274,66.60970938068222,2.073225571318876,106.0166881260881,37.24741029116174,-122.14678266795065,0.912150502204895,246512,275.13519206,420446,37.269435483611815,-121.84269333403662,0.2212312221527099,266.63437368946484,17.126318482259055,287.2076387,21.217400650229184,2017-01-05 18:46:16.639000064+00:00,2017-01-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi2,,,2017-01-05
3,3,3,3,LC08_044034_20170121,-121.53518582944776,38.109094550909845,2017-01-21 18:46:12.013999872,,,,,,,,,,,,,,,,,,-121.5352933128464,38.109072105323385,,,1,1,,,,,,,0.6878847106172163,1.0265625600300476,16.67400635706669,,465.6171475587475,0.6878847106172163,1.2989585886429276,1.0265625600300476,273.2289744355734,,,,,,,,,,,,0.6316622495651245,-177.20379638671875,,,,,3,-121.53518582944776,38.109094550909845,,10.841627598463774,79.029660299066,2.267742153431896,76.98882969972661,36.838399543114406,-121.66283571631344,0.9529821276664734,48751,280.53566365999995,110440,38.0389753396529,-121.38525262078754,0.257438987493515,338.30860182464085,18.56148614593173,286.72227986,,2017-01-21 18:46:12.013999872+00:00,2017-01-21 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi2,,,2017-01-21
4,4,0,0,LC08_044033_20170222,-121.53518582944776,38.109094550909845,2017-02-22 18:45:34.805999872,0.0054799999999999,0.0181024999999999,0.0417525,0.0444475,0.0764024999999999,0.058555,0.0478025,282.69243428,21824.0,0.0465660924999999,0.2644187008688455,0.0661693525425658,0.0772046388016428,282.69243428,-0.0416577051120242,0.9495834229488798,0.9698625295731302,-121.5352933128464,38.109072105323385,-0.2644186913967132,0.2644186913967132,1,1,-0.2932588548939951,-282.69243428,282.69243428,282.69714884258553,-282.69714884258553,282.69714884258553,0.7269090980053643,0.7865897554153705,13.267136365748229,343.8530854550685,602.6365390813726,0.7269090980053643,1.2607548273096891,0.7865897554153705,251.93293405918416,469.95236268103554,18.50646438295894,0.0046304096849193,0.2983224123874193,163.59346182240273,16.88135033035328,2.1771869858528845,24.492508033054285,0.0046304096849193,0.2983224123874193,0.3789698288196695,0.3198653161525726,-88.2478256225586,0.4181100818657427,1.9633645256405776,287.85243647567387,0.637623328865895,0,-121.53518582944776,38.109094550909845,88.32929615979697,10.39391232709211,62.39038220411702,2.107191845496626,167.26762716948994,39.53888010270664,-121.28123033273116,0.8284540176391602,103461,275.89057448,174579,38.01950090913573,-121.30776071155378,0.3110831677913666,403.9762664117725,32.17531886388887,289.68912122,55.68101794716678,2017-02-22 18:45:34.805999872+00:00,2017-02-22 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi2,,,2017-02-22
5,5,1,1,LC08_044034_20170222,-121.53518582944776,38.109094550909845,2017-02-22 18:45:58.693000192,-0.0022199999999999,0.0118324999999999,0.0380399999999999,0.0416149999999999,0.0759349999999999,0.0592975,0.0485724999999999,282.72319646,21824.0,0.0437844674999999,0.2919608677158656,0.0693680173420043,0.0833616711197473,282.72319646,-0.0305607063462024,0.949694392936538,0.9698991496690575,-121.5352933128464,38.109072105323385,-0.2919608652591705,0.2919608652591705,1,1,-0.3324851941215178,-282.72319646,282.72319646,282.4745688772315,-282.4745688772315,282.4745688772315,0.7303235122305881,0.7861980774286239,13.26157575240519,344.04298102950537,621.2227353148496,0.7303235122305881,1.2613342600772333,0.7861980774286239,276.4845808939988,512.5557038291295,19.569758387585058,0.0047934378629343,0.2995993921615161,0.0261640033542236,24.366851518843383,0.0005062058606029,24.38811383802785,0.0047934378629343,0.2995993921615161,0.2998441279384822,0.570130467414856,-161.04684448242188,0.7158798593125388,3.0969028383474773,492.9597814381902,0.999946927486278,1,-121.53518582944776,38.109094550909845,88.86090509478407,10.400791326669708,62.330668587443576,2.1093511418433986,167.26762716948994,37.86181214940062,-121.00957704632508,0.8869270086288452,101259,282.473681,173122,37.55278563692848,-122.01866813457646,0.0982186123728752,408.9493812364729,34.82558042191863,290.2838567,87.82816449553445,2017-02-22 18:45:58.693000192+00:00,2017-02-22 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi2,,,2017-02-22
6,6,0,0,LC08_044033_20170427,-121.53518582944776,38.109094550909845,2017-04-27 18:44:59.460999936,0.0326775,0.036115,0.0475275,0.0564649999999999,0.095955,0.1857424999999999,0.170315,305.9725685,21824.0,0.0795382075,0.2590867340244064,0.0848238546416842,0.0907927408724441,305.9725685,-0.0170164944271653,0.9498298350557284,0.9699438455683904,-121.5352933128464,38.109072105323385,-0.2590867280960083,0.2590867280960083,1,1,-0.3375150279650829,-305.9725685,305.9725685,305.84469936055183,-305.84469936055183,305.84469936055183,0.7604942185937604,1.1101555043735287,17.860767057001198,472.0182982902985,884.9023931057717,0.7604942185937604,2.251050889632683,1.1101555043735287,315.49701485313153,642.1690222339046,91.73371831988042,0.0049978633079312,0.3261301870364462,365.5842011511556,14.110614083022824,4.4021778857185865,22.404132988224287,0.0049978633079312,0.3261301870364462,0.4305142028436682,0.3389661014080047,-99.26881408691406,0.2745531084932838,2.4535571427859515,184.8511027628686,0.3358271198239523,0,-121.53518582944776,38.109094550909845,204.9579889678622,19.38729043679293,49.31721044097228,2.287129628438299,312.1195822937325,38.60711899744904,-122.51750804342056,0.8679869771003723,357739,292.85762576,548354,38.82101088324241,-121.78102881200186,0.2042485028505325,594.4562434408605,100.43707004243198,309.58199762000004,69.58288056940958,2017-04-27 18:44:59.460999936+00:00,2017-04-27 19:00:00+00:00,2017-04-27,116.60124180709208,107.12271442553192,64.49323220288775,59.25057047916667,9.651114229166668,189.75043977083337,13.726040636968122,-0.9951484683131184,201704271200.0,201704271230.0,406.816489,8.99569,1944.074034,6.303484,8.770461,1.0,1.0,87.533884,184.432095,330.17063,1.0,2.0,326.238839,5.228193,0.298856,-0.420273,-0.10172,-11.897016,1.643542,0.447908,0.0,101.499,35.52,20.16,15.217913,23.263228,0.819464,29.95,25.41,20.54,17.26,17.17,32.43,27.89,20.53,16.95,17.0,28.01,27.71,21.98,17.29,17.07,24.8,-9999.0,-9999.0,-9999.0,-9999.0,31.0,-9999.0,-9999.0,-9999.0,24.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,38.057137,730.424705,2054.187192,120.933014,993.865031,95.299145,290.136646,458.277827,0.0,-9999.0,6.303484,5.674576,-0.628908,8.770461,184.432095,330.17063,1.515,0.039,1.027,0.037,1.576,0.091,1.553,0.097,CA,CRO,16.0,338.0,38.1091,-121.5351,-5.0,US-Bi2,2017-04-27 12:00:00,2017-04-27 12:00:00-07:00,2017-04-27
7,7,1,1,LC08_044034_20170427,-121.53518582944776,38.109094550909845,2017-04-27 18:45:23.348000000,0.033035,0.0363074999999999,0.0477475,0.0568225,0.0963399999999999,0.185935,0.1712225,305.9725685,21824.0,0.0798697199999999,0.2580102831959519,0.0848037769253466,0.0907526840564177,305.9725685,-0.0170899531632439,0.9498291004683675,0.9699436031545612,-121.5352933128464,38.109072105323385,-0.2580102980136871,0.2580102980136871,1,1,-0.3372429947080766,-305.9725685,305.9725685,305.7246156464971,-305.7246156464971,305.7246156464971,0.7615046939145393,1.109846627384369,17.856381961168914,472.0179332368298,894.0594630285237,0.7615046939145393,2.2521422459178333,1.109846627384369,301.26189783514616,636.7805682424055,90.6871832084282,0.0049967383190446,0.3262109098299453,241.3058996961648,15.123437044992317,3.128468460375487,22.39858895475932,0.0049967383190446,0.3262109098299453,0.4185572450477364,0.1931613385677337,-55.92570877075195,0.4526376265300453,4.0753918049661255,304.7874853378124,0.5581233790606142,1,-121.53518582944776,38.109094550909845,204.86812331302016,19.395083493293708,49.27959720999171,2.2877443308961327,312.1195822937325,37.24703717215767,-122.29562054579893,0.8821284174919128,365825,289.52847427999995,278249,37.896438368090536,-121.26725303929489,0.0085339024662971,457.5885420570581,97.05797923437063,310.87059116,115.57811158883932,2017-04-27 18:45:23.348000+00:00,2017-04-27 19:00:00+00:00,2017-04-27,116.60124180709208,107.12271442553192,64.49323220288775,59.25057047916667,9.651114229166668,189.75043977083337,13.726040636968122,-0.9951484683131184,201704271200.0,201704271230.0,406.816489,8.99569,1944.074034,6.303484,8.770461,1.0,1.0,87.533884,184.432095,330.17063,1.0,2.0,326.238839,5.228193,0.298856,-0.420273,-0.10172,-11.897016,1.643542,0.447908,0.0,101.499,35.52,20.16,15.217913,23.263228,0.819464,29.95,25.41,20.54,17.26,17.17,32.43,27.89,20.53,16.95,17.0,28.01,27.71,21.98,17.29,17.07,24.8,-9999.0,-9999.0,-9999.0,-9999.0,31.0,-9999.0,-9999.0,-9999.0,24.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,38.057137,730.424705,2054.187192,120.933014,993.865031,95.299145,290.136646,458.277827,0.0,-9999.0,6.303484,5.674576,-0.628908,8.770461,184.432095,330.17063,1.515,0.039,1.027,0.037,1.576,0.091,1.553,0.097,CA,CRO,16.0,338.0,38.1091,-121.5351,-5.0,US-Bi2,2017-04-27 12:00:00,2017-04-27 12:00:00-07:00,2017-04-27
8,8,0,0,LC08_044033_20170513,-121.53518582944776,38.109094550909845,2017-05-13 18:45:05.637000192,0.04794,0.0548974999999999,0.0713699999999999,0.08809,0.140395,0.25496,0.2516325,313.53322874,21824.0,0.1161627625,0.2289209357288224,0.1040105869871927,0.1076995408278825,313.53322874,0.0144351313274087,0.950144351313274,0.9700476359333804,-121.5352933128464,38.109072105323385,-0.2289209365844726,0.2289209365844726,1,1,-0.3259509361792553,-313.53322874,313.53322874,313.44677646266496,-313.44677646266496,313.44677646266496,0.7817588766116392,0.6576592998129662,11.436723536827266,520.6033386371805,936.6670174752232,0.7817588766116392,2.0347226567493304,0.6576592998129662,290.131200613139,582.9243719477972,109.15940547843456,0.0054960337648609,0.2586524325815144,458.0070763132088,14.694831593992069,5.885355560367884,28.248967190889665,0.0054960337648609,0.2586524325815144,0.366734256238097,0.2265693992376327,-65.13209533691406,0.0235792692898402,0.2652223128478503,15.757890156153906,0.0332609865047354,0,-121.53518582944776,38.109094550909845,222.0401012162085,17.773072666248982,32.32181534085051,1.7976485126126285,349.22862639185564,39.697625936677845,-121.36197099425036,0.8631297945976257,464618,287.47082624,703308,39.3467690748093,-121.7789082341604,0.202759563922882,522.8639204852673,109.00230879973633,313.6631135,7.521704792365035,2017-05-13 18:45:05.637000192+00:00,2017-05-13 19:00:00+00:00,2017-05-13,50.57190732517381,49.2176778125,130.40044535162303,126.90854360416668,10.377138375,180.87671816666668,-5.626641624999976,-10.472772885130157,201705131200.0,201705131230.0,395.188504,7.207485,-9999.0,7.402965,-9999.0,1.0,-9999.0,94.723509,398.071,132.973787,0.0,2.0,328.987787,3.845407,0.126725,-10.919947,0.000643,-0.457878,1.504301,0.483064,1.0,101.718,25.89,17.82,15.11285,20.218458,1.231662,29.21,25.8,21.99,20.02,21.08,27.92,25.16,20.72,19.05,20.23,29.23,29.2,24.16,20.21,21.06,22.5,-9999.0,-9999.0,-9999.0,-9999.0,27.4,-9999.0,-9999.0,-9999.0,22.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,36.117534,666.179185,2064.039409,147.129187,1025.051125,127.899878,294.507489,525.479551,0.0,-9999.0,6.662905,5.781484,-0.881421,10.212758,305.725687,131.170809,1.489,0.049,1.025,0.05,1.561,0.111,1.533,0.112,CA,CRO,16.0,338.0,38.1091,-121.5351,-5.0,US-Bi2,2017-05-13 12:00:00,2017-05-13 12:00:00-07:00,2017-05-13
9,9,1,1,LC08_044033_20170529,-121.53518582944776,38.109094550909845,2017-05-29 18:45:15.874000128,0.0598199999999999,0.0668599999999999,0.082645,0.1003549999999999,0.16575,0.28862,0.2800125,315.66949124,21824.0,0.13485487,0.2457488585332858,0.1290931989924433,0.1280405427454461,315.66949124,0.0535086040931316,0.9505350860409312,0.9701765783935072,-121.5352933128464,38.109072105323385,-0.2457488626241684,0.2457488626241684,1,1,-0.3345679260854686,-315.66949124,315.66949124,315.6373610750746,-315.6373610750746,315.6373610750746,0.7598848214573624,1.3318281235654736,21.007831139677727,535.1575443989657,922.5169998072806,0.7598848214573624,2.5790254649177875,1.3318281235654736,316.3173320760636,563.6242677876731,114.48482033936617,0.0061616409447877,0.3574331150995558,422.9896146843364,13.11977060560763,4.915533443173331,20.44204572316664,0.0061616409447877,0.3574331150995558,0.4700651698224621,0.2174164950847625,-63.70923614501953,0.0392135187127779,0.4293585893239706,26.149832763970664,0.0582220798296287,1,-121.53518582944776,38.109094550909845,204.9058227625488,21.592852798311696,51.64075119389831,2.457138955101545,328.1661085824924,39.136815122692944,-120.82110237267165,0.8201666474342346,393253,293.02852676,541843,38.65377529647467,-121.62010769406804,0.1553995609283447,488.3840304050016,116.24991711044932,318.14413772,12.176609593227806,2017-05-29 18:45:15.874000128+00:00,2017-05-29 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Bi2,,,2017-05-29
