,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CO2_1_7_2,H2O_1_7_2,CO2_1_7_3,H2O_1_7_3,CO2_1_8_2,H2O_1_8_2,CO2_1_8_3,H2O_1_8_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,WS_1_7_1,WS_1_8_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WS_MAX_1_5_1,WS_MAX_1_6_1,WS_MAX_1_7_1,WS_MAX_1_8_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,WD_1_5_1,WD_1_6_1,WD_1_7_1,WD_1_8_1,Air temp,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,PA,Relative humidity,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_1_5_1,T_CANOPY_1_6_1,T_CANOPY_2_6_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_IN_1_7_1,PPFD_IN_1_8_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,SWC_1_7_1,SWC_1_8_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_4_7_1,SWC_4_8_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,SWC_5_7_1,SWC_5_8_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_inst_af,G_2_1_1,G_3_1_1,Rn_inst_af,P,THROUGHFALL_1_1_1,THROUGHFALL_2_1_1,THROUGHFALL_3_1_1,THROUGHFALL_4_1_1,THROUGHFALL_5_1_1,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,CH4_MIXING_RATIO_1_5_1,CH4_MIXING_RATIO_1_6_1,CH4_MIXING_RATIO_1_7_1,CH4_MIXING_RATIO_1_8_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-121.95079139564564,45.8185710665162,2020-05-28 06:00:00,232.55199459075928,314.7960108184815,2020-05-28,US-xWR,0,111.09172945534276,119.71907475915044,121.382142930453,130.80863818722293,12.10867391304348,214.35229166666667,US-xWR,212,0,0,LC08_045028_20200528,-121.9518244582224,45.82041261284864,2020-05-28 18:49:19.732999936,0.0288549999999999,0.0336124999999999,0.05751,0.0427974999999999,0.2447575,0.109705,0.0592424999999999,282.2002394,21824.0,0.10665725,0.7023352054389596,0.4040982073094235,0.3846588492232289,282.2002394,0.7238383057591253,0.9572383830575912,0.9723886664090052,-121.95175785695676,45.820334742829,-0.7023351788520813,0.7023351788520813,1,1,-0.6194761262788755,-282.2002394,282.2002394,284.4320692797793,-284.4320692797793,284.4320692797793,0.7768373963051245,0.8486932991638767,13.583535534264673,344.2172849799431,908.68533914252,0.7768373963051245,3.000512383455473,0.8486932991638767,303.9988482956021,758.5495407681707,29.90970341844508,0.0260635558668903,0.2547411669549894,-4.084882068920831e-33,2.642681508451996e+35,-0.8661018274816072,28.682698478530668,0.0260635558668903,0.2547411669549894,4.469924411624534e-19,0.1386144906282425,-40.29250717163086,1.0601125938105558,7.922081420189888,728.6398373497257,1.0,0,-121.9518244582224,45.82041261284864,226.87622016048687,24.092432665360857,28.284945726052896,1.5080638652726717,335.98051847631393,46.71706891917767,-121.79399114546464,0.860435962677002,343425,290.68034702,494263,46.62064011787833,-119.50611006311613,0.199087381362915,478.77199092092826,122.85530230652336,327.44115212,2020-05-28 18:49:19.732999936+00:00,2020-05-28 19:00:00+00:00,42168.0,202005281200.0,202005281230.0,417.342293720042,8.56489893779402,416.329318743442,7.65664614372145,417.273529450161,8.04563025681237,416.531552162472,7.70415268281164,418.195671823529,8.18044093436377,416.535797745708,7.64113478893441,,,,,,,,,,,418.383639809997,8.35543012467613,,,419.532166916536,8.46915525510028,417.982573205128,8.10712210977647,427.235504347815,10.2601168646936,417.265914498423,8.16626401557746,4.19275597044134,10.3808458084026,159.098559748039,27.1902185394466,0.669124180824108,9.06552529750019,,,473.300526361723,,1.08337711730961,550.396626039913,20.9519977476681,600.0,280.0,1.45994059852165,3.2,2.58,1.4,1.12,0.74,0.58,,8.56,7.92,6.19,5.1,3.17,2.12,,201.13,202.72,208.82,,,,,26.1736,26.506,26.4983,26.7147,27.0395,27.221,27.3833,27.3683,25.5568,97.31891,21.36,26.8187,27.37,27.86,28.14,27.35,24.74,25.24,22.22,131.8,998.24,990.6,977.78,72.14,349.5,472.6,457.5,452.7,1899.4,1980.85,1960.66,,1927.9,1841.2,1792.66,573.38,,22.06,,278.39,,33.53,32.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.378,14.429,12.463,11.028,9.234,,7.463,,9.273,17.019,,12.33,11.658,8.765,,6.836,6.598,7.492,16.08,14.767,12.589,11.65,9.226,,7.577,6.886,,14.649,13.725,11.886,10.778,8.561,7.504,7.08,,,15.751,13.97,12.578,,,,,,5.344,6.046,,16.039,803.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,US-xWR,-121.9519,45.8205,407.0,WA,PST,ENF,Csb,9.2,2225.01,2020-05-28 12:00:00,12:00:00,149,0.0722671902548485,0.1861436066602985,1.0136700392127298,0.0,1088.0211994562255,0.9174821230495356,102.74988073437568,3.3960900492601787,0.7254048345219742,9.66955333597658,824.7427142735429,0.1,0.024233992927021,0.8178281659612902,1.2227507459645657,-0.1245016436535893,-0.0688010030245901,0.8116970322597601,0.7116970322597601,0.7766950697365913,2020-05-28 12:00:00-07:00,US-xWR,0.8178290432070635,1088.0223665253463,96.6488764515834,400.9999999999974,0.0,-0.35,2.5188757601030654,0.2110256278805282,0.117618771979998,2.636494532083064,0.0643010892310534,0.1799622260003132,1.1001284394991178,490.05044001783256,345.77389116883376,316.3348895195721,12.077464745721471,16.229335767894,9.48545554683247,69.0706250949455,198.19916311392257,-174.8163111384833,30.958777263377,16.71824768265447,10
1,1,1,-121.95079139564564,45.8185710665162,2020-06-04 06:00:00,155.98,201.35599729537964,2020-06-04,US-xWR,1,65.85443519528982,68.77754817226422,139.09653803552732,145.2706840012184,4.020739130434783,214.83,US-xWR,216,2,2,LC08_046028_20200604,-121.9518244582224,45.82041261284864,2020-06-04 18:55:35.398999808,0.0165349999999999,0.0192849999999999,0.0355925,0.02418,0.145125,0.0637524999999999,0.0356749999999999,288.56459264,21824.0,0.0629731975,0.7143616550013289,0.2639412343663729,0.2710535555538954,288.56459264,0.3762411458220328,0.9537624114582204,0.9712415957812128,-121.95175785695676,45.820334742829,-0.7143616676330566,0.7143616676330566,1,1,-0.6060979152544718,-288.56459264,288.56459264,290.92473154594165,-290.92473154594165,290.92473154594165,0.7766724473758146,0.8718417117215874,13.896753063412335,374.9690538115125,912.6600017519692,0.7766724473758146,1.783216217547521,0.8718417117215874,301.25720410890744,767.5456268598525,43.34727403281321,0.0137642721618385,0.2877514255445422,14.816511718997026,21.94427965671247,0.2661490412681928,25.39227761604251,0.0137642721618385,0.2877514255445422,0.3251935605133772,0.2932835221290588,-85.05728149414062,1.0385276391494591,7.885490590601773,709.3818411080423,0.9795408099712488,2,-121.9518244582224,45.82041261284864,229.1168076832905,15.695449527724048,48.891531107800375,1.8250653656029328,296.3197006919726,46.108347540521166,-122.5596589582813,0.9189079999923706,204541,290.01725114,292714,45.69278700869479,-122.63421393949596,0.3248261213302612,570.6315318308992,104.46748933141689,310.73045234,2020-06-04 18:55:35.398999808+00:00,2020-06-04 19:00:00+00:00,42504.0,202006041200.0,202006041230.0,416.666555112282,9.9246631672301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4261062300631,8.19025358679431,255.692778110379,18.6890006733136,0.446966381650562,-8.34441556728208,,,68.2766700905954,,0.322127686994906,275.578267618032,22.3418815700387,600.0,280.0,1.60394889862718,2.74,2.02,1.08,0.91,0.71,0.61,,6.97,5.92,5.02,3.29,2.6,2.99,,293.76,292.98,288.94,287.76,,,,17.7696,18.214,18.0805,18.2453,18.5556,18.6799,18.8791,19.0726,18.7759,97.43473,40.21,12.2131,19.65,19.76,19.86,19.72,19.02,20.57,18.72,412.6,751.28,756.7,725.22,57.48,326.4,420.7,412.9,421.4,1440.82,1469.98,1459.72,,1275.84,1079.55,877.34,230.83,,23.07,,109.07,,,31.81,,,,,,,,,23.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.884,13.469,12.335,11.334,9.893,,7.692,,9.387,15.425,,12.237,11.951,9.638,,7.279,6.897,7.811,14.879,14.096,12.575,12.028,10.073,,7.955,7.078,,13.28,12.853,11.853,11.167,9.275,8.016,7.4,,,14.393,13.248,12.656,,,,,,5.527,3.183,,7.027,599.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,US-xWR,-121.9519,45.8205,407.0,WA,PST,ENF,Csb,9.2,2225.01,2020-06-04 12:00:00,12:00:00,156,0.0765094239165158,0.1941383553740353,1.014785216760648,0.0,1091.703635817409,0.6881721149874912,102.74988073437568,2.034277628551144,0.817983034440415,11.724938307010955,827.534062683301,0.1,0.0281161846178737,0.8224026590317199,1.215949375914445,-0.1245820050215899,-0.0688972813785232,0.8119166342133748,0.7119166342133748,0.7704939854114223,2020-06-04 12:00:00-07:00,US-xWR,0.8224035262823952,1091.7047870548286,96.64887645158338,400.9999999999974,0.0,-0.35,2.5298935248564587,0.209278549771879,0.1040123836328722,2.633905908489331,0.0643010892310534,0.1141696157905198,1.379222675832032,394.0485782809327,280.8013673307714,314.1422437134484,6.9774918500352,10.2707352635392,5.564968169062371,41.877936506880005,206.1394799730947,-174.89839801535987,18.39671419228157,10.294541842431972,10
2,2,2,-121.95079139564564,45.8185710665162,2020-07-06 06:00:00,155.98,207.0280054092407,2020-07-06,US-xWR,2,52.10896410526555,47.43778962295283,144.33941187073546,131.4004753729655,1.2082272727272727,222.14729166666663,US-xWR,218,1,1,LC08_046028_20200706,-121.9518244582224,45.82041261284864,2020-07-06 18:55:52.250999808,0.0156,0.015875,0.0317149999999999,0.0178824999999999,0.1843949999999999,0.0711775,0.0314675,294.27268604,21824.0,0.0724315199999999,0.8231884416210404,0.3549987101615815,0.3556553499150976,294.27268604,0.6241210873299039,0.9562412108732988,0.9720595995881888,-121.95175785695676,45.820334742829,-0.8231884241104126,0.8231884241104126,1,1,-0.7064920642265513,-294.27268604,294.27268604,296.76448587173,-296.76448587173,296.76448587173,0.7684285686875627,1.0883979929499117,16.82694204110743,406.58404187619664,894.2022625156374,0.7684285686875627,1.7915836891775647,1.0883979929499117,307.5450832377588,716.9370743713981,40.37403298746933,0.022143374796674,0.3000621772066591,87.21149430459849,17.878060556878992,1.29991517862274,24.350500119202795,0.022143374796674,0.3000621772066591,0.3773650276339406,0.2356307208538055,-68.62691497802734,0.8676695093023635,5.105852458112523,589.3515470793302,0.8710962778483954,1,-121.9518244582224,45.82041261284864,165.88646516535326,15.768586027561092,60.7506084993186,1.808731294226312,251.1735004345204,46.62303362080085,-121.59740711625662,0.9081705808639526,159138,291.24773834,235259,45.94202132989391,-121.34956318985611,0.5017765760421753,559.8492467132777,108.74951457596906,312.2446352,2020-07-06 18:55:52.250999808+00:00,2020-07-06 19:00:00+00:00,44040.0,202007061200.0,202007061230.0,403.958419752053,12.8279260392326,403.193933933163,11.4497638215468,403.324240221875,11.4360913814678,402.965490293384,11.2836301910558,402.821340712766,11.3964150169003,402.723339608166,11.2946668988111,,,,,,,,,,,402.812573657951,11.5714232622572,,,402.637019416355,11.4403118776835,403.203456388128,11.3100460805646,405.2937127041,11.9541273973898,403.480365092063,11.4325609732175,4.10248721714404,9.65724498106242,266.633695939428,18.862697426391,0.653749772329956,-4.96785551838158,,,137.294298174265,,0.889139755305185,430.328695654475,-10.0367983510926,560.0,240.0,1.57436607535211,3.33,2.73,1.23,1.02,0.76,0.74,,8.15,7.99,6.76,5.77,3.03,2.96,,304.07,302.07,306.46,310.52,,,,17.7184,17.931,18.0726,18.234,18.6861,18.8709,19.0985,19.1531,19.1143,97.43312,52.42,9.6877,20.31,20.59,20.7,20.25,19.67,26.53,18.96,110.9,983.94,972.4,960.69,71.86,316.8,421.2,415.0,425.3,1940.92,,1942.55,,1894.43,1820.55,1762.06,98.28,,10.03,,139.65,,33.52,,,,,,,,,,23.89,,,,,,,,,,,,,,,,,,,,,32.02,,,,,,,,16.35,14.889,13.789,12.914,11.76,,9.966,,11.625,16.205,,,13.181,11.108,,8.631,8.301,9.163,16.459,15.577,14.045,13.581,11.821,,9.45,8.042,,14.584,14.157,13.308,12.751,11.103,9.706,8.897,,,15.59,14.576,14.359,,,,,,6.572,2.758,,4.034,807.68,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,US-xWR,-121.9519,45.8205,407.0,WA,PST,ENF,Csb,9.2,2225.01,2020-07-06 12:00:00,12:00:00,188,0.0730329085106815,0.1941383553740353,1.0169899360233456,0.0,1086.9753862915666,0.905209089744808,102.74988073437568,2.027726143278135,1.0629340443063984,18.35256817195492,823.9499511981628,0.1,0.0365422129765014,0.8224026590317199,1.215949375914445,-0.1247564238086135,-0.0691062468818172,0.8115687941369158,0.7115687941369159,0.7529512654291581,2020-07-06 12:00:00-07:00,US-xWR,0.8224035262823952,1086.9765325428918,96.6488764515834,400.9999999999974,0.0,-0.35,2.478728671693347,0.1939431594829661,0.0964882880773017,2.575216959770649,0.0643010892310534,0.1146390495813628,1.3325109445850671,379.86469610641245,241.99946785179048,324.9418207042782,5.26233130811027,9.332858237758572,4.671578890885,54.26241194234576,242.2418738329053,-207.90131740589143,20.945594110612102,9.2600257479637,10
3,3,3,-121.95079139564564,45.8185710665162,2020-08-07 06:00:00,144.63599729537964,184.34,2020-08-07,US-xWR,3,71.59508137221307,80.65663884836914,137.45406800860022,154.8511840355513,-1.073090909090909,203.771875,US-xWR,221,1,1,LC08_046028_20200807,-121.9518244582224,45.82041261284864,2020-08-07 18:56:01.075000064,0.0072949999999999,0.0099074999999999,0.0227499999999999,0.0139225,0.167125,0.0651275,0.0276174999999999,295.93726178,21824.0,0.0630028425,0.8462005827200044,0.3255876474232347,0.3374269048781473,295.93726178,0.565785246259528,0.9556578524625952,0.9718670913126564,-121.95175785695676,45.820334742829,-0.8462005853652954,0.8462005853652954,1,1,-0.7603686635944702,-295.93726178,295.93726178,298.4386263029766,-298.4386263029766,298.4386263029766,0.7665958355460045,0.946006068726499,14.900259312231372,415.60818877607903,844.1476185469777,0.7665958355460045,2.188290743185426,0.946006068726499,301.1026272054204,663.1068203988108,35.592791360567496,0.0199872482837521,0.230518694027402,111.41920449336276,20.01620449633104,1.8673139859982089,31.69662275186433,0.0199872482837521,0.230518694027402,0.3123197231914104,0.2125062048435211,-61.5527458190918,0.7610479148855829,6.119771316215899,516.0948245448806,0.8224434843885022,1,-121.9518244582224,45.82041261284864,210.2497030913323,18.933480003226407,43.23036468862578,1.4051613690671918,290.3461857970462,45.131196720249605,-122.26165396239831,0.9288544654846193,386361,289.651523,571920,45.76656813386081,-121.2274258497706,0.2764905393123626,470.4549325696688,109.11301536869952,313.9023749,2020-08-07 18:56:01.075000064+00:00,2020-08-07 19:00:00+00:00,45576.0,202008071200.0,202008071230.0,403.800213140667,13.0203583005473,399.010200266392,11.8704158312887,398.141999957627,11.6912105050259,399.630891791655,11.3996115873131,,,399.10552033561,11.5167401758368,,,399.100397287873,11.5089998044208,,,399.630291713287,11.3217961058705,,,399.500063759943,11.4484098072456,400.101616728395,11.2064962505193,397.820896490096,11.8891698841075,401.338400745223,11.4164304016571,403.926820247779,11.9321232963566,405.622925968051,12.6858023907119,1.9111661096363,5.41371381052878,246.687842990256,21.9715028988335,0.602197389683773,,,,77.7136045215515,,0.462590569536034,315.104746705558,22.7818892238538,440.0,240.0,1.00170024564078,1.66,1.35,0.67,0.63,0.58,0.6,0.19,4.72,4.52,1.96,1.99,2.01,2.33,0.91,280.72,281.78,,,,,286.95,20.7985,21.836,21.0689,21.2538,21.7479,21.9339,22.0224,21.9921,21.7292,97.76383,41.75,14.3676,22.67,22.84,23.0,22.53,22.74,25.74,21.08,232.5,862.05,834.7,840.84,63.03,350.9,441.3,430.1,432.5,1759.77,1801.03,1695.55,1706.08,1618.52,1494.45,1154.36,18.38,47.79,50.83,,110.55,,,,37.47,,,,,,,29.66,21.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35,16.851,15.916,15.269,14.084,,10.988,,12.678,17.058,,,15.273,13.737,,,9.5,9.705,16.976,16.618,15.847,15.819,14.194,,10.836,9.225,,16.376,15.951,15.391,15.013,13.089,11.168,10.099,,,16.744,15.597,15.218,,,,,,7.593,1.584,,4.051,708.62,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,US-xWR,-121.9519,45.8205,407.0,WA,PST,ENF,Csb,9.2,2225.01,2020-08-07 12:00:00,12:00:00,220,0.0731164085609883,0.1367602429162134,1.0141732340531264,0.0,1047.8624840843931,0.8226747431970967,102.74988073437568,2.456389639838764,1.025542674632684,17.22923036817057,794.3016648929236,0.1,0.0348873284709468,0.7884244182703215,1.268352396027817,-0.1247221676993486,-0.0690652057460794,0.8087049104338825,0.7087049104338825,0.7506642002759779,2020-08-07 12:00:00-07:00,US-xWR,0.7884253559885717,1047.863730367172,96.6488764515834,400.9999999999974,0.0,-0.35,2.339977198612222,0.203832019376656,0.1059250301290694,2.4459022287412915,0.0643010892310534,0.1365856983169017,1.0412948348429898,405.4120778833008,184.12349734809789,314.5842640483904,4.1201865271320495,6.732572705494969,2.9319984210853205,49.45851487498249,250.42228336679847,-225.02142024746547,19.27365401657695,8.173047327209119,10
4,4,4,-121.95079139564564,45.8185710665162,2020-10-19 06:00:00,22.688000338077543,28.36,2020-10-19,US-xWR,4,39.24887680293905,46.04392444453397,-12.02215394586886,-14.10351564258498,-0.0898636363636363,33.76333333333333,US-xWR,228,1,1,LC08_045028_20201019,-121.9518244582224,45.82041261284864,2020-10-19 18:50:12.440000000,0.0160124999999999,0.0141699999999999,0.0332,0.0171949999999999,0.19633,0.0772275,0.0349599999999999,285.61484138000003,21824.0,0.076531495,0.8389415759278774,0.3753168932933856,0.3765845625591255,285.61484138000003,0.6951570881791967,0.956951570881792,0.9722940183909912,-121.95175785695676,45.820334742829,-0.8389415740966797,0.8389415740966797,1,1,-0.7107131965320437,-285.61484138000003,285.61484138000003,287.4564619440338,-287.4564619440338,287.4564619440338,0.7067529211254822,1.090477422665662,16.85507847750365,361.073904419681,519.3737754758,0.7067529211254822,1.21931447794528,1.090477422665662,269.0424054357006,376.0119720706713,12.085660681167385,0.0249072897224957,0.3754729482901233,63.83909318332913,15.8387303872072,0.8153015487592157,19.45989482095321,0.0249072897224957,0.3754729482901233,0.4437785096601412,0.1082851961255073,-30.31197929382324,0.4378664714460513,0.6294027136253055,300.0872182061748,0.8245823641066632,1,-121.9518244582224,45.82041261284864,21.796619030887143,9.894574804578577,89.43364836471662,2.234069627638072,81.49000248438416,46.94450178524312,-121.46525116836597,0.921544075012207,92804,279.9272561,140519,45.36478831537786,-119.98083955335228,0.1602464467287063,295.3583897474033,35.09603281907037,294.83665934,2020-10-19 18:50:12.440000+00:00,2020-10-19 19:00:00+00:00,49080.0,202010191200.0,202010191230.0,408.111362299163,11.4035961863084,392.333589039579,11.9672708290064,,,393.119725289133,12.0184609481441,,,,,,,392.416576779252,12.2719322589008,,,392.258495134553,12.4302586486602,,,,,,,393.295904526068,13.0132624446414,,,412.461936703307,15.6446130775883,,,3.35669394009345,7.30150129204502,302.006028774782,13.5552848221606,0.168390091365442,-11.7258877050891,,,82.7115895331938,,0.613268729999535,42.4854826731658,-9.42485939507797,560.0,240.0,1.18131826757385,2.85,2.4,1.18,0.88,0.61,0.51,0.16,6.5,5.93,4.65,3.79,3.3,1.39,0.51,348.48,351.44,357.31,,,,52.47,13.2129,13.064,13.3411,13.4247,13.5995,13.677,13.6491,13.3299,12.5598,97.93356,73.53,4.037,14.38,14.36,14.26,14.06,13.92,14.05,13.6,227.0,305.58,288.3,292.61,26.19,352.6,386.0,383.9,381.4,680.75,662.46,662.97,600.04,543.76,332.55,112.43,32.12,22.03,13.59,9.57,8.36,,,28.85,,,,,,,,39.62,,,,,,,6.08,9.51,33.85,,,,,30.09,4.65,,15.1,20.05,,,,,,,,,,,,12.512,11.909,12.027,11.86,12.107,,11.033,,12.417,11.878,,,11.156,11.114,,,10.413,9.815,11.775,11.769,11.455,11.577,11.49,,11.457,10.63,,11.896,11.771,11.694,11.659,11.323,11.299,11.163,,,12.493,12.304,12.362,,,,,,9.495,0.18,,1.625,245.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,US-xWR,-121.9519,45.8205,407.0,WA,PST,ENF,Csb,9.2,2225.01,2020-10-19 12:00:00,12:00:00,293,0.085705870803063,-0.0986698165477956,0.9954624530947044,0.0,859.6829371211511,0.3554566303517735,102.74988073437568,1.5187576547982369,1.1167425035731435,20.039711467147644,651.6581066632295,0.1,0.0389960957748845,0.6231886862595087,1.6046504406268685,-0.1248072191825401,-0.0691671031752171,0.7899416146413178,0.6899416146413179,0.71490545811643,2020-10-19 12:00:00-07:00,US-xWR,0.6231898784644903,859.684581756721,96.6488764515834,400.9999999999974,0.7970034749283142,0.7259546911532243,1.4397041056189177,0.1938037022211336,-0.1842133467361898,1.2554907588827278,0.0643010892310534,0.0817729780835574,1.6343217557053318,147.7661598882549,46.075359292432985,277.32865923211284,4.911147197529072,9.482412733816002,4.047162302354572,56.074761808135406,239.614165135728,-202.99023689417243,22.057320162673957,9.985094854644773,10
