,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,TA_1_1_1,Air temp,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,Relative humidity,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,SWC_1_7_1,SWC_1_8_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_4_7_1,SWC_4_8_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,SWC_5_7_1,SWC_5_8_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_inst_af,G_3_1_1,Rn_inst_af,P,THROUGHFALL_1_1_1,THROUGHFALL_2_1_1,THROUGHFALL_3_1_1,THROUGHFALL_4_1_1,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-78.06808976640701,39.06324012993739,2017-11-17 06:00:00,48.21200135231018,76.57200135231018,2017-11-17,US-xBL,0,13.246994485206637,11.599469988626764,29.844317033974555,26.13258880368972,-15.854270270270268,25.775,US-xBL,40,0,0,LC08_016033_20171117,-78.0716381117793,39.06041043679242,2017-11-17 15:52:51.892000000,0.0267099999999999,0.0274524999999999,0.0384525,0.039965,0.14749,0.14947,0.088915,282.08744474,21824.0,0.080643625,0.5736043317062762,0.2275398922240715,0.2346153566415256,282.08744474,0.2845935220375497,0.9528459352203754,0.9709391586227238,-78.07151403040032,39.06038400369771,-0.5736043453216553,0.5736043453216553,1,1,-0.586404399209433,-282.08744474,282.08744474,282.7073667969115,-282.7073667969115,282.7073667969115,0.7191340502017476,0.5062079418231406,9.129528746552468,342.0903094276642,502.489708302602,0.7191340502017476,0.9709578728935326,0.5062079418231406,273.25858437306647,380.25013865617376,14.28348929243628,0.0112154644826041,0.3077857328723866,61.18256760309936,18.521946784756164,0.8975966822037833,23.73945021314056,0.0112154644826041,0.3077857328723866,0.3712316455979166,0.6575556993484497,-184.9982452392578,0.4427078656923715,1.3814686797961715,304.7840817606381,0.832819280911334,0,-78.0716381117793,39.06041043679242,47.58324686973729,6.544601435750023,52.13490265181126,1.9938446140747823,134.88536454611932,39.56964993812783,-77.69298404699492,0.8313557505607605,403561,281.34231638,572027,38.55363929400135,-77.71600707713165,0.3083856403827667,308.44419322344856,22.42646281311508,286.65050144,2017-11-17 15:52:51.892000+00:00,2017-11-17 16:00:00+00:00,15382.0,201711171100.0,201711171130.0,418.334863005648,4.32058810781408,415.943917190272,,,,,,,,416.453132765676,,,,416.904028991506,,,,3.50715260689233,8.23764581735614,335.178940939321,8.63852345565778,0.541805310833848,-2.33414489950531,,,42.7496275547893,,0.499120377164626,193.269451049035,4.19417408399616,164.84,69.74,1.59237402841958,1.0,0.68,0.58,4.28,2.73,3.1,,,,8.3225,8.128,8.9529,9.1354,9.3628,100.31937,44.49,6.1138,12.16,13.92,9.88,80.6,591.57,549.7,56.08,243.0,376.3,320.4,373.7,1178.01,1067.17,433.93,230.55,,63.46,203.0,268.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.461,7.103,7.394,7.841,8.508,10.343,12.31,13.653,14.604,7.3,7.082,7.217,7.56,7.868,9.404,11.302,12.761,13.883,7.917,7.718,7.855,8.317,8.947,10.269,11.754,13.251,14.342,6.946,6.569,6.978,,7.892,9.344,11.009,12.467,13.768,7.365,7.505,7.572,8.198,8.752,10.461,12.361,13.568,14.219,-3.266,2.072,-8.205,402.19,0.0,,,,,,,,,US-xBL,-78.0716,39.0603,183.0,VA,EST,DBF,Cfa,12.1,982.55,2017-11-17 11:00:00,11:00:00,321,0.0947985868113663,-0.168966556676851,0.9883879895963636,-0.2616666666666666,886.6812557598774,0.6671732329483272,102.22626704586578,1.096560897379074,0.4878599432439501,5.506284039870478,668.2015105487556,0.1,0.0173318036909559,0.6336565551210276,1.5781419633684706,-0.1243587683364027,-0.0686298287315357,0.7924178950990859,0.6924178950990859,0.7645976874486848,2017-11-17 11:00:00-05:00,US-xBL,0.6336551480419448,886.679286821597,99.19030396361237,180.00000000000244,0.7520032510700793,0.665204388944607,1.392901471414813,0.2403923915570022,-0.1996375938823071,1.1932638775325055,0.0659919165145665,0.0669184774986761,1.5214543577987176,144.6359384459532,101.59474000645676,265.5832994273383,11.2736247290341,10.84696746886485,7.744005576724823,41.605077224702605,161.80658022281884,-165.41731855728383,42.1636103652878,25.0818051490571,10
1,1,1,-78.06808976640701,39.06324012993739,2018-06-29 06:00:00,153.14400270462036,175.83199459075928,2018-06-29,US-xBL,1,154.40872761214027,129.84612076267004,49.69566615801051,41.790315671424665,7.577305555555556,202.11729166666663,US-xBL,52,1,1,LC08_016033_20180629,-78.0716381117793,39.06041043679242,2018-06-29 15:51:40.323000064,0.0238774999999999,0.0245924999999999,0.0590775,0.0291025,0.43481,0.1801875,0.0718375,303.6824951,21824.0,0.16427778,0.8745345296796272,0.7117769093452984,0.6313449094186453,303.6824951,2.536756230369015,0.97536756230369,0.9783712955602176,-78.07151403040032,39.06038400369771,-0.874534547328949,0.874534547328949,1,1,-0.7607653564830047,-303.6824951,303.6824951,304.9110570143621,-304.9110570143621,304.9110570143621,0.7441538569779,2.0554147233536493,30.64280956530258,470.3600231385059,898.7712155905848,0.7441538569779,3.64693263846286,2.0554147233536493,347.2293921338591,619.4393381927506,42.112263722236975,0.1042626993862898,0.1971779460488053,149.1678463538205,19.50293425510177,2.4922050476298807,37.05619329268427,0.1042626993862898,0.1971779460488053,0.305075363579548,0.4558711349964142,-136.50794982910156,0.6353526402516166,5.356610228320887,428.1592281166932,0.7416233311236488,1,-78.0716381117793,39.06041043679242,202.8083773400369,27.38624678950972,56.36009565068312,0.9863842200316376,328.58791425288973,38.5502000575317,-78.50710092207076,0.9227725863456726,365628,299.4441503,761922,38.60648223992831,-77.86893631682457,0.3616581857204437,583.9308555593292,114.54249871636428,313.61867924,2018-06-29 15:51:40.323000064+00:00,2018-06-29 16:00:00+00:00,26136.0,201806291200.0,201806291230.0,400.20632800213,20.5726816389704,,,397.359349054217,,,,395.982869779553,,,,394.608579586538,,,,408.135606159236,,1.67611217635835,5.27055035681379,345.777369413432,29.8707703046784,0.544212670544068,-11.1325964598994,,,319.416811247526,,0.259825378906363,96.9224642224881,,158.5,63.4,0.962156043153857,0.28,0.32,0.22,2.04,0.89,0.68,,,315.13,28.458,28.629,28.9708,,25.9848,99.7504,52.98,18.3317,21.26,14.53,27.36,130.8,968.3,,164.25,386.0,480.8,479.4,465.9,2024.9,1975.12,626.34,17.05,68.16,45.82,43.12,29.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.712,23.42,22.161,21.203,20.604,18.886,17.057,15.6,14.043,22.197,21.442,20.608,20.022,19.494,18.59,17.058,15.496,13.915,23.161,22.385,21.06,20.324,19.892,18.607,17.125,15.949,14.21,22.331,21.254,19.871,,18.986,18.362,16.531,14.975,13.68,22.146,21.717,20.426,19.858,19.274,18.112,16.782,15.315,13.669,,29.738,13.634,709.25,0.0,,,,,,,,,US-xBL,-78.0716,39.0603,183.0,VA,EST,DBF,Cfa,12.1,982.55,2018-06-29 12:00:00,12:00:00,180,0.1696271816585769,0.1998262508957196,1.0169094956903262,0.0,1171.5798359563355,0.8264908376556322,102.22626704586578,3.881909037417382,2.056635408023729,62.63480599786927,882.9016754848807,0.1,0.0681867596769333,0.8862739395585226,1.1283193100522932,-0.1254114659253125,-0.0698910316399879,0.8152415196411997,0.7152415196411998,0.7009607145747521,2018-06-29 12:00:00-04:00,US-xBL,0.8862730472724636,1171.5786564289815,99.19030396361237,180.00000000000244,0.0,-0.35,2.4913938096171013,0.1392859532127073,0.0811321465262986,2.5725259561434,0.0659919165145665,0.2133226372907131,0.6385043780636301,486.2362899210332,134.8521682726723,374.9581176478439,8.83791981364775,17.94080260427025,7.468311760746719,132.04418569443098,265.58082802421416,-231.03112164239985,54.71978958583124,21.815791241746247,10
2,2,2,-78.06808976640701,39.06324012993739,2018-12-06 06:00:00,39.70399932384491,62.39200135231018,2018-12-06,US-xBL,2,12.055669623517067,8.819919135173496,18.10180640601675,13.243268411253611,-12.177105263157896,16.427291666666665,US-xBL,57,0,0,LC08_016033_20181206,-78.0716381117793,39.06041043679242,2018-12-06 15:52:31.701999872,0.0375999999999999,0.0348499999999999,0.0416425,0.0388375,0.1813699999999999,0.15453,0.0940575,277.2953807,21824.0,0.0934460025,0.6472645118808397,0.3090416905170768,0.2968571557502525,277.2953807,0.446098373293207,0.954460983732932,0.9714721246318676,-78.07151403040032,39.06038400369771,-0.6472645401954651,0.6472645401954651,1,1,-0.6265455972198868,-277.2953807,277.2953807,278.0578570256917,-278.0578570256917,278.0578570256917,0.7099347302661598,0.363282760867054,7.144777846520075,319.9718548745064,442.6555949528757,0.7099347302661598,0.7173262672900134,0.363282760867054,238.7649742534953,309.21119645272324,5.643697663271161,0.0159123015789663,0.2723859314896003,239.8064639470685,16.247399900198843,3.0115995538340883,26.824674981857395,0.0159123015789663,0.2723859314896003,0.3741058962280943,0.4793572425842285,-130.27745056152344,0.0922063823744021,0.1919453284403607,63.76103484238351,0.2100390690592565,0,-78.0716381117793,39.06041043679242,26.330590210828483,2.2297096505012948,50.6440064211645,1.7014690130994663,104.36214317176874,39.724585122228525,-78.38481586650259,0.8689345717430115,211890,271.7752784,318679,39.41865243637291,-77.91127528562617,0.1815245300531387,296.429636726158,7.549797085072268,278.78905544,2018-12-06 15:52:31.701999872+00:00,2018-12-06 16:00:00+00:00,33814.0,201812061100.0,201812061130.0,416.988270768002,2.47699002919593,,,,,,,,,,,,,,,,,2.75478042938215,7.3917742411325,236.383566832555,2.98523525036398,0.649805537024803,-1.33148797331339,,,33.1150648482867,,0.512164875483362,241.258098573273,,152.16,63.4,1.23276423281817,1.25,0.59,,4.74,2.53,,238.49,,,3.0668,3.221,,3.9436,4.5868,100.41219,46.92,4.0601,8.83,8.31,6.21,155.0,547.91,527.9,49.33,239.7,342.5,284.6,339.4,1108.55,996.82,501.73,328.44,50.16,81.72,186.57,259.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.705,3.545,4.171,4.762,5.446,7.327,9.258,10.868,12.541,3.828,3.665,4.176,4.738,5.206,6.851,8.887,10.441,12.117,2.964,3.003,3.439,4.053,4.911,6.71,8.464,10.316,12.094,3.922,4.02,6.547,,7.616,,8.119,8.201,10.066,3.7,4.023,4.39,5.194,5.837,7.629,9.587,11.029,12.189,-8.087,-8.05,-9.069,395.78,0.0,,,,,,,,,US-xBL,-78.0716,39.0603,183.0,VA,EST,DBF,Cfa,12.1,982.55,2018-12-06 11:00:00,11:00:00,340,0.0900330346224745,-0.1954091964347194,0.9850159616685106,-0.2616666666666666,864.6214812815747,0.6336992682484213,102.22626704586578,0.7613663357240888,0.3572330847217425,3.92639153375946,651.577218974314,0.1,0.0129326004834339,0.6136829293896109,1.629505974680822,-0.124267704830007,-0.0685207284919891,0.7898417727044763,0.6898417727044763,0.7699641973951166,2018-12-06 11:00:00-05:00,US-xBL,0.6136814890153486,864.619451929822,99.19030396361237,180.00000000000244,0.6793601465221358,0.5671361978048834,1.2270413092093715,0.255617880371525,-0.1700734473142607,1.0569678618951108,0.0659919165145665,0.0512353741744001,1.2764646071691557,111.49595047277496,22.70547112729268,224.9688423013276,10.76945934793625,11.54727289079975,9.663744017394974,50.29306319755897,179.4834592355971,-173.73819990699738,42.850455179571,26.08171027019025,10
3,3,3,-78.06808976640701,39.06324012993739,2020-03-30 06:00:00,144.63599729537964,209.8640027046204,2020-03-30,US-xBL,3,91.70772516437218,90.78854626696076,52.62891246532582,52.10141725546063,10.542195652173913,148.520625,US-xBL,77,1,1,LC08_016033_20200330,-78.0716381117793,39.06041043679242,2020-03-30 15:52:20.536999936,0.0235199999999999,0.0258025,0.0436775,0.0421374999999999,0.1744399999999999,0.1743299999999999,0.107285,298.59989936,21824.0,0.09220677,0.6108783230021586,0.2680909871053306,0.2769466666201492,298.59989936,0.3918085887507454,0.9539180858875074,0.9712929683428776,-78.07151403040032,39.06038400369771,-0.6108783483505249,0.6108783483505249,1,1,-0.5995048540350957,-298.59989936,298.59989936,299.561136043296,-299.561136043296,299.561136043296,0.7677474809788818,0.640184280058675,10.990010266444486,429.9844696659418,806.8516783442232,0.7677474809788818,1.94795963696506,0.640184280058675,318.4055665224219,606.2028501020776,61.97051414614714,0.0142277679617251,0.4530130076950088,357.21188524852954,11.680000964492317,3.4866692355018643,16.129038146203115,0.0142277679617251,0.4530130076950088,0.5707726048387903,0.601384699344635,-176.66482543945312,0.2760853218642869,1.972194808905384,187.02045070740093,0.3436408282850451,1,-78.0716381117793,39.06041043679242,161.98678796150477,17.083118035446375,32.86435036488171,2.8633090606020555,259.0726720162043,38.29821646795436,-79.09513182173974,0.8315688967704773,523822,293.76340106,823888,38.84144185613314,-78.83913004285931,0.388367235660553,562.5476862030587,90.29739694793004,300.41144996,2020-03-30 15:52:20.536999936+00:00,2020-03-30 16:00:00+00:00,56856.0,202003301200.0,202003301230.0,420.354602056006,5.07340722146576,418.374694985589,4.42579702490166,418.190346609756,,418.293228844542,4.92401964407625,418.032765589404,,418.625011321027,4.87343284134047,418.19580325,,419.359758041983,5.25884742668078,418.982990638095,,4.6510959052975,13.2703741169038,261.850444573987,21.1983030631439,0.688151603477947,-2.49775226557888,0.0065702624004707,-2.49118200317841,232.628166791966,1.31065635840821,0.915606086150584,345.317685021876,-2.99749105308653,164.84,69.74,1.89905474616968,1.57,0.89,0.77,7.92,3.52,3.53,263.27,,,,21.469,23.3322,22.461,22.8556,98.82096,17.99,,24.83,22.99,25.11,86.3,956.65,907.1,95.0,295.6,453.4,321.3,470.1,1654.54,1488.06,1381.86,444.2,77.36,1297.43,1264.99,730.65,38.37,,,,,,,,27.44,,,,38.05,,,,30.08,28.8,,,,,,,28.07,23.72,,,,,,,30.84,15.04,,,21.27,39.51,,,20.338,17.786,15.24,13.45,12.422,10.349,9.004,8.665,8.731,16.215,15.513,13.504,12.179,11.339,10.086,8.788,8.157,8.215,17.104,15.003,12.281,11.54,11.306,10.165,9.079,9.003,8.928,16.024,14.256,12.398,,10.754,,8.699,8.244,8.711,17.051,15.769,13.053,11.941,11.086,9.77,9.053,,12.24,35.781,51.309,23.711,703.85,0.0,,,,,,,,,US-xBL,-78.0716,39.0603,183.0,VA,EST,DBF,Cfa,12.1,982.55,2020-03-30 12:00:00,12:00:00,90,0.0993048659384309,0.0321293853170786,0.9986256964304248,0.0,1091.860915100297,0.8761647081323753,102.22626704586578,,,,822.8251824159911,0.1,,0.7965339287513178,1.2554393025889616,,,,,,2020-03-30 12:00:00-04:00,US-xBL,0.7965327639946914,1091.8593184925571,99.19030396361238,180.00000000000244,0.9805870014516738,0.9737924519597596,2.236592852370187,0.2279838766554116,-0.3213576003938895,1.9152352519762967,0.0659919165145666,0.1233602768259299,2.160301227967012,316.35033054413606,85.50612024387443,322.1832334951778,12.58225325928197,13.0420971042964,7.704623903236399,52.08776644435837,182.40820576965007,-179.01208908071106,52.05492045542877,32.0352902028376,10
4,4,4,-78.06808976640701,39.06324012993739,2020-04-15 06:00:00,102.09599729537965,141.8,2020-04-15,US-xBL,4,70.81464967702613,61.40728381688508,88.56663107034605,76.80100481534272,-0.1552391304347823,196.28979166666667,US-xBL,78,0,0,LC08_016033_20200415,-78.0716381117793,39.06041043679242,2020-04-15 15:52:13.668000000,0.030395,0.0390574999999999,0.0819024999999999,0.0658425,0.3339125,0.2065874999999999,0.1180375,286.52745272,21824.0,0.1531051075,0.6705857337619291,0.4666839016076368,0.4469049908030518,286.52745272,0.9743628413451644,0.9597436284134516,0.973215397376439,-78.07151403040032,39.06038400369771,-0.6705857515335083,0.6705857515335083,1,1,-0.6060627923475584,-286.52745272,286.52745272,287.4972684366892,-287.4972684366892,287.4972684366892,0.7909979768545333,0.359800073647711,7.09641501397452,366.7779779118736,888.8197907934492,0.7909979768545333,1.0432113280491415,0.359800073647711,283.27924654405257,657.8344151964349,37.33154293123624,0.0369794120720903,0.3551779409976636,78.57757397526822,16.046694738845297,1.0161006334209617,20.57184086746836,0.0369794120720903,0.3551779409976636,0.4330507603311328,0.7133472561836243,-204.0692749023437,0.7907707167703257,5.0255248108740185,541.9252982899304,0.8733646893713576,0,-78.0716381117793,39.06041043679242,164.30977366208822,7.590462508863445,34.48966321335443,2.0204220766908683,282.43604052914617,38.8341644854894,-78.7125180439266,0.834065854549408,368864,286.07285606,668691,38.99353771856293,-79.11472865939474,0.3452661335468292,650.9149919400045,70.29094495790365,294.42991496,2020-04-15 15:52:13.668000+00:00,2020-04-15 16:00:00+00:00,57624.0,202004151200.0,202004151230.0,420.623610027623,3.79781181256543,420.563635176633,3.12169857045486,420.122194638298,,419.426671826269,3.41853720189825,418.912606036424,,420.165796105579,3.85638883597371,419.068920711921,,420.588287349459,4.09364973982646,419.695149465753,,2.63849194245867,8.01855812691814,308.48115874757,8.43925452048774,1.03188025481481,-9.80098291879416,,,195.630353205018,,0.516791636101999,413.163090450251,4.28270236640129,158.5,63.4,1.48144238533299,0.61,0.57,0.48,2.95,1.67,1.79,,,,8.525,8.377,11.2815,9.9676,10.5302,99.40455,31.97,7.5961,11.85,12.7,16.66,182.9,1042.26,,145.37,251.8,384.5,268.7,421.6,1842.8,1663.22,1095.89,904.95,76.03,918.04,1111.6,258.91,37.85,,,,,,,,30.41,21.29,,,,,,,33.03,29.92,,,,,,,30.07,,,,,,,,32.48,15.78,,,21.91,,,,14.962,13.64,12.815,12.307,12.173,11.564,10.572,10.031,9.665,11.514,11.069,10.83,10.859,10.86,11.006,10.289,9.529,9.164,13.32,12.555,11.56,11.488,11.658,11.335,10.512,10.271,9.808,9.209,8.687,9.088,,9.836,,9.92,9.346,9.525,11.435,11.341,10.689,10.776,10.762,10.707,10.285,,13.227,5.943,34.181,4.004,764.19,0.0,,,,,,,,,US-xBL,-78.0716,39.0603,183.0,VA,EST,DBF,Cfa,12.1,982.55,2020-04-15 12:00:00,12:00:00,106,0.139475754610174,0.0850558419606726,1.00328332277211,0.0,1123.6685511649707,0.927551099405096,102.22626704586578,1.111736348374561,0.3554221105753471,3.907920881007104,846.7955128511161,0.1,0.0126177151987272,0.8274026317709156,1.2086014252331647,-0.1242611867046136,-0.0685129193369284,0.8129659935490485,0.7129659935490485,0.8053220517025279,2020-04-15 12:00:00-04:00,US-xBL,0.827401549824503,1123.6670818088055,99.19030396361237,180.00000000000244,0.0,-0.35,2.463808460079441,0.2560233279803544,0.1135527861411913,2.577361246220633,0.0659919165145665,0.0712853859887544,1.4397513521398952,305.14672863022093,181.3173748801807,275.96780240547514,18.8656838057166,23.46731469639977,11.191045984611373,95.675098056367,192.14122212517765,-173.6536280797162,59.192990138792965,33.820984200437,10
5,5,5,-78.06808976640701,39.06324012993739,2021-01-28 06:00:00,48.21200135231018,76.57200135231018,2021-01-28,US-xBL,5,22.859643157164605,19.491135670865862,70.93170129269033,60.47948359280696,-8.655047619047618,67.19541666666667,US-xBL,90,1,1,LC08_016033_20210128,-78.0716381117793,39.06041043679242,2021-01-28 15:52:46.076999936,0.046125,0.0588575,0.0844325,0.1043425,0.25925,0.27113,0.18456,273.07754402,21824.0,0.15350317,0.4260470169214161,0.2682151053719205,0.2690635340163329,273.07754402,0.3710336557786573,0.9537103365577864,0.9712244110640696,-78.07151403040032,39.06038400369771,-0.4260470271110534,0.4260470271110534,1,1,-0.5086598823041614,-273.07754402,273.07754402,274.08261151206085,-274.08261151206085,274.08261151206085,0.7325732388652526,0.2305190053755311,5.301135029762394,300.7069748886328,499.7318953673337,0.7325732388652526,0.552484965645046,0.2305190053755311,232.8858504994333,344.42013324906776,1.5342754761675448,0.0136111912468367,0.5860662854509162,138.18628201765003,10.70442630944728,1.1348527812333489,12.467299797355338,0.0136111912468367,0.5860662854509162,0.6654085811545888,0.3326693475246429,-90.04402923583984,0.2949091691218978,0.837938683118796,204.6995757552502,0.5969904302405689,1,-78.0716381117793,39.06041043679242,40.594041912659065,-1.3708121311009092,41.72403227414378,3.721467041418821,140.93145690670357,38.69969207135497,-78.93791990578518,0.7058416604995728,297301,270.67125794000003,438177,38.023161771601615,-77.80647587673978,0.2272550910711288,373.5988698115942,12.488396295027648,280.59377,2021-01-28 15:52:46.076999936+00:00,2021-01-28 16:00:00+00:00,71446.0,202101281100.0,202101281130.0,422.99647457546,2.34217914506612,417.326517389481,2.07525782222203,422.854106569536,,417.265262357487,2.14874656780375,422.662242553398,,417.251759896738,2.15666443306321,423.296707320388,,417.213168268942,2.29213283134727,423.21306676412,,5.08144627161216,14.3503367347125,331.85860854511,-1.64547788604443,0.396608381274182,0.391086065844057,-0.139342308530777,0.251743757313281,38.5523776608376,-0.639255148607689,0.878906284242612,255.030809437783,,145.82,63.4,2.04234318648945,1.74,1.2,1.0,10.55,3.96,3.88,,,,-1.816,-2.104,,-1.2673,-0.761,100.21613,43.04,3.0605,2.64,11.04,6.34,65.2,589.59,532.8,55.24,200.8,322.3,254.0,357.7,1164.64,1036.91,430.86,330.88,57.28,139.22,350.47,177.43,,,,,,,,,,20.58,,,38.42,,,,39.96,,,26.61,,,,,33.05,25.08,,,,,,,,,,,,,,,0.855,0.78,1.407,1.862,2.245,,5.099,6.733,8.535,0.907,0.834,1.078,1.297,1.37,2.439,4.077,5.633,7.426,1.784,2.083,2.588,3.128,4.167,,5.492,6.76,7.444,0.961,0.814,1.587,,2.464,,5.826,6.422,7.678,1.551,1.994,2.305,2.935,3.346,4.572,6.244,,9.314,,,,412.85,,0.0,0.0,0.0,0.0,,,,,US-xBL,-78.0716,39.0603,183.0,VA,EST,DBF,Cfa,12.1,982.55,2021-01-28 11:00:00,11:00:00,28,0.0936922268016757,-0.1588720182121806,0.9844992393108996,-0.2616666666666666,904.2902446493908,0.6519919942613054,102.22626704586578,0.534636561379689,0.2301075760178181,2.857796112265297,681.4716466175744,0.1,0.0084802898172732,0.6411654340555891,1.5596598738560503,-0.1241755419992175,-0.0684103111874683,0.7938407859494871,0.6938407859494872,0.7834633110985498,2021-01-28 11:00:00-05:00,US-xBL,0.6411640399477736,904.288278420348,99.19030396361237,180.00000000000244,0.7333128206400219,0.6399723078640297,1.385256813958249,0.2727826472898522,-0.1943000335147192,1.1909567804435297,0.0659919165145665,0.04067514154993,2.813895663107719,103.9458121129004,94.943471242596,214.22572176175964,28.49359363690685,23.056619735468647,16.07266154715715,70.795353287185,116.3438730179477,-138.90359140112264,74.0395145101426,50.3991915243312,10
