,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,USTAR,TA,TA_PI_F,WD,WS,NEE_PI,FC,SC,H_inst_af,LE_inst_af,SLE,G_inst_af,TS_PI_1,TS_PI_2,TS_PI_3,P_PI_F,RH,RH_PI_F,PA,CO2,Rn_inst_af,PPFD_IN,SW_IN,SW_IN_PI_F,SW_OUT,LW_IN,LW_OUT,H2O,ZL,TAU,MO_LENGTH,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,FETCH_MAX,FETCH_90,FETCH_70,FETCH_FILTER,D_SNOW,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_PI_F_4_1_1,TS_PI_F_4_2_1,TS_PI_F_4_3_1,TS_PI_F_4_4_1,TS_PI_F_4_5_1,TS_PI_F_4_6_1,TS_PI_F_4_7_1,SWC_PI_F_4_1_1,SWC_PI_F_4_2_1,SWC_PI_F_4_3_1,SWC_PI_F_4_4_1,SWC_PI_F_4_5_1,SWC_PI_F_5_1_1,SWC_PI_F_5_2_1,SWC_PI_F_5_3_1,SWC_PI_F_5_4_1,SWC_PI_F_5_5_1,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
100,100,0,0,LC08_042030_20170312,-116.7230905154763,43.12061585795583,2017-03-12 18:31:52.566999808,,,,,,,,,,,,,,,,,,-116.72292084847132,43.120738528531405,,,1,1,,,,,,,0.7731703146376447,0.5472729684728903,8.296519921234127,,685.2607284591282,0.7731703146376447,0.8859555472926955,0.5472729684728903,277.67143583344017,,,,,,,,,,,,0.3381069004535675,-96.04021453857422,,,,,0,-116.7230905154763,43.12061585795583,,5.222551163805827,61.7720573165604,2.064642745744552,216.38171575718,43.42451894531388,-116.59070977849494,0.7421485185623169,414482,284.05280624,615497,42.545961327274085,-117.8895794007868,0.1142877340316772,428.1085026460711,67.17071101904676,295.92017168,,2017-03-12 18:31:52.566999808+00:00,2017-03-12 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Rwf,,,2017-03-12
101,101,1,1,LC08_042030_20170328,-116.7230905154763,43.12061585795583,2017-03-28 18:31:43.474999808,,,,,,,,,,,,,,,,,,-116.72292084847132,43.120738528531405,,,1,1,,,,,,,0.7932461851277057,0.4072069767359169,6.710617166878439,,784.2029031417039,0.7932461851277057,0.8469644586652765,0.4072069767359169,264.6083210420357,,,,,,,,,,,,0.3234156966209411,-90.98168182373048,,,,,1,-116.7230905154763,43.12061585795583,,4.5783090340943655,48.07840194116653,3.090682598949733,199.88644865160325,43.7526033406962,-116.9052250465297,0.619303286075592,132107,281.31497222,190160,42.81810119888521,-116.1947261272022,0.1770798563957214,505.5246952896792,66.2643017258419,292.8815519,,2017-03-28 18:31:43.474999808+00:00,2017-03-28 19:00:00+00:00,2017-03-28,35.39842931153465,23.90944166595745,74.69743096890093,50.45347782608696,0.6117991181770833,90.84377083333334,15.869052223111844,-19.86388856527933,201703281300.0,201703281330.0,0.414123,2.674,2.674,309.73,3.49508,0.9173171111,0.954456,-0.037138889,235.781,75.3949,0.258426049,4.3899895079,0.345,-0.029,0.399,0.0,62.149895927,62.149895927,81.5272,387.8858382,525.1,1704.0,811.0,811.0,192.5,242.4,335.8,4.5152025556,-0.126966,-0.176633,-22.6833,1.3299849623,1.2222356565,0.5467842353,2.535,1.0104602912,34.1915,93.6559,62.5131,1.0,23.14,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.7105,2.135,2.551,3.0415,3.4975,4.083,4.5085,30.8988,32.99841,40.93596,42.38691,40.74819,33.56172,37.28298,41.36271,41.26029,40.53197,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-03-28 13:00:00,2017-03-28 13:00:00-06:00,2017-03-28
102,102,0,0,LC08_041030_20170422,-116.7230905154763,43.12061585795583,2017-04-22 18:25:19.224000000,,,,,,,,,,,,,,,,,,-116.72292084847132,43.120738528531405,,,1,1,,,,,,,0.8017798517230493,0.4973268350790609,7.731002842203004,,889.9107822001332,0.8017798517230493,1.3740787367631773,0.4973268350790609,276.4055933482866,,,,,,,,,,,,0.2393856942653656,-68.15364074707031,,,,,0,-116.7230905154763,43.12061585795583,,11.6892176881415,36.19347434562444,4.373285644469895,278.5249819905539,44.04539623864849,-115.80419145392456,0.6240413188934326,227971,284.70223004,334645,42.86840204203783,-114.88549693430356,0.1869630068540573,574.0678571714208,96.59909409918488,299.33819168,,2017-04-22 18:25:19.224000+00:00,2017-04-22 18:00:00+00:00,2017-04-22,39.383186266896566,37.150912608695656,68.29023644782889,64.41948574468086,2.38620014125625,106.71475,2.7581515053672376,-3.3448728559817056,201704221200.0,201704221230.0,0.74125,7.71,7.71,132.586,7.31697,-1.618937778,-1.50616,-0.112777778,327.661,95.0553,0.6026947051,26.351018881,5.176,1.797,2.004,0.0,51.092614804,51.092614804,80.9227,393.4440534,543.2,1678.0,808.0,808.0,120.3,252.4,396.9,5.6746649434,-0.0309233,-0.551083,-93.1337,1.8695026076,1.7431924736,0.8871392224,7.831,0.9243462555,36.9868,101.312,67.6236,1.0,2.566,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,4.2045,4.665,4.4105,4.2045,4.255,4.424,4.6945,28.78781,31.1264,39.05826,41.30581,39.83779,31.29141,35.77513,39.64433,39.67278,39.59881,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-04-22 12:00:00,2017-04-22 12:00:00-06:00,2017-04-22
103,103,1,1,LC08_042030_20170429,-116.7230905154763,43.12061585795583,2017-04-29 18:31:25.151000064,,,,,,,,,,,,,,,,,,-116.72292084847132,43.120738528531405,,,1,1,,,,,,,0.8056998799376406,0.4676680939043131,7.39519056731416,,913.7323158005788,0.8056998799376406,1.0522912293514697,0.4676680939043131,303.96927509711725,,,,,,,,,,,,0.3142533600330353,-91.66629028320312,,,,,1,-116.7230905154763,43.12061585795583,,7.717345752630125,44.4428387179981,1.6407541604401996,322.5446991178604,43.707767470351335,-116.00194583162872,0.7206095457077026,541285,291.69549896,784887,42.599676087758525,-118.16607360828294,0.2018665522336959,564.6401219276987,124.63529308305884,309.02827838,,2017-04-29 18:31:25.151000064+00:00,2017-04-29 19:00:00+00:00,2017-04-29,37.6245429638248,36.6298565625,89.1051737464914,86.74948520833334,4.835780105975,145.86333333333332,17.64821145652496,14.297836517042114,201704291300.0,201704291330.0,0.467276,7.639,7.639,290.108,2.44696,0.2050216667,0.224855,-0.019833333,393.792,136.114,-0.484112825,45.812529988,7.4,2.555,1.513,0.0,44.596129428,44.596129428,81.491,392.23225453,688.3,2089.0,1007.0,1007.0,143.6,245.6,420.7,4.8878406689,-0.147634,-0.220725,-19.5077,1.2136762336,1.2275829911,0.6343224732,7.6,1.3235935932,33.441,91.6,61.1408,1.0,2.702,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,4.0895,4.614,4.8465,4.6645,4.6495,4.7345,4.8335,28.6797,30.85328,38.71686,40.87906,39.40535,31.22882,35.5077,39.39397,39.42811,39.12654,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-04-29 13:00:00,2017-04-29 13:00:00-06:00,2017-04-29
104,104,0,0,LC08_041030_20170508,-116.7230905154763,43.12061585795583,2017-05-08 18:25:17.716000000,0.05146,0.0606725,0.0819849999999999,0.0927925,0.1992725,0.26035,0.1871999999999999,300.03204974,21824.0,0.134069415,0.3645763785458716,0.2046143927624,0.2016501170989754,300.03204974,0.2077916646057671,0.9520779166460576,0.970685712493199,-116.72292084847132,43.120738528531405,-0.3645763695240021,0.3645763695240021,1,1,-0.417011101926171,-300.03204974,300.03204974,311.5650369506896,-311.5650369506896,311.5650369506896,0.807138579977556,0.4887250386856106,7.633608660905969,437.4477093333268,935.1281214047492,0.807138579977556,1.2507794232118243,0.4887250386856106,310.02637052380766,667.4775928382842,120.74805111027696,0.0093187540773963,0.3779056272943314,435.45986197909247,12.629790123719976,4.7939791006220815,19.33462630379996,0.0093187540773963,0.3779056272943314,0.4969483003673559,0.2609331011772156,-76.50365447998047,0.1661911373966182,1.5679529760181414,111.26967974891475,0.2035186893271452,0,-116.7230905154763,43.12061585795583,214.92477112453497,10.275046833261692,39.07363917377486,2.4944162350788783,346.0160362778271,42.61805513151511,-114.96458732079216,0.8969103097915649,399369,293.19259172,591866,42.89947729728902,-115.67775810637468,0.2077089846134185,576.6091558424675,120.74946686171997,311.7490223,44.46714639987449,2017-05-08 18:25:17.716000+00:00,2017-05-08 18:00:00+00:00,2017-05-08,47.74039366828642,46.09346622727273,106.77854031975966,103.09494044444445,1.80745474089375,157.8309375,6.835076087389084,1.504548771060172,201705081200.0,201705081230.0,0.192487,7.982,7.982,353.763,2.14882,-2.231783333,-2.1962,-0.035583333,329.913,121.614,0.5648609593,55.704087708,9.98,6.11,4.577,0.0,45.531700156,45.531700156,81.0901,389.80338104,645.9,2012.0,977.0,977.0,137.1,237.8,431.8,5.5697446961,-1.77547,0.037231,-1.6221,1.4033780674,1.197768759,0.442472598,7.888,1.3611796355,13.8876,91.0,42.0,1.0,2.88,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,7.225,7.46,6.2525,5.296,5.0065,4.9195,4.9795,27.21168,29.72097,38.07389,40.12798,38.77945,29.55596,34.25021,38.14786,38.13079,38.182,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-05-08 12:00:00,2017-05-08 12:00:00-06:00,2017-05-08
105,105,1,1,LC08_041030_20170524,-116.7230905154763,43.12061585795583,2017-05-24 18:25:28.890000128,0.0437049999999999,0.0533575,0.08094,0.0780525,0.2588375,0.2422274999999999,0.156675,302.47593404,21824.0,0.14291589,0.5366291667903469,0.3405970551358968,0.3240300397901755,302.47593404,0.5248036074684105,0.955248036074684,0.9717318519046456,-116.72292084847132,43.120738528531405,-0.5366291403770447,0.5366291403770447,1,1,-0.5235705719183877,-302.47593404,302.47593404,314.2069049258324,-314.2069049258324,314.2069049258324,0.8162593372100942,0.3667104986314535,6.252094185167239,453.3801672590051,967.8318688524712,0.8162593372100942,1.845401886304766,0.3667104986314535,318.33874141559124,680.2256062297823,124.63713412073848,0.01853765562554,0.6637976887777391,329.26462949237845,9.045103180121275,2.6470654955008683,11.007365957077788,0.01853765562554,0.6637976887777391,0.7780758401476743,0.1414743512868881,-41.805152893066406,0.338911781876334,3.3381758042231007,226.32384261666544,0.4073587807852238,1,-116.7230905154763,43.12061585795583,228.0155798006994,16.231958401229573,19.871579266983133,4.079352860134666,359.19898571331487,42.508607015567385,-114.73262730817562,0.8378394842147827,476611,295.4963372,700707,42.78489348769603,-115.99269417544274,0.232633352279663,573.3322744217788,141.86601627470793,318.18857198,94.67066580776714,2017-05-24 18:25:28.890000128+00:00,2017-05-24 18:00:00+00:00,2017-05-24,115.56272284099175,108.51306208333334,79.15054206984286,74.32212978723405,1.7837103704874997,173.03647916666668,-11.582423074388217,-23.46049611465544,201705241200.0,201705241230.0,0.659753,13.79,13.79,317.159,5.66941,-8.378322222,-8.30035,-0.077972222,263.239,210.67,2.0834480033,44.439045112,14.25,10.45,8.06,0.0,33.880983102,33.880983102,80.4098,398.28386192,659.2,2032.0,980.0,980.0,144.7,261.5,437.6,7.7245163867,-0.0353786,-0.424666,-81.4051,1.7378866476,1.6757684804,0.7693263287,13.839,0.9123908154,37.7645,103.443,69.0456,1.0,2.981,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,10.72,9.05,7.03,6.15,5.811,5.5765,5.4775,25.96557,28.43503,36.71967,38.79652,37.13504,27.97414,32.92444,36.49207,36.5319,36.39534,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-05-24 12:00:00,2017-05-24 12:00:00-06:00,2017-05-24
106,106,2,2,LC08_042030_20170515,-116.7230905154763,43.12061585795583,2017-05-15 18:31:33.772000000,,,,,,,,,,,,,,,,,,-116.72292084847132,43.120738528531405,,,1,1,,,,,,,0.8133429013722653,0.39562567340313,6.579487399925544,,953.951980016488,0.8133429013722653,1.161856692394908,0.39562567340313,311.1072992393186,,,,,,,,,,,,0.2316396981477737,-68.02984619140625,,,,,2,-116.7230905154763,43.12061585795583,,9.176949497830368,34.05115932048694,2.8531407472317163,323.9355353655358,43.892935106494285,-116.4661234252242,0.9299368262290956,414317,293.68820462,620797,42.5996014241688,-118.17338598328462,0.1464027315378189,550.3769554945327,144.95609133413006,317.42977154,,2017-05-15 18:31:33.772000+00:00,2017-05-15 19:00:00+00:00,2017-05-15,42.41235335196493,40.67121742578571,127.7660636570864,122.52093892340908,0.9074771565583336,161.02083333333334,-3.078800172419804,-10.06506083227633,201705151300.0,201705151330.0,0.4675867176,7.517,7.517,332.0,3.7018974763,-9999.0,-9999.0,-9999.0,395.12697947,,-9999.0,38.425181891,10.33,6.334,4.241,0.0,38.71341119,38.71341119,80.47,-9999.0,625.3,1896.0,930.0,930.0,138.2,257.9,424.4,-9999.0,-9999.0,-0.048156237,-9999.0,-9999.0,-9999.0,-9999.0,8.273181,1.3296668756,-9999.0,-9999.0,-9999.0,1.0,3.318,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,6.55,7.065,6.8445,5.986,5.521,5.2205,5.171,26.18748,28.81057,37.04969,39.18913,37.70973,28.49762,33.18049,37.16349,36.85054,37.06676,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-05-15 13:00:00,2017-05-15 13:00:00-06:00,2017-05-15
107,107,0,0,LC08_041030_20170609,-116.7230905154763,43.12061585795583,2017-06-09 18:25:36.926000128,,,,,,,,,,,,,,,,,,-116.72292084847132,43.120738528531405,,,1,1,,,,,,,0.8117585475368425,0.4763598189262489,7.493602969078863,,970.234516611512,0.8117585475368425,1.6241661801576992,0.4763598189262489,287.08180640908216,,,,,,,,,,,,0.1728920191526413,-49.75577926635742,,,,,0,-116.7230905154763,43.12061585795583,,14.24468677752238,29.32949994562728,2.733175479495583,287.30246215758166,43.469636676467736,-116.31074928925192,0.7179208993911743,151370,287.78528408,226033,43.13055560965359,-116.10691220534272,0.1909849643707275,474.879548101629,124.422580678237,315.13628012000004,,2017-06-09 18:25:36.926000128+00:00,2017-06-09 18:00:00+00:00,2017-06-09,99.32603996673774,97.2750209318182,57.5521227645299,56.363708333333335,-0.3302900341937497,140.40941666666666,-12.899022564291116,-16.138456030407227,201706091200.0,201706091230.0,0.691154,11.55,11.55,273.971,1.2839,-19.62042778,-19.5164,-0.104027778,258.167,275.609,-1.115946759,27.714298444,13.07,11.14,9.5,0.0,39.645177706,39.645177706,80.535,394.22738502,502.3,1497.0,729.2,729.2,115.9,297.4,408.4,7.376434648,-0.030149,-0.470463,-95.5255,1.4314503135,1.480439124,0.847878529,11.596,1.0081319358,36.2627,99.3293,66.2999,1.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,10.935,10.95,9.215,7.655,6.831,6.1845,5.927,16.83881,24.10494,32.04249,34.74524,33.43654,20.90716,28.09363,32.48631,32.19612,32.29285,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-06-09 12:00:00,2017-06-09 12:00:00-06:00,2017-06-09
108,108,1,1,LC08_041030_20170625,-116.7230905154763,43.12061585795583,2017-06-25 18:25:42.231000064,0.034025,0.0429624999999999,0.0735425,0.064935,0.316175,0.21184,0.119715,311.40380228000004,21824.0,0.14832074,0.6592322426595996,0.4539717559603668,0.4277105015264836,311.40380228000004,0.8908502056565386,0.9589085020565652,0.9729398056786666,-116.72292084847132,43.120738528531405,-0.6592322587966919,0.6592322587966919,1,1,-0.6225855908446503,-311.40380228000004,311.40380228000004,323.43858607115607,-323.43858607115607,323.43858607115607,0.8116218132816995,0.4773082776101841,7.504341930197061,511.2765480832485,966.7271935719466,0.8116218132816995,3.5260065222708232,0.4773082776101841,340.85488961889064,638.9136043830902,128.2339075864144,0.0331979556613434,0.3558277957440798,223.57847689990984,14.090345222398994,2.907057481259841,20.53427014199345,0.0331979556613434,0.3558277957440798,0.4670845095221025,0.1261886656284332,-37.9072265625,0.4338571942219818,4.790413731448584,287.10121989676594,0.5621943102450647,1,-116.7230905154763,43.12061585795583,234.9435736465624,26.811042703733552,13.53679508518854,2.049520710763354,376.2645653560783,43.71892918457701,-115.7622889374678,0.8762816190719604,553979,300.4011959,787345,42.79252134113426,-116.09748230194305,0.1641403585672378,436.8108057939932,150.67876407068226,332.73224708,135.85613342388186,2017-06-25 18:25:42.231000064+00:00,2017-06-25 18:00:00+00:00,2017-06-25,166.31773563877516,148.77245531914895,2.7414221144059137,2.452222533333332,5.440575387637501,186.74254166666665,30.07728842654688,12.242808525848083,201706251200.0,201706251230.0,0.260534,23.01,23.01,112.697,1.41433,-14.20585556,-14.1973,-0.008555556,109.28,394.628,-0.857303906,46.297943574,16.69,13.51,10.89,0.0,26.730870564,26.730870564,81.6808,389.89573238,684.7,2087.0,989.0,989.0,140.2,307.2,471.3,9.6783982352,-0.235716,-0.065198,-12.2181,1.0269615377,1.0260555541,0.3557456957,22.929,0.7360991781,33.2849,91.1725,60.8554,1.0,16.9,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,12.59,11.8,10.055,8.41,7.535,6.851,6.483,18.25562,24.31547,31.33124,34.13072,31.85472,22.63123,28.73091,31.74661,31.83765,31.38245,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-06-25 12:00:00,2017-06-25 12:00:00-06:00,2017-06-25
109,109,0,0,LC08_041030_20170711,-116.7230905154763,43.12061585795583,2017-07-11 18:25:45.032000000,0.0341074999999999,0.0466475,0.0803349999999999,0.0752749999999999,0.330695,0.2261949999999999,0.1269199999999999,311.56786724,21824.0,0.1575208375,0.6291597901322759,0.4457626630575634,0.4228947978409882,311.56786724,0.8708570775015888,0.9587085707750158,0.9728738283557552,-116.72292084847132,43.120738528531405,-0.6291598081588745,0.6291598081588745,1,1,-0.6091039583485391,-311.56786724,311.56786724,323.6524033999637,-323.6524033999637,323.6524033999637,0.8089630098350375,0.5076210635754822,7.847559653203199,512.2480509699695,951.3127818457116,0.8089630098350375,3.0730323672373085,0.5076210635754822,337.9751077486574,613.232777262198,130.17019146373573,0.0323115271040079,0.433747088561896,278.334347855407,12.173540529063796,3.126619764068792,16.845448129841074,0.0323115271040079,0.433747088561896,0.5531017590845811,0.1303142756223678,-39.04990768432617,0.3094436352931783,3.376040176991091,204.7282379430553,0.423813070939155,0,-116.7230905154763,43.12061585795583,219.59285844734663,24.491204139887245,16.518571980803422,2.5060941341413843,355.1865343162379,43.97630297347058,-115.9765127046934,0.8057761788368225,471908,299.65948556,760530,42.425493496865954,-115.76398235290593,0.17526775598526,481.467129691954,157.10948392492384,329.00660528000003,95.74449941946732,2017-07-11 18:25:45.032000+00:00,2017-07-11 18:00:00+00:00,2017-07-11,151.92867772648106,137.68173227272726,42.3579022858326,38.385836363636365,-0.0912832433833333,182.9375625,6.961277107019733,-11.2577342689303,201707111200.0,201707111230.0,0.284557,20.24,20.24,335.619,2.30351,-12.53081667,-12.5034,-0.027416667,95.8323,259.283,0.3583305008,33.286958419,19.11,15.78,12.84,0.0,30.746917572,30.746917572,81.2515,381.52594319,512.2,1634.0,742.2,742.2,108.1,323.9,445.8,10.088966787,-0.159249,0.0780661,-18.0849,1.3706312414,0.8625323182,0.4016789763,20.271,0.7583158972,32.4116,88.7805,59.2588,1.0,59.35,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,14.42,13.48,11.095,9.14,8.12,7.275,6.7885,12.64528,15.18871,21.42495,25.20311,26.64837,14.11899,17.56713,22.0224,22.18741,23.63267,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-07-11 12:00:00,2017-07-11 12:00:00-06:00,2017-07-11
110,110,1,1,LC08_041030_20170727,-116.7230905154763,43.12061585795583,2017-07-27 18:25:52.616000000,,,,,,,,,,,,,,,,,,-116.72292084847132,43.120738528531405,,,1,1,,,,,,,0.7889344366677129,0.9502198705735536,12.858902223860174,,907.5047905583074,0.7889344366677129,3.0088016215576063,0.9502198705735536,351.916384158908,,,,,,,,,,,,0.1508453637361526,-45.54665756225586,,,,,1,-116.7230905154763,43.12061585795583,,24.1384363227073,31.58134001807805,0.2664583621332557,308.56086646289026,43.976402925578846,-115.98773204391564,0.840477705001831,450894,301.94272292,680374,43.13049779806767,-116.09953626756072,0.1907548308372497,417.1859167445773,139.0167298527363,331.81621772,,2017-07-27 18:25:52.616000+00:00,2017-07-27 18:00:00+00:00,2017-07-27,110.17591018609832,100.2762131111111,30.44520685030452,27.70959681818182,1.2947188718229163,133.9101875,4.629658698884175,-8.005648408225742,201707271200.0,201707271230.0,0.180768,20.5,20.5,36.2705,1.2424,-1.20284,-1.23084,0.028,23.6608,91.7198,-1.325303081,35.672626169,22.39,17.65,17.17,0.0,43.976684044,43.976684044,81.5803,386.67984376,177.48,661.0,296.6,296.6,47.72,365.2,436.6,14.93405059,-0.152802,-0.0315438,-18.8479,0.9679772725,1.4632429737,0.3147193988,21.005,0.3269740051,13.2596,129.0,50.0,1.0,7.828,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,14.72,13.73,11.55,9.68,8.7,7.835,7.335,11.63246,12.34371,15.5927,17.89715,19.26844,12.68511,14.55712,16.00238,16.1617,16.18446,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-07-27 12:00:00,2017-07-27 12:00:00-06:00,2017-07-27
111,111,2,2,LC08_042030_20170702,-116.7230905154763,43.12061585795583,2017-07-02 18:31:54.536000000,0.0324025,0.0386725,0.0681249999999999,0.059765,0.3010775,0.1960275,0.1060749999999999,312.38477402,21824.0,0.139388135,0.6687474452150176,0.4404722464837515,0.4204819696982897,312.38477402,0.860974995603657,0.9586097499560364,0.972841217485492,-116.72292084847132,43.120738528531405,-0.6687474250793457,0.6687474250793457,1,1,-0.6309613288100705,-312.38477402,312.38477402,324.4937098019131,-324.4937098019131,324.4937098019131,0.7986116972642189,0.7711929333486531,10.831862616829811,517.5881582294021,946.950648115604,0.7986116972642189,3.5527858555830427,0.7711929333486531,362.81587500512575,645.1676403270707,128.67400934290885,0.0318763370315437,0.3529720725759419,258.1351198952094,13.867851183755274,3.312549049767199,20.70040280670357,0.0318763370315437,0.3529720725759419,0.4688844167323181,0.1666431874036789,-50.762115478515625,0.3908309240959587,4.013633307229827,258.35851108895247,0.5002162574525046,2,-116.7230905154763,43.12061585795583,221.00520460405943,26.939887687096405,21.70671030275462,2.042561575993864,359.8415096803955,43.80171150811808,-115.93586395851368,0.7216016054153442,582276,304.61561456,789502,42.59956391740783,-118.17704216032996,0.1414585709571838,471.3453230119389,162.89424221900808,334.72153472,113.8266405930379,2017-07-02 18:31:54.536000+00:00,2017-07-02 19:00:00+00:00,2017-07-02,166.59672608577358,147.30159209090908,24.90305727653601,22.01879995454545,4.070928184245834,191.3744375,17.98311727029962,-4.196274046555438,201707021300.0,201707021330.0,0.266804,23.98,23.98,354.896,2.70969,-11.37146667,-11.2723,-0.099166667,94.5235,333.0,-0.623524722,34.286029581,19.11,15.69,12.01,0.0,28.095431124,28.095431124,81.3264,384.92202492,673.5,2042.0,961.0,961.0,139.5,326.2,474.2,10.946907224,-0.190392,-0.0677969,-15.1267,1.4568356119,1.0233963064,0.4245538835,24.131,0.7513081924,29.4493,80.6663,53.8428,1.0,35.03,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,13.81,12.275,10.465,8.795,7.85,7.035,6.6365,13.90277,20.13332,27.88879,30.59154,29.35112,17.16314,23.87734,28.17329,28.13346,28.21312,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-07-02 13:00:00,2017-07-02 13:00:00-06:00,2017-07-02
112,112,3,3,LC08_042030_20170718,-116.7230905154763,43.12061585795583,2017-07-18 18:31:58.900000000,0.0320725,0.0408725,0.0705175,0.071095,0.29192,0.2075775,0.1152325,313.82034242,21824.0,0.14103852,0.6083081966309931,0.3909939914497453,0.3838143021847823,313.82034242,0.72080303670824,0.9572080303670824,0.9723786500211372,-116.72292084847132,43.120738528531405,-0.6083081960678101,0.6083081960678101,1,1,-0.6108708397999655,-313.82034242,313.82034242,325.9296865742215,-325.9296865742215,325.9296865742215,0.808675899845664,0.4953677020253781,7.708820480393014,526.3974297474484,942.9770984423584,0.808675899845664,3.535308655156783,0.4953677020253781,352.7102727100769,621.2006797677547,137.4982372489292,0.0259401421093671,0.088125533276681,149.16204716479407,23.16865365368397,3.2189440735619144,82.91199848855183,0.0259401421093671,0.088125533276681,0.1641885494328023,0.1395444571971893,-42.26273727416992,0.5067968063231721,5.64559124652925,334.5403953540314,0.6916243664430353,3,-116.7230905154763,43.12061585795583,224.5135724135218,26.85589492755981,14.01200716386699,0.5219786339662793,360.4011083512436,43.453126171242346,-116.35135353235891,0.91188645362854,591739,302.8621703,911457,42.79970256877555,-117.63823224974682,0.121285393834114,397.2108904208416,146.95080078494527,333.05012294,160.10896775156954,2017-07-18 18:31:58.900000+00:00,2017-07-18 19:00:00+00:00,2017-07-18,146.17097066016052,132.10749545454544,34.14272278659443,30.85776590909091,2.51628942114375,171.53702083333334,6.05547004855325,-11.292962034565347,201707181300.0,201707181330.0,0.767322,25.07,25.07,261.232,1.06126,-3.868796667,-3.82388,-0.044916667,126.042,240.528,-0.56986308,42.820582957,24.12,16.76,12.99,0.0,17.162316063,17.162316063,81.2737,382.20919361,646.0,2034.0,969.0,969.0,147.5,312.2,487.7,7.7505882694,-0.0106828,0.559672,-269.591,1.2436961044,1.8154200616,0.671767817,24.574,0.840460588,47.4979,130.104,86.8414,1.0,51.99,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,14.32,13.37,11.405,9.485,8.42,7.505,7.045,11.9511,13.23704,17.67524,21.44771,23.1604,13.25411,15.34803,18.24424,18.16458,19.9171,ID,CSH,6.5,505.0,43.1207,-116.7231,1878.0,US-Rwf,2017-07-18 13:00:00,2017-07-18 13:00:00-06:00,2017-07-18
