,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,Relative humidity,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WS_MAX_1_5_1,WS_MAX_1_6_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,WD_1_5_1,WD_1_6_1,Air temp,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,SWC_1_7_1,SWC_1_8_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,G_inst_af,G_2_1_1,G_3_1_1,Rn_inst_af,P,THROUGHFALL_1_1_1,THROUGHFALL_2_1_1,THROUGHFALL_4_1_1,THROUGHFALL_5_1_1,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,CH4_MIXING_RATIO_1_5_1,CH4_MIXING_RATIO_1_6_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-80.52049049205331,37.37440739579269,2019-05-22 06:00:00,138.96400270462036,172.99599729537962,2019-05-22,US-xML,0,71.10456109506102,64.49844782046648,141.5357580889611,128.38609179552506,13.079486486486486,218.65020833333327,US-xML,80,1,1,LC08_017034_20190522,-80.5248473211813,37.3782252357502,2019-05-22 15:58:51.247000064,0.0194775,0.0279474999999999,0.0691975,0.0439525,0.344445,0.1855775,0.0942775,288.83461622,21824.0,0.1443438,0.7736725905805264,0.5371486437328563,0.5073615695676766,288.83461622,1.2885869543884565,0.9628858695438846,0.974252336949482,-80.52481348839743,37.37824888885712,-0.7736725807189941,0.7736725807189941,1,1,-0.6654236448140604,-288.83461622,288.83461622,296.8809636171426,-296.8809636171426,296.8809636171426,0.7710155492060394,1.438352860545877,19.848549617174548,379.974837119957,937.1146770184884,0.7710155492060394,2.3132779419063643,1.438352860545877,306.90153961361057,717.3843022171184,53.77685605401283,0.0519419786253929,0.3125696129856225,140.937154731162,16.094862294780615,1.887757183553617,23.37611776156594,0.0519419786253929,0.3125696129856225,0.4126281777325458,0.3310933709144592,-96.40756225585938,0.7695849558800272,4.737810900901666,522.6702914319436,0.7876196906076887,1,-80.5248473211813,37.3782252357502,170.2241452968109,19.82644788075902,62.178125442225735,1.7077640333190758,281.1733924010191,37.59280234495607,-80.08576577607452,0.9126890301704408,292468,291.17937794,345372,37.08852862744345,-80.50029883552583,0.5967960953712463,568.3590922862859,98.65862477118976,307.42180898000004,2019-05-22 15:58:51.247000064+00:00,2019-05-22 16:00:00+00:00,41832.0,201905221200.0,201905221230.0,397.602645933284,16.5164800921239,395.079256657064,13.1508732278377,399.226516115132,,396.521921374816,13.5113152533278,398.36606713089,,395.03850961418,13.3817967194506,,,394.274715051482,13.3999595066926,,,394.214646885792,13.5385221469524,398.7541703125,,395.922116567243,14.648276648388,400.178676082508,,1.79673632768024,5.84044640697439,123.970537713321,17.8107725578993,0.908443352327141,-9.90504153289493,-0.765971256598358,-10.6710127894933,83.2077684637493,19.4546649394037,0.430934659059099,388.628949727673,,280.0,120.0,1.16376409046788,1.53,1.03,0.67,0.74,0.34,5.51,4.65,2.07,2.23,1.22,,,,,,16.7244,17.328,17.0717,17.4051,17.9389,18.17,,89.20495,64.21,6.8411,22.81,24.82,24.37,22.05,22.59,289.9,930.9,,118.65,332.0,422.9,417.2,434.3,1899.87,1839.57,1840.01,1369.36,518.07,39.82,74.85,172.61,57.42,557.22,38.87,,17.22,7.28,5.91,3.81,,,,,,,6.6,8.64,34.24,30.63,,31.06,18.43,16.06,11.74,,30.44,,,33.97,17.98,,24.92,,36.87,,,,20.13,23.34,15.969,14.569,13.198,12.5,12.304,12.057,11.774,11.206,10.631,15.556,14.626,13.977,,12.656,11.924,11.067,10.512,10.353,14.253,13.177,12.354,12.076,11.585,11.373,10.892,10.529,,18.39,16.092,13.85,13.016,12.311,,,11.305,11.213,15.475,14.659,13.312,12.979,12.266,12.088,11.727,9.21,,31.498,721.35,0.0,0.0,0.0,0.0,,,,,,,,US-xML,-80.5248,37.3783,1126.0,VA,EST,DBF,Dfb,8.8,1227.82,2019-05-22 12:00:00,12:00:00,142,0.1274572993876893,0.1754520331566127,1.0123568118833024,0.0,1185.1951095996956,0.7854402979391428,102.25548337600364,1.9041440324336965,1.2226508832256764,23.500285808723312,916.7964424047308,0.1,0.0421771879834056,0.8885636752141243,1.1254117492019038,-0.1248730677912565,-0.0692459942619884,0.8164388001095725,0.7164388001095725,0.7513963916134195,2019-05-22 12:00:00-04:00,US-xML,0.8885642735289724,1185.195907651486,88.13925837382935,1177.0000000000034,0.0,-0.35,2.5976818846952496,0.1720961106266469,0.0905315808397867,2.6882134655350365,0.0586395882242211,0.1433858417797851,1.1852490433212128,450.0919912154697,161.37224658459317,330.34676419010106,12.69500346940955,19.98663335588345,8.07220543680842,99.4876393838979,223.4634257802595,-192.1973830735827,53.60120599156705,27.23060553068105,10
1,1,1,-80.52049049205331,37.37440739579269,2019-09-11 06:00:00,121.94800540924072,150.3080054092407,2019-09-11,US-xML,1,91.19581946696914,99.36529185008408,38.49733035545782,41.94598489906305,16.81211111111111,147.24645833333332,US-xML,85,0,0,LC08_017034_20190911,-80.5248473211813,37.3782252357502,2019-09-11 15:59:27.668000000,0.0140599999999999,0.0220074999999999,0.04277,0.0326225,0.2967325,0.1625325,0.06994,299.8714028,21824.0,0.120219645,0.8019006846715551,0.4974155522638518,0.4776784368575579,299.8714028,1.1230995649915587,0.9612309956499157,0.973706228564472,-80.52481348839743,37.37824888885712,-0.8019006848335266,0.8019006848335266,1,1,-0.748043092466182,-299.8714028,299.8714028,307.9420692190838,-307.9420692190838,307.9420692190838,0.7496220138066032,1.6878141648559803,22.92677642685504,440.7080978569582,802.9236349676937,0.7496220138066032,4.097061410517394,1.6878141648559803,352.4643357500942,604.4879871369591,58.66113883245836,0.0439612293403979,0.2208948312925257,116.82401805083884,19.9208772684748,2.021658449688473,33.0775692626459,0.0439612293403979,0.2208948312925257,0.3116293407139594,0.2805556952953338,-84.37324523925781,0.638487879010546,3.850750771213837,429.0028302536618,0.7859687217407338,0,-80.5248473211813,37.3782252357502,137.16282029732005,29.390908509177308,41.19572531969532,1.2312734450481095,236.7654194968848,36.818977878521615,-80.34732711958382,0.897093653678894,437365,300.73616186000004,743945,36.97392347102533,-79.90481699911645,0.2908507585525512,410.0214114764445,101.91483795449076,317.25887054,2019-09-11 15:59:27.668000+00:00,2019-09-11 16:00:00+00:00,47208.0,201909111200.0,201909111230.0,410.474218023021,24.7675847101017,,,409.286564043478,,,,405.982891,,,,405.557649575563,,,,408.854741418251,,,,,,,,,,2.85094278906448,7.82192926931681,334.009541195325,26.1001702285699,0.41176722532989,-9.32375079595397,,,182.093051233732,,0.630751610204978,106.841033878333,-3.81793801845343,340.0,160.0,1.07493740282799,2.47,1.69,0.64,0.5,0.32,6.71,6.06,1.76,1.75,1.02,333.9,333.36,349.9,36.33,33.01,24.6145,25.103,24.5619,24.6956,24.9283,25.0557,26.2275,89.46907,59.08,12.7171,26.2,25.68,25.77,25.42,25.89,243.9,549.59,536.1,64.04,386.0,460.4,454.2,459.8,1078.49,1115.69,1109.94,502.52,303.41,177.19,40.79,198.39,29.72,64.8,25.09,6.78,9.16,,4.0,,3.33,3.09,28.97,22.33,,9.0,,8.0,,18.34,37.6,24.4,15.8,,10.07,,9.73,,29.42,28.8,,,,15.55,33.31,21.36,30.46,31.18,15.28,13.69,20.462,19.032,17.292,16.251,15.86,16.012,15.337,,14.522,19.601,18.598,17.709,,16.028,15.405,14.816,,14.349,20.151,18.316,16.645,15.921,15.343,15.16,14.646,14.406,,20.73,19.145,17.364,16.63,15.88,,,15.227,15.205,20.489,19.271,17.335,16.725,15.87,15.642,15.349,14.059,,52.175,411.15,0.0,0.0,0.0,0.0,0.0,,,,,,,US-xML,-80.5248,37.3783,1126.0,VA,EST,DBF,Dfb,8.8,1227.82,2019-09-11 12:00:00,12:00:00,254,0.1165232264051383,0.0321293853170786,1.0066330074734948,0.0,1098.0251933239342,0.5005258561839415,102.25548337600364,3.095761994267574,1.8289761862132827,49.98844591468005,849.3671987405461,0.1,0.061421518169396,0.8139282527670428,1.2286095200656628,-0.1252714254261065,-0.069723253650601,0.8098274500557203,0.7098274500557203,0.70359168370971,2019-09-11 12:00:00-04:00,US-xML,0.8139290104735144,1098.0262155034593,88.13925837382935,1177.0000000000034,0.9453198053306984,0.926181737196443,2.225704316130447,0.1581177368978019,-0.2502899417453686,1.9754143743850785,0.0586395882242211,0.2360630456233226,0.8661276228793189,406.2528818599983,128.77702977718724,378.7977265749163,9.782554837843,12.825499897756,6.59941989712097,88.981591031351,240.46708321873967,-224.31673149268408,48.738848775591,20.973005911832,10
2,2,2,-80.52049049205331,37.37440739579269,2020-06-25 06:00:00,133.2919945907593,161.65199459075927,2020-06-25,US-xML,2,68.7070434036973,63.20589821540235,43.546173700552586,40.059575936275046,10.702880952380951,155.17,US-xML,97,1,1,LC08_017034_20200625,-80.5248473211813,37.3782252357502,2020-06-25 15:58:56.829999872,0.0295149999999999,0.0309724999999999,0.06147,0.0354549999999999,0.4105,0.1926999999999999,0.0875125,293.92746602,21824.0,0.1624085225,0.8409929252951532,0.674087327869987,0.5947085220755746,293.92746602,2.0034968724244973,0.9700349687242448,0.9766115396790008,-80.52481348839743,37.37824888885712,-0.8409929275512695,0.8409929275512695,1,1,-0.7395173422039536,-293.92746602,293.92746602,302.1265592842741,-302.1265592842741,302.1265592842741,0.7638528428016931,1.7581931780927575,23.795217991303044,410.51698590532527,928.968475175468,0.7638528428016931,2.375521798740822,1.7581931780927575,306.4772170105291,664.8727093853191,49.12382668930794,0.0848612163302372,0.1420473699538747,164.54053495700083,21.18267589220581,2.948017578912939,51.43822151872015,0.0848612163302372,0.1420473699538747,0.2441025135018712,0.261378526687622,-76.02137756347656,0.6677461033113454,4.171865407777674,451.2083477390103,0.7327798075141083,1,-80.5248473211813,37.3782252357502,160.29180420387857,20.255507690274143,74.01292545598665,0.7299482272254109,265.5420644958116,38.26514222569776,-79.8040937626276,0.927615225315094,140726,290.84783,192287,37.29495782246181,-79.36948201064871,0.443961501121521,520.620893330777,107.74070567989136,312.88038692,2020-06-25 15:58:56.829999872+00:00,2020-06-25 16:00:00+00:00,61032.0,202006251200.0,202006251230.0,399.013007446947,18.1472474870284,387.260445258825,16.6191445224335,401.687629875,,399.643922360336,18.5390737685018,398.52433788961,,390.361891486381,16.352812293734,396.61301996124,,392.597480057948,17.2578184391112,401.662256099668,,385.438643488371,16.8468570511609,,,389.775255080195,17.9130803713966,,,2.96158231637393,9.98577537953463,299.443129670819,19.499362057906,0.633036553903341,-18.2500847122075,,,213.653373085221,,0.648687827232568,193.978980831782,11.2330291688225,340.0,140.0,1.3879795473841,,1.28,0.55,0.55,0.28,,5.75,2.28,1.72,1.33,,299.18,,,,18.8504,19.107,18.9891,19.3055,19.3936,19.4743,19.4765,88.72568,67.65,7.0694,21.92,21.86,22.32,20.24,19.63,295.0,686.53,685.7,98.67,372.2,439.6,421.9,419.5,1330.13,1367.27,1322.64,360.33,820.84,25.18,46.68,54.68,29.94,79.43,38.33,14.04,,6.28,,7.27,,,,,,10.04,,38.97,,,,33.72,,,,,39.46,,,,,36.98,,25.82,37.51,,35.04,,30.34,39.39,16.916,15.903,14.624,13.776,13.606,13.312,12.891,12.35,,16.305,15.53,15.202,,13.803,13.084,12.31,11.245,11.527,15.578,14.598,13.685,,12.678,12.6,12.09,11.746,,18.833,17.206,15.372,14.784,13.605,,,12.785,12.714,16.227,15.805,14.628,14.299,13.541,13.296,11.864,,,15.185,520.46,0.0,0.0,0.0,0.0,0.0,,,,,,,US-xML,-80.5248,37.3783,1126.0,VA,EST,DBF,Dfb,8.8,1227.82,2020-06-25 12:00:00,12:00:00,177,0.1437227797765574,0.2009882182022114,1.0167965912993036,0.0,1189.9722527217357,0.576929418673209,102.25548337600364,2.176968441244875,1.472719150502158,33.149492788393914,920.4917178522086,0.1,0.0504337910739534,0.8999875123531944,1.1111265281729334,-0.1250439794752308,-0.069450758018634,0.8169212654278083,0.7169212654278083,0.7367193724020409,2020-06-25 12:00:00-04:00,US-xML,0.8999880808827232,1189.9730044370149,88.13925837382935,1177.0000000000034,0.0,-0.35,2.575100613186397,0.1543643722487031,0.0816804893277728,2.65678110251417,0.0586395882242211,0.1467537782334678,0.4836226371973804,460.1550715544795,130.70041897606927,331.93736050684527,10.421198307739072,18.0677213362494,9.10366844130442,120.65722480121,247.19091947275157,-217.36445847185328,56.63982270205397,25.72232737007525,10
3,3,3,-80.52049049205331,37.37440739579269,2020-11-16 06:00:00,70.9,113.44,2020-11-16,US-xML,3,21.54393265712696,21.64346372914344,16.544838411585847,16.621274108338728,-24.51658695652174,24.62375,US-xML,102,0,0,LC08_017034_20201116,-80.5248473211813,37.3782252357502,2020-11-16 15:59:30.156000000,0.0210724999999999,0.0289649999999999,0.0412849999999999,0.052835,0.1450699999999999,0.1910224999999999,0.124885,279.31201250000004,21824.0,0.088124725,0.4660569465147417,0.185234276625356,0.1982397317686503,279.31201250000004,0.2001441745597978,0.952001441745598,0.9706604757760472,-80.52481348839743,37.37824888885712,-0.4660569429397583,0.4660569429397583,1,1,-0.5569209304821443,-279.31201250000004,279.31201250000004,287.058371129249,-287.058371129249,287.058371129249,0.7454119765916896,0.4121533009528664,7.185764079523588,328.5330919481092,543.7365580917555,0.7454119765916896,0.9719695455651456,0.4121533009528664,274.01816018638624,428.1525150512797,25.28615300775988,0.0091418481673814,0.4633412012600247,270.85885527381777,11.997103913545269,2.5990595717186977,15.769510809677682,0.0091418481673814,0.4633412012600247,0.5657405772442468,0.5426270961761475,-153.1665802001953,0.1925428556642547,0.6533418383869448,132.00750676970205,0.3276707097115293,0,-80.5248473211813,37.3782252357502,56.95906172284907,6.559711858048013,42.40393156693222,3.064222067456143,150.87778462827197,36.66517538335754,-80.85520010843975,0.8284157514572144,505591,282.2685998,711867,38.20755813002567,-81.18149767420469,0.4380464851856231,365.0355240474552,30.57752779647579,288.22279064,2020-11-16 15:59:30.156000+00:00,2020-11-16 16:00:00+00:00,67942.0,202011161100.0,202011161130.0,421.074075199745,4.15535929275546,420.691298176431,3.73753603704924,,,420.460238041633,3.79973145235896,,,420.221494519739,3.87722882109164,,,420.510308740516,3.72777328223958,,,420.578930000938,3.79284140641983,,,421.081410965249,4.09537799638933,,,5.7256261380405,15.6392979549633,285.673889183103,2.92990120112353,0.468340307407815,1.03066242982968,-0.034524044798455,0.996138385031226,47.0732069336269,-0.966068932353936,1.06869635178586,184.161069039125,,360.0,160.0,2.00635879261627,5.35,3.75,2.45,1.7,0.85,12.13,10.35,6.78,4.48,3.55,281.92,284.08,274.31,259.99,,2.4077,,,2.6609,2.8595,3.2016,3.8244,88.64297,,,7.5,8.64,,5.88,7.49,50.4,578.73,590.0,70.15,221.6,344.9,285.4,354.1,1176.62,1215.12,,768.48,239.88,250.93,76.44,541.25,317.95,281.21,,,16.91,6.5,4.5,8.14,,,,29.41,,9.48,6.24,37.51,,,,33.65,,16.37,,37.95,36.59,,,36.05,,,,,39.31,,,,32.22,38.38,7.495,7.801,8.888,9.739,,11.204,11.655,11.141,,7.033,7.309,8.995,,10.833,11.089,11.148,,11.468,8.019,8.6,9.875,,11.086,,11.514,11.609,,7.2,7.663,9.436,,10.946,,,11.499,11.707,7.586,8.228,9.199,10.382,10.836,11.144,10.294,-11.708,,-24.093,385.28,,0.0,0.0,0.0,0.0,,,,,,,US-xML,-80.5248,37.3783,1126.0,VA,EST,DBF,Dfb,8.8,1227.82,2020-11-16 11:00:00,11:00:00,321,0.1212136920498332,-0.168966556676851,0.9883879895963636,-0.2616666666666666,916.2830511008966,0.631606138850508,102.25548337600364,0.7264974106396009,,,708.7825957462187,0.1,,0.6548111374913439,1.527157897513952,,,,,,2020-11-16 11:00:00-05:00,US-xML,0.6548120654087212,916.284349543939,88.13925837382936,1177.0000000000034,0.7671415203406626,0.6856410524598947,1.5072377390303462,0.2501211665703421,-0.2141448376133448,1.2930929014170014,0.0586395882242211,0.0669799006413812,2.3594431016463497,165.78276446319944,56.45539969294858,264.4644287997148,14.757450180437502,11.531396436062472,8.090272442062473,40.519793653374975,130.1753036706374,-155.55470589634035,53.35487890778123,34.881880681062505,10
4,4,4,-80.52049049205331,37.37440739579269,2021-10-18 06:00:00,99.26,147.47199459075927,2021-10-18,US-xML,4,38.588466915841096,33.08905217197489,24.819908548417253,21.28271254344864,-15.703954545454549,68.47125,US-xML,115,1,1,LC08_017034_20211018,-80.5248473211813,37.3782252357502,2021-10-18 15:59:38.352000000,0.0130424999999999,0.0183224999999999,0.04255,0.05146,0.252595,0.1614875,0.0784375,284.353592,21824.0,0.1108642825,0.6615086086398843,0.3531320310161357,0.3752261972128772,284.353592,0.690404661990927,0.9569040466199092,0.97227833538457,-80.52481348839743,37.37824888885712,-0.6615086197853088,0.6615086197853088,1,1,-0.7116671466567281,-284.353592,284.353592,292.11129219237824,-292.11129219237824,292.11129219237824,0.7619867463987475,0.602581252542939,9.535549059275096,354.7205301534379,677.5314465980445,0.7619867463987475,1.5003103754227554,0.602581252542939,285.7187521510029,521.1023088748128,37.08589604533184,0.0247178710749797,0.4223788413294451,231.1026501441855,12.766057962213852,2.406336996766001,17.298840204308398,0.0247178710749797,0.4223788413294451,0.5303718818051842,0.3773568868637085,-107.82386779785156,0.3706854244309324,1.7820601363911055,252.9137626852955,0.5225313769977404,1,-80.5248473211813,37.3782252357502,96.95399137811164,13.025900419632649,40.16377293752598,2.515294265866716,199.1690058070625,37.28734946576463,-81.41380711303039,0.8988754153251648,521864,285.73447208,783831,37.21480554801937,-79.98959041242938,0.2083592116832733,423.384376050571,54.39490925138878,296.60035766,2021-10-18 15:59:38.352000+00:00,2021-10-18 16:00:00+00:00,84072.0,202110181200.0,202110181230.0,415.456100578212,6.25091922082178,416.052961813454,6.13090660252495,416.867318128125,,415.992389128441,6.28700075281326,416.796229666667,,415.964084445776,6.26786032267485,,,415.985878270682,6.26908168921423,,,416.603757102844,6.46048536241036,417.611892838235,,416.734025888815,6.54700691401423,417.7508155625,,4.5536521601454,11.9051199114937,296.416221669817,10.2299368247329,0.560218067403872,-1.55966852024331,,,77.7207414676556,,0.868845634933909,229.191084689075,7.17614571966642,340.0,140.0,1.89076774146719,,,,0.85,0.6,,,,2.82,2.44,282.4,299.71,293.34,,,10.4649,9.894,10.0027,10.2385,10.4681,10.7432,11.6142,88.67572,49.26,6.4527,14.26,14.3,12.94,12.56,11.79,64.6,707.65,682.0,95.5,262.6,375.6,352.4,372.1,1469.81,1921.57,1420.68,1138.92,311.37,118.92,76.99,38.98,49.03,230.24,,,,,,,,,,,,,,,,,,15.9,,,,,30.26,,7.92,,8.82,,,22.38,6.0,,16.59,18.33,10.88,,11.189,11.032,11.443,11.978,,13.341,13.64,13.02,,9.669,9.619,11.114,,14.839,,,,13.182,10.521,10.597,11.685,12.628,12.745,,13.243,13.265,,11.633,11.365,12.15,12.942,,,,13.635,,10.912,11.09,11.327,12.449,12.873,13.12,12.352,4.953,,-0.301,499.15,0.0,0.0,0.0,0.0,0.0,,,,,,,US-xML,-80.5248,37.3783,1126.0,VA,EST,DBF,Dfb,8.8,1227.82,2021-10-18 12:00:00,12:00:00,291,0.1349537200593513,-0.0925577393954023,0.996028791182174,0.0,1013.2662886173908,0.6983850227225002,102.25548337600364,1.2667455376187675,0.6239988518310049,7.674195840044057,783.8029469649789,0.1,0.0220008487206519,0.735358071903831,1.359881720494364,-0.1244554175685175,-0.0687456210482721,0.8041726202891845,0.7041726202891845,0.7725427792822448,2021-10-18 12:00:00-04:00,US-xML,0.7353589557459457,1013.2675064831536,88.13925837382936,1177.0000000000034,0.8644155386523664,0.8169609771806948,1.8781171699697792,0.2313234498622559,-0.258573117996334,1.6195440519734452,0.0586395882242211,0.0981163746176899,1.8409088786655008,249.394450827854,100.660700351632,286.8649071161665,14.63283584432,12.0992453396,5.210068689419972,71.82629557124,188.1023490056733,-202.36510946023145,45.9195506881,22.3039848725,10
