,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw.1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Date,Rn_daily_volk_measured,LE_closed,gridMET_ETo,Lat,Long,Elev_volk,Energy_balance,Land_cover_deets,Land_cover_volk,State,Name,Veg,LE_Daily_model,Landcover_wc,Elev_SRTM,Slope_SRTM,Canopy_height,clay_percent,silt_percent,sand_percent,Ksat,doy,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST
0,0,0,0,LC08_041026_20150127,-114.1548071181786,48.18738355497517,2015-01-27 18:24:18.480999936,,,,,,,,,,,,,,,,,,-114.15484045642792,48.187463992006286,,,1,1,,,,,,,0.6756034289435062,0.5129571253605376,8.641774215606034,,329.5935923020757,0.6756034289435062,0.7230722921116098,0.5129571253605376,240.19447639220985,,,,,,,,,,,,0.3303618431091308,-89.64529418945312,,,,,0,-114.1548071181786,48.18738355497517,,2.341459870725095,70.94133338487269,0.3266425387447913,76.44881612727961,49.27204438563625,-114.56341507356856,0.9585467576980592,12696,271.35486194,16708,49.37849756718086,-114.04071855783012,0.3839316964149475,208.09201340409493,12.975300036242416,278.44725344,2015-01-27,,,0.8,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,27,,,,,,,,
1,1,1,0,LC08_042026_20150219,-114.1548071181786,48.18738355497517,2015-02-19 18:30:20.845999872,,,,,,,,,,,,,,,,,,-114.15492831557316,48.18745661107491,,,1,1,,,,,,,0.7149150672475287,0.5611248725615996,9.256060500141537,,455.9350445827274,0.7149150672475287,0.8141011976034822,0.5611248725615996,221.4532037880368,,,,,,,,,,,,0.1765711158514022,-47.114967346191406,,,,,0,-114.1548071181786,48.18738355497517,,4.014669950858997,68.92569059146652,1.257757766785028,103.08712614639266,49.43909872818339,-114.72879277146647,0.8347967267036438,54727,266.83282148,72640,49.512488205250776,-113.71690713533285,0.2062260061502456,264.4649756088483,19.054306321621272,280.93899002,2015-02-19,,,1.2,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,50,,,,,,,,
2,2,2,0,LC08_042026_20150307,-114.1548071181786,48.18738355497517,2015-03-07 18:30:13.493999872,,,,,,,,,,,,,,,,,,-114.15492831557316,48.18745661107491,,,1,1,,,,,,,0.7401635274064327,0.548573512059445,9.095992216761983,,560.8516992271797,0.7401635274064327,0.9908334371149734,0.548573512059445,252.2449424367346,,,,,,,,,,,,0.2911855578422546,-80.46573638916016,,,,,0,-114.1548071181786,48.18738355497517,,6.8389566061334985,55.36485664601064,0.2865121056271794,153.8246620185892,49.16342127089403,-114.72250180985483,0.8998822569847107,222504,276.3383351,287261,49.502853097867664,-114.13613548724427,0.1432122141122818,297.24017309395794,37.78287653188728,286.68126362,2015-03-07,,,2.1000001,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,66,,,,,,,,
3,3,3,0,LC08_041026_20150401,-114.1548071181786,48.18738355497517,2015-04-01 18:23:45.193000192,,,,,,,,,,,,,,,,,,-114.15484045642792,48.187463992006286,,,1,1,,,,,,,0.7727955142399876,0.4499900954960758,7.838751756153675,,721.3481146023138,0.7727955142399876,0.899446855664681,0.4499900954960758,237.54145008506177,,,,,,,,,,,,0.1185554042458534,-32.38575744628906,,,,,0,-114.1548071181786,48.18738355497517,,5.439650747722818,50.02964796219542,2.3191877719377456,221.5998185516773,47.83862801189738,-112.75752792028663,0.8766326904296875,200495,273.16983056,245981,48.54485286605637,-112.39447099975244,0.160144031047821,435.4262791331411,56.24943461320427,289.3780814,2015-04-01,,,2.1000001,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,91,,,,,,,,
4,4,4,2,LC08_041027_20150401,-114.1548071181786,48.18738355497517,2015-04-01 18:24:09.072000000,,,,,,,,,,,,,,,,,,-114.15492831557316,48.18745661107491,,,1,1,,,,,,,0.7751999172463608,0.4498653343005457,7.837160668845055,,738.7800092656224,0.7751999172463608,0.8997608954856842,0.4498653343005457,232.14667041008613,,,,,,,,,,,,0.1940285265445709,-52.71358871459961,,,,,2,-114.1548071181786,48.18738355497517,,5.444669939125358,49.998320282380334,2.319950152432621,221.5998185516773,46.96975000571895,-115.55918264214009,0.7982068657875061,57325,271.67957384,75995,46.77792095678676,-113.14103235286952,0.2953263521194458,484.819661763214,70.80809624703046,290.72136326,2015-04-01,,,2.1000001,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,91,,,,,,,,
5,5,5,4,LC08_042026_20150408,-114.1548071181786,48.18738355497517,2015-04-08 18:29:54.538000128,0.05784,0.0684274999999999,0.0905374999999999,0.1196324999999999,0.2014175,0.36089,0.3112525,298.29569558000003,21824.0,0.1585161175,0.2547422519856722,0.1454207618209379,0.1494153827416114,298.29569558000003,0.0961223718727526,0.9509612237187276,0.97031720382718,-114.15492831557316,48.18745661107491,-0.2547422647476196,0.2547422647476196,1,1,-0.3797845558390849,-298.29569558000003,298.29569558000003,304.3904210324117,-304.3904210324117,304.3904210324117,0.7749077211873157,0.5142044493998454,8.657681416881607,426.9075283884619,755.8263152293359,0.7749077211873157,1.2443948637836284,0.5142044493998454,248.46826828961724,445.3918223143561,68.91015640777572,0.0069481103463104,0.0881617095498923,558.4633974423435,14.413685940272911,6.767298561483059,82.8779763816175,0.0069481103463104,0.0881617095498923,0.1746597299942595,0.2411229610443115,-66.62821960449219,-0.2699089768002387,-2.1680897279824256,-181.9817315357632,-0.4833747510587139,4,-114.1548071181786,48.18738355497517,126.00637356562692,10.198531158781517,41.32164671882266,0.5990504050396052,238.6181170333176,49.60181370075674,-116.0760724252865,0.8050717711448669,311574,276.32466302,401920,49.46829890959241,-113.76749244185542,0.2900927662849426,442.1581419530482,69.82729729335553,296.1628511,2015-04-08,,,2.8,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,-61.48702468558159,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,98,35.68585980147432,27.006946538574223,20.411628709300423,60.08197326448465,75.98851724968173,-113.2880982545612,107.6519335778662,92.84528098851396
6,6,6,1,LC08_041026_20150417,-114.1548071181786,48.18738355497517,2015-04-17 18:23:44.190000128,0.0685925,0.0761824999999999,0.095185,0.12362,0.212115,0.3863825,0.3312175,303.95251868,21824.0,0.1687858274999999,0.2635858638509538,0.1600310314989605,0.1588332425948416,303.95251868,0.1154357372327857,0.9511543573723278,0.9703809379328682,-114.15484045642792,48.187463992006286,-0.2635858654975891,0.2635858654975891,1,1,-0.380507647250244,-303.95251868,303.95251868,310.0062940622005,-310.0062940622005,310.0062940622005,0.771190343442009,0.7233404936367013,11.324806433969355,460.31703443810426,788.9247677736544,0.771190343442009,1.628733662655308,0.7233404936367013,264.18915831825353,446.73308267656313,82.73839858840259,0.0073257687804993,0.128936631579453,280.19367596288816,18.87512441906193,4.58507481344099,56.66864406440233,0.0073257687804993,0.128936631579453,0.2123285001043113,0.1552750021219253,-43.55115509033203,0.1249734227694271,1.288342922233627,83.80100812527235,0.2302259120492416,1,-114.1548071181786,48.18738355497517,156.349901104189,14.288052997477692,44.41122021493966,0.8715958476637885,291.6506643340448,49.37115934948474,-114.44616334209287,0.9305482506752014,468700,280.47755732,653442,49.40410938470972,-113.29371666226646,0.196684718132019,392.6091950214778,90.4067273008295,309.87594734,2015-04-17,,,4.0,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,36.537405274545655,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,107,37.5746103592216,28.931720490555804,23.155862754339072,64.4728884998082,80.11758720594098,-115.65625775871266,117.44193404887513,100.6743933558929
7,7,7,3,LC08_041027_20150417,-114.1548071181786,48.18738355497517,2015-04-17 18:24:08.068999936,0.0588575,0.0709299999999999,0.0940849999999999,0.125325,0.2148375,0.3900125,0.3361949999999999,303.93884660000003,21824.0,0.1684319575,0.2631462903759232,0.155965500718735,0.1598128338267894,303.93884660000003,0.1174642296386011,0.951174642296386,0.9703876319578072,-114.15492831557316,48.18745661107491,-0.2631462812423706,0.2631462812423706,1,1,-0.3908828265989044,-303.93884660000003,303.93884660000003,309.74748015996994,-309.74748015996994,309.74748015996994,0.7730291087893478,0.7233900105162079,11.325437925822335,460.24403324215865,804.0206443145888,0.7730291087893478,1.6293425067371268,0.7233900105162079,269.324806406353,464.52876647521896,85.38853479857232,0.0073662105753366,0.1291874369564816,363.3078743992889,17.36531405180443,5.445206331732834,56.55862716976375,0.0073662105753366,0.1291874369564816,0.2179852191189664,0.1954609602689743,-55.09833526611328,0.0236050042190386,0.2344339454828502,15.832357277357744,0.041758578896635,3,-114.1548071181786,48.18738355497517,156.8935333557175,14.29382564145521,44.39766393653152,0.8728205921077296,291.6506643340448,47.763235306587056,-112.8055389095105,0.793973982334137,448066,281.88919958,603438,47.114171155020856,-113.307391065982,0.2986774444580078,451.3010796305073,97.5398895149096,306.7587131,2015-04-17,,,4.0,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,6.648546693893632,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,107,38.091135950145,28.596086382360973,21.55838238933797,65.2974619564275,79.98037998392678,-118.8044754722188,118.5399494095825,102.182720532687
8,8,8,0,LC08_041026_20150503,-114.1548071181786,48.18738355497517,2015-05-03 18:23:32.210000128,0.0725525,0.0806374999999999,0.10052,0.128075,0.22064,0.4028825,0.34967,311.7319322,21824.0,0.1763302875,0.2654459945801012,0.167168270806639,0.1635973206553437,311.7319322,0.1253363373199505,0.9512533633731994,0.9704136099131558,-114.15484045642792,48.187463992006286,-0.2654460072517395,0.2654460072517395,1,1,-0.3740191804707934,-311.7319322,311.7319322,317.81826101257144,-317.81826101257144,317.81826101257144,0.7836065357814079,0.6163582356489621,9.960455024795335,509.3360664036671,853.2955780951411,0.7836065357814079,1.5925763941532598,0.6163582356489621,272.19737303355873,452.4263236830012,102.66234105466752,0.0075245591264028,0.011179745449144,1098.010033518349,6.995587229892678,6.811636440588323,653.562651768462,0.0075245591264028,0.011179745449144,0.0642249365720997,0.1955383569002151,-55.33402633666992,-1.1244595235448107,-14.26576749673124,-748.2460508900153,-2.1392884575114093,0,-114.1548071181786,48.18738355497517,184.890739003544,13.94179234551886,38.7019572757555,0.0753756213642762,324.5424724187104,49.38881289280928,-114.39695275692075,0.7759470343589783,417540,282.98296598,606503,49.68651481654936,-113.3419234477054,0.2034070342779159,458.0003166021954,101.93775102834876,308.93257382,2015-05-03,,,4.2000003,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,-404.5771662072979,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,123,39.92506721651501,31.335293824744003,25.137283682777472,68.780533520608,82.74799278520568,-116.59372180802094,125.5913401745665,109.003304732374
9,9,9,2,LC08_041027_20150503,-114.1548071181786,48.18738355497517,2015-05-03 18:23:56.088000000,0.0626525,0.07456,0.0986225,0.12868,0.222345,0.404395,0.3534925,311.69775200000004,21824.0,0.1749849325,0.266832846663343,0.1631538608928913,0.1650920948268264,311.69775200000004,0.1284612180368887,0.9512846121803687,0.9704239220195215,-114.15492831557316,48.18745661107491,-0.2668328583240509,0.2668328583240509,1,1,-0.3854673759804342,-311.69775200000004,311.69775200000004,317.55634523641294,-317.55634523641294,317.55634523641294,0.785038329722021,0.6162292009814205,9.958809437631594,509.1294406513479,866.4009033770525,0.785038329722021,1.5932073801319866,0.6162292009814205,289.0780327422097,480.65984339736906,108.20681033105856,0.0075880364212439,0.0111821658897791,803.6690669554204,8.70034064331046,6.20926879977084,653.4211845772695,0.0075880364212439,0.0111821658897791,0.0576436709657994,0.2053607255220413,-59.00433349609375,-0.6478615420036682,-7.749807920009908,-431.2160338891098,-1.157772915255968,2,-114.1548071181786,48.18738355497517,185.63891088531523,13.94789386006828,38.67853040765917,0.0753297744735673,324.5424724187104,47.238128338876926,-115.1650537965714,0.7565224766731262,515155,287.32043336000004,654884,47.67843777079936,-114.09479361920135,0.2543013989925384,502.1569863273409,108.20658560092416,309.85543922,2015-05-03,,,4.2000003,48.18728,-114.1548,900.0,0.773607065102839,Pivot-irrigated spring wheat,Annual crops,MT,US-MC1,CRO,-219.784552611481,40,901,0.9274099368611016,0,13.77370548248291,22.14097595214844,62.874271392822266,0.3781291842460632,123,40.10926672736,30.740411546620003,23.240184389120003,69.30443666844,83.17119846472472,-120.14931456244014,126.04901242004,110.18281759886
