,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WS_MAX_1_5_1,WS_MAX_1_6_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,WD_1_5_1,WD_1_6_1,Air temp,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,Relative humidity,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,SWC_1_7_1,SWC_1_8_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_4_7_1,SWC_4_8_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,SWC_5_7_1,SWC_5_8_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_inst_af,G_2_1_1,G_3_1_1,Rn_inst_af,P,THROUGHFALL_1_1_1,THROUGHFALL_2_1_1,THROUGHFALL_3_1_1,THROUGHFALL_4_1_1,THROUGHFALL_5_1_1,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,CH4_MIXING_RATIO_1_5_1,CH4_MIXING_RATIO_1_6_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-81.99372755800933,29.68482856372959,2019-09-27 06:00:00,153.14400270462036,195.68400270462035,2019-09-27,US-xSB,0,55.59183985676701,57.32982402356923,57.15579914156604,58.94267783104474,4.172694444444444,119.70083333333334,US-xSB,247,3,3,LC08_017039_20190927,-81.99332331613148,29.68927522438598,2019-09-27 16:01:32.416000000,0.0175799999999999,0.0246474999999999,0.0501125,0.0477475,0.2180825,0.1556575,0.085505,309.93063566,21824.0,0.1025639025,0.6407666553812588,0.322674751768616,0.3336282203622214,309.93063566,0.5540088199454171,0.955540088199454,0.97182822910582,-81.99339231672886,29.689202701622715,-0.6407666802406311,0.6407666802406311,1,1,-0.626298029418893,-309.93063566,309.93063566,310.5470708321123,-310.5470708321123,310.5470708321123,0.7167850014332043,2.549354842941487,38.01931630259028,499.9078986915836,779.1001516498052,0.7167850014332043,4.467696917271161,2.549354842941487,359.97556190150533,543.2557811356883,77.3193680969936,0.0195650708597736,0.079084440342439,139.0649230199857,23.805457376694665,2.895925814170866,92.39066559996928,0.0195650708597736,0.079084440342439,0.148739899346055,0.3146889805793762,-94.82981872558594,0.4877252347533411,3.1014238934160927,326.871490018709,0.7015366922858705,3,-81.99332331613148,29.68927522438598,123.45290452844274,30.90242909212772,57.06194690795219,0.4831884133622574,162.51676541592423,30.435122214229715,-82.11520571120913,0.8881214261054993,292140,301.34456942,550530,30.7425654968645,-82.71599995479235,0.4320482313632965,454.8789396159854,95.43508385470604,319.78820534,2019-09-27 16:01:32.416000+00:00,2019-09-27 16:00:00+00:00,47976.0,201909271200.0,201909271230.0,413.280513947554,28.9047924860782,411.379818581141,23.9530851208283,410.324708768987,,411.172387077505,24.2534850550138,406.856874375,,411.121594378651,24.2546563240491,,,411.212791752191,24.2137482210142,,,411.300057642918,24.2055555976869,407.659234204013,,410.2376469684,25.3230734143023,409.003447701587,,1.54226917535707,4.5180627213464,97.4744762716529,33.1248527224343,0.398167170967413,-3.98941467789484,,,124.794724559475,,,143.041348536019,-6.32832236222916,320.0,140.0,1.43685209750083,1.36,0.74,0.66,0.74,0.21,3.71,2.63,2.51,2.15,0.94,108.31,116.33,112.96,119.38,118.61,30.2738,30.834,30.4425,30.7537,30.8728,31.1785,31.9088,101.00058,54.75,19.5897,35.61,38.59,37.51,33.09,36.61,208.7,368.84,353.0,355.22,40.01,433.9,505.4,467.1,533.5,763.65,760.58,150.12,268.32,351.01,275.97,41.71,274.45,309.41,342.04,,,,,,37.81,,,,,,19.01,20.36,,,,8.44,,9.69,,20.75,,,,9.1,9.15,,23.5,13.97,12.3,,,8.43,,,,,17.28,32.75,20.52,35.583,33.489,30.976,29.66,28.839,28.432,28.217,27.83,27.066,33.753,32.393,30.536,29.602,28.886,28.523,28.203,27.584,27.391,34.722,32.975,30.668,29.879,28.92,28.389,28.322,27.834,27.463,33.372,32.214,30.371,29.746,29.13,28.794,28.551,27.806,27.558,32.393,31.461,29.802,29.16,28.398,28.333,28.143,27.85,27.544,31.096,58.186,26.846,257.33,0.0,,,,,,,,,,,,US-xSB,-81.9934,29.6893,45.0,FL,EST,ENF,Cfa,20.9,1302.09,2019-09-27 12:00:00,12:00:00,270,0.1084752196074178,-0.023216604146316,1.0021285119587149,0.0,1166.7208198731676,0.3161338974306604,102.27297687034785,4.310157227421164,2.359811082013087,81.8339731356079,876.3475698418857,0.1,0.0777702115589326,0.8571271866939963,1.1666879962786791,-0.1256098433792699,-0.0701287012466615,0.8126716241846693,0.7126716241846693,0.6810287877465622,2019-09-27 12:00:00-04:00,US-xSB,0.8571274093205868,1166.7211229122988,100.6397935261422,55.9999999999963,0.8890309946205176,0.8501918427376988,2.15966562037326,0.1164662107831276,-0.1726398128826601,1.9870258074906,0.0669562707949435,0.2545248813792022,0.3584950808083078,395.02748282223,126.7213308650115,386.4512715825448,14.798413026175847,15.53139897951175,7.639015342429818,67.59044785132195,198.59321681204568,-194.1089463704029,48.243027920246455,26.5006190021083,10
1,1,1,-81.99372755800933,29.68482856372959,2019-10-13 06:00:00,107.76799864768982,130.45599729537963,2019-10-13,US-xSB,1,63.91911515144466,66.72374238665006,50.0745237061755,52.27168135836656,1.0109459459459458,112.074375,US-xSB,252,4,4,LC08_017039_20191013,-81.99332331613148,29.68927522438598,2019-10-13 16:01:35.334000128,0.0201925,0.0260775,0.0516249999999999,0.0497275,0.237525,0.1732575,0.09227,306.07169108,21824.0,0.1112889374999999,0.6537715076457122,0.3502877601895832,0.3578219821467699,306.07169108,0.6312653992671916,0.9563126539926718,0.9720831758175816,-81.99339231672886,29.689202701622715,-0.6537715196609497,0.6537715196609497,1,1,-0.6429189002247969,-306.07169108,306.07169108,306.50824201686106,-306.50824201686106,306.50824201686106,0.7170548097573026,2.112978780634647,31.87096474914669,475.856070050401,732.0476597389383,0.7170548097573026,3.689613138982864,2.112978780634647,356.7488018247657,515.8861769185768,65.32175694787593,0.0224146512486153,0.1183565004991177,80.30064615339734,27.09293842123749,1.8801669428260368,61.73437074454114,0.0224146512486153,0.1183565004991177,0.186554664583859,0.3222993612289428,-96.90724182128906,0.550295978334474,2.717716032840328,370.2637738173035,0.8217776579903511,4,-81.99332331613148,29.68927522438598,92.71572300720992,27.58530125587582,57.26830160890915,0.7124820874790913,176.24400924112695,29.72426308635049,-82.42330879655654,0.881369948387146,225055,300.6746375,355141,30.37077605837215,-81.66678320772347,0.2062848508358001,425.8863217016843,90.2784776079492,317.08796954,2019-10-13 16:01:35.334000128+00:00,2019-10-13 16:00:00+00:00,48744.0,201910131200.0,201910131230.0,415.101099982669,23.6340970530897,415.07561709672,19.3841624348524,412.582627255172,,414.32552624938,19.7753014773395,410.632514647619,,414.488195882288,19.720246000937,410.511336882911,,415.165562906313,19.6106781148628,411.691982449704,,415.411888629085,19.6423439244292,,,415.720775253348,19.8459972683032,,,1.09732043501543,2.86459640570919,135.946606257804,28.6035637996326,0.392878872811837,-6.60653036058763,-0.450375148934165,-7.0569055095218,149.382654056511,-2.68551355255595,0.3974193505005,158.647900254702,17.789792081231,380.0,160.0,0.743449833972562,1.0,0.66,0.63,0.68,0.26,3.01,1.63,1.86,1.75,1.07,124.29,149.96,161.32,164.65,187.77,26.5134,27.826,26.8137,27.1379,27.2404,27.4895,28.6645,101.17714,54.11,15.9689,32.31,35.7,35.16,30.34,38.06,260.8,470.84,467.0,455.82,50.98,412.8,482.8,444.9,529.7,961.17,968.45,171.19,262.48,356.97,356.61,49.33,237.85,431.29,431.31,12.47,,,25.86,30.7,34.13,,,,,,,,15.0,,,,,8.84,17.14,,,,,,,11.97,18.76,12.36,,,,9.98,10.22,,,12.73,,,,30.239,28.891,27.281,26.427,26.695,26.827,27.018,27.356,26.833,29.888,28.824,27.206,26.427,26.734,26.899,26.963,26.994,27.025,31.484,29.842,27.776,27.104,27.097,27.079,27.388,27.511,27.32,29.49,28.704,26.997,26.449,26.892,27.134,27.282,27.259,27.249,29.112,28.564,26.759,25.951,25.851,26.403,26.675,27.187,27.119,32.171,76.97,33.2,349.86,0.0,,,,,,,,,,,,US-xSB,-81.9934,29.6893,45.0,FL,EST,ENF,Cfa,20.9,1302.09,2019-10-13 12:00:00,12:00:00,286,0.1082745731033896,-0.0768142459478439,0.9974637268993128,0.0,1138.053186999233,0.4137240731617206,102.27297687034785,3.4648153106812063,1.8748115646096009,52.42736359141407,854.8147597225147,0.1,0.0625618277968481,0.8283011560804282,1.2072903588980382,-0.1252950298353947,-0.0697515333293618,0.810985273447825,0.710985273447825,0.7030371255165925,2019-10-13 12:00:00-04:00,US-xSB,0.8283013982329428,1138.053519707257,100.6397935261422,55.9999999999963,0.8563816328774804,0.8061152043845986,2.0292361127963368,0.1364947565775292,-0.1836034713907371,1.8456326414056,0.0669562707949435,0.2154949351044007,0.5245184641596318,353.41589312748226,112.90546535109628,381.4568495817721,15.2201800181807,15.800951052004969,7.9815845241387,72.69967842377699,200.1009509250443,-196.77927501909735,53.0292160172931,28.2412349359516,10
2,2,2,-81.99372755800933,29.68482856372959,2021-03-08 06:00:00,110.60400270462036,155.98,2021-03-08,US-xSB,2,57.44618397992866,53.63339845775376,83.68585722664149,78.13150700285608,-5.083191489361702,134.14208333333335,US-xSB,309,2,2,LC08_017039_20210308,-81.99332331613148,29.68927522438598,2021-03-08 16:01:07.137000192,0.0280574999999999,0.0343825,0.05608,0.0656499999999999,0.2125825,0.18797,0.1048925,295.55786156,21824.0,0.11187983,0.5280925125569443,0.2723769129596967,0.2832042480878144,295.55786156,0.4085838631578329,0.9540858386315784,0.9713483267484208,-81.99339231672886,29.689202701622715,-0.5280925035476685,0.5280925035476685,1,1,-0.5825245428744241,-295.55786156,295.55786156,296.50420524851285,-296.50420524851285,296.50420524851285,0.7573294562579764,0.744766945707202,12.593446829749574,412.8008389585005,777.4864601035711,0.7573294562579764,1.7767900998626238,0.744766945707202,299.44521804387074,563.3970101429836,56.25140749795461,0.014737026747746,0.4934232764276695,158.64264996429128,12.043045371380714,1.5894930810183894,14.80810580063926,0.014737026747746,0.4934232764276695,0.5814538239668873,0.2107208371162414,-60.89012145996094,0.5129526054649117,3.6620300856708528,348.50295268073774,0.6871852005875886,2,-81.99332331613148,29.68927522438598,150.85721654363215,15.63907707421623,41.91642815686474,3.10724219738195,212.6319235319644,30.662268995196584,-81.56512623228272,0.8668799996376038,398271,288.96108296,790000,29.794608362539964,-82.84265195878125,0.2067194581031799,400.55721133823147,73.84230216755164,305.40859520000004,2021-03-08 16:01:07.137000192+00:00,2021-03-08 16:00:00+00:00,73318.0,202103081100.0,202103081130.0,419.853311650213,5.93308979093682,427.831764901639,6.5656327804956,421.249175830671,5.90490991460559,,,,,427.835270013265,6.44890597194993,420.865246373802,6.41450685119128,,,,,428.172623787721,6.60673063122543,420.983358535256,6.2343507264916,,,,,5.09355909581236,12.2464267863671,44.9431629434989,15.8029422233624,0.545057994979323,-7.21427809200817,,,124.850707739448,,0.937456639831348,326.122735973801,,420.0,180.0,1.69012644180717,4.35,2.67,1.72,1.78,1.17,10.93,9.69,8.96,5.51,3.95,42.26,39.6,36.85,36.65,,15.5137,15.527,,16.0504,16.3779,16.1993,19.1019,102.78676,35.61,11.3982,24.9,27.11,34.7,35.32,34.46,76.1,870.26,833.5,838.32,104.47,285.8,425.1,336.0,498.4,1598.85,1683.63,346.31,453.81,1607.14,1522.95,,916.42,855.75,437.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.104,15.285,15.321,15.63,17.47,18.024,18.622,19.793,19.773,18.431,17.109,15.812,15.846,17.476,18.186,18.642,19.505,19.957,19.921,18.002,16.311,16.311,17.518,18.046,18.761,19.755,20.011,16.198,15.565,14.963,15.398,17.332,18.067,18.567,19.324,19.771,17.719,16.642,14.957,14.907,16.274,17.297,17.866,19.074,19.428,3.605,41.366,35.299,626.49,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,US-xSB,-81.9934,29.6893,45.0,FL,EST,ENF,Cfa,20.9,1302.09,2021-03-08 11:00:00,11:00:00,67,0.1200445843770827,-0.0471252246386755,0.99220022580978,-0.2616666666666666,1131.7249088339747,0.7689677882027319,102.27297687034785,1.7625706051156786,0.6276513924816931,7.740608093314773,850.0614473025082,0.1,0.0217425900759817,0.8150251364463277,1.2269560229273415,-0.1244500716145728,-0.0687392162338843,0.8115655921734684,0.7115655921734684,0.7840648693115082,2021-03-08 11:00:00-05:00,US-xSB,0.8150253605900328,1131.7252200746996,100.6397935261422,55.9999999999963,0.9146238340425406,0.8847421759574298,2.155192467407099,0.2191801666287312,-0.2751510675331393,1.88004139987396,0.0669562707949435,0.1138088986516451,2.3402282603995777,288.7779605478293,133.47909739283682,305.5757352494018,19.40337361141397,16.5748848762848,10.1620181750867,62.8304291050787,156.0818937171779,-172.16970819818133,55.5560112374332,31.0018029936823,10
3,3,3,-81.99372755800933,29.68482856372959,2022-04-12 06:00:00,161.65199459075927,209.8640027046204,2022-04-12,US-xSB,3,61.55325241551864,57.68637275782505,69.98189060558096,65.58550960912474,16.599,165.37791666666666,US-xSB,355,2,2,LC08_017039_20220412,-81.99332331613148,29.68927522438598,2022-04-12 16:01:01.815000064,0.0252249999999999,0.0319349999999999,0.058335,0.0617174999999999,0.2282025,0.1920675,0.1071199999999999,306.60832022,21824.0,0.1157700625,0.5742446192052981,0.3062649237120078,0.3161427739517927,306.60832022,0.5013720449494061,0.955013720449494,0.971654527748333,-81.99339231672886,29.689202701622715,-0.5742446184158325,0.5742446184158325,1,1,-0.5928281638528987,-306.60832022,306.60832022,307.51689174004696,-307.51689174004696,307.51689174004696,0.7462215396811109,1.6490002129337609,25.33370573359056,478.5512040274592,878.9189835744505,0.7462215396811109,3.108566010681024,1.6490002129337609,344.6435340972764,627.7545776132428,89.75761707159857,0.0177338930223333,0.2624551526098967,148.61281729937582,17.911800941697813,2.3058364274104406,27.839667117144955,0.0177338930223333,0.2624551526098967,0.3516900625666279,0.269110769033432,-80.45027160644531,0.5792827063206842,4.866944013501234,389.3841432422684,0.7237664369892434,2,-81.99332331613148,29.68927522438598,188.3364444956416,24.68360757750309,53.04697430480166,1.6206108413198872,300.7194311319641,29.652973417958204,-82.80845599581966,0.8839013576507568,427798,298.9485374,751518,30.501676016872885,-83.17025950416433,0.1869519352912902,450.01706215662114,110.08352794395849,315.84381026,2022-04-12 16:01:01.815000064+00:00,2022-04-12 16:00:00+00:00,92520.0,202204121200.0,202204121230.0,422.660465984947,16.0946745918961,421.746283757745,15.6043311929422,421.189267957895,15.6639372340138,421.227200414421,15.4000907393736,,,421.585548171035,15.4188431119698,,,421.67136352372,15.4730073520772,421.158577284483,16.4813073410551,422.205977102459,15.3993857753708,420.729543891803,16.4874877732415,421.781509654712,15.7163275277493,420.588406566775,16.11014852009,2.8112937115215,7.63922819984585,193.737049942853,25.7228023434163,0.652798893374566,-8.14788038142225,,,186.193203100095,,0.666562597165672,359.428450820805,,400.0,180.0,1.27489056464409,,1.09,1.23,1.16,0.47,,3.62,4.12,3.6,1.95,,189.8,196.76,204.88,230.34,25.208,26.023,,26.1119,26.311,26.8973,27.6714,101.64427,49.08,16.4018,,,33.76,31.46,30.13,100.1,999.23,976.1,975.18,116.44,359.5,495.3,415.3,501.7,1978.37,1933.33,,,617.36,436.13,106.56,468.51,765.73,1693.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.332,21.726,21.33,30.556,28.097,24.751,23.035,22.003,21.826,21.652,21.542,21.578,26.049,24.193,22.087,21.425,20.973,20.88,21.188,21.583,21.529,29.524,27.842,24.414,22.788,21.78,21.676,21.638,21.476,21.521,27.706,26.583,23.946,22.579,21.32,21.357,21.303,21.44,21.336,60.746,,,746.99,0.0,0.0,0.0,0.0,0.0,0.0,1997.39394636364,,,2001.099969,1997.36364545455,1995.34545072727,US-xSB,-81.9934,29.6893,45.0,FL,EST,ENF,Cfa,20.9,1302.09,2022-04-12 12:00:00,12:00:00,102,0.1165297278904756,0.0722750532170526,1.0021285119587149,0.0,1228.2586436599329,0.8135338637003365,102.27297687034785,3.207237826709467,1.5741123253490066,37.57810149522221,922.56982289464,0.1,0.0527574111616864,0.9023357240571636,1.108234965477937,-0.1250920784110469,-0.0695083837968098,0.816993859772647,0.7169938597726471,0.7307435755896465,2022-04-12 12:00:00-04:00,US-xSB,0.9023359103485702,1228.2588972396422,100.63979352614224,55.9999999999963,0.952685598166184,0.9361255575243485,2.436363422468377,0.1602212354767624,-0.2407571280361591,2.195606294432217,0.0669562707949436,0.1856024957541721,1.208877761780808,399.32978815115,157.62591543333969,369.4989696899591,18.923099003177818,17.885996360033698,9.791536706225669,69.96878519500456,176.06817808991002,-181.7660474980442,58.88949354385485,32.84388326196637,10
