,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,Air temp,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,Relative humidity,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,SWC_1_7_1,SWC_1_8_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_4_7_1,SWC_4_8_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,SWC_5_7_1,SWC_5_8_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_inst_af,G_2_1_1,G_3_1_1,Rn_inst_af,P,THROUGHFALL_1_1_1,THROUGHFALL_2_1_1,THROUGHFALL_4_1_1,THROUGHFALL_5_1_1,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-103.03227151208851,40.46461197316385,2017-11-01 06:00:00,110.60400270462036,178.66800540924072,2017-11-01,US-xSL,0,24.773793150888647,16.939170265947475,15.682280412029796,10.7228156963996,1.1082777777777777,43.761875,US-xSL,66,0,0,LC08_032032_20171101,-103.02926215588673,40.46178228001887,2017-11-01 17:31:24.938999808,0.0584999999999999,0.0737625,0.1058549999999999,0.13143,0.25683,0.310345,0.245885,293.06270696,21824.0,0.1708960125,0.3229794467624788,0.2100937128534965,0.2117623218427037,293.06270696,0.230785377307465,0.9523078537730746,0.9707615917451146,-103.0293557084962,40.46189411435375,-0.3229794502258301,0.3229794502258301,1,1,-0.4162703172174202,-293.06270696,293.06270696,302.51186277297006,-302.51186277297006,302.51186277297006,0.7516465361871503,0.4567273574469758,7.609324636288694,398.2929800779128,570.47533974346,0.7516465361871503,1.6298494278366673,0.4567273574469758,299.5138986176289,359.9198368415676,52.95182181440457,0.0098636820082714,0.2914436870424357,244.6829606613164,15.804378076068309,3.271614893717796,25.07058621165164,0.0098636820082714,0.2914436870424357,0.3895728034894584,0.2386644929647445,-68.9272232055664,0.0922105315504739,0.3536485646543857,62.285054365846605,0.2029040529200904,0,-103.02926215588673,40.46178228001887,49.053868036094585,14.298630477870702,28.02267188897317,1.9127517025064904,144.23019435419434,40.231251874935154,-102.55581466878937,0.4169217348098755,511975,288.80385404000003,738791,40.01098861509457,-103.64202100941866,0.197199672460556,308.97676613192806,59.033511150628144,299.75519012,2017-11-01 17:31:24.938999808+00:00,2017-11-01 17:30:00+00:00,14615.0,201711011130.0,201711011200.0,390.322515749652,1.18693542273753,430.30212661356,4.87675825691054,408.118116275974,,430.204996909224,4.86467437023284,408.018595730061,,429.972045261922,4.91144263338808,408.37893310596,,429.767760361708,5.11819838243957,407.922496553797,,6.58642411974415,13.6310671917559,167.778696591472,17.4655928066593,0.600039334504101,-0.537285841704696,-0.0696317524074232,-0.60691759411212,43.6300125497988,-1.17194873694454,0.325702005352975,114.467377439304,5.10054287758536,341.32,135.24,1.40881042446406,5.6,3.99,2.98,10.58,9.23,6.3,169.36,160.76,,16.8581,16.97,17.2111,17.9569,18.6546,84.75454,22.1,15.0149,24.32,24.17,27.04,173.0,596.67,567.0,130.42,284.3,423.9,287.2,457.1,1179.92,1101.26,1209.66,1229.13,164.02,1053.87,1114.97,1097.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.423,11.743,7.795,7.624,9.283,12.695,13.571,14.421,14.869,16.54,11.491,8.058,7.602,9.665,12.045,12.827,13.747,14.988,17.044,11.905,7.416,7.242,8.876,11.991,12.918,13.98,14.797,14.983,11.041,7.874,7.896,9.872,12.344,13.103,13.866,14.746,19.256,13.345,8.338,7.936,9.342,12.071,12.925,13.984,14.988,,,,326.65,0.0,,,,,,,,,US-xSL,-103.0293,40.4619,1364.0,CO,MST,CRO,Bsk,9.7,432.67,2017-11-01 11:30:00,11:30:00,305,0.2185797844704778,-0.1326458230679265,0.99220022580978,-0.2616666666666666,892.7352763159125,0.6683616250298774,102.52381591331893,1.920372819805647,0.424402393177048,4.685285118073816,693.9425847595487,0.1,0.0146336519402426,0.642913913717319,1.5554181962216596,-0.124302916595163,-0.068562914568118,0.793781597653301,0.693781597653301,0.7707880660444419,2017-11-01 11:30:00-06:00,US-xSL,0.6429153958559582,892.737334379083,86.16151011974836,1365.9999999999943,0.8220785872957053,0.7598060928492022,1.5813576417688713,0.2453857505131456,-0.2596708827496935,1.321686759019178,0.0573237802021182,0.1055122520821148,1.467983425837843,227.2547556001345,30.31389289674098,292.31888501354865,38.5172315757528,31.02215284525077,21.617037922137,75.26729502853681,94.65323096065524,-121.99330599083508,90.9505457915012,72.0597237008596,40
1,1,1,-103.03227151208851,40.46461197316385,2019-07-02 06:00:00,167.32400270462037,204.1919945907593,2019-07-02,US-xSL,1,138.24525099537342,132.7522393973555,31.94110535555137,30.671963298892745,-2.465722222222223,202.89354166666664,US-xSL,93,0,0,LC08_032032_20190702,-103.02926215588673,40.46178228001887,2019-07-02 17:31:01.710000128,0.0515424999999999,0.0627625,0.0952399999999999,0.1132799999999999,0.246325,0.2910675,0.2105199999999999,309.56490752,21824.0,0.1574223874999999,0.3699753896636588,0.228554691559822,0.232161865042665,309.56490752,0.2786888267866515,0.9527868882678664,0.970919673128396,-103.0293557084962,40.46189411435375,-0.3699753880500793,0.3699753880500793,1,1,-0.4423316206285773,-309.56490752,309.56490752,319.3435780952842,-319.3435780952842,319.3435780952842,0.763520701903118,1.8133971219529663,23.974304826398217,496.1188432931409,916.7973856498328,0.763520701903118,3.445880848155385,1.8133971219529663,353.5295762656841,613.1924539347756,138.05195647222465,0.0110618799663298,0.0985067098897577,135.9081189918288,23.90467547391706,2.946085000934658,74.17427797574541,0.0110618799663298,0.0985067098897577,0.1670330510912854,0.1642731130123138,-49.51348114013672,0.5105638575916811,4.854394820592883,339.2323784707221,0.7139622496553439,0,-103.02926215588673,40.46178228001887,188.23303030887723,26.420372206402604,52.62506748959983,0.6390281093048699,317.0350055352933,40.43088041983495,-102.48918733839338,0.8988292217254639,445031,301.4095118,679897,40.03605329561852,-103.5687384065708,0.2072091847658157,436.79365441145865,151.79317326986842,328.68189338,2019-07-02 17:31:01.710000128+00:00,2019-07-02 17:30:00+00:00,43799.0,201907021130.0,201907021200.0,413.895146569921,22.332091275289,422.394854711667,23.169510751547,413.5048024375,,422.488548442591,24.3110270989122,,,422.572378636701,24.4649584496896,413.649715839506,,423.001543126525,24.9355141375009,413.815737878689,,3.1522310865434,8.27278291608694,117.565411679444,27.2374974597492,0.64684814750061,1.00868208612893,,,158.649772167566,,0.466765061339944,105.248110782055,1.00902391721126,199.64,83.72,1.02678244831456,4.32,3.74,2.68,7.78,7.2,5.68,,,,25.1246,25.338,25.4272,26.0439,27.0608,86.30292,51.18,15.6393,31.17,32.36,28.9,96.1,1017.97,994.8,158.81,353.2,494.8,353.7,497.0,2056.62,2088.75,2050.9,2060.66,198.2,1797.39,1864.22,1870.38,,,,9.61,32.27,,,,,,,,,,,,,,,7.48,,,26.24,15.73,,,,,,6.66,,,37.39,,,16.4,12.43,18.58,27.98,16.19,28.548,25.975,23.556,23.159,22.008,17.791,16.157,14.442,12.494,27.983,26.219,23.88,23.382,23.215,19.025,17.384,15.465,13.37,30.561,28.001,24.184,23.744,22.792,19.051,16.824,14.661,12.555,28.444,26.383,23.239,22.548,21.721,,17.294,15.303,12.738,28.964,27.004,23.87,23.073,22.225,19.111,17.537,15.572,12.783,63.851,70.319,72.57,717.56,0.0,,,,,,,,,US-xSL,-103.0293,40.4619,1364.0,CO,MST,CRO,Bsk,9.7,432.67,2019-07-02 11:30:00,11:30:00,183,0.1560065620794326,0.1981320133508529,1.0169773588454674,-0.2616666666666666,1121.4479505444342,0.9077282628282496,102.52381591331893,3.191364670727991,1.6333404384785857,40.39183923375258,871.7249009925695,0.1,0.0547577863047098,0.8484635222041244,1.1786010521727754,-0.1251334861765075,-0.0695579931003568,0.8129264751192719,0.7129264751192719,0.71976434941055,2019-07-02 11:30:00-06:00,US-xSL,0.8484644761279303,1121.4492113834322,86.16151011974831,1366.000000000003,0.0,-0.35,2.5413623530213365,0.1514725919387896,0.0871019152795882,2.6284642683009247,0.0573237802021182,0.2030415173722568,0.4879335104115777,508.4775940073756,111.63071899664976,383.2994159593965,35.06751272386557,29.48296179220477,19.429067508224,76.253575844864,114.53139728590652,-136.93034723305726,90.1042837195776,65.16960433111038,40
2,2,2,-103.03227151208851,40.46461197316385,2019-07-18 06:00:00,224.0440027046204,306.2880054092407,2019-07-18,US-xSL,2,170.91529045256263,183.0497914971743,-5.590180579300023,-5.987067551199774,9.83216216216216,156.809375,US-xSL,94,1,1,LC08_032032_20190718,-103.02926215588673,40.46178228001887,2019-07-18 17:31:04.214999808,0.0604525,0.0745049999999999,0.119715,0.1339874999999999,0.3536575,0.35407,0.2686275,315.12260804,21824.0,0.2065635675,0.4504711419167633,0.343493068217001,0.3336269611044454,315.12260804,0.5540049369294545,0.9555400493692944,0.9718282162918672,-103.0293557084962,40.46189411435375,-0.4504711329936981,0.4504711329936981,1,1,-0.4942038246835208,-315.12260804,315.12260804,325.03606344138655,-325.03606344138655,325.03606344138655,0.7857493672468923,0.9584259296836805,13.661119561525746,534.2569761996041,929.8651296556668,0.7857493672468923,5.12170052157365,0.9584259296836805,358.7342807071038,546.3168672778625,144.94952167055234,0.0195649323976955,0.2208007168167201,189.6375207995588,18.38364401744509,3.234557092893489,33.091668302435984,0.0195649323976955,0.2208007168167201,0.3161122260317222,0.1486681401729583,-45.08795166015625,0.3204659782867824,3.7426357877494376,211.72982480775133,0.5275213021811287,1,-103.02926215588673,40.46178228001887,195.3108771658274,33.3219488786245,18.713041218372577,1.3490445067041794,353.00634761744664,40.80843436674951,-101.49671717153826,0.8701245784759521,548893,303.27916874,814135,41.23393489911521,-103.1258977920938,0.2031987160444259,464.1208120424479,158.25114452919505,329.76882374,2019-07-18 17:31:04.214999808+00:00,2019-07-18 17:30:00+00:00,44567.0,201907181130.0,201907181200.0,408.392129126321,10.4402813534743,414.891119945647,10.7355427455827,410.352469491857,,415.289142616564,12.1002184740306,409.423699689543,,414.30746942466,12.8759759406525,408.01123186758,,411.858251556618,15.0905370642738,,,3.16907757784612,6.91000266769232,277.201102814569,34.3287599212067,0.456616183251751,-8.74811135641553,-0.0312782082629324,-8.77938956467846,520.748490117321,-12.8725276535363,0.214508638476605,66.3798599480161,2.93579032797702,225.4,90.16,1.21935092971969,2.88,2.27,1.11,6.37,5.72,3.02,284.92,276.1,279.11,33.4695,34.758,33.6136,33.9914,34.3845,85.90013,15.76,43.6769,37.61,35.81,36.69,93.3,996.47,995.7,203.9,361.1,561.0,360.5,562.2,1955.3,1994.22,1980.0,1961.74,225.9,1123.56,1774.45,1373.8,38.32,,,,,,,,,,,,,,,,25.46,,,,5.49,,,16.21,29.72,,,28.43,18.52,6.92,,,35.5,,,17.19,11.38,,28.37,,31.642,27.778,24.993,24.696,23.583,19.8,18.294,16.562,14.182,31.043,28.046,25.362,24.914,24.718,20.965,19.519,17.625,15.068,37.211,31.213,25.755,25.131,24.031,20.716,18.705,16.577,14.071,33.314,29.553,25.226,24.247,23.263,,19.322,17.365,14.414,35.622,31.066,25.929,24.938,24.177,21.228,19.746,17.77,14.468,62.242,48.436,114.159,592.67,0.0,,,,,,,,,US-xSL,-103.0293,40.4619,1364.0,CO,MST,CRO,Bsk,9.7,432.67,2019-07-18 11:30:00,11:30:00,199,0.2046223167782271,0.1803552955726329,1.0165765249479712,-0.2616666666666666,1110.603668373579,0.8972327648253479,102.52381591331893,5.164140698492735,0.8138685740824549,11.607391034571526,863.2954568300061,0.1,0.026542409457748,0.839596737521267,1.1910479820970838,-0.1245494278757753,-0.0688582517545521,0.813375090681737,0.713375090681737,0.7733564178372847,2019-07-18 11:30:00-06:00,US-xSL,0.8395977230348971,1110.604971993524,86.16151011974831,1366.000000000003,0.0,-0.35,2.577586139405508,0.202941077554943,0.1278295011313022,2.7054156405368106,0.0573237802021182,0.2865893847420377,1.000905644580565,587.2547970289023,80.77719872510805,378.4785040756379,42.222490444759465,37.7249030215086,23.47820991202017,111.4454737529063,141.9536410875674,-155.734798137614,111.5754618287228,84.6505983912651,40
3,3,3,-103.03227151208851,40.46461197316385,2020-09-22 06:00:00,161.65199459075927,241.06,2020-09-22,US-xSL,3,23.09573416797912,28.275797702039263,13.09350017048838,16.03019671683124,2.781488888888889,41.83520833333333,US-xSL,118,1,1,LC08_032032_20200922,-103.02926215588673,40.46178228001887,2020-09-22 17:31:24.053999872,0.0676574999999999,0.0934249999999999,0.1427875,0.17851,0.32613,0.3544825,0.2748975,309.29830196,21824.0,0.2135620974999999,0.2925253646163601,0.2175357831774488,0.220407310081223,309.29830196,0.2508316869445327,0.9525083168694451,0.9708277445669168,-103.0293557084962,40.46189411435375,-0.2925253510475158,0.2925253510475158,1,1,-0.3909909525662829,-309.29830196,309.29830196,318.9017000330299,-318.9017000330299,318.9017000330299,0.7716177446705546,0.7438043911731814,11.072223340805383,494.26741286386994,760.3826474946513,0.7716177446705546,3.802324323788506,0.7438043911731814,347.0036121629844,434.25014809820254,106.1281982493828,0.0103547397488919,0.4009625434603638,317.4766567123904,12.79834057420694,3.6666821294333616,18.2228095890989,0.0103547397488919,0.4009625434603638,0.5108369727155496,0.1968841403722763,-59.12000274658203,0.0160147813638649,0.1284675415850263,10.645293136429302,0.0324430997113544,1,-103.02926215588673,40.46178228001887,109.67217118418748,28.101487910673733,19.561834494751363,2.618634550330451,232.436861514896,39.95904560404631,-102.4278749652344,0.8178225755691528,518091,300.27814718,769460,39.7480999701862,-103.99735432472411,0.1697007417678833,367.7335947676647,110.4916612092053,319.41564116,2020-09-22 17:31:24.053999872+00:00,2020-09-22 17:30:00+00:00,65303.0,202009221130.0,202009221200.0,410.228746119866,7.80808695251917,415.355199622904,6.93700762120296,410.170071904382,,415.102126386573,7.4593730002263,410.32588874183,,415.222847611821,8.47496886286053,410.553596267101,,414.506482689904,8.37079659219378,409.469157350877,,5.32658068462169,10.0058323928282,168.462769871652,28.6423575169051,0.658133426464758,-0.978879010433733,,,108.427989221015,,0.403498558575353,156.499163002282,4.32848508007916,270.48,109.48,1.13404731601978,4.54,3.11,0.6,8.43,7.06,2.09,164.46,163.81,,28.4486,28.605,28.8312,29.6581,32.3739,86.48072,15.94,32.7396,36.56,34.55,35.99,368.2,774.2,,156.47,334.1,537.4,358.8,537.3,1511.01,1538.28,1491.82,1421.03,183.35,900.81,865.88,743.35,16.49,36.23,,,33.28,,,8.06,25.78,,,,11.32,26.71,20.04,,26.89,,,,,,,18.41,20.29,,,,,,8.6,,18.63,,,,9.17,18.18,26.05,18.29,28.443,23.93,20.391,19.717,19.13,18.368,18.101,17.921,17.24,28.09,24.308,20.557,19.695,19.949,18.703,18.435,18.085,17.585,30.557,25.507,20.057,19.404,,18.033,17.562,17.256,16.745,26.351,22.464,19.074,18.575,18.433,,18.027,17.702,16.914,34.754,28.393,21.66,20.308,,18.604,18.264,17.944,17.001,34.541,54.091,83.379,414.43,,,,,,,,,,US-xSL,-103.0293,40.4619,1364.0,CO,MST,CRO,Bsk,9.7,432.67,2020-09-22 11:30:00,11:30:00,266,0.2021053991216739,-0.0093810390360886,1.00328332277211,-0.2616666666666666,990.0933317729364,0.7819464843921922,102.52381591331893,3.879792199954807,0.6184388766727962,7.589671574929774,769.620722418878,0.1,0.0205046831115822,0.7290457916246255,1.3716559528744727,-0.1244244469404097,-0.0687085161411672,0.8035877483457122,0.7035877483457122,0.7716533567693222,2020-09-22 11:30:00-06:00,US-xSL,0.7290470929662497,990.0950990825888,86.16151011974831,1366.000000000003,0.98799658759812,0.983795393257462,2.1077806988551733,0.2192582670863369,-0.3624163079776097,1.7453643908775636,0.0573237802021182,0.2212149150621557,2.005424381316902,396.3989800871424,4.3411637137129295,356.2941647708432,55.2128398828796,44.16393129111351,28.896193860612968,100.8714552182148,90.47759855607003,-120.93283771047422,109.6408353245357,85.0253299630491,40
4,4,4,-103.03227151208851,40.46461197316385,2021-06-05 06:00:00,204.1919945907593,269.42,2021-06-05,US-xSL,4,165.43016733483293,123.6084526431645,7.106947633519672,5.310269669360324,27.590977272727272,207.1858333333333,US-xSL,128,0,0,LC08_032032_20210605,-103.02926215588673,40.46178228001887,2021-06-05 17:30:53.808000000,0.0506625,0.0597924999999999,0.1019225,0.0935075,0.3616875,0.2569675,0.1720475,308.89155758,21824.0,0.1814812025,0.589154098792825,0.4547616604956117,0.4211391391286595,308.89155758,0.8636577329089513,0.9586365773290896,0.9728500705185996,-103.0293557084962,40.46189411435375,-0.5891541242599487,0.5891541242599487,1,1,-0.5603093117059597,-308.89155758,308.89155758,318.53516017155187,-318.53516017155187,318.53516017155187,0.7831747687554538,1.095702892199553,15.3170382168285,494.83591049719206,947.4802948911674,0.7831747687554538,3.943852135111852,1.095702892199553,361.76874090539,627.4992686982689,129.17371508072063,0.0319942833294261,0.4728599835310199,270.27490522312024,11.577229848387484,2.829250116221885,15.452066861901589,0.0319942833294261,0.4728599835310199,0.5903120493798353,0.1923468112945556,-58.439971923828125,0.3429554193416608,3.53271232937622,228.05064839442804,0.4576338635233843,0,-103.02926215588673,40.46178228001887,213.8811548120082,28.73110779112999,27.78255509238248,2.7351673514412265,358.041462209892,40.64465217843497,-102.45316285870013,0.906977653503418,543157,303.82605194,767226,39.93683826018981,-103.72915985677945,0.1628288030624389,427.8914945827908,155.1121853764018,325.24336526,2021-06-05 17:30:53.808000+00:00,2021-06-05 17:30:00+00:00,77591.0,202106051130.0,202106051200.0,408.685841889735,11.4779153374583,412.128677072632,11.5389631195018,,,411.248947040277,11.5122996020945,,,409.097188649703,12.8013208245662,,,405.392346749155,15.8539906052869,,,3.38966203803114,7.4097113668697,146.422056693465,28.7927566982024,0.48587136762309,-13.4953815931763,0.143735992934314,-13.351645600242,297.776058008888,-9.68862312614771,0.329321167002766,67.6153799857639,,225.4,90.16,1.38668533929337,3.49,2.83,0.85,7.77,6.56,3.28,,,,27.8918,28.207,28.0801,,30.459,85.75881,27.77,27.2347,41.23,39.86,35.88,76.4,1030.87,1000.7,170.68,345.8,501.0,350.0,550.1,2053.69,2096.53,2017.54,2021.63,165.82,,1808.35,1970.91,,,,15.87,,,,,,,,,,,26.96,5.8,,,,,13.24,10.33,34.69,,,,,37.53,,,,,,,,,,,,,27.602,24.06,20.186,18.852,16.814,13.853,12.932,11.996,10.771,29.132,25.78,21.146,19.444,18.152,14.359,13.42,12.399,11.486,28.577,25.411,20.35,19.182,,14.462,13.357,12.302,11.104,28.287,24.566,19.985,18.679,16.972,,13.608,12.496,10.89,35.423,30.83,23.495,21.032,,15.018,13.857,12.723,11.046,103.44,105.159,,704.99,,0.0,0.0,0.0,,,,,,US-xSL,-103.0293,40.4619,1364.0,CO,MST,CRO,Bsk,9.7,432.67,2021-06-05 11:30:00,11:30:00,156,0.1655688884146401,0.1941383553740353,1.014785216760648,-0.2616666666666666,1123.6848919745453,0.917401317186484,102.52381591331893,3.756181878409582,1.043091707634341,17.717006230506037,873.4637318943368,0.1,0.0346482468344099,0.8464947928672095,1.1813421753166895,-0.1247172187094722,-0.0690592765214933,0.8135890812249388,0.7135890812249388,0.7578802317814646,2021-06-05 11:30:00-06:00,US-xSL,0.8464957539144897,1123.6861677228642,86.16151011974831,1366.000000000003,0.0,-0.35,2.6264153774383163,0.1934538411042062,0.1147147621782903,2.741130139616607,0.0573237802021182,0.2283640476188478,1.968892640662809,565.5730902005395,82.3343924422976,384.9998330417877,28.883677320411845,31.48299977744755,18.46939845660212,111.72221523221624,181.9847272307569,-173.0748160194316,79.37509132243865,53.14402025274504,40
5,5,5,-103.03227151208851,40.46461197316385,2021-07-07 06:00:00,178.66800540924072,224.0440027046204,2021-07-07,US-xSL,5,50.272836372221725,41.81559340786728,113.09621527022584,94.07039059211525,11.578255319148935,173.61916666666664,US-xSL,130,0,0,LC08_032032_20210707,-103.02926215588673,40.46178228001887,2021-07-07 17:31:01.497999872,0.054485,0.0752749999999999,0.11768,0.1421275,0.2983275,0.3061649999999999,0.21283,313.56740894,21824.0,0.1839855725,0.3546332769522425,0.2461346460514455,0.2491347273394261,313.56740894,0.3202013321976476,0.9532020133219764,0.9710566643962522,-103.0293557084962,40.46189411435375,-0.3546332716941833,0.3546332716941833,1,1,-0.4342409692132954,-313.56740894,313.56740894,323.4103261054075,-323.4103261054075,323.4103261054075,0.7747327410109163,1.353019313934984,18.42094622337537,522.5064781867615,926.3391740765376,0.7747327410109163,3.6482356076999305,1.353019313934984,352.94897446080427,569.8313256740926,145.53334501742097,0.0121690086676781,0.2860949941597448,334.77294138038087,14.942284073772823,4.582757769263651,25.53929369962773,0.0121690086676781,0.2860949941597448,0.3961965833791454,0.2107220441102981,-63.566925048828125,0.1352832793587056,1.5304140039612146,89.52503927629073,0.2109956760523249,0,-103.02926215588673,40.46178228001887,199.9974838377444,27.39235355926036,37.08694995134948,1.83788210502944,339.7209637574804,39.56092848426764,-102.75201651459746,0.8713319897651672,529478,301.66244528,824705,40.13992016679569,-103.12074097760228,0.2219362556934356,460.4107822944424,151.26911453905092,322.86442334000003,2021-07-07 17:31:01.497999872+00:00,2021-07-07 17:30:00+00:00,79127.0,202107071130.0,202107071200.0,422.905457033755,19.1249601942742,,,,,,,,,,,,,,,,,3.5120327241233,7.70425332072356,175.985826348975,26.7000578886105,1.12048591542864,-2.40548354891256,,,48.303846616463,,0.285130798579839,343.799631594491,,206.08,83.72,1.54910488312192,3.3,2.76,0.56,6.39,6.8,1.87,,,,25.5812,26.02,26.0689,,29.8797,86.6193,51.55,15.9478,40.83,39.56,38.69,162.6,978.82,951.7,163.11,353.5,518.0,366.6,530.4,1950.35,1996.22,1890.43,1903.98,197.31,1770.39,1696.29,1451.84,26.51,,,14.08,,,,7.89,,,,,,,,,,,,,,,,,19.43,38.69,,23.96,,12.92,9.92,,32.36,,,,12.12,,33.82,,29.99,26.77,23.984,23.367,22.087,19.291,18.123,16.772,14.552,30.369,27.828,24.885,24.139,23.785,20.462,19.259,17.663,15.452,32.842,29.027,24.458,23.873,,20.0,18.542,16.851,14.684,32.675,28.198,23.417,22.416,21.372,,18.45,16.994,14.493,35.569,30.874,25.966,24.849,,20.785,19.403,17.713,14.765,61.179,55.93,,651.21,,0.0,0.0,0.0,0.0,,,,,US-xSL,-103.0293,40.4619,1364.0,CO,MST,CRO,Bsk,9.7,432.67,2021-07-07 11:30:00,11:30:00,188,0.1666394229786886,0.1941383553740353,1.0169899360233456,-0.2616666666666666,1118.818129253089,0.8748696275179683,102.52381591331893,3.279113568441157,1.6903830445314163,43.1131431198706,869.680695600721,0.1,0.0565835259593057,0.8464947928672095,1.1813421753166895,-0.1251712789873576,-0.0696032714437907,0.8126973035788827,0.7126973035788827,0.7160712694569492,2021-07-07 11:30:00-06:00,US-xSL,0.8464957539144897,1118.8193994760472,86.16151011974833,1366.000000000003,0.0,-0.35,2.5678121905401623,0.1771528982354132,0.1031975069831023,2.6710096975232647,0.0573237802021182,0.2133890061806627,1.3971490215993292,529.8414357594414,30.18876803916288,379.2578019101605,44.56655191411985,36.900612684059205,23.60378670795847,93.54578119054786,111.20143777781612,-136.16381557180736,96.00336575811508,66.7365516447002,40
