,Unnamed: 0.4,Unnamed: 0.3,longitude_x,latitude_x,date_x,eto,etr,Date,Stn Name,Unnamed: 0.2,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Name_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,id,longitude_y,latitude_y,date_y,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,Datetime_Local_x,Datetime_GMT,Unnamed: 0_y,TIMESTAMP_START,TIMESTAMP_END,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,Wind speed_y,WS_MAX_1_1_1,WD_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE_PI,LE_inst_af,SLE,USTAR,H_inst_af,SH,FETCH_90,FETCH_MAX,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_MAX_1_2_1,WS_MAX_1_3_1,WS_MAX_1_4_1,WS_MAX_1_5_1,WD_1_2_1,WD_1_3_1,WD_1_4_1,WD_1_5_1,TA_1_1_1,Air temp,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,Relative humidity,VPD_PI,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SWIN_inst_af,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN_inst_af,LW_OUT_inst_af,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,SWC_1_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWC_1_5_1,SWC_1_6_1,SWC_1_7_1,SWC_1_8_1,SWC_2_1_1,SWC_2_2_1,SWC_2_3_1,SWC_2_4_1,SWC_2_5_1,SWC_2_6_1,SWC_2_7_1,SWC_2_8_1,SWC_3_1_1,SWC_3_2_1,SWC_3_3_1,SWC_3_4_1,SWC_3_5_1,SWC_3_6_1,SWC_3_7_1,SWC_3_8_1,SWC_4_1_1,SWC_4_2_1,SWC_4_3_1,SWC_4_4_1,SWC_4_5_1,SWC_4_6_1,SWC_4_7_1,SWC_4_8_1,SWC_5_1_1,SWC_5_2_1,SWC_5_3_1,SWC_5_4_1,SWC_5_5_1,SWC_5_6_1,SWC_5_7_1,SWC_5_8_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_inst_af,G_3_1_1,Rn_inst_af,P,THROUGHFALL_1_1_1,THROUGHFALL_2_1_1,THROUGHFALL_3_1_1,THROUGHFALL_4_1_1,THROUGHFALL_5_1_1,CH4_MIXING_RATIO_1_1_1,CH4_MIXING_RATIO_1_2_1,CH4_MIXING_RATIO_1_3_1,CH4_MIXING_RATIO_1_4_1,CH4_MIXING_RATIO_1_5_1,Name_y,Long,Lat,Elevation,State,Timezone,Veg,Clim,MAT (°C),MAP (mm),Datetime,Time,doy,Albedo,dec,dr,tao,Rext,Tao_sw_am,P_calc,es,ea,W_calc,Rso,gamma_dust,W_prata,zenith,Mopt,asa,bsa,Tao_sa,Tao_ding,Tao_sebal_insitu,Datetime_Local_y,Name,cos_zenith,Rext_model,P_model,Elev_SRTM,RS_Rso,f,Rns_model,eps_dash,Rnl_model,Rn_fao_model,psychro,del,WS_2,ETo_model_hourly,ET_ETo_model,LWin_angstrom,R_LST,GR_LST,B_LST,NIR_LST,NDVI_LST,NDWI_LST,SWIR1_LST,SWIR2_LST,Landcover_wc
0,0,0,-87.39260241556765,32.95469619792465,2018-10-22 06:00:00,87.91599729537964,121.94800540924072,2018-10-22,US-xTA,0,54.76401274785514,60.454700996237584,49.67553117139815,54.83746046191207,-8.375266666666667,97.3875,US-xTA,90,1,1,LC08_021037_20181022,-87.39318632050234,32.95042920032508,2018-10-22 16:25:00.234999808,0.009715,0.0124924999999999,0.031,0.02781,0.2077425,0.11152,0.053715,291.45623756,21824.0,0.08481422,0.763874295539211,0.3511813390298098,0.3669333596174303,291.45623756,0.6618284813006909,0.9566182848130068,0.9721840339882922,-87.39307467771117,32.95051858861649,-0.7638742923736572,0.7638742923736572,1,1,-0.740305978198268,-291.45623756,291.45623756,294.3269371688234,-294.3269371688234,294.3269371688234,0.74460020671885,0.8220559502250656,13.530316439923412,391.3948921098292,695.9803684973834,0.74460020671885,2.0406817755158806,0.8220559502250656,300.8169971304566,533.3234841356727,33.32083138641559,0.0235923087863638,0.2220693171505018,156.8875511375571,19.0718288015054,2.4605152679033324,32.90262777224238,0.0235923087863638,0.2220693171505018,0.3138229744932669,0.4539241790771484,-131.1416015625,0.5039631722442363,2.551840187860792,343.1151016117001,0.6862265624493926,1,-87.39318632050234,32.95042920032508,105.49107996991069,17.81950920504495,40.28339744530973,1.329286883761027,197.2701870696024,33.671198895761506,-86.74196955361111,0.8746607303619385,308777,288.90639464000003,530565,32.91516337192437,-87.68487545941599,0.527791440486908,433.8460697768096,55.30738875096614,300.03546776,2018-10-22 16:25:00.234999808+00:00,2018-10-22 16:30:00+00:00,31655.0,201810221130.0,201810221200.0,407.260746140804,9.35007112383752,,,434.756711151408,,,,,,,,436.527651266968,,,,430.658676135135,,,,435.6527308,,2.35689404439147,8.25775503335501,132.992449723419,18.2941575204539,0.575265839800036,-12.850040044743,,,224.849011483018,,0.704612458476688,235.319000181089,,440.0,200.0,1.02696556048978,2.49,2.03,,0.62,6.11,5.47,,1.63,,,,,17.0691,17.665,17.2947,,18.6902,20.5976,100.58473,43.25,11.0916,23.52,32.09,32.01,22.54,113.6,777.19,738.8,720.94,88.01,299.8,423.3,391.7,446.8,1540.46,1531.31,1570.11,1406.29,1283.54,61.42,718.66,186.72,39.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.745,15.823,15.642,16.569,19.439,21.276,21.978,22.431,22.565,15.164,15.324,16.069,17.352,20.024,,21.576,21.633,21.558,18.712,18.788,18.986,19.304,19.926,,21.17,20.863,20.802,16.729,16.438,16.621,17.266,19.649,20.905,21.244,21.548,21.479,15.145,15.013,15.517,16.508,18.76,20.014,20.466,20.687,20.552,11.726,6.514,,565.68,,,,,,,,,,,,US-xTA,-87.3933,32.9505,135.0,AL,CST,ENF,Cfa,17.2,1382.68,2018-10-22 11:30:00,11:30:00,295,0.1132412923480744,-0.1046650689083966,0.9949014874503082,-0.2616666666666666,1035.0857971284888,0.7508459706007585,102.3373195966606,1.9462309682574577,0.8417448937713504,12.251332535644984,779.8137216709778,0.1,0.0290027738008128,0.7494937148169076,1.3342340038759206,-0.1246003574176768,-0.0689192687902601,0.8052884124773027,0.7052884124773027,0.7584146657941258,2018-10-22 11:30:00-05:00,US-xTA,0.7494944681718053,1035.0868375467596,99.31820018536604,169.00000000000023,0.8924956680757592,0.854869151902275,1.929257581474747,0.21306577835583,-0.2663381876293763,1.6629193938453708,0.0660770066539374,0.1284872099154332,0.975632344240856,278.1016247161144,108.46864478440506,307.8778048482424,8.105397966543599,9.03514336436,3.6410170477182704,60.54784743130829,222.63592814665392,-215.76679504884257,32.5031996126912,15.655571800535398,10
1,1,1,-87.39260241556765,32.95469619792465,2019-01-26 06:00:00,39.70399932384491,56.72,2019-01-26,US-xTA,1,29.876041710544936,31.211504884172456,45.77232153583542,47.818350604035935,-15.319324324324326,63.103125,US-xTA,93,1,1,LC08_021037_20190126,-87.39318632050234,32.95042920032508,2019-01-26 16:24:54.740000000,0.0135099999999999,0.015985,0.03342,0.03705,0.181645,0.1199075,0.06246,282.15922316,21824.0,0.08165821,0.6611719518050253,0.2815197138757415,0.3017865714941665,282.15922316,0.459964038508573,0.9545996403850856,0.9715178813270784,-87.39307467771117,32.95051858861649,-0.6611719727516174,0.6611719727516174,1,1,-0.6892102387650245,-282.15922316,282.15922316,285.704292016486,-285.704292016486,285.704292016486,0.7293170247125663,0.5434640018012985,9.65662131342181,343.06888352150355,560.1416285715941,0.7293170247125663,1.0469196855066167,0.5434640018012985,267.9023196014778,427.0720402643503,19.19155137692421,0.0163592880218266,0.048641074930213,-0.1159169506561758,746.7646282788871,-0.0695731190135342,150.21592537422563,0.0163592880218266,0.048641074930213,0.0108067654524981,-0.0127045176923275,3.560162305831909,0.594154702702283,2.4919639052834426,407.88048888742605,1.0,1,-87.39318632050234,32.95042920032508,71.27937747484091,7.642400398277609,51.91076348309469,0.3029465499036917,143.37593323720822,33.34113610167628,-88.29070282634254,0.8832907676696777,301390,280.22804186,472614,33.11009710699218,-87.5561615126384,0.4027121067047119,357.5724610065146,26.941190960339227,286.81114838,2019-01-26 16:24:54.740000+00:00,2019-01-26 16:30:00+00:00,36261.0,201901261030.0,201901261100.0,413.86794726936,3.59546239464966,422.2867025682,4.78916020325136,,,421.816488013814,4.83555015824255,,,422.952351503775,7.09799629913961,,,422.124298006078,4.96905078925654,,,422.285939930208,5.14947441371546,,,2.19743841280885,5.23432036415498,14.4880431850551,7.30681420070505,0.51638380708992,-9.34536397150919,,,20.8999582686625,,0.431381049102691,174.70712460276,,360.0,160.0,1.08424075598498,,1.89,,0.78,,4.57,,2.5,,2.79,,357.41,,6.367,6.7127,,,8.3228,100.59256,43.26,,11.33,9.32,8.21,9.09,65.4,644.34,586.9,615.05,77.46,250.0,368.5,326.9,363.6,1274.6,1207.56,1267.86,256.53,164.93,62.22,639.79,284.39,565.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.399,5.196,5.546,6.421,8.714,10.378,11.338,12.463,13.412,5.268,5.641,6.511,7.591,9.888,,11.884,12.545,13.356,8.503,8.806,9.489,9.825,10.746,,11.848,11.712,11.86,6.58,6.559,7.095,7.852,9.965,11.182,11.853,12.806,13.598,7.562,7.389,7.814,8.646,10.616,11.985,12.966,13.909,14.467,-4.292,-14.469,,448.38,0.0,,0.0,0.0,,,,,,,,US-xTA,-87.3933,32.9505,135.0,AL,CST,ENF,Cfa,17.2,1382.68,2019-01-26 10:30:00,10:30:00,26,0.1202160350125709,-0.1630552204715646,0.9842682598148066,-0.5233333333333333,887.643966920513,0.7258991487717729,102.3373195966606,,,,668.7340007477771,0.1,,0.6290675049818326,1.5896545157405322,,,,,,2019-01-26 10:30:00-06:00,US-xTA,0.6290682471347521,887.6450141333419,99.31820018536604,169.00000000000023,0.8376149978096593,0.7807802470430402,1.552712594400459,0.2367919846363401,-0.2344592549322504,1.3182533394682086,0.0660770066539374,0.0715084527209629,0.2269477538225133,169.86861051828208,95.335368939472,263.01083345341186,10.453999218078,9.4297612380072,4.5103151822126,51.2528120908982,186.5557642964869,-194.46702556385745,33.8330070510577,17.6236650785736,10
2,2,2,-87.39260241556765,32.95469619792465,2019-06-03 06:00:00,192.8480054092408,232.55199459075928,2019-06-03,US-xTA,2,158.9573665425051,132.5283542190519,107.25623603192952,89.42330104116846,11.403028571428573,232.72933333333333,US-xTA,99,0,0,LC08_021037_20190603,-87.39318632050234,32.95042920032508,2019-06-03 16:24:52.361999872,0.01846,0.0227775,0.05014,0.03958,0.2800675,0.1628075,0.0757424999999999,309.43502276000004,21824.0,0.118776995,0.7523522004708312,0.4464331294732651,0.4401053501657725,309.43502276000004,0.944047371994308,0.959440473719943,0.9731153563275812,-87.39307467771117,32.95051858861649,-0.7523521780967712,0.7523521780967712,1,1,-0.6963121673493181,-309.43502276000004,309.43502276000004,311.5201809066123,-311.5201809066123,311.5201809066123,0.7535527407375844,1.7274980733233187,26.12007992526233,498.74546695002056,930.4838248247282,0.7535527407375844,4.895733188369987,1.7274980733233187,365.4494593230734,671.8452876395465,82.74546876682759,0.0355929415422235,0.2755563005093885,162.57818336330007,16.97900352386342,2.428857479714736,26.51604796672053,0.0355929415422235,0.2755563005093885,0.3753611998063534,0.3064203262329101,-93.02725982666016,0.6370199094923419,5.408261352645,426.5216355094189,0.7240226899502293,0,-87.39318632050234,32.95042920032508,208.39260907078688,32.51798471201491,35.28578880538385,1.574464709816119,319.9367032316547,32.88613916558972,-86.88795717150903,0.9087377190589904,381411,303.59362658,741703,33.18700636995326,-87.54280878485311,0.5573875904083252,551.4170822192204,123.395890474325,322.67301422,2019-06-03 16:24:52.361999872+00:00,2019-06-03 16:30:00+00:00,42407.0,201906031130.0,201906031200.0,412.366506715932,20.9751302437215,,,,,,,,,,,,,,,,,,,,,2.95225294263904,8.76411245115529,7.37668833870361,32.4078234287308,0.567156896770607,-13.0341364170559,,,298.698041263878,,,274.00424400798,,360.0,160.0,1.85445533612375,2.63,2.23,1.24,0.51,6.99,6.68,3.69,1.67,,,342.2,331.08,29.9602,30.149,30.0863,,,,99.63007,42.6,24.4057,38.39,44.28,52.43,31.63,145.4,990.89,961.7,970.02,112.46,397.6,513.1,493.1,503.3,1990.3,1916.31,1917.91,1061.38,914.59,80.5,1796.85,783.61,56.98,,,,,,,,,,,7.79,,,5.55,13.88,16.04,10.33,5.91,10.57,,,,,36.24,10.53,6.17,,,,8.84,,,,,3.91,5.92,,9.13,,,38.165,34.173,28.987,26.722,24.117,22.946,21.69,20.451,19.442,27.459,26.57,24.306,22.752,21.132,,19.703,18.81,18.0,25.813,24.472,22.974,22.37,21.494,,19.88,18.518,17.703,26.536,25.588,24.041,22.972,21.582,20.523,19.583,18.819,18.057,26.027,25.018,23.565,22.861,21.465,20.472,19.533,18.801,18.209,36.555,35.396,21.749,762.93,0.0,,0.0,0.0,,,,,,,,US-xTA,-87.3933,32.9505,135.0,AL,CST,ENF,Cfa,17.2,1382.68,2019-06-03 11:30:00,11:30:00,154,0.113493929699563,0.1921368330192493,1.0144878021658736,-0.2616666666666666,1194.917823892719,0.8292536776896912,102.3373195966606,4.233388434022649,1.803423472893648,48.69695200248942,900.2276291855811,0.1,0.0594953247224582,0.8996284556914236,1.1115699972289497,-0.1252315532217549,-0.0696754840531169,0.8165388955032226,0.7165388955032226,0.7167439272598854,2019-06-03 11:30:00-05:00,US-xTA,0.8996288944207183,1194.9184066282369,99.31820018536602,169.00000000000023,0.0,-0.35,2.579301162414146,0.155991950618629,0.0972299841876021,2.6765311466017487,0.0660770066539373,0.2755801339741056,1.1250293704256995,555.3144137437149,148.1212168028469,393.7818799096672,12.2474382008408,15.515072041186402,7.0481562309159,86.66269323683632,232.80412027622776,-215.4633713518012,50.37834246799871,23.43738221139927,10
3,3,3,-87.39260241556765,32.95469619792465,2019-10-09 06:00:00,116.27599729537964,147.47199459075927,2019-10-09,US-xTA,3,89.5353410887792,85.12676169531528,66.10236014977991,62.84758388744687,-3.235048780487805,111.395,US-xTA,107,0,0,LC08_021037_20191009,-87.39318632050234,32.95042920032508,2019-10-09 16:25:30.346999808,0.012355,0.0176074999999999,0.0386449999999999,0.0355925,0.242255,0.1305775,0.0571524999999999,301.48812626,21824.0,0.1001403275,0.7437983066250371,0.3902963447695615,0.3985276676983599,301.48812626,0.7749202753089127,0.9577492027530892,0.9725572369085194,-87.39307467771117,32.95051858861649,-0.7437983155250549,0.7437983155250549,1,1,-0.7248487006051977,-301.48812626,301.48812626,304.25271569968965,-304.25271569968965,304.25271569968965,0.719810570018734,1.968791679117476,29.47515845538214,448.65830230157707,721.0294742822875,0.719810570018734,3.676033174467834,1.968791679117476,344.7092123310366,530.3120175806249,52.43422994271033,0.0281762879515433,0.154294985108639,160.43254309001915,21.304840593480613,2.9155780386657,47.35516242925448,0.0281762879515433,0.154294985108639,0.2431347209941888,0.4803405404090881,-143.22933959960938,0.4707606922042502,2.3600779594738674,317.4452445478954,0.6642812299709188,0,-87.39318632050234,32.95042920032508,99.82326234637434,27.522185118836603,53.557505758975935,0.9054652886054178,181.20243824874984,32.51323560916149,-88.22731697714987,0.903010904788971,484323,298.18290092,749105,33.138114629847585,-88.16261352578312,0.5105931162834167,462.644770571233,76.27356784942896,309.74606258,2019-10-09 16:25:30.346999808+00:00,2019-10-09 16:30:00+00:00,48551.0,201910091130.0,201910091200.0,394.360550200919,15.2852343132676,400.967477426089,20.6940432312122,,,400.773428860192,20.5319379157404,,,400.686549848141,20.3190202686387,,,400.486175629636,21.4109976144531,,,402.960054643139,22.1535765269973,,,1.74905850570986,5.30174344431952,89.6299760999757,29.6547895537416,0.690493383431632,-5.95247981522757,,,402.167951839528,,0.467460842344835,235.775971150864,39.0916810186289,380.0,160.0,0.787882339500018,1.29,1.07,0.77,0.41,3.95,3.11,2.13,1.47,,,,,27.017,27.334,27.3649,27.5529,28.1007,28.9677,99.72241,55.83,15.8314,31.06,36.23,39.41,28.2,204.8,675.77,630.0,645.82,81.5,395.7,483.4,464.9,480.9,1334.8,1305.81,1336.05,1134.04,1156.02,61.32,420.81,429.43,39.87,19.74,33.54,23.86,22.47,17.64,,,,7.46,6.63,7.6,5.74,,4.91,,,13.39,6.43,,4.42,,6.6,,19.03,12.21,5.99,8.81,10.09,,,8.32,,10.11,4.46,3.88,,6.13,7.22,,,25.128,24.056,23.009,23.019,23.909,24.518,24.42,24.04,23.552,23.189,22.963,22.467,22.53,23.165,,23.155,22.652,22.068,23.425,22.789,22.517,22.509,22.979,,23.166,22.187,21.395,24.613,23.745,22.911,22.66,23.161,23.269,22.876,22.528,21.991,23.002,22.475,22.041,22.112,22.357,22.337,21.91,21.47,20.973,12.882,19.913,,506.57,0.0,,0.0,0.0,0.0,0.0,,,,,,US-xTA,-87.3933,32.9505,135.0,AL,CST,ENF,Cfa,17.2,1382.68,2019-10-09 11:30:00,11:30:00,282,0.1206031637983337,-0.0638046603371216,0.9986256964304248,-0.2616666666666666,1061.540930713068,0.6365934467981988,102.3373195966606,3.5688975887882983,1.9925155238205068,58.98077445853064,799.7444430955205,0.1,0.0663780210949042,0.7744149061270674,1.2912974583626082,-0.1253740250366645,-0.0698461749231536,0.8060848950377196,0.7060848950377197,0.6881973290590595,2019-10-09 11:30:00-05:00,US-xTA,0.7744156195093705,1061.5419085926364,99.31820018536604,169.00000000000023,0.9015748474493228,0.8671260440565859,1.998693702710501,0.1435609078856692,-0.2075494607125735,1.791144241997927,0.0660770066539374,0.214804139618657,0.6572832367485766,346.26781803848985,106.59743838042522,368.1965503170032,10.73071613390905,11.65100863931767,5.30845218312292,73.0370060271163,224.2463577797434,-218.5332765674568,39.36756580671516,17.23080013607462,10
4,4,4,-87.39260241556765,32.95469619792465,2020-02-14 06:00:00,73.73599729537963,107.76799864768982,2020-02-14,US-xTA,4,39.11510804362475,39.90239476283812,40.39158663727123,41.2045655939448,-21.03171052631579,80.24666666666667,US-xTA,111,0,0,LC08_021037_20200214,-87.39318632050234,32.95042920032508,2020-02-14 16:25:09.653000192,0.0141699999999999,0.0161224999999999,0.0323475,0.0375175,0.1892075,0.1283225,0.0686474999999999,281.98148612,21824.0,0.0849843625,0.6690484066600507,0.2932015095944293,0.3130964257456397,281.98148612,0.4924540146982219,0.954924540146982,0.971625098248504,-87.39307467771117,32.95051858861649,-0.6690484285354614,0.6690484285354614,1,1,-0.7079957572611767,-281.98148612,281.98148612,285.4760178864009,-285.4760178864009,285.4760178864009,0.7539766682467848,0.3884808755087794,7.50165099067541,342.3217497414109,649.412003014563,0.7539766682467848,0.960493793458324,0.3884808755087794,256.99568532366686,497.3118748245725,21.817586959496246,0.0174328645445743,0.3347604504892536,262.8599418401238,14.447511494414584,3.0152260581962764,21.826545134469395,0.0174328645445743,0.3347604504892536,0.4424979860465856,0.4047728180885315,-112.53771209716795,0.3096744127506675,1.6906644936294275,212.63434602495244,0.4471859104336674,0,-87.39318632050234,32.95042920032508,108.16485480622497,6.38749002364788,40.445953753644496,2.070875194469178,208.18434807640296,33.48042705250985,-88.24271939532208,0.8557561635971069,467499,278.02683698,830824,33.18706183439368,-87.52993633332785,0.2282973825931549,426.3240698191597,34.56156288500583,289.34048318,2020-02-14 16:25:09.653000192+00:00,2020-02-14 16:30:00+00:00,54693.0,202002141030.0,202002141100.0,419.76661334468,3.74233467711333,,,451.318452427386,,,,,,,,421.797610956522,,,,453.915967558442,,,,451.068761339806,,3.75509065403803,8.23594335379592,359.886454710041,4.31632162736832,0.382721945275549,-2.75761164665979,,,42.0111790006918,,0.538916124921567,127.842222631378,13.9877317429169,400.0,180.0,1.3797190929832,,3.03,2.07,1.06,,7.41,4.41,3.62,,357.84,347.17,353.93,4.4722,4.588,4.4319,4.6231,5.0727,7.2421,101.03425,46.42,4.5251,15.42,8.88,10.15,,53.5,759.91,692.6,730.63,93.26,226.2,361.1,,,1467.74,1421.2,1462.87,164.75,220.21,67.26,328.25,,655.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.493,6.081,7.812,9.649,12.64,13.481,13.493,13.629,13.988,6.689,7.618,9.458,11.164,13.4,,13.836,13.795,14.037,11.132,12.352,12.94,13.204,13.872,,14.72,14.277,14.151,8.71,9.074,10.368,11.576,13.525,13.786,13.596,13.806,14.123,9.293,9.658,10.945,12.208,14.099,14.579,14.616,14.818,14.977,-22.924,-25.6,,531.75,0.0,,0.0,0.0,0.0,0.0,,,,,,US-xTA,-87.3933,32.9505,135.0,AL,CST,ENF,Cfa,17.2,1382.68,2020-02-14 10:30:00,10:30:00,45,0.1227250595465252,-0.1162768525295808,0.9871703281408782,-0.5233333333333333,924.3973162715934,0.8220599374573844,102.3373195966606,0.840689792399634,0.3902482016319101,4.281945477744791,696.4231877111827,0.1,0.0140563018854408,0.6589832070542352,1.5174893522251751,-0.1242909654490286,-0.0685485962867589,0.7958753264845304,0.6958753264845304,0.7765220438571985,2020-02-14 10:30:00-06:00,US-xTA,0.6589839049809583,924.3982952974364,99.31820018536602,169.00000000000023,0.932496238600091,0.908869922110123,1.8001700723563687,0.2527404723828276,-0.286132333546745,1.5140377388096238,0.0660770066539373,0.0662826781000731,1.546165831221343,181.6286099095236,86.32343533990019,247.72124371726835,10.5792404055071,9.1213961222667,4.546246509969672,53.3530120350499,188.6592639962192,-199.6416957991614,36.1845692526337,19.357324068422677,10
