,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,longitude,latitude,date,UB,B,GR,R,NIR,SWIR_1,SWIR_2,ST_B10,pixel_qa,ALFA,NDVI_model,EVI,SAVI,T_LST,LAI,e_0,e_NB,longitude.1,latitude.1,NDVI_neg,pos_NDVI,int,sd_ndvi,NDWI,LST_neg,LST_NW,T_LST_DEM,LST_neg_1,LST_NW_1,Tao_sw,EA,W_ATM,Rl_up,Rs_down,Tao_sw_1,ES,EA_1,Rl_down,Rn,Ginst,zom,u_fr,Hinst,rah,dT,rah_first,zom_1,u_fr_1,ufric_star,constant,constant_1,ET_inst,ET_24h,LEinst,EF,id.1,longitude.2,latitude.2,Rn24h_G,AirT_G,RH_G,ux_G,SW_Down,cold_pixel_lat,cold_pixel_lon,cold_pixel_ndvi,cold_pixel_sum,cold_pixel_temp,hot_pixel_sum,hot_pixel_lat,hot_pixel_lon,hot_pixel_ndvi,hot_pixel_Rn,hot_pixel_G,hot_pixel_temp,LE_daily_orig,Datetime_Local_sebal,Datetime_GMT,Date_daily,LE_closed,LE_unclosed,H_closed,H_unclosed,G_unclosed,Rn_unclosed,Residual_unclosed,Residual_closed,TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,CH4,FC,FCH4,FC_SSITC_TEST,FCH4_SSITC_TEST,G_inst_af,H_inst_af,LE_inst_af,H_SSITC_TEST,LE_SSITC_TEST,WD,WS,USTAR,ZL,TAU,MO_LENGTH,V_SIGMA,W_SIGMA,TAU_SSITC_TEST,PA,RH,TA,VPD_PI,T_SONIC,T_SONIC_SIGMA,TS_PI_1,TS_PI_2,TS_PI_3,TS_PI_4,TS_PI_5,WTD,Rn_inst_af,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,FC_PI_F,RECO_PI_F,GPP_PI_F,FCH4_PI_F,H_PI_F,LE_PI_F,State,Veg,MAT,MAP,Lat,Long,Elev_insitu,Name,Datetime,Datetime_Local_flux,Date
0,0,0,0,LC08_044033_20140113,-122.02647445833271,38.20072270989004,2014-01-13 18:46:51.970000128,0.0473625,0.0568225,0.0687574999999999,0.089575,0.173945,0.2766025,0.1828274999999999,289.17983624,21824.0,0.125077905,0.3201654523375834,0.1641150731242845,0.1657520431684828,289.17983624,0.1298436971894695,0.9512984369718946,0.9704284842007252,-122.02647972960608,38.200687902782455,-0.3201654553413391,0.3201654553413391,1,1,-0.4334009744440212,-289.17983624,289.17983624,289.5260168946588,-289.5260168946588,289.5260168946588,0.6930770990050736,0.6083007335943379,10.725914380994944,377.2001631195207,432.44510660237,0.6930770990050736,1.6102688163849477,0.6083007335943379,272.6636785006308,260.5401466981804,19.95457479263508,0.0076162320181192,0.320258493373303,165.55751949686487,16.077070643950353,2.15205709719406,22.81489557037956,0.0076162320181192,0.320258493373303,0.405610833311407,0.2389198541641235,-67.0214614868164,0.1096929761363879,0.3911341518033766,75.02805240868042,0.3118559929193787,0,-122.02647445833271,38.20072270989004,35.744173160186335,14.112076289353784,37.77634686859133,2.1566671744831813,131.17185853029207,39.66493199565763,-120.93853771695107,0.8922063708305359,444662,280.51857356,804582,38.41564476640933,-121.82223425529746,0.17655049264431,248.9435310039988,23.859896931152388,293.87277770000003,11.09256454514376,2014-01-13 18:46:51.970000128+00:00,2014-01-13 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-01-13
1,1,1,1,LC08_044034_20140113,-122.02647445833271,38.20072270989004,2014-01-13 18:47:15.865999872,0.0501674999999999,0.058665,0.06939,0.0897124999999999,0.173725,0.2767125,0.18401,289.16958218,21824.0,0.125769365,0.3189086595492291,0.1651172846178792,0.1650675399099468,289.16958218,0.1284098132213756,0.9512840981322136,0.9704237523836304,-122.02647972960608,38.200687902782455,-0.3189086616039276,0.3189086616039276,1,1,-0.4291590399605125,-289.16958218,289.16958218,289.2288879135524,-289.2288879135524,289.2288879135524,0.699347716890634,0.6082078455662201,10.724597196692324,377.1409805355042,454.9359088370383,0.699347716890634,1.6112992732750466,0.6082078455662201,289.70523760171994,296.1699136075327,22.299597075567288,0.0075869893548402,0.3202421575921751,88.01979278981393,17.42468700971984,1.2429021870350423,22.816059374493594,0.0075869893548402,0.3202421575921751,0.3894826506038308,0.2912900745868683,-83.00659942626953,0.2716409387786112,0.8486428687505265,185.85052374215144,0.6786077662434785,1,-122.02647445833271,38.20072270989004,35.650322709752366,14.121943440051464,37.746423377328725,2.157372442923317,131.17185853029207,37.24741029116174,-122.14678266795065,0.9326618909835817,313792,284.96199956,489756,37.20933905651178,-121.70567626311228,0.1777769029140472,263.3598077276965,32.83659676016381,297.2224373,24.067511757764933,2014-01-13 18:47:15.865999872+00:00,2014-01-13 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-01-13
2,2,0,0,LC08_044033_20140403,-122.02647445833271,38.20072270989004,2014-04-03 18:45:52.404999936,,,,,,,,,,,,,,,,,,-122.02647972960608,38.200687902782455,,,1,1,,,,,,,0.7546626326704302,0.9618697099646298,15.73964451399203,,807.607941958347,0.7546626326704302,1.5865454292450918,0.9618697099646298,278.50438138835165,,,,,,,,,,,,0.5438596606254578,-154.28781127929688,,,,,0,-122.02647445833271,38.20072270989004,124.76036927976972,13.88336679243665,60.6266730365424,1.6959563763252927,236.1259888377727,38.3822855853021,-122.4217995098028,0.8195706605911255,138453,283.69049612000003,223279,38.354996228128925,-121.98630553314877,0.2036745995283126,549.566648040419,58.82174701201362,294.37864466,,2014-04-03 18:45:52.404999936+00:00,2014-04-03 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-04-03
3,3,1,1,LC08_044033_20140419,-122.02647445833271,38.20072270989004,2014-04-19 18:45:35.352999936,0.0313575,0.0360874999999999,0.0617174999999999,0.0518449999999999,0.27377,0.1723775,0.1012899999999999,296.88747134,21824.0,0.12618456,0.6815564393532241,0.4221726984525567,0.4031994331498338,296.88747134,0.7926763205618008,0.957926763205618,0.972615831857854,-122.02647972960608,38.200687902782455,-0.6815564632415771,0.6815564632415771,1,1,-0.6320727299824883,-296.88747134,296.88747134,296.970446855617,-296.970446855617,296.970446855617,0.7722966250477862,0.7174467765852376,12.273642946602347,421.9712369317354,878.7160562925745,0.7722966250477862,2.240711504087463,0.7174467765852376,313.71094109155536,646.3765268146474,57.473095800521016,0.0289258625622749,0.5312915244510574,127.55576218657804,11.505346239635166,1.224872308021844,13.75264566734509,0.0289258625622749,0.5312915244510574,0.6166380645328523,0.2953633666038513,-86.48931884765625,0.6793516168246717,5.316335642566078,461.3476688275483,0.783401224260284,1,-122.02647445833271,38.20072270989004,192.02183761158847,19.31329547303752,32.0187036696373,3.108601905744992,315.25452087119766,38.304439909272496,-121.7358578699738,0.8455049991607666,484006,292.82344556,778655,39.3362217465298,-122.03772574851322,0.2295875698328018,530.9090843900091,100.2808705377628,311.62597358,150.771278823174,2014-04-19 18:45:35.352999936+00:00,2014-04-19 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-04-19
4,4,2,2,LC08_044034_20140403,-122.02647445833271,38.20072270989004,2014-04-03 18:46:16.288000000,,,,,,,,,,,,,,,,,,-122.02647972960608,38.200687902782455,,,1,1,,,,,,,0.7562599489386788,0.9617270624471678,15.737621722954083,,820.4707876986097,0.7562599489386788,1.5874602401282525,0.9617270624471678,282.4290388113857,,,,,,,,,,,,0.2650977671146393,-75.4820785522461,,,,,2,-122.02647445833271,38.20072270989004,,13.892241634952626,60.58274961075365,1.6976650973727334,236.1259888377727,37.95495408249044,-122.77962701510955,0.8186377882957458,191242,284.73299222,261219,37.39645248729799,-121.8915808700615,0.0713938772678375,329.9497901790719,60.108874455802685,300.61311314,,2014-04-03 18:46:16.288000+00:00,2014-04-03 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-04-03
5,5,3,3,LC08_044034_20140419,-122.02647445833271,38.20072270989004,2014-04-19 18:45:59.240000000,0.0286349999999999,0.03419,0.060975,0.0511849999999999,0.2763,0.1721575,0.100795,296.8977254,21824.0,0.126053825,0.687405530024276,0.4241099183487379,0.4080708411632839,296.8977254,0.8115018761747229,0.9581150187617472,0.9726779561913764,-122.02647972960608,38.200687902782455,-0.687405526638031,0.687405526638031,1,1,-0.638425617078052,-296.8977254,296.8977254,296.82501425497884,-296.82501425497884,296.82501425497884,0.7734469560204706,0.7175688787931597,12.275374398059002,422.11247594869934,889.2300036333455,0.7734469560204706,2.241562787593594,0.7175688787931597,294.9450732217767,637.6179887854665,55.81133388965351,0.0297287147793606,0.5333682724791202,234.41695987444203,10.86444891206552,2.1171617801861657,13.699097713250344,0.0297287147793606,0.5333682724791202,0.6421467320044162,0.2507002055644989,-72.29692840576172,0.5114724218417454,4.051754568355968,347.38969502137104,0.5970878677618079,3,-122.02647445833271,38.20072270989004,192.03852048900544,19.31939904897262,32.01199104324435,3.11108956575659,315.25452087119766,37.95494109167479,-122.77279732253275,0.8737565279006958,338210,288.38001956,419091,37.37081863317832,-121.95700890492895,0.0623519606888294,483.1226162066924,94.32230310026269,308.97700808,114.90775955857526,2014-04-19 18:45:59.240000+00:00,2014-04-19 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-04-19
6,6,0,0,LC08_044033_20140505,-122.02647445833271,38.20072270989004,2014-05-05 18:45:18.908999936,0.03331,0.0405975,0.0683449999999999,0.070765,0.2956325,0.1960549999999999,0.1109149999999999,302.6570891,21824.0,0.14041515,0.613725530332494,0.3970843895379893,0.3893146621498792,302.6570891,0.7407233056632425,0.9574072330566324,0.9724443869086888,-122.02647972960608,38.200687902782455,-0.6137255430221558,0.6137255430221558,1,1,-0.6244548083329328,-302.6570891,302.6570891,302.73024796071155,-302.73024796071155,302.73024796071155,0.7703553798096512,0.8967350740888826,14.81601289352425,455.4945303384032,911.2280666048044,0.7703553798096512,2.180837113628716,0.8967350740888826,298.9005643765548,613.9528729087007,75.66319005730352,0.0267545266681363,0.5748993883618297,366.1523571525809,9.872645956623018,3.0633807026300843,12.709465742621978,0.0267545266681363,0.5748993883618297,0.7007297165895907,0.2271040380001068,-65.68788146972656,0.2548964727985119,1.8029076692874928,172.13732569881626,0.3197856677969013,0,-122.02647445833271,38.20072270989004,158.64064778537508,18.878829709034257,41.1188469090567,3.3934407812278105,271.762383239279,38.38225150264834,-122.41493013049713,0.8815192580223083,289538,289.2413606,453830,38.7990533009264,-121.5185099620301,0.177707239985466,539.3650361021231,109.82500592372138,315.6626552,51.13046150099329,2014-05-05 18:45:18.908999936+00:00,2014-05-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-05-05
7,7,1,1,LC08_044033_20140521,-122.02647445833271,38.20072270989004,2014-05-21 18:45:10.940000000,0.0436775,0.0558874999999999,0.0860825,0.1166074999999999,0.3025899999999999,0.2541075,0.1485625,307.92767594,21824.0,0.16411531,0.4436631897852445,0.2937038034273406,0.3034970721743695,307.92767594,0.4648165864538007,0.954648165864538,0.9715338947352976,-122.02647972960608,38.200687902782455,-0.4436631798744201,0.4436631798744201,1,1,-0.5570435263621686,-307.92767594,307.92767594,308.0174347371583,-308.0174347371583,308.0174347371583,0.7630891893654232,1.2001847837427762,19.11903452387105,486.6551214909911,921.6237371258742,0.7630891893654232,2.810222685812463,1.2001847837427762,309.28332661783884,578.9728108013145,97.38462776472902,0.0165173083928288,0.1414880289257824,206.20479917441392,20.396694166307224,3.631287723651482,51.641570932278064,0.0165173083928288,0.1414880289257824,0.2286517060183406,0.2196728438138961,-64.03177642822266,0.4098851469282779,4.0851790065232025,275.3833838621715,0.5718233826373831,1,-122.02647445833271,38.20072270989004,199.9923992808736,23.00461945393741,42.7078177755081,0.8803162381454721,331.02253592012266,39.6855943370608,-121.33321971562376,0.8324294686317444,478011,291.48699974,729784,38.22267251075512,-121.65228127841414,0.1954620331525802,542.629309513814,118.5681852527294,320.6529644,115.85567662499804,2014-05-21 18:45:10.940000+00:00,2014-05-21 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-05-21
8,8,2,2,LC08_044034_20140505,-122.02647445833271,38.20072270989004,2014-05-05 18:45:42.790999808,0.0305874999999999,0.0387825,0.06752,0.0700775,0.295715,0.1958625,0.10976,302.66050712000003,21824.0,0.1395646575,0.6168456160254788,0.3957688189158683,0.3909207460217084,302.66050712000003,0.7466087199556568,0.9574660871995564,0.9724638087758536,-122.02647972960608,38.200687902782455,-0.6168456077575684,0.6168456077575684,1,1,-0.6282296584855533,-302.66050712000003,302.66050712000003,302.61004599222866,-302.61004599222866,302.61004599222866,0.7712132816520499,0.8966835620884598,14.815282435576886,455.5431085866953,919.4117999944484,0.7712132816520499,2.181080883771282,0.8966835620884598,303.8452643584025,626.472834819424,76.53829544563112,0.0269971113062746,0.575825723955999,359.64740261512856,9.87871161772739,3.010018847286318,12.689019920196085,0.0269971113062746,0.575825723955999,0.7009412538816939,0.2477000504732132,-71.94650268554688,0.2817393524545969,1.953315792561903,190.2871367586643,0.3460177950912905,2,-122.02647445833271,38.20072270989004,158.8637114522359,18.880619624184487,41.111889465466064,3.3954690180966542,271.762383239279,37.95494109167479,-122.77279732253275,0.8930454254150391,229297,290.45817572,126359,37.796889487559554,-122.41685138871632,0.0423354730010032,615.5605997058586,97.58408556402895,306.98430242,55.39603587705557,2014-05-05 18:45:42.790999808+00:00,2014-05-05 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-05-05
9,9,3,3,LC08_044034_20140521,-122.02647445833271,38.20072270989004,2014-05-21 18:45:34.826999808,0.0436775,0.05597,0.0862474999999999,0.1168825,0.302755,0.2549325,0.14892,308.05072466,21824.0,0.1643483725,0.4429358672663907,0.2933084533935081,0.303172445664732,308.05072466,0.4638939991321943,0.954638939991322,0.9715308501971364,-122.02647972960608,38.200687902782455,-0.4429358541965484,0.4429358541965484,1,1,-0.5565709731942599,-308.05072466,308.05072466,308.0444459717064,-308.0444459717064,308.0444459717064,0.7637438587491201,1.1999226719631744,19.115317688358235,487.4287519755241,927.8890001143556,0.7637438587491201,2.812317128682327,1.1999226719631744,305.4845448417745,579.5906431808678,97.62282488361654,0.0164872016708586,0.1418307040428037,269.56594110734864,18.8849709670531,4.382591425954047,51.5168004780819,0.0164872016708586,0.1418307040428037,0.2350834290637183,0.2513547837734222,-73.04586029052734,0.3161507749993641,3.1470741447567496,212.40187718990265,0.4406972190390206,3,-122.02647445833271,38.20072270989004,199.9030973395459,23.01693802183675,42.666691452588125,0.8826195486245116,331.02253592012266,37.24703717215767,-122.29562054579893,0.8682710528373718,265661,290.6085686,455956,37.68911533769887,-121.01318289802866,0.1715194880962371,570.8802848941882,117.04469032988824,316.27106276,89.25102274530141,2014-05-21 18:45:34.826999808+00:00,2014-05-21 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-Srr,,,2014-05-21
